task_id,wave,owner,mode,depends_on,goal,allowed_paths,acceptance_command,timeout_s,heavy,gate,status
V81-ADOPT-001,ADOPT,FG-000,read,,Validate V8.1 package and locate the existing git root,control;evidence,python3 validators/validate_control.py --root .,60,false,G-ADOPT,NOT_STARTED
V81-ADOPT-002,ADOPT,SA-ADOPT-31,read,V81-ADOPT-001,Freeze existing workspace changes and remote relation without mutation,evidence,python3 ci/verify_workspace_adoption.py --repo-root-from-git --preserve-dirty,600,false,G-ADOPT,NOT_STARTED
V81-ADOPT-003,ADOPT,SA-ADOPT-31,write,V81-ADOPT-002,Reconcile current task evidence with V7.1 and review claims,evidence;docs/status,python3 ci/reconcile_state.py --current-first --strict,900,false,G-ADOPT,NOT_STARTED
V81-ADOPT-004,ADOPT,SA-ADOPT-31,write,V81-ADOPT-002,Inventory existing local toolchain without requiring hosted CI versions,ci;docs/operations,python3 ci/verify_toolchain.py --policy ci/toolchain.policy.json --actual ci/toolchain.lock.json --scope agent-host,1800,false,G-ADOPT,NOT_STARTED
V81-ADOPT-005,ADOPT,SA-DOC-05,write,V81-ADOPT-002,Validate existing governance locations and restore the active index only,AGENTS.md;memory.md;AstroCS_ENGINEERING_CONSTRAINTS.md;DOCUMENT_INDEX.yaml;docs;control;evidence,python3 tools/quality/check_doc_index.py --strict,600,false,G-ADOPT,NOT_STARTED
V81-ADOPT-006,ADOPT,SA-DOC-05,write,V81-ADOPT-005,Unify active alpha version sources without rewriting archives,VERSION;CMakeLists.txt;README.md;configs;cli;docs,python3 ci/check_version.py --expected 0.11.0-alpha.2,600,false,G-ADOPT,NOT_STARTED
V8-CI-001,CI,SA-CI-32,write,V81-ADOPT-003|V81-ADOPT-004,Inventory and classify existing checkers and tests,ci;tests/test_index.csv,python3 ci/validate_registry.py --registry ci/checks.json --strict,900,false,G-CI,NOT_STARTED
V8-CI-002,CI,SA-CI-32,write,V8-CI-001,Implement deterministic CI runner and result schemas,ci,python3 -m unittest discover -s ci/tests -p test_*.py,900,false,G-CI,NOT_STARTED
V8-CI-003,CI,SA-CI-32,write,V8-CI-002,Implement dynamic resource probe and monitored heavy runner,ci;tools/monitoring,python3 -m unittest ci.tests.test_resource_probe ci.tests.test_run_monitored,900,false,G-CI,NOT_STARTED
V8-CI-004,CI,SA-CI-32,write,V8-CI-002,Implement fast changed-scope profile,ci;tools/quality,python3 ci/run.py --profile fast,900,false,G-CI,NOT_STARTED
V8-CI-005,CI,SA-CI-32,write,V8-CI-003|V8-CI-004,Implement Linux hosted main and deep profiles,ci;CMakePresets.json;CMakeLists.txt;tests,python3 ci/run.py --profile linux-main --plan-only && python3 ci/run.py --profile linux-deep --plan-only,1200,false,G-CI,NOT_STARTED
V8-CI-006,CI,SA-CI-32,write,V8-CI-003|V8-CI-004,Implement Windows hosted build test and candidate packaging,ci;CMakePresets.json;CMakeLists.txt;tests;cmake,python3 ci/run.py --profile windows-main --plan-only && python3 ci/validate_candidate_spec.py,1200,false,G-CI,NOT_STARTED
