ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
M1a-A-004|A_SCI_DEF|P1|宪章 §12.3-15、§13.1（旧）；SCI-WCS-001 §2/§3/§5/§10|ASTROCS_DESIGN §0：docs/science 为科学公式权威、docs/algorithms 为推导权威，Agent 无权放宽或重新解释；ENGINEERING_SPEC §3：公式/单位唯一且禁止一字段多含义|命令：grep -n -o -m1 -e 'CD^{-1}' docs/science/ASTROMETRY.md; grep -n -o -m1 -e 'pixel/arcsec' docs/science/ASTROMETRY.md; sed -n '29p' docs/science/ASTROMETRY.md；输出：19:CD^{-1}；19:pixel/arcsec；29 行单位表写 CD: deg/pixel、cd_inv: pixel/arcsec…|OPEN|P1-001|无|§2 同一符号既名 CD^{-1}（应为 pixel/deg）又注 pixel/arcsec，与 §5/实现 inv(trans 线性项) 相差 3600×，§10 仅禁反向误写；未修复。
M1a-A-005|A_SCI_DEF|P1|宪章 §12.3-3、§13.1（旧）；SCI-WCS-001 §9；ALG-WCS-001 §9/§11.4|ENGINEERING_SPEC §3：科学公式/单位/默认容差冻结为唯一源，禁止一个字段承载多个含义；ASTROCS_DESIGN §11.1：科学定义先于算法且须可复现验证|命令：grep -n -m1 -e '尺度容差 0.002 (各向异性' docs/algorithms/PLATESOLVE.md; grep -n -o -m1 -e 'CD 元素相对误差 ≤2%' docs/algorithms/PLATESOLVE.md; sed -n '226,227p' lib/plate_solve/cpp/ipv/include/ipv_types.h；输出：83: 收敛 0.01" (pixel/3600), 尺度容差 0.002 (各向异性 0.2%)…；187:CD 元素相对误差 ≤2%；s_min = 0.90（±10%）、s_max = 1.10…|OPEN|P1-001|无|0.002(0.2%) 被 §11.4 当 2% 门「同源」（十倍）；尺度窗 0.002/±10%/[0.95,1.05] 多套并存，good_rms_threshold 注释角秒而实现像素（潜在 3600×）；未修复。
M1a-A-006|A_SCI_DEF|P1|宪章 §4.1/§4.3、§12.3-15（旧）；STANDARDS_REGISTRY D.catalog（非链上）；SCI-WCS-001 §3a/§6|ASTROCS_DESIGN §0：docs/science 为公式权威且不得含歧义断言；ENGINEERING_SPEC §3：定义须唯一、可追溯|命令：grep -n -m1 -e 'ICRS/J2000' docs/science/ASTROMETRY.md; grep -rEn -m1 -e 'J2016' -e 'epoch' -e 'propagat' -e '历元' lib/gaia_xpsd_client/src lib/plate_solve/cpp/ipv/include/ipv_api.h; echo zero_hit_rc=$?；输出：33:- 天球 frame：ICRS/J2000（Gaia DR3 星表同系）…；zero_hit_rc=1|OPEN|P1-001|无|§3a/§6 仍把 DR3 位置记 J2000（实为 J2016.0 参考历元），全仓无历元/自行/视差传播（grep 零命中），ipv 入口无 date_obs；原 §6 MISSING 句已改写但混用仍在；合同侧同族归 DATA-001。
M1a-A-007|A_SCI_DEF|P1|SCI-P3-001 §4:48 对照；FITS WCS Paper I §2.1.1；宪章 §12.3-3（旧）|FITS WCS Paper I §2.1.1：ξ,η=CD·(xp−CRPIX) 即像素→中间坐标方向；ENGINEERING_SPEC §3：公式唯一实现，ALG 不得与 SCI 互斥|命令：grep -n -m1 -e 'CD^{-1}' docs/algorithms/PHASE3_RESAMPLE.md; grep -n -o -m1 -e '≥5°' docs/algorithms/PHASE3_RESAMPLE.md; grep -n -o -m1 -e 'abs(dec)<=85' docs/science/PHASE3_HIPS_TO_FITS.md；输出：22: iwc = CD^{-1} · ((x+1)−CRPIX1, (y+1)−CRPIX2)  # deg 偏移；54:≥5°；48:abs(dec)<=85|OPEN|P3-002|无|ALG 施工伪代码两处仍在：:22 像素→天球误用 CD^{-1}（Paper I 该方向为 CD），:54 写 center.Dec≥5° 而 SCI :48 写 abs(dec)<=85° 语义相反；生产实现两处正确，纯文档冻结错误。
M1a-A-008|A_SCI_DEF|P1|SCI-P3-001 §5/§8；DATA-P3-UNC-001 §30.4；宪章 §12.3-15、§13.1（旧）|ENGINEERING_SPEC §3：科学公式/单位/默认容差冻结为唯一源，禁止一个字段承载多个含义；ASTROCS_DESIGN §11.1：科学定义先于算法且须可复现验证|命令：grep -n -m1 -e 'C(x,y)=1' docs/science/PHASE3_HIPS_TO_FITS.md; grep -n -o -m1 -e 'C=1，值 NaN' docs/science/PHASE3_HIPS_TO_FITS.md；输出：66:  C(x,y)=1 ⇔ 采样足迹内存在有限 tile 像素; 否则 C=0 且 S=NaN；86:C=1，值 NaN|OPEN|P3-002|无|同一 FROZEN SCI 内 :66（有限像素）与 :86（NaN→C=1）字面互斥，RSMP §6.6 同时抄录两值；不变量不可测；未修复。
M1a-A-009|A_SCI_DEF|P1|DATA-P3-UNC-001 §30.4；SCI-P3 §9a-10；宪章 §12.3-4、§6.3（旧）|ENGINEERING_SPEC §3：科学公式/单位/默认容差冻结为唯一源，禁止一个字段承载多个含义；ASTROCS_DESIGN §11.1：科学定义先于算法且须可复现验证|命令：grep -n -m2 -e 'ivar==0' docs/contracts/DATA_SEMANTICS.md; sed -n '2441,2442p' docs/contracts/DATA_SEMANTICS.md; grep -n -m1 -e 'ivar==0' lib/phase3_session/p3_resample.cpp；输出：2435: u_in = 1/ivar（ivar==0 像素 = u 无效）…；2441: 3. u 值域: NaN = 传播态…负/Inf（含 ivar==0 导出）= 产品损坏 → 显式错误；477: ivar==0 → u 无效 (NaN 传播态, 非产品损坏)|OPEN|P3-002|无|同一合同 :2435 判「u 无效」与 :2441 判「产品损坏→显式错误」互斥，实现 :477 自行裁决取前者且无双向用例；未消歧、未修复。
M1a-A-010|A_SCI_DEF|P1|FITS WCS Paper II §5；宪章 §12.3-13、§12.3-3（旧）|FITS WCS Paper II §5：gnomonic r=tan d（d 为大圆距），半球界是 d<90° 而 r 界不是；ENGINEERING_SPEC §3：公式须自洽|命令：grep -n -m2 -e 'M_PI / 2.0' -e 'denom <= 0.0' lib/phase3_session/p3_wcs.cpp; grep -n -m1 -e '数学等价' docs/contracts/DATA_SEMANTICS.md；输出：163: if (r >= M_PI / 2.0) return P3_WCS_HEMISPHERE;；189: if (denom <= 0.0) return P3_WCS_HEMISPHERE;；2257: 半球界 r<π/2（正映射）与 denom>0（反映射）数学等价|OPEN|P3-001|无|r≥π/2 ⇔ d≥arctan(π/2)=57.519° 而 denom>0 ⇔ d<90°，两向有效域不对称（32.5° 单侧不可往返环带）；合同仍写「数学等价」；未修复。
M2a-A-2|A_SCI_DEF|P1|宪章 §4.1/§4.3/§7.3（旧）；FITS 4.0 §4.4.1；SCI-DRZ-001 §3/§3a|ENGINEERING_SPEC §3：signal/variance 单位须平方一致且唯一；FITS 4.0 §4.4.1：BUNIT 声明像素值单位|命令：grep -n -m1 -e 'px²' docs/science/DRIZZLE.md; grep -n -o -m1 -e 'sr（Σa_jp' docs/contracts/DATA_SEMANTICS.md; grep -n -m1 -e 'BUNIT' lib/astro_image_io/src/hips/aio_hips_writer.cpp; echo BUNIT_rc=$?；输出：27:- D,a,A_drop: px²（球面立体角等价）；variance: ADU²；ivar: ADU⁻²…；262:sr（Σa_jp；BUNIT_rc=1|OPEN|P2-001|无|SCI 把 px² 与 sr 称「等价」而实现全程按 sr，DATA 侧 sr/ADU 混写，tile FITS 头零 BUNIT（rc=1）⇒ 产品单位不可判定；writer 面同族归 AIO-001；未修复。
M2a-A-3|A_SCI_DEF|P1|ALG-GAIA-001 §2；宪章 §5.3/§7.3/§13.1（旧）；DATA-GAIA-001|ENGINEERING_SPEC §3：合同字段语义须唯一且确定；ASTROCS_DESIGN §11.1：边界行为须有可复现 Oracle|命令：grep -n -m1 -e 'ang_dist < best_ang_dist' lib/gaia_xpsd_client/src/gaia_client.c; grep -n -m1 -e '不做匹配求解' docs/algorithms/GAIA_QUERY.md; grep -n -o -m1 -e 'out_match_idx' docs/contracts/DATA_SEMANTICS.md；输出：2525: if (ang_dist < best_ang_dist) {；22:不做 SIP/像素投影（plate_solve 侧）、不做匹配求解。；113:out_match_idx|OPEN|DATA-001|无|最近邻/平手/半径开闭/多坐标同星去重仅存在于实现（严格小于⇒平手取遍历先见者，非确定），ALG 一面写「不做匹配求解」；合同仅一行 out_match_idx；未修复。
M3-A-003|A_SCI_DEF|P1|宪章 §1.1/§4.3/§5.3（旧）；SCI-CAL-001 §5/§10|ENGINEERING_SPEC §3：公式中每个量须有定义与单位，前置条件须入合同；ASTROCS_DESIGN §11.3：状态须如实标注|命令：grep -n -o -m1 -e 'flat_norm' docs/science/CALIBRATION.md; grep -n -m1 -e 'std::max(flat' lib/calibration/src/calibrator.cpp; grep -rn -m2 -e 'normalize_flat' lib/calibration/src/calibrator.cpp；输出：18:flat_norm；122: if (flat) v /= std::max(flat[i], 0.1f);；12:// 2. normalize_flat(flat, w, h) 与 80:void normalize_flat(...)（全仓仅此定义处，零调用方）|OPEN|P1-001|无|SCI §10 点名的 normalize_flat 全仓零调用方，生产 calibrate 只做 floor；median≈1 前提未入 SCI §4/§5/§10，消费边界不校验；未修复。
