ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
FD-G-003	G_GOV_GATE	P2	FD	问题扫描/findings/G_GOV_GATE/p2/FD_shadow_agents_md.md	3	基线文件自陈「当前 linux-main 有约 10 项红灯且不得登记进基线」——其中含本审计定为「结构性空壳」的 CON-COMMENTS	:contract.excluded_by_policy`			OPEN	
M1a-G-003	G_GOV_GATE	P2	M1a	问题扫描/findings/G_GOV_GATE/p2/M1a_L01_L02.md	3	同一校验条件在请求层/会话层/描述符层内联重复，未接单一机器源	:（`\|dec\| > 85` 内联）；lib/phase3_session/p3_wcs.cpp::p3_wcs_validate_descriptor（同条件第二处）；lib/core/src/module_adapters.cpp::（节点参数第三处）；contracts/schemas/::（应为单一机器源而缺）	"（p3_session.cpp:107）if (std::fabs(dec) > 85.0) { s->last_error = ""abs(center.dec_deg) must be <= 85° (TAN pole excluded)""; return ACS_ERR_PA / （p3_wcs.cpp 校验段）同一 |dec|>85 判定 + proj!=""TAN"" 判定（独立第二处） / （registry/SCI）\|dec\|<=85 与 FOV<=20 的权威源为 SCI-P3 §4/§9a-12（合同文本，非机器源）"	宪章 §12.3-3（单一实现）、§13.1；AGENTS.md（一处权威、他处引用）	OPEN	
M2a-G-2	G_GOV_GATE	P2	M2a	问题扫描/findings/G_GOV_GATE/p2/M2a_L04_L10.md	5	DATA 合同 ID 闭包检查器的正则只覆盖带 -NNN 后缀的形态，约半数在册 DATA-* 落在门外，而合同自称「全部登记、无重复」	:DATA_RE 与扫描/比对段；docs/contracts/DATA_ARTIFACTS.md::§3 机器校验行 + ID 索引表；docs/contracts/DATA_SEMANTICS.md::DATA-* 标题面；docs/contracts/SCIENCE_PROFILES.md、docs/traceability/TRACEABILITY_MATRIX.md	"（tools/check_data_artifacts.py:16-17）DATA_RE = re.compile(r""^DATA-[A-Z0-9-]+-\\d{3}$"")   // 仅匹配三位数字后缀 / （DATA_ARTIFACTS.md:102-103）- `tools/check_data_artifacts.py`（DATA-001 新增）：校验本表 schema_id 唯一、DATA-SEMANTICS.md 中声明的 DATA-* ID 全部在本表登记、无重复。 / （DATA_SEMANTICS.md 标题面）形如「### 5.1 DATA-P1-CAL …」「… DATA-"	宪章 §12.3-1/-5（单一事实源与机器一致）、§17.2（追溯无断链）	OPEN	
M2a-G-3	G_GOV_GATE	P2	M2a	问题扫描/findings/G_GOV_GATE/p2/M2a_L04_L10.md	22	模块版本 / ABI 版本 / 产品 VERSION 三处共用同一字面量 0.11.0-alpha.2，违 §16.1 版本命名空间分离	:module_version；lib/gaia_xpsd_client/include/astrocs/gaia/types.h::ASTROCS_GAIA_VERSION 与 ::ASTROCS_GAIA_ABI_VERSION	"（VERSION）0.11.0-alpha.2 / （module.yaml:15）module_version: 0.11.0-alpha.2 / （types.h:30-31）#define ASTROCS_GAIA_VERSION     ""0.11.0-alpha.2"" / #define ASTROCS_GAIA_ABI_VERSION 1u / （宪章 §16.1:614-616区段）… module version、ABI version、schema version 不与产品版本混用。"	宪章 §16.1（版本命名空间分离）；docs/governance/VERSION_NAMESPACES.md（AGENTS.md 映射引用）	OPEN	
M4-G-02	G_GOV_GATE	P2	M4	问题扫描/findings/G_GOV_GATE/p2/M4_L08_L09.md	4	整阶段 Session 以 astrocs.phase2.resample 假身份驻留模块注册表，占位 ID 无权威页	:phase2_descriptor（复核时点 :484-501）与注册段 register_phase_modules（复核时点 :5451-5457，含 make_session_module<P2Api> 工厂）；lib/phase2_session/p2_session.cpp::status=partial+availability（:245-261）；docs/algorithms/PHASE2_SESSION.md:83-89,:94；docs/traceability/TRACEABILITY_MATRIX.csv:18-19；docs/modules/registry/astrocs.phase2.resample.md:7	auto d2 = phase2_descriptor(); / auto r2 = registry.register_module(d2); / auto f2 = registry.register_factory( / d2.module_id, [d2]() { return make_session_module<P2Api>(d2); });	宪章 §8.4（单一模块 entrypoint，不隐藏整阶段 Session）、§9（端口须引用有效 DATA 合同）、§14.3（禁 facade-Session 冒充迁移完成）、§12.3-1/-2	OPEN	
M6b-G-007	G_GOV_GATE	P2	M6b	问题扫描/findings/G_GOV_GATE/p2/M6b_L16_L18.md	3	"宪章点名的 L0 文档与分层元描述互相矛盾：`docs/owner/PHASE_OVERVIEW.md` 不存在，两套""当前分层""叙述并存，Wiki 被写成 L0 前置"	:§12.1`（现 :414-418）、`docs/README-DOCS.md::L0-L5 表 + Wiki 行`（现 :9-:20）、`docs/standards/DOCUMENTATION_STANDARD.md::分层段`（现 :3-:14）、`docs/owner/PIPELINE_OVERVIEW.md`、`docs/architecture/ARCHITECTURE.md::§1`、`AGENTS.md::必读清单`	（宪章 §12.1）负责人默认只阅读：`REVIEW.md` + `docs/review/*_OVERVIEW.md` + `docs/owner/{SCIENCE,PHASE,ARCHITECTURE}_OVERVIEW.md` + `docs/owner/RELEASE_S / （README-DOCS.md:20）Wiki 更新为 L0 前置条件（V19R8 三件套）	宪章 §12.1（L0 清单为封闭清单）、§1.1（权威顺序无 Wiki 层）、§12.2（L1-L3 要求）。	OPEN	
M6b-G-008	G_GOV_GATE	P2	M6b	问题扫描/findings/G_GOV_GATE/p2/M6b_L16_L18.md	22	冻结面表述与实际状态并存冲突：Phase3 四投影集合新旧两版同时流通	:§0 非目标 / §11 / §15 冻结四投影表`（现 :20、:190、:348-:370）、`docs/owner/RELEASE_STATUS.md::§4 Phase3 四投影行`（现 :94）、`README.md::当前状态`（现 :33）、`docs/architecture/ARCHITECTURE.md / PUBLIC_API`（L18-011 点名的同族面）、`ASTROCS_PROJECT_CONSTITUTION.md::§18.1 负责人裁决`	（宪章 §18.1 裁决）冻结四投影 = `TAN + SIN + CAR + AIT` / （PHASE3_PROJ_IMPL.md:20）- 非目标: 不实现 SIN/ZEA/CAR/AIT（矩阵 notes 列为显式扩展清单，当前… / （PHASE3_PROJ_IMPL.md:190）…不用，SIN/ZEA/CAR/AIT 扩展 TODO，§11）。 / （PHASE3_PROJ_IMPL.md:348）## 15 P3-001 增补：版本化 projection registry 与冻结四投影（TAN/SIN/CAR/AIT） / （PHASE3_PROJ_IMPL.md:370）|	宪章 §18.1（负责人裁决优先）、§12.3-10、§12.2（ALG 文档不得与裁决矛盾）。	OPEN	
M8a-G-009	G_GOV_GATE	P2	M8a	问题扫描/findings/G_GOV_GATE/p2/M8a_L25_L27.md	8	vendored json-schema-validator 无许可全文、无登记，版本只活在 Makefile 注释（裁决 P1→P2）	:json-validator.cpp`（4-6）、`::smtp-address-validator.hpp`（10）、`::nlohmann/json-schema.hpp`；`lib/orchestrator/cpp/Makefile::版本注`（复核 17）	Makefile:17 「#-Ithird_party/json-schema-validator: nlohmann-json-schema-validator v2.4.0 (vendor, 正式 Schema validator)」 / json-validator.cpp:4-6 「Copyright (c) 2016-2019 Patrick Boettcher… SPDX-License-Identifier: MIT」；smtp-address-validator.hpp:10 另含 Gene Hight	MIT 条款（分发副本须含许可声明全文）；宪章 §14.2（公共许可证须可寻址）、§16.3（审核包白名单 = 当前源码基线）、§12.3-1	OPEN	
M8a-G-010	G_GOV_GATE	P2	M8a	问题扫描/findings/G_GOV_GATE/p2/M8a_L25_L27.md	27	cfitsio 完整性证明只覆盖 60 源 + 1 头，且上游 4.7.0 安全修复无跟进评估记录	:cfitsio.provenance_note/file_sha256/aggregate_sha256`（复核 16-30）、`::policy`（9）；`cmake/cfitsio_sources.cmake`（60 项显式清单，复核 14/61）；`DEPENDENCIES.md:66-67`；`lib/astro_image_io/third_party/cfitsio/`（`utilities/`、`m4/`、`configure`、`f77_wrap*.c` 等实存）；上游事实 URL：<https://heasarc.gsfc.nasa.gov/fitsio/>	lock:22 段自述「vendored 自仓库引入 commit 5d5be0a（历史迁移）；树内 **168 git 追踪文件**含 docs/示例；生产编译集 = … **60 C 源**」；哈希口径 = `file_sha256`（仅 `fitsio.h` 一个头）+ ` / `cmake/cfitsio_sources.cmake` 的 60 项与 `DEPENDENCIES.md:66-67`「60 C 源显式清单, BLD-001 禁 GLOB」两处行数一致（本代理按清单行计数复核，未核哈希）	宪章 §17.11（白名单/哈希/provenance 全过）、§16.3（审核包含当前源码基线）、§16.2	OPEN	
V11-N-03	G_GOV_GATE	P2	V11	问题扫描/findings/G_GOV_GATE/p0/V11.md	24	`GaiaSpectrumStar` 旧镜像 ⇒ **不越界但静默错位**：重投影验证图除第 1 颗星外坐标皆错	57-66` = **5 字段**（`+flux_min/+flux_mul`，由 `70edb842` PCL 官方解码生产链追加），`sizeof=32`；`xpsd_cpp_crosscheck.py:42` 与 `xpsd_production_validation.py:48` **已同步（32）**；而 `lib/plate_solve/tools/diag_gaia_psf_projection.py:108-111` 仍旧 **3 字段/sizeof=24**。			OPEN	
