ID,原判据摘要,判定,证据,归属任务,根因,方案,验收门,依据,备注
M1a-G-001,phase3 产品/manifest 无 RADESYS 与采样语义；result JSON 无 frame/采样语义键,OPEN,"timeout 30 grep -c ""phase3_session"" CMakeLists.txt (rc=0) -> 21 行，:615 add_library(astrocs_phase3_session STATIC ... p3_output.cpp)；timeout 60 grep -rn sampling_semantics lib docs contracts tests tools ci include (rc=0) -> 仅 lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:325 等 drizzle v6 面，phase3 产品面 0；timeout 30 grep -n ""RADESYS|sampling_semantics|CUNIT1|BUNIT"" lib/phase3_session/p3_output.cpp (rc=0) -> 仅 CUNIT1(185)/BUNIT(212,290)，无 RADESYS",AIO-001,产品 manifest 落盘面仍只有 CUNIT1=deg/BUNIT，进程内端口描述符（UnitId::SURFACE_BRIGHTNESS+CoordinateFrame::PIXEL）未随产品落盘，最高设计 §9 两格仍缺,p3_output/p3_session 的产品 manifest/inspect 补写坐标 frame 与像素/采样语义键，并与端口描述符同源,新用例断言 p3 产品 manifest/result JSON 含 RADESYS(EQUINOX) 与采样语义键且与端口描述符一致,-,"与 RUBRIC §4 假设不同：lib/phase3_session 虽在 ARCH-001 列 DEFERRED(不迁移,删除)，但根 CMakeLists:615-620 仍编入 astrocs_phase3_session 并列入安装/测试目标 ⇒ 未退役，故不判 NOT-APPLICABLE"
M2a-C-11,合同 JSON 两个 pending_aio_channels 无 resolution 回登，与实现现状不一致,OPEN,"timeout 30 python3 读 contracts/data/phase2_uncertainty_rejection_provenance_v1.json (rc=0) -> pending_aio_channels 两项 status=PENDING_AIO_DOMAIN（gap 仍写""flags 位 32/64 未定义""），resolution 仅属 F-P2-002-02；timeout 30 grep -n AIO_HIPS_PRODUCT_NREJ lib/infrastructure/aio/include/aio_hips.h (rc=0) -> 161 ""= 32""、162 NUSED=64；writer:1124 写 astrocs_diag_dtype",AIO-001,实现侧已落地（flags 32/64 + int32 诊断平面 + ASTROCS_* 五键），合同 JSON 仍记 PENDING 且无 resolution 回登,在合同 JSON 两通道补 resolution(status=IMPLEMENTED+证据路径)，并订正 gap 文本,合同登记与 aio_hips.h/aio_hips_writer.cpp 通道逐项一致门（含 findings_transfer 同款 IMPLEMENTED 惯例）,-,-
M2a-E-4,合同头把 HiPS 读侧归属 astrocs_io.dll，而该 target 只编 fits_core.c、hips_core 零构建登记,OPEN,"timeout 30 sed -n ""1,6p"" lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h (rc=0) -> ""角色: astrocs_io.dll 对外的 HiPS 输入读取合同 (IO-002 冻结)""；timeout 30 grep -n astrocs_io CMakeLists.txt (rc=0) -> :172 ""add_library(astrocs_io SHARED lib/infrastructure/aio/io/fits_core.c)""；timeout 30 grep -rn hips_core --include=CMakeLists.txt . (rc=1) -> 无构建登记（仅 tests/io/test_hips_input_contract.py 自建 .so）",AIO-001,合同声明与构建图不一致：声明的 HiPS C ABI 无生产 target，生产读侧走 astrocs_hips/aio_hips_reader.cpp,把 hips_core.c 登记进 astrocs_io（或改合同归属为实际 target）,契约声明的符号可在构建产物中定位的门（io 契约测试接生产 target 而非自建 .so）,-,-
M2a-H-3,sup 钳 1.0 后层级归约按 sig·sup·A_cell 反乘，覆盖>1 像素上层通量系统性低估,FIXED,"timeout 30 grep -n ""sup > 1.0|flux = sig_n|support_clamped|area_true|coverage_gt1"" lib/infrastructure/aio/src/hips/aio_hips_writer.cpp (rc=0) -> :674 area_true 未钳制真实面积、:751 ""const double flux = sig_n[i] * area_n[i];""、:1220 sup 仅在发布面钳一次、:1119/:1668 双面写计数键",AIO-001,-,-,-,修复证据：R-7 §5.4 + SCI-FIX-AIO ④（归约改用未钳制面积，通量损失 37.0324%→0，计数键双写；P1..P7 PASS）,本轮为只读静态复核，未复跑 ctest；引用 SCI-FIX-AIO 自证摘要（run/PROJECT-GOVERNANCE-01/SCI-FIX-AIO/自证摘要.md:28）
M2b-A-01,写入口只判 nside<512，无 2 的幂与上界校验，ilog2 向下取整静默夹逼,FIXED,"timeout 30 grep -c nside_is_pow2 lib/infrastructure/aio/src/hips/aio_hips_writer.cpp (rc=0) -> 2；timeout 30 sed -n ""570,600p"" 同文件 (rc=0) -> :577 ""const bool nside_is_pow2 = (nside & (nside - 1u)) == 0u;""、:579 ""nside > (1u << 29) || !nside_is_pow2 || tile_width != 512"" 即拒并 set_error；module_entry.cpp:342 同口径",AIO-001,-,-,-,修复证据：写入口现拒非 2 幂与越上界（含点名诊断），正解不再只存在于被绕过的模块面,-
M2b-A-02,写侧 2^(k+9) / ALG 2^k / 读侧 2^(order+9) 三源互斥,FIXED,timeout 30 grep -n 'NSIDE' docs/algorithms/HIPS_WRITER.md → rc=0（:165 已写 `ORDERING=NESTED + NSIDE=2^(k+9)`）,AIO-001,-,-,-,R-7 #1（R-7_AIO_HIPS_ABI与精度.md:18）：判「**文档勘误**」——ALG 的 `NSIDE=2^k` 改为 `2^(k+9)`，写侧/读侧不动；现状文本已勘误。,【人工复核覆盖：原分批复核判 FIXED】台账原判 OPEN/P0，措辞为「三源互斥」；按 R-7 实为单一文本勘误（写/读侧一致），该措辞已订正。
M2b-C-01,HiPS writer 无原子原语、tile 仍 remove+create 直写；调用点注释仍称 AIO-002 原子发布内建,OPEN,"timeout 30 grep -n ""remove(path_n"" lib/infrastructure/aio/src/hips/aio_hips_writer.cpp (rc=0) -> :299/:368 fits_create_file 前 std::remove 直写；timeout 30 grep -n ""rename|fsync|staging"" 同文件 (rc=0) -> 仅 3 处（:20 注释、:406/:418 properties 侧）；timeout 30 grep -n ""AIO-002 原子发布"" lib/infrastructure/scheduler/src/module_adapters.cpp (rc=0) -> :28、:4635 仍称内建",AIO-001,"properties 已走 aio_atomic::write_file_atomic，但 tile 级 FITS 仍 remove+create 直写、make_dirs 无 fsync；调用点注释宣称的""原子发布内建""与实际不符，与 DATA_SEMANTICS §12.5:383 及 DISP-HIPS-004 冲突",tile 写路径复用 aio_atomic_file.h（临时+fsync+rename），或按 §12.5 明示 writer 不原子并改写调用点注释,DISP-HIPS-004 关闭：注入中途失败不残留可误认的正式产品；文档/注释与实现一致,-,module_adapters.cpp 并发线在改：读时 hash=3ac7b6514ae2，复核时=d167008bb60e（行号随移，判据内容逐条复核不变）
M2b-C-06,manifest 的 nrej_tiles/nused_tiles 未登记于 ALG (5d) 字段清单，I8 计数口径不清,OPEN,"timeout 30 grep -n ""nrej_tiles|nused_tiles"" lib/infrastructure/aio/src/hips/aio_hips_writer.cpp (rc=0) -> :1671-1672 写出两键（装配 :1589/:1596 按 diag 通道，:1644-1645 产品表）；timeout 30 grep -c ""nrej_tiles|nused_tiles"" docs/algorithms/HIPS_WRITER.md (rc=1) -> 0；timeout 30 sed -n ""243,247p"" 同文档 (rc=0) -> (5d) 字段清单无此两键",AIO-001,"writer 新增 manifest 诊断计数键未回写 ALG 字段清单，§9 I8""计数字段=实际文件数""表述未覆盖诊断通道",HIPS_WRITER §5(5d)/§9 I8 登记 nrej_tiles/nused_tiles 及取数口径,ALG 字段清单与 writer 实际键集逐项比对门（能红能绿）,-,-
M2b-G-01,lib/hips、lib/hips_p2 另起 writer / entrypoint MISSING（判据前提）,CRITERION-WRONG,"timeout 30 ls -d lib/hips lib/hips_p2 (rc=2) -> 两者均""没有那个文件或目录""；timeout 30 ls lib/algorithms/drizzle/hips/src (rc=0) -> module_entry.cpp/aio_publish.cpp；timeout 30 grep -rn aio_hips 该目录 src (rc=0) -> module_entry.cpp:9-10 ""职责: 把 lib/infrastructure/aio/src/hips/aio_hips_writer.cpp 的 legacy C 接口 (aio_hips.h 九导出) 包装成九操作模块 vtable""、:888 ""aio_hips_product_begin(""",AIO-001,-,-,-,"为什么错：判据前提（存在复制 AIO 的第二 writer 目录 + p2 entrypoint 缺失）在当前树不成立——旧路径已由 ARCH-001 迁移（cmake/ARCH-001-migration-manifest.md 第 10 行 lib/hips→lib/algorithms/drizzle/hips DONE、第 33 行 lib/hips_p2→lib/algorithms/coverage/hips_p2 DONE，且注明""生产源 stage2.cpp 现位于 algorithms/coverage""）。正确口径：按模块归属核对""是否存在第二份 reader/writer 实现""——P1-HIPS 模块 src/module_entry.cpp:9-10,888 复用同一 AIO writer（aio_hips.h 九导出→aio_hips_product_begin），符合 ASTROCS_DESIGN.md:421「aio 是唯一 FITS/HiPS/manifest 读写边界；禁止各自复制 reader/writer」。依据：ASTROCS_DESIGN.md:421 + 迁移清单第 10/33 行 + 上述三命令",残余（不属本判据）：packaging/astrocs.product.json:16 仍把 modules/astrocs_p1_hips_writer.so 列为 required unit，归 PKG-001 域
M2b-H-01,properties 侧 to_string 6dp / manifest 侧 %.8f，量化步长无法满足 <1e-9 冻结容差,FIXED,"timeout 30 grep -n ""moc_sky_fraction|fmt_sky_fraction"" lib/infrastructure/aio/src/hips/aio_hips_writer.cpp (rc=0) -> :1051 唯一格式化函数、:1115/:1357 双面共用 fmt_sky_fraction；timeout 30 sed -n ""1044,1056p"" (rc=0) -> ""properties 与 manifest.json 共用"" + ""%.17g = DBL_DECIMAL_DIG … strtod 回程精确""；HIPS_WRITER.md:216/348 已改写容差条款",AIO-001,-,-,-,修复证据：R-7 §5.3（改精度不改容差，%.17g 单一函数）+ SCI-FIX-AIO ③（旧门恒绿无判别力，新增 1/12 判别点 O1..O6 PASS）,容差 <1e-9 未动（与 R-7 一致）
