risk_id,risk,severity,owner_task,status
R-001,Drizzle/Stack 源码不完整或版本不明,critical,P00-001,open
R-002,PipelineFrame 双重实现导致 ABI 分裂,high,P01-001,open
R-003,共享 detections 路径导致任一 PlateSolve TestData 退化,high,P02-003,open
R-004,float32 PSF 修改算法数值,medium,P02-005,open
R-005,真实 Master 未接入但 CLI 报成功,critical,P03-001,open
R-006,Gaia/DR3SP 大查询性能或阻塞,medium,P02-006;P04-004,open
R-007,HISS 缺 provenance 无法追踪,high,P05-002,open
R-008,Stage2 一次性加载导致 OOM,high,P06-002;P07-001,open
R-009,候选 A/B 只跑子集或事后排除失败样本,critical,P02-001;P02-003,open
R-010,运行时静默切换 PlateSolve 数据路径导致结果不可追溯,high,P02-004;P02-007,open
