ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
M7-A-120	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	19	GLOSSARY 自称唯一术语权威，却缺宪章 §4.1 十量中 6/10 条（L21-002）	表体`（18 行）、`ASTROCS_PROJECT_CONSTITUTION.md::§4.1 表`			OPEN	
M7-A-121	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	25	「quality」在两份 FROZEN SCI 中类型互斥（[0,1] 浮点因子 vs uint32 位掩码），flags→因子映射无定义（L21-005）	§3/§5`、`docs/science/CONTROL_WEIGHT_SNR.md::§/quality 行`（grep uint32 命中 :25/:32）			OPEN	
M7-A-122	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	31	NOISE_MODEL 符号表给 ivar 记「pixel⁻²·ADU⁻²」，同篇 §3 与全部合同记 ADU⁻²（L21-006）	§2 符号表`（:16）对照 `::§3`（:29）、`docs/contracts/DATA_SEMANTICS.md::§13.2/§21.1`			OPEN	
M7-A-123	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	37	交换合同要求三 Phase 最小平面集含「mask」，而 mask 在三个 DATA 节都被判「非产品输出」且语义三方不一（L21-007）	§mask/rejection 相关节`（复核时 :174/:214/:314-315）、`docs/interfaces/data/DATA-002`、`docs/science/PHASE3_HIPS_TO_FITS.md::§7`			OPEN	
M7-A-124	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	43	GLOSSARY variance/ivar 条目未随 DATA-UNC-001 双值消解同步，仍写单值口径（L21-010）	variance/ivar 行`（:10/:11）对照 `docs/contracts/DATA_SEMANTICS.md::§4a/§30`			OPEN	
M7-A-125	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	49	ALG 层把 ivar 缺失回退 support 写成 weight_mode=2 的唯一语义（L21-001 的 ALG 侧独立事实）				OPEN	
M7-A-126	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	53	ALG 中的 σ 未逐法定义：linear_fit 以平均绝对残差充当 σ 且未乘 √(π/2)（L20-016）	§/linear_fit 块`（:14/:17/:98/:106）			OPEN	
M7-A-127	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	59	Generalized ESD 的 α=0.05 被当冻结统计判据引用，却未纳入 NIST 自述的近似有效性域（n≥15/25）（L20-017）	§/ESD 块`（:18/:37/:57/:61）			OPEN	
M7-A-128	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	65	冻结完备性门「SNR≥10 召回≥99%」在本文阈值统计下数学不可达（L20-008 的 SCI/ALG 侧定档；家族成员）				OPEN	
M7-A-129	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	69	bilinear「Σw=1 精确成立」在跳象限、FP64 舍入、bitpix=−64 三处不成立，而它是「常数场 max_abs=0」的唯一依据（L20-007）	§6.5 p3_sample_bilinear`（:193 附近）、`::§6.6 值语义表`；`docs/algorithms/PHASE3_RESAMPLE.md::§5c/§8/§9`；判据支撑 `docs/science/PHASE3_HIPS_TO_FITS.md::§9a-7`			OPEN	
M7-A-130	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	75	FWHM=1.230310·sx/sy 是量纲错误式（乘/除轴向宽度），自反于本文 F2 与 SCI-PSF 不变量（L20-010）	§/FWHM 行`（复核时 :7/:54/:75/:151）；实现侧 `dpsf_psf.cpp` 的 FWHM 计算（L20 §4-6 记录为「乘法」）			OPEN	
M7-A-131	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	81	MAD=0 时热/冷检测阈值退化为「高于中位即热、低于中位即冷」，文档两次判为良性（L20-011）	§/MAD 分支`（:177/:181/:403）			OPEN	
M7-A-134	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	87	ALG 对同一代码给出互斥的冷/热分支符号描述（L20-012）	§/冷像素块` 对照 `docs/algorithms/COSMETIC_ALGORITHMS.md::§/冷分支`（:33/:36/:47/:135）			OPEN	
M7-A-135	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	93	peaker 在非极大值分支固定 x+=5 跳步可漏检；§3 与 §6 对跳步时机描述互斥（L20-009）	§3 阶段 4`（:93）、`::§6`（:148）			OPEN	
M7-A-136	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	99	PERCENTILE 方法既无分位数也不含噪声尺度，拒绝强度随背景绝对电平线性变化；「全接受」兜底是其症状（L20-015）	§/percentile 块`（:14/:99）、`docs/algorithms/REJECTION_ALGORITHMS.md::§/F14`			OPEN	
M7-A-137	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	105	「CAR 无投影奇点」为假（极点整行塌缩未排除）；§15.3 中 θ 在两族投影间承担两个互斥几何量（L20-023）	§/CAR 行与 §15.3`（复核时 grep CAR 命中 :20/:107/:190/:348）			OPEN	
M7-A-138	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	111	HEALPIX_MAPPING 仅 35 行却承担 ALG-HEALPIX-* 全域：无公式、无单位/坐标系、无无效值语义（L20-021）	全篇`（:23「单调」等）			OPEN	
M7-A-139	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md	117	Phase3 重采样按全图平面 + 逐 HDU 全帧临时缓冲分配（L20-022）	§10/内存块`（:32 等）			OPEN	
M7-A-141	A_SCI_DEF	P1	M7	问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md	102	候选缓冲三系数（1.25 / 3.0 / 1.15）的关系未论证，「零漏选」以「极区实测最坏 1.044」代替推导（L20-006）	§/buffer 块`（复核时 :65-66、:149、:231-236，grep 1.25 四处命中）			OPEN	
M9-A-1	A_SCI_DEF	P1	M9	问题扫描/findings/A_SCI_DEF/p1/M9_L24_L26.md	5	「60″ 双路径切换阈值无数学依据」的缺陷已被本仓注释自证并在面积路径修复，但同一无依据阈值仍以 use_adaptive 判据存活于引擎——修复未固化（判据未收口、偏差未登记）	:DrizzleRunContext::cos_thresh_60 + ::run_drizzle_internal（THRESH_60ARCSEC 与 use_adaptive 切换处）、docs/algorithms/DRIZZLE_GEOMETRY.md（阈值去向未记）	"自证（spherical_overlap.cpp 头部注释）`// 3. 双路径切换阈值 60"" 无数学依据, 1° 像素 (3600"") 远超阈值走 Girard 失效` 与 `// 统一使用球面三角剖分 (fan triangulation) + Eriksson (2018 / 存活面（drizzle_engine.cpp:243）`double cos_thresh_60 = 0.0;   // cos(60 角秒)：边跨度自适应阈值`；（:1652）`const double THRESH_60ARCSEC = 60.0 * (M_PI / 180."	宪章 §5.3（Drizzle 单位与误差传播必须明确）、§4.1；STD-REG 纪律（无科学依据的阈值须经 SCI 裁决或 DISP 登记）；宪章 §12.3（缺陷认定后须回写文档）。	OPEN	STILL
M9-A-2	A_SCI_DEF	P1	M9	问题扫描/findings/A_SCI_DEF/p1/M9_L24_L26.md	23	"k_corr 标定表的像素尺度轴（300–600″）与生产源尺度（在册用例最大 3.22″）脱节约两个数量级：std::clamp 使""按帧尺度选择""恒饱和、静默且不可见"	:kcorr_lookup（含 scale 未知回退）、lib/healpix_db/healpix_drizzle/hp_drizzle_api.cpp（src_pixel_scale_arcsec 产出）、lib/astro_image_io/src/hips/aio_hips_writer.cpp::aio_hips_set_drizzle_provenance（透传与校验）、docs/algorithms/PHASE2_SAMPLER.md（标定段）	"（sampler.cpp:90）`static const double sc_grid[2] = {300.0, 600.0};`；（:95-96）`const double pf = std::clamp(pixfrac, 0.5, 1.0);` / `const doubl / 上游贯通（hp_drizzle_api.cpp:1130-1133）`// （K_CORR_DOMAIN）：源帧像素角尺度（deg→arcsec）写入` / `meta.fits_meta[""src_pixel_scale_arcsec""] = std:"	"82 `constexpr double kControlCorrDefault = 1.4;` 与 PHASE2_SAMPLER.md:186-187「k_corr 默认 1.4（:82，UPMW-005 MC 实证 1.3883 @pixfrac=0.8，保守上取）」、:188-189「K_CORR_DOMAIN 选项 B（逐帧标定）…scale 未知→300"" 档」、:193「[0.5,1.0]×[300,600]（:95-96）」、:51 变量表「k_corr … 无量纲 … sampler.cpp:82/:547-555」。"	OPEN	
V1-N-12	A_SCI_DEF	P1	V1-N12	问题扫描/findings/A_SCI_DEF/p1/V1-N12.md	3	新 SNR 模型残留五处量化偏差（V1 独立复算）				OPEN	
V12-N-01	A_SCI_DEF	P1	V12	问题扫描/findings/A_SCI_DEF/p1/V12.md	3	（P1·**总述根因条**）科学常数**无承载层**：`include/` 下无任何 constants 头，权威点数 = 0				OPEN	
V12-N-03	A_SCI_DEF	P1	V12	问题扫描/findings/A_SCI_DEF/p1/V12.md	10	（P1·科学口径为假且落在交付量上）`NOISE_MODEL.md:135` 声明「0.6745 与 1.482602218505602 同源」——**倒数式是三套中偏差最大的，大 10.2 倍**				OPEN	
