ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
L28e-E-004|E_TRACE_BREAK|P2|旧宪章 §12.3-3、§12.1、§11；问题扫描 L28b R-2①（ID 须登记面可解析）与 R-6b（锚必须有宿主）|ENGINEERING_SPEC §8：检查器覆盖须含「算法引用有效 SCI/ALG」「删除/重命名无悬空引用」；ASTROCS_DESIGN §11.3：CONTRACT_READY 要求合同冻结在位且可复核|命令：grep -rn "ALG-ANCHOR-001" docs lib cli tests tools ci contracts；输出：docs/algorithms/anchors/ANCHOR_CONTRACT.md:3:> ID: ALG-ANCHOR-001　任务: SCI-ANCHOR-001　状态: ACTIVE_NORMATIVE（文档锚合同）（全仓唯一命中 即自身声明行）；命令：grep -c "ALG-ANCHOR" docs/contracts/INDEX.yaml；输出：0|OPEN|DOC-001|无|孤锚仍成立（finding 旧口径 5 处今缩为 1 处自述行）；同头任务号 SCI-ANCHOR-001 有宿主（check_doc_line_anchors.py、anchor_contract.json、tests/quality）成对照 证明确属缺失；处置二选一：登记进宿主面或撤 ACTIVE_NORMATIVE 并入单一 ID
L28e-E-005|E_TRACE_BREAK|P2|旧宪章 §12.1（SCI 权威在 docs/science 对应域文件）、§11 五元组、§12.3-3；L28b R-2①|ASTROCS_DESIGN §0：docs/science 为公式权威 链上统一；ENGINEERING_SPEC §8：算法引用有效 SCI/ALG 无悬空引用|命令：grep -rn -e SCI-ASTROMETRY-001 -e SCI-PHOTOMETRY-001 docs lib cli tests contracts ci tools；输出：docs/science/STAR_DETECTION.md:32:- SCI-PHOTOMETRY-001（PHOTOMETRY）：正常星 mag=−2.5·log10(Σ_box(pixel−B_fit))；docs/science/STAR_DETECTION.md:35:- SCI-ASTROMETRY-001（ASTROMETRY）：像素中心=索引+0.5 约定（另 :61 一处在用 三处即全仓全部命中）|OPEN|DOC-001|无|全称别名仍未登记且真源零命中（INDEX.yaml 只登记 SCI-AST-001 :98 与 SCI-PHOT-001 :34；ASTROMETRY.md:3 现为「SCI-WCS-001 (SCI-AST-001 别名)」亦不含该全称）；跨域引用链仍断
M1a-E-004|E_TRACE_BREAK|P2|旧宪章 §12.3-9（无断链）、§13.1；TEST-WCS-DESIGN-001|ASTROCS_DESIGN §12：发布候选须「追踪无断链」；ENGINEERING_SPEC §8：删除/重命名无悬空引用 活动文档口径须一致|命令：grep -n "TST-WCS" docs/algorithms/PLATESOLVE.md docs/science/ASTROMETRY.md；输出：docs/algorithms/PLATESOLVE.md:89:- TST: TST-WCS-001 合成恢复, TST-WCS-INV 极区保守, TST-WCS-FAIL 退化；docs/science/ASTROMETRY.md:162:- 测试: TST-WCS-001 Astropy 比对、TST-WCS-INV-001 往返/TST-WCS-FAIL-001 参数拒|OPEN|DOC-001|无|同一 ID 在 SCI 与 ALG 两份权威文档仍绑定互斥测试语义（合成恢复 vs Astropy 交叉；极区保守 vs 往返）；finding 的节号锚（§8/§15）已漂移 行号已按当前树重定位 不改变结论
M2a-E-5|E_TRACE_BREAK|P2|旧宪章 §12.3-4（核心合同至少一个可定位独立测试）、§17.2（追溯无断链）|ENGINEERING_SPEC §8：核心合同有独立测试、无悬空引用；docs/ci/01_CHECKS.md §2：CHK-CONTRACT-TEST（P0）|命令：grep -c -e "def test_no_implicit_name_binding" -e "def test_missing_hash_rejected" tests/artifact/test_phase_product_exchange.py；输出：0（该文件实际以 :118 class TestNoImplicitNameBinding 组织）；命令：grep -rn "def test_missing_hash_rejected" tests/；输出：tests/runtime/test_phase_lifecycle.py:168:    def test_missing_hash_rejected(self):（名在别的文件 非合同所指用例）|OPEN|DATA-001|无|DATA-002 :172/:175 仍以裸函数名引用致按名追溯断链；finding 所引第三个名字 test_missing_required_each 在当前 DATA-002 零命中（该子项不成立 口径收窄为两站）；finding 所写 tests/pipeline 路径今已迁为 tests/runtime
M5b-E-06|E_TRACE_BREAK|P2|旧宪章 §11（统一状态码+结构化诊断）、§12.3-9/-10、§8.1|ENGINEERING_SPEC §9：统一状态码 结构化日志走 JSONL 事件（schema 见 contracts/schemas）；ASTROCS_DESIGN §6.3：配置、事件与退出码合同统一|命令：grep -c "P1\.READ" cli/commands.cpp；输出：0（词表无任何产出者）；命令：grep -c "P3\." docs/architecture/ERROR_MODEL.md；输出：0（词表仍无 Phase3）；命令：grep -n "ev\.stage(" cli/commands.cpp；输出：1046:    ev.stage("phase2_session", true);（发射自由字符串 不在词表）|OPEN|OBS-001|无|词表今已被改版（旧 P1.STARS/P1.WCS/GENERIC 形态改为 P1.CALIBRATE/P1.STAR 等 见 ERROR_MODEL :10-13）但三事实不变：实现零产出零校验、缺 P3、:6 仍括注不存在的 DIAGNOSTICS_STANDARD（实为 LOGGING_DIAGNOSTICS_STANDARD.md）；stage 词表重建归 OBS-001/CLI-003
M6a-E-002|E_TRACE_BREAK|P2|旧宪章 §12.3-9（无悬空引用）、§12.2（注释须可核出处）、§14.2|ENGINEERING_SPEC §2：注释只写单位、数学原因、前后置条件等 不可解析的上游行号不满足「非显然决定须可核」；§8：无悬空引用|命令：grep -c "star_finder\.c:" lib/star_detector/src/sdet_api.cpp；输出：39；命令：git ls-files -- '*star_finder.c' '*PSF.c'；输出：（空 ⇒ 两文件均不在仓内）；命令：grep -c "PSF\.c:" lib/star_detector/src/sdet_api.cpp；输出：1（:2321 mag 公式锚）|OPEN|P1-001|无|39+1 计数与 finding 旧口径一致 两个上游 C 文件仍不存在（无 vendored 副本、无版本声明）；公式出处须下沉 docs/algorithms/STAR_DETECTION_ALGORITHMS.md 条款或显式外部化
M6b-E-005|E_TRACE_BREAK|P2|旧宪章 §12.3 总则（机器一致性检查须可执行且与实际一致）、§16.1（合同与生成物一致）|ENGINEERING_SPEC §8：ci/checks.json 是唯一检查注册表且检查器须与实际一致；ASTROCS_DESIGN §12：追踪无断链|命令：sed -n '30p' docs/traceability/TRACEABILITY_SPEC.md；输出：仓库矩阵把它展成 8 个**必填层**，同一行（同一模块）形成从科学定义到现场证据的（而层表 :33-43 列 9 行 SCI/ALG/DATA/API/ARCH/MOD/SRC/TEST/EVIDENCE LAYERS.csv 亦 9 数据行 实测 wc -l =10 含表头）；命令：ls -d schemas；输出：ls: 无法访问 'schemas': 没有那个文件或目录（SPEC:20、ci/checks.json:1121、tests/traceability/test_traceability_matrix.py:30 仍引根级路径）；命令：grep -c "rows=" tools/traceability/check_traceability_matrix.py；输出：0（checker:452 的 PASS 行无 SPEC:159 契约要求的 rows=）|OPEN|CI-001|无|四失实仍在：8 层 vs 9 行、schema 根级路径、PASS 缺 rows=、CI changed_paths 指不存在文件；唯一性互斥已半订正（:84-85 声明合同层 ID 可共享 但层表仍写全矩阵唯一）；旧注册表（今实测 147 项）与新 27 CHK 规范并轨本身归 CI-001
M6b-E-006|E_TRACE_BREAK|P2|旧宪章 §1.1（权威地位）、§18（supersession）、§12.2；协议 P0「引用已被 supersede 的口径」|ASTROCS_DESIGN §0：权威链为 ASTROCS_DESIGN>AGENTS>ENGINEERING_SPEC>CONTROL_PACK_SPEC>docs/ci>docs/plugins 与本文冲突以本文为准；ENGINEERING_SPEC §8：活动文档无历史状态冒充|命令：sed -n '6,7p' docs/traceability/TRACEABILITY_SPEC.md；输出：> 权威顺序与分层语义按控制包 16_SCIENCE_DOCUMENT_AND_TRACEABILITY_STANDARD.md / > 与仓库 AstroCS_ENGINEERING_CONSTRAINTS.md（源 doc_id DOC-GOV-CONSTRAINTS-001），；命令：git ls-files -- '*AstroCS_ENGINEERING_CONSTRAINTS.md' '*ASTROCS_PROJECT_CONSTITUTION.md'；输出：（空 ⇒ 两锚对象文件已整体出库 比 finding 时点更悬）；命令：grep -F -c '$F.2' docs/traceability/TRACEABILITY_SPEC.md；输出：0（$F.2 子项已随改版清除 不再计）|OPEN|GOV-001|与 GAP-019 重复|ACTIVE 合同仍把权威上游锚在已出库的控制包 16 号文与已删除的旧约束文件上；finding 的旧处方「改引宪章 §1.1」本身过期 应改引 ASTROCS_DESIGN §0
M6b-E-007|E_TRACE_BREAK|P2|旧宪章 §12.3-1（manifest/注册表/构建 target 一致）、§8.5、§14.2|ASTROCS_DESIGN §11.3：状态声明须与实存在位相符 未实现不得用文档声明冒充；ENGINEERING_SPEC §8：模块 manifest/注册表/构建 target 与产品清单一致|命令：git ls-files -- modules/services/io/；输出：仅 4 文件 include/astrocs/io/fits_stream_v1.h、hips_input_v1.h、tests/fits_core_selftest.c、tests/hips_core_selftest.c；命令：ls docs/interfaces/data/DATA-001_ARTIFACT_CONTRACT.md；输出：ls: 无法访问 'docs/interfaces/data/DATA-001_ARTIFACT_CONTRACT.md': 没有那个文件或目录|OPEN|MOD-001|无|IO_001 §3 清单（:26 骨架 README/module.yaml/CMake/占位入口、:29 io_module_api_v1.h）与树内实存仍 3/4 不符 且合同页标冻结；DATA-001 文档字段所指文件仍不存在（账本 verified_state=STILL 本轮再证）；modules/ 残体清退归 ARCH-001 线
M7-E-201|E_TRACE_BREAK|P2|旧宪章 §12.3-9（文档内引用存在性 当时无机器门）|docs/ci/01_CHECKS.md §2：CHK-DANGLING（P1 删除/重命名无悬空引用）；ENGINEERING_SPEC §8：检查器覆盖文档—代码一致性|命令：sed -n '66p' docs/science/ASTROMETRY.md；输出：与 lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp:13-16,153-164,274-420,530-576 及 ipv_select.cpp:723,712 一致。；命令：sed -n '154p' lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp；输出：    result.crval[0] = ra0;（:154/:276 均非所引 CRPIX 语义 Y-down 块实际在 :651 起 :542-544 为未取反正向 cd 赋值）；命令：grep -n "HP_CIRCUMRADIUS_FACTOR" lib/healpix_db/healpix_drizzle/spherical_overlap.cpp；输出：42:static const double HP_CIRCUMRADIUS_FACTOR = 1.25;（DRIZZLE.md:22/:65/:71 仍引 :40）|OPEN|DOC-001|无|五处「与实现一致」行号锚仍整段失效（另两站 ipv_solver.h:74 引 :542-570、DATA_SEMANTICS.md:774 引 :542-544 本轮均复核不中 后者为表格行含竖线故转述）；finding 表格内「实际位置」用词 build_fits_wcs_from_solution 系虚构符号（见 SA-N-02 行）不影响锚失效事实；应一律改 path::符号 形
