ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
L28e-E-004	E_TRACE_BREAK	P2	L28e	问题扫描/findings/E_TRACE_BREAK/p2/L28e.md	5	ALG-ANCHOR-001 标 ACTIVE_NORMATIVE 却是自指孤锚：全仓唯一宿主是它自己的声明行	3；同头并列的任务号 SCI-ANCHOR-001 的宿主 tests/quality/test_doc_line_anchors.py:3 与 :32、docs/algorithms/anchors/anchor_contract.json、docs/algorithms/anchors/check_doc_line_anchors.py；docs/contracts/INDEX.yaml（无该 ID 条目）	"docs/algorithms/anchors/ANCHOR_CONTRACT.md:3 → > ID: ALG-ANCHOR-001　任务: SCI-ANCHOR-001　状态: ACTIVE_NORMATIVE（文档锚合同） / tests/quality/test_doc_line_anchors.py:3 → """"""SCI-ANCHOR-001：ALG/SCI 文档源码行号锚复测器（docs/algorithms/anchors/…）"""""""	宪章 §12.3-3（算法实现引用有效 SCI/ALG）、§12.1（L1 权威分层）、§11；L28b R-2①（ID 须登记面可解析）与 R-6b（锚必须有宿主）	OPEN	
L28e-E-005	E_TRACE_BREAK	P2	L28e	问题扫描/findings/E_TRACE_BREAK/p2/L28e.md	19	SCI-ASTROMETRY-001 与 SCI-PHOTOMETRY-001 是 STAR_DETECTION.md 自造的全称别名，从未登记且真源零命中	32、:35、:61；正主 SCI-AST-001（docs/science/ASTROMETRY.md、docs/contracts/INDEX.yaml、真源 lib/gaia_xpsd_client/include/astrocs/gaia/types.h:35 的宏值、tests/unit/gaia_adapter_test.c:258 的断言）与 SCI-PHOT-001（docs/science/PHOTOMETRY.md:2 处、lib/phase1/tests/p1phot/p1phot_fixtures.hpp:81/:124 等 34 处真源命中）	docs/science/STAR_DETECTION.md:35 → - SCI-ASTROMETRY-001（ASTROMETRY）：像素中心=索引+0.5 约定 / docs/science/STAR_DETECTION.md:32 → - SCI-PHOTOMETRY-001（PHOTOMETRY）：正常星 mag=−2.5·log10(Σ_box(pixel−B_fit)) / docs/science/STAR_DETECTION.md:61 → 见 §2 SCI-ASTROMETRY-001）；容差 |Δc|≤0.3 px 同量纲比较。 / 对照 lib/gaia_xpsd_cl	宪章 §12.1（SCI 权威在 docs/science/ 的对应域文件）、§11 五元组、§12.3-3；E_TRACE_BREAK 类别定义「ID 未经定义即被引用」；L28b R-2①	OPEN	
M1a-E-004	E_TRACE_BREAK	P2	M1a	问题扫描/findings/E_TRACE_BREAK/p2/M1a_L01_L02.md	3	同一测试 ID 在 SCI 与 ALG 指向不同语义（TST-WCS-001 / TST-WCS-INV）	:§8 测试族表；docs/science/ASTROMETRY.md::§15 关联 ID 列	"（PLATESOLVE.md:89）… TST-WCS-001 **合成恢复**（<0.1""），TST-WCS-INV **极区保守** … / （ASTROMETRY.md:162）… TST-WCS-001 **Astropy 比对**、TST-WCS-INV-001 **往返** …"	宪章 §12.3-9（无断链）、§13.1；TEST-WCS-DESIGN-001	OPEN	
M2a-E-5	E_TRACE_BREAK	P2	M2a	问题扫描/findings/E_TRACE_BREAK/p2/M2a_L04_L10.md	5	DATA-002 合同的「负测映射」列出三个树内不存在的测试函数名	:负测映射表；tests/artifact/test_phase_product_exchange.py（实际用例组织形态）；tests/pipeline/test_phase_lifecycle.py::test_missing_hash_rejected	（DATA-002 负测映射表）| D4b 缺 content_hash | **test_missing_hash_rejected** | ／ | D5 禁止按 name 猜 type | **test_no_implicit_name_binding** | ／ | 缺必填 / （tests/artifact/test_phase_product_exchange.py 头部注释）D5 → test_no_implicit_name_binding；缺字段逐必填 → test_missing_required_each —— 注释与文档同名，但 grep	宪章 §12.3-4（核心合同至少存在一个可定位的独立测试）、§17.2（追溯无断链）	OPEN	
M5b-E-06	E_TRACE_BREAK	P2	M5b	问题扫描/findings/E_TRACE_BREAK/p2/M5b_L12_L17.md	3	ERROR_MODEL 规定的阶段 ID 词表在实现中无任何产出、缺 Phase3，并引用不存在的标准文件	:阶段 ID 词表`（现 :10-13，`P1.READ/P1.STARS/P1.WCS/P1.PHOT/P1.NOISE/P1.PHOTCAL/P2.SAMPLER/P2.UPM/P2.REJECT/P2.INTEG/P2.WRITE/GENERIC`）；`::标准引用`（现 :6，`docs/standards/DIAGNOSTICS_STANDARD.md`）；`cli/commands.cpp::ev.stage(...)`（现 :203、:297、:1045 等）；`cli/jsonl.h::stage 发射`	P1.READ P1.STARS P1.WCS P1.PHOT P1.NOISE P1.PHOTCAL / P2.SAMPLER P2.UPM P2.REJECT P2.INTEG P2.WRITE GENERIC / diagnostics 归 DIAGNOSTICS_STANDARD	宪章 §11（统一状态码 + 结构化诊断）、§12.3-9/-10、§8.1	OPEN	
M6a-E-002	E_TRACE_BREAK	P2	M6a	问题扫描/findings/E_TRACE_BREAK/p2/M6a_L13_L14.md	3	权威星点检测实现把上游 C 源文件行锚当公式出处：sdet_api.cpp 内 39 处 `star_finder.c:NNN` + 1 处 `PSF.c:NNN`，两个文件在仓内均不存在（来源 L13-017 的锚点残余）	195 `// 圆度, 1.0]（star_finder.c:105-108)`、:2283 `// mag, star_finder.c:638-655)`、:1572 区段、:2285/:2305 等；grep `star_finder\.c:` 本代理复算 = 39 处，全部落在该单文件；`PSF.c:` 1 处 :2305 区段）；对照 `lib/star_detector/src/sdet_detector.cpp:53`（描述已删代码的历史注释）	（:195）// 圆度, 1.0] (star_finder.c:105-108) / （:2285）// mag = -2.5*log10(Σ_box(pixel - B)), B=PSF拟合背景 FIT(0) (PSF.c:724,653)	宪章 §12.3-9（无悬空引用）、§12.2（注释须给出可核的数学原因/出处）、§14.2（唯一权威实现面）；`docs/algorithms/STAR_DETECTION_ALGORITHMS.md`（现行公式权威位）	OPEN	
M6b-E-005	E_TRACE_BREAK	P2	M6b	问题扫描/findings/E_TRACE_BREAK/p2/M6b_L16_L18.md	7	追溯合同自身与实现不符：8 层 vs 9 行、唯一性声明互斥、schema 路径不存在、PASS 输出契约缺 rows=、CI changed_paths 指向不存在文件	:§1/§2/§3/§7`（现 :20、:30、:33-43、:86、:129-139、:159）、`docs/traceability/TRACEABILITY_LAYERS.csv::全表`、`contracts/schemas/traceability_matrix.schema.json`、`tools/traceability/check_traceability_matrix.py::{SCHEMA_REL,main 输出}`（现 :44、:452）、`tests/traceability/test_traceability_matrix.py::RELS`（现 :28-31）、`ci/checks.json::TRACEABILITY-MATRIX/changed_paths`（现 :1120-1124）、`CHANGELOG.md`（现 :40）、`docs/algorit	（SPEC:30 vs :33-43）仓库矩阵把它展成 8 个**必填层** —— 而下表列 SCI/ALG/DATA/API/ARCH/MOD/SRC/TEST/EVIDENCE 共 9 行 / （SPEC §2 vs :86）| 数据合同 | DATA | data_id | 全矩阵唯一 | … 与 §3「本矩阵对共享引用只登记不判重」互斥（:86 例：`API-P2-001` 被 8 个 phase2 模块共同承载） / （SPEC:20）- `schemas/traceability_matrix.schema.json`（JSON 合同）  ← 实测根 `schemas/` 不存在 	宪章 §12.3 总则（机器一致性检查须可执行且与实际一致）、§16.1（合同与生成物一致）。	OPEN	
M6b-E-006	E_TRACE_BREAK	P2	M6b	问题扫描/findings/E_TRACE_BREAK/p2/M6b_L16_L18.md	31	控制面合同把权威层级锚在被废止控制包文档与已 supersede 的约束文件上，并引用不存在的 `$F.2`	:文首权威声明 + §5`（现 :6-8、:135-136）、`AstroCS_ENGINEERING_CONSTRAINTS.md::（supersession 状态）`、`ASTROCS_PROJECT_CONSTITUTION.md::§1.1/§18`	（SPEC:6-8）> 权威顺序与分层语义按控制包 `16_SCIENCE_DOCUMENT_AND_TRACEABILITY_STANDARD.md` 与仓库 `AstroCS_ENGINEERING_CONSTRAINTS.md`（源 doc_id DOC-GOV-CONST / （SPEC:135-136）权威顺序按 DOC-GOV-CONSTRAINTS-001 $F.2（SCI>ALG>DATA/ARCH/API>README/源码），本合同不改语义层级，只做机器表达。	该文件降级为历史参照，冲突以宪章为准）、§12.2（L1 定义）；协议 P0「引用已被 supersede 的口径」（同型于 L17-008）。	OPEN	
M6b-E-007	E_TRACE_BREAK	P2	M6b	问题扫描/findings/E_TRACE_BREAK/p2/M6b_L16_L18.md	50	合同文件清单与树内实存不符：IO-001 冻结合同宣称的 `modules/services/io/` 骨架 4 项中 3 项不存在	:§3 内容/路径表`（现 :24-32）、`docs/contracts/INDEX.yaml::DATA-001 条目`、`docs/owner/RELEASE_STATUS.md::（fits_stream_v1 行）`（现 :79）、对照 `modules/services/io/**`	（IO_001:27）| io 服务模块骨架（README/module.yaml/CMake/占位入口） | `modules/services/io/` | / （IO_001:30）| 模块公开 ABI 占位（module query 入口） | `modules/services/io/include/astrocs/io/io_module_api_v1.h` | / （对照 INDEX）data_id: DATA-001 … doc: `docs/interfaces/data/DATA-001_ARTIFACT_CONTRACT.md`	宪章 §12.3-1（manifest/注册表/构建 target 一致）、§8.5（基建构建单元）、§14.2。	OPEN	STILL
M7-E-201	E_TRACE_BREAK	P2	M7	问题扫描/findings/E_TRACE_BREAK/p2/M7_E_TRACE_BREAK_p2.md	5	SCI/合同/注释三处「与实现一致」声明所引代码行锚整段漂移（本代理读码亲证）				OPEN	
