dataset,star_id,mode,flux_ADU,var_ADU2,snr,fwhm_px,sum_w_adu-2,sum_q_adu-1,note
Galaxy_Center,S000,equal,277370,14145.1,2332.15,2.25175,0.000479881,131.259,DOCUMENTED_BASELINE unit_weight: I=mean_k d_k (vocab equal)
Galaxy_Center,S000,exposure,277370,14145.1,2332.15,2.25175,0.000479881,131.259,DOCUMENTED_BASELINE exposure_time_weight: alpha=t_k/Sum t
Galaxy_Center,S000,ivar,271763,13450.8,2343.24,2.27152,0.000479881,131.259,DOCUMENTED_BASELINE pixel_ivar: alpha=(1/v_k)/Sum(1/v_j), v_k=Sum_p sigma2
Galaxy_Center,S000,w_info,273523,2083.85,5991.85,2.2617,0.000479881,131.259,PRODUCTION point_information: Q/W, F=SumQ/SumW, Var=1/SumW, alpha=W/SumW
Galaxy_Center,S000,psfsw,281025,1.24161e+06,252.205,2.22893,0.000479881,131.259,PRODUCTION psfsw_robust: dimensionless W_psfsw (group median=1); alpha=W/SumW; C_out=R C_in R^T
Galaxy_Center,S001,equal,250579,16229.3,1966.95,2.13041,0.000577973,140.093,DOCUMENTED_BASELINE unit_weight: I=mean_k d_k (vocab equal)
Galaxy_Center,S001,exposure,250579,16229.3,1966.95,2.13041,0.000577973,140.093,DOCUMENTED_BASELINE exposure_time_weight: alpha=t_k/Sum t
Galaxy_Center,S001,ivar,241561,14800.4,1985.59,2.11518,0.000577973,140.093,DOCUMENTED_BASELINE pixel_ivar: alpha=(1/v_k)/Sum(1/v_j), v_k=Sum_p sigma2
Galaxy_Center,S001,w_info,242387,1730.18,5827.25,2.10279,0.000577973,140.093,PRODUCTION point_information: Q/W, F=SumQ/SumW, Var=1/SumW, alpha=W/SumW
Galaxy_Center,S001,psfsw,253841,1.41316e+06,213.533,2.14322,0.000577973,140.093,PRODUCTION psfsw_robust: dimensionless W_psfsw (group median=1); alpha=W/SumW; C_out=R C_in R^T
Galaxy_Center,S002,equal,267782,10812.7,2575.22,2.18909,0.000624729,165.52,DOCUMENTED_BASELINE unit_weight: I=mean_k d_k (vocab equal)
Galaxy_Center,S002,exposure,267782,10812.7,2575.22,2.18909,0.000624729,165.52,DOCUMENTED_BASELINE exposure_time_weight: alpha=t_k/Sum t
Galaxy_Center,S002,ivar,264159,9711.58,2680.53,2.2465,0.000624729,165.52,DOCUMENTED_BASELINE pixel_ivar: alpha=(1/v_k)/Sum(1/v_j), v_k=Sum_p sigma2
Galaxy_Center,S002,w_info,264946,1600.69,6622.22,2.2321,0.000624729,165.52,PRODUCTION point_information: Q/W, F=SumQ/SumW, Var=1/SumW, alpha=W/SumW
Galaxy_Center,S002,psfsw,270601,928722,280.793,2.19688,0.000624729,165.52,PRODUCTION psfsw_robust: dimensionless W_psfsw (group median=1); alpha=W/SumW; C_out=R C_in R^T
