ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
FD-I-001|I_DOC_HYGIENE|P1|旧宪章 §16.2（发布清单=交付单元唯一事实源）、§8.3、§12.3-10；根 AGENTS.md『目录规范（强制）』|ASTROCS_DESIGN.md §10.1：产品=唯一 exe+各 dll+schemas+manifest，交付面以 target 源列表与 install 规则为唯一判据；CONTROL_PACK_SPEC.md §3.3：现状须可复核|命令：python3 解析 packaging/astrocs.product.json；grep -rn providers/ --include=CMakeLists.txt --include=*.cmake CMakeLists.txt cmake/；ls -1 providers/cpu/*/*；输出：unit PROV-CPU-BASELINE kind=provider rel_path=providers/astrocs_cpu_baseline.so status=IMPLEMENTED；CMake 非注释命中 providers/ = 0（仅 :125/:219/:232 注释行）；CMakeLists.txt:220-236 add_library(astrocs_cpu_baseline SHARED lib/backend_host/baseline_backend.cpp) + OUTPUT_NAME astrocs_cpu_baseline PREFIX ""；providers/cpu 下 9 文件不进任何 target|OPEN|INT-001|无|providers/cpu/{baseline,avx2,avx512} 源不进任何 target，而 product.json 的 rel_path 形如 providers/*.so；contracts/ 与 docs/contracts/ 内 providers/ 0 命中，一名两指仍无登记
M3-I-001|I_DOC_HYGIENE|P1|旧宪章 §12.3-10（活动文档不得以历史状态冒充当前状态，历史只准 docs/archive/）、§12.3-1、§11、§16.2|ENGINEERING_SPEC.md §7：根固定条目白名单 + lib/algorithms 与 lib/infrastructure 二分；ASTROCS_DESIGN.md §0：以最高设计为准，文档陈述须与树一致|命令：grep -n 尚未存在生产符号 docs/algorithms/COSMETIC_ALGORITHMS.md；grep -n 仅合同文件 lib/cosmetic/README.md；grep -n add_subdirectory(lib/cosmetic) CMakeLists.txt；grep -n dark_optimizer cli/CMakeLists.txt；grep -n 未防护 lib/calibration/README.md；输出：COSMETIC_ALGORITHMS.md:9『（落码由 P1-COS-IMPL 执行，尚未存在生产符号）』；lib/cosmetic/README.md:10『当前本目录仅合同文件、无源码』；CMakeLists.txt:199 add_subdirectory(lib/cosmetic)；cli/CMakeLists.txt:180 CAL_SRCS 含 dark_optimizer.cpp；lib/calibration/README.md:153『generate_master_flat 负 median 未防护』|OPEN|DOC-001|无|六处现状断言仍在位且被当前树反证：lib/cosmetic 有 src/module_entry.cpp+CMakeLists+tests/p1cos（根 :199 已 add_subdirectory）；dark_optimizer.cpp 在 cli CAL_SRCS；tests/unit/CMakeLists.txt:776 add_test(NAME cal_photometry_apply)；master_generator.cpp:276-279 已有 final_med<0 返回 AC_ERR_PARAM 且有专测 test_negative_median_rejected_f32/f64
M3-I-002|I_DOC_HYGIENE|P1|旧宪章 §12.3-1/-2（同一 ABI 面的声明口径须唯一）、§11、§10.4（不得有模块私有线程预算）|ASTROCS_DESIGN.md §6.1/§6.2（唯一可执行入口与唯一命令树）+ §11.1；docs/contracts/PUBLIC_API.md 为 C ABI 现状登记落点|命令：find . -name PHASE1_API*.md；grep -rn ac_set_num_threads docs/ lib/ tests/；grep -n ac_set_num_threads docs/contracts/PUBLIC_API.md；输出：docs/api/PHASE1_API_V1.md:27『｜ ac_set_num_threads(int)(同上) ｜ yes ｜ yes ｜ — ｜ — ｜ TB-ARCH-004(checker 管控; V5 迁移整改点: 由 p1 budget 注入取代, ABI-001 收编) ｜』；PUBLIC_API.md:120『**例外**：ac_set_num_threads 进程级改写 OpenMP ICV，并发调用竞态…（DISP-CAL-002，迁移后由 host ThreadLease 取代，新代码禁止调用）』；PUBLIC_API.md:107-112 计入 12 科学+2 工具导出；astro_calibration.h:158 在位|RESOLVED|CLI-001|无|旧锚 docs/science/PHASE1_API.md 整文件已不存在（现为 docs/api/PHASE1_API_V1.md），且新合同页 + PUBLIC_API.md 例外条 + DISP-CAL-002 已显式登记该符号的约束归属与替代路径；原『无替代权威、不在任何偏差登记』不再成立
M5a-I-001|I_DOC_HYGIENE|P1|旧宪章 §12.3-1/-3（文档↔算法↔实现一致、算法实现引用有效 SCI/ALG）、§1.1 权威分层（SCI > ALG）；SCI-ACR-EQUIV-001|docs/science 为公式权威、docs/algorithms 为推导权威（权威链）；ASTROCS_DESIGN.md §7.1：ACR DORMANT（保留源码不进生产构建/加载/发布）|命令：find . -name ACR_EQUIVALENCE.md；读两文件；grep -n ACR ASTROCS_DESIGN.md；输出：docs/science/ACR_EQUIVALENCE.md:3『状态: FROZEN (T109 冻结)』正文『legacy launcher: per-pixel rejection+integrate逐位等价』；docs/algorithms/ACR_EQUIVALENCE.md:3『状态: DERIVED』F4『容差: float32 max_abs ≤1e-6, float64 ≤1e-12；support/rejection exact』；ASTROCS_DESIGN.md:68『ACR/GPU/CPU+GPU 混合生产路由（ACR 仅保留源码，DORMANT）』|UNVERIFIABLE|FINAL-001|无|两文件均在位且字面仍互斥，但 SCI 的『逐位等价』指 rejection+integrate 语义级等价、ALG 的 1e-6/1e-12 指分块数值容差，是否构成契约冲突取决于目标平台数值等价判据；缺负责人对 SCI-ACR-EQUIV-001 与 ALG-ACR-EQUIV-001 F4 容差层级关系的裁决及真实数据对拍口径，故不强判
M5b-I-01|I_DOC_HYGIENE|P1|旧宪章 §15.4（一份事实一个权威落点）、§16.2、§12.3-1/-10、§1.1；AGENTS.md 目录规范|ASTROCS_DESIGN.md §12（发布候选清单与状态口径）+ §11.3（状态阶梯唯一口径）；docs/owner/RELEASE_STATUS.md §0（状态词唯一口径）|命令：grep -n RELEASE_STATUS docs/DOCUMENT_INDEX.yaml；cat docs/RELEASE_STATUS.md；sed -n 1,12p docs/owner/RELEASE_STATUS.md；输出：DOCUMENT_INDEX.yaml:66-67『path: docs/RELEASE_STATUS.md / status: ACTIVE_INFORMATIVE』（无历史标注）；docs/RELEASE_STATUS.md:5-6『PRE_RELEASE_ENGINEERING_FOUNDATION=PASS / FINAL_REAL_DATA_VALIDATION=PENDING』（自述 V19R8 轮次，证据指 reports/v19r2/）；owner 版 :339-341 ACTIVE_NORMATIVE 且 §0 明令『历史口径 PASS…自 DOC-CONV-001 起由本表取代』|OPEN|DOC-001|与 GAP-001 重复|同一路径仍被登记为 ACTIVE_INFORMATIVE 且正文继续以 PASS/PENDING 作现状陈述，与 owner 版 §0 的九级状态词口径并存；docs/RELEASE_AUDIT_2026-09-05.md 已删除（旧阈值引用面消失），主冲突未消
M5b-I-02|I_DOC_HYGIENE|P1|旧宪章 §12.3-10（禁止 stale 版本或完成状态）、§1.1、§14.3|ASTROCS_DESIGN.md §12（未实现/未验收必须明确报告）+ §11.3 状态阶梯；docs/owner/RELEASE_STATUS.md §0|命令：grep -n 当前状态 README.md；grep -c 已实现并通过 ctest README.md；grep -c hidden whole-phase README.md；sed -n 55,90p README.md；输出：README.md:55『## 当前状态（如实，详见 docs/owner/ 与 reports/v6/release-review/）』；:75『遗留 astrocs run --phases 1,2,3 进程内连跑**已删除**（实测 rc=2，宪章 §3.2）』；『已实现并通过 ctest』0 命中、『hidden whole-phase』0 命中|RESOLVED|DOC-001|无|README『当前状态』段已整体重写为 NOT_READY 口径，原被点名两处历史断言（run --phases 已实现并通过 ctest、§F.1 尚未达成 hidden whole-phase session）当前树 0 命中；顶层 README 现状与 owner 版一致
M5b-I-03|I_DOC_HYGIENE|P1|旧宪章 §1.1、§12.3-1/-10、§15.4|ASTROCS_DESIGN.md §0（冲突以最高设计为准、Agent 无权重新解释）+ §11.3（状态阶梯唯一口径）；docs/owner/RELEASE_STATUS.md §0|命令：sed -n 74,84p docs/owner/SCIENCE_OVERVIEW.md；grep -n Windows docs/owner/ARCHITECTURE_OVERVIEW.md；sed -n 50,52p docs/owner/RELEASE_STATUS.md；输出：SCIENCE_OVERVIEW.md:81 与 :82 两行同为『｜ 真实数据（BASS/32R）验证 ｜ NOT_VERIFIED … ｜』（同表同模块两行、verdict 同义）；:74-80 状态列混用裸 PASS 与反引号 IMPLEMENTED；ARCHITECTURE_OVERVIEW.md:35 Windows 侧复验 NOT_VERIFIED（与 owner 版 :50-52 一致）|OPEN|DOC-001|无|L0 表内重复行与状态词混用仍在位（§15.4 一份事实一个权威落点不成立）；其依据栏仍以 docs/RELEASE_STATUS.md 的 FINAL_REAL_DATA_VALIDATION=PENDING 为源（同类冲突见 M5b-I-01）
M6a-I-001|I_DOC_HYGIENE|P1|旧宪章 §16.2（状态/自述与实际一致）、§12.3-5（追溯链与锚点一致）、§17.2（VERIFIED 须仓内可核）；docs/standards/DOCUMENTATION_STANDARD.md|ASTROCS_DESIGN.md §11.3（状态阶梯：CONTRACT_READY=文档合同终态、IMPLEMENTED 须当前提交实测 rc=0）+ §12|命令：wc -l 七份被测文件；sed -n 8,13p lib/phase2/README.md；sed -n 51,63p docs/algorithms/PHASE3_RSMP_IMPL.md；sed -n 9,14p docs/algorithms/PHASE3_PROJ_IMPL.md；grep -n P3_WCS_UNSUPPORTED lib/phase3_session/p3_wcs.cpp；输出：coverage.cpp=454（文档称 239）、coverage.h=168（称 59）、p3_resample.h=150（称 58）、p3_resample.cpp=519（称 239）、p3_session.cpp=441（称 343）、p3_wcs.h=63（称 50）、p3_wcs.cpp=230（称 165）；p3_wcs.cpp:110『out->projection = TAN; // 已在入口校验; descriptor 携带已校验投影(非硬编码路径)』，:66/:72 return P3_WCS_UNSUPPORTED|OPEN|P3-002|无|7 处『实测 N 行』自述全部小于当前实测值；phase3_proj 的 README:93-97 与 memory.md:100-102 仍写『projection 字段硬编码 TAN』『P3_WCS_UNSUPPORTED 枚举现无产生点』，而代码两处显式产生该状态码并自述非硬编码路径
M6a-I-002|I_DOC_HYGIENE|P1|旧宪章 §11（半成品禁发布、验证结论须有证据）、§16.2、§12.3-5；DATA-P3 §27.2（字段语义即合同）|ENGINEERING_SPEC.md §3（公式/权重/精度/容差不可改）+ §5.1（不调用生产实现的独立 Oracle）；docs/design/UNIFIED_MODEL.md §1|命令：grep -n coverage_ok lib/phase3_session/p3_output.cpp p3_output.h tests/ docs/algorithms/PHASE3_FITS_IMPL.md docs/contracts/DATA_SEMANTICS.md；输出：p3_output.cpp:374『result->coverage_ok = 1;』（写路径无条件常量）、:538『result->coverage_ok = covok;』（verify 真值）；p3_output.h:33『int coverage_ok; // 1=coverage 头/数据一致』；tests/unit/p3_output_test.cpp:75、tests/unit/p3_assembly_test.cpp:121、tests/backend/test_p3_output.py:160、tests/backend/p3_output_probe_main.cpp:78 均对写路径断言 ==1；PHASE3_FITS_IMPL.md:142『coverage_ok=1』|OPEN|P3-002|无|写路径常量与 verify 路径真值双语义仍并存，三处自测仍对写路径恒真断言；ALG §4 伪代码仍把常量当规格写死
M6a-I-003|I_DOC_HYGIENE|P1|旧宪章 §17（VERIFIED/PASS 须仓内可核证据）、§16.2（状态声明与实际一致）、§12.3-12；AGENTS.md『所有外部命令带 timeout 并保存日志』|ENGINEERING_SPEC.md §5（测试与验证）+ §8（检查器覆盖：能红能绿、无悬空引用）；docs/ci/01_CHECKS.md §2/§3（CHK-* 注册与门禁分级）|命令：python3 -m unittest discover -s tests/abi -t tests/abi --verbose；grep -n unittest tests/abi/test_secure_loader.py；python3 解析 ci/checks.json 的 UT-ABI；输出：test_secure_loader.py:509『class TestSecureLoaderAcceptance(unittest.TestCase):』、:513『def test_acceptance_script_passes(self):』（docstring 自述 M8-F-001 原为 main() 直跑、discover 采集 0 用例）；discover 实跑末行『results: 0 FAIL / 36 PASS (total 36 checks)』；UT-ABI 命令仍为 unittest discover -s tests/abi|RESOLVED|CI-001|无|被点名脚本已包装为 unittest TestCase，UT-ABI 门实测采集并执行 36 checks（0 FAIL）；原『CI 面收集不到用例、36/36 PASS 无执行落点』不再成立
