"引用件","链路归属","存在性","关联性","版本","建议引用形态(作者年 编号 全字段)","判定","取证途径"
"DOI 10.1080/03610927708827533","③加性天光(UPM/plate-solve 稳健求解)","确认","IRLS 实现归属成立；'效率表见§2' 未读到正文(T&F 付费墙、S2 摘要被抹)","确认(6(9),813-827,1977)","Holland & Welsch 1977, Comm. Statist. Theory Methods 6(9), 813-827, DOI 10.1080/03610927708827533 — 只作 IRLS 出处；1.345/95% 挂 Huber 1964 DOI 10.1214/aoms/1177703732；删 §2","UNPROVEN","api.crossref.org/works/10.1080/03610927708827533；api.semanticscholar.org/graph/v1/paper/DOI:...(无开放PDF)"
"DOI 10.1088/0067-0049/220/1/1","②绝对SNR","确认","成立：sky/σ 只用未检像元(原文 'Let Sa and σs be the average and standard deviation of the count in Rs')；'占比足够' 措辞与 '§B.1' 节号未证","确认(ApJS 220,1,2015 + arXiv:1505.01664)","Akhlaghi & Ichikawa 2015, ApJS 220, 1, DOI 10.1088/0067-0049/220/1/1 (arXiv:1505.01664) — 限定为检测/分割语境的局部噪声场","确认","api.crossref.org/works/10.1088/0067-0049/220/1/1；ar5iv.labs.arxiv.org/html/1505.01664(截断至§4.2.1)"
"DOI 10.1080/00401706.1983.10487848","③无缝叠加排异(兼②)","确认(25(2),165-172,1983)","成立：多离群 ESD 判据即该文标题内容；未伪托节号","确认(无预印本)","Rosner 1983, Technometrics 25(2), 165-172, DOI 10.1080/00401706.1983.10487848；临界值表与可执行实现分列 NIST e-Handbook §7.1.6","确认","api.crossref.org/works/10.1080/00401706.1983.10487848(首次 429，重试成功)"
"DOI 10.1086/675080","③加性天光/叠加","确认(PASP 126,158-169,2014)","主题格'背景建模对弱透镜/测光的影响'不成立(该文不做背景建模)；clipped-mean 叠加用途成立","确认","Gruen, Seitz & Bernstein 2014, PASP 126, 158-169, DOI 10.1086/675080 (arXiv:1401.4169) — 用途='clipped-mean 叠加保 PSF 线性性+噪声优于 median'；README.md:327 主题格作废","关联不成立","api.crossref.org/works/10.1086/675080；export.arxiv.org/api/query?id_list=1401.4169；ar5iv 摘要逐字"
"DOI:10.1111/j.1365-2966.2005.08844.x","③加性天光","确认(MNRAS 358,1083-1099,2005)","成立但域不同：SDSS 纤维光谱 OH 残线，非成像天光","确认(v1+期刊版)","Wild & Hewett 2005, MNRAS 358, 1083-1099, DOI 10.1111/j.1365-2966.2005.08844.x (arXiv:astro-ph/0501460) — 必须标'纤维光谱'域","确认","export.arxiv.org/api/query?id_list=astro-ph/0501460(journal-ref 含卷页)"
"DOI:10.1137/1.9781611970128","③加性天光(薄板样条表示)，兼②","确认(SIAM monograph 1990, ISBN 9780898712445/9781611970128)","书级主题成立；§1.1/§2.4/§3.2 节号未证(SIAM 反爬，无开放目录)","确认(1990 单版)","Wahba 1990, Spline Models for Observational Data, SIAM (ISBN 0-89871-244-0; DOI 10.1137/1.9781611970128) — 删去节号 pinpoint","UNPROVEN","api.crossref.org/works/10.1137/1.9781611970128"
"DOI 10.1017/S0252921100007685","②绝对SNR(仪器通量定义)","确认(IAU Colloquium 136, 291-303, 1993)","题名层成立+'证伪 Stetson 1992/ASPCS25'成立；'ALLSTAR 实现范式' 未读到正文","确认(无预印本)","Stetson 1993, IAU Colloquium 136, 291-303, DOI 10.1017/S0252921100007685 — ALLSTAR 改挂 Stetson 2000 PASP 112,925 或手册","确认","api.crossref.org/works/10.1017/S0252921100007685；doi.org→cambridge.org 落地页(无摘要)"
"DOI 10.1051/0004-6361/202039657","①测光校准","确认(A&A 649,A1,2021)","成立(EDR3 总览；仓内未挂数值)","注意勘误链：arXiv journal-ref 写 A&A 650,C3；须引 649 A1 + 勘误","Gaia Collaboration (Brown et al.) 2021, A&A 649, A1, DOI 10.1051/0004-6361/202039657 (+勘误 A&A 650, C3)","确认","api.crossref.org/works/10.1051/0004-6361/202039657"
"DOI 10.1051/0004-6361/202243680","①测光校准(兼②survey)","确认(A&A 674,A2,2023)","成立：仓内逐字题名与 Crossref 完全一致；用途=BP/RP 单位与质量标志","确认","De Angeli, Weiler, Montegriffo, et al. 2023, A&A 674, A2, DOI 10.1051/0004-6361/202243680 (arXiv:2206.06143)","确认","api.crossref.org/works/10.1051/0004-6361/202243680"
"DOI 10.3847/1538-3881/ab94b4","①测光校准(HST/CALSPEC 侧)","确认(AJ 160,21,2020)","HST/STIS 通量刻度侧成立；'HST 通量标准'括注与 Gaia XP 并列易误读","确认；但仓内 'AJ 159,246' 形态在他处(GAIA_QUERY.md:286/PHOTOMETRIC_FIT.md:305) 未命中任何 Bohlin 记录","Bohlin, Hubeny & Rauch 2020, AJ 160, 21, DOI 10.3847/1538-3881/ab94b4；'AJ 159, 246' 作废；HST 定标本体另引 Bohlin 2019 AJ 158,211(DOI 未回读)","确认","api.crossref.org/works/10.3847/1538-3881/ab94b4；api.crossref.org/works?query.author=Bohlin(2019-06..2021-06 仅 AJ 158,211 与 160,21)"
"DOI:10.1051/0004-6361/200912446","③加性天光(兼①平场残差)","确认(A&A 506,999-1042,2009)","成立(§3 平场、§4.2 SExtractor 背景图，原文已读)","确认","Regnault et al. 2009, A&A 506, 999-1042, DOI 10.1051/0004-6361/200912446 (arXiv:0908.3808)","确认","api.crossref.org/works/10.1051/0004-6361/200912446；ar5iv.labs.arxiv.org/html/0908.3808"
"DOI:10.1093/mnras/stw474","③加性天光","确认(MNRAS 458,3210-3220,2016)","成立但域=IFS 3D 光谱天光减除","确认(arXiv 题名=期刊题名，无改名)","Soto, Lilly, Bacon, Richard & Conseil 2016, MNRAS 458, 3210-3220, DOI 10.1093/mnras/stw474 (arXiv:1602.08037)","确认","api.crossref.org/works/10.1093/mnras/stw474；export.arxiv.org/api/query?id_list=1602.08037"
"arXiv:1003.5613","②绝对SNR(VST 低计数边界)","确认(arXiv 与 A&A 517,A26 2010 同文)","§3.1.1 逐字成立；'§3.2.1/Anscombe doesn\'t work' 逐字不实(原文在 §4.4 且措辞不同)","版本不符：应引同行评审版 A&A 517, A26 (2010)","Schmitt, Starck, Casandjian, Fadili & Grenier 2010, A&A 517, A26, DOI 10.1051/0004-6361/200913822 (arXiv:1003.5613) — 只用 §3.1.1 逐字，§4.4 改间接引语","版本不符","export.arxiv.org/api/query?id_list=1003.5613；api.crossref.org/works/10.1051/0004-6361/200913822；ar5iv.labs.arxiv.org/html/1003.5613"
"arXiv:1005.4454","③加性/乘性两旋钮(兼②)","确认(arXiv + IJCSCE 4(2):73, 2009)","摘要引文逐字成立；'背景改正与通量守恒分离' 属正文级，未证(ar5iv 无渲染)","版本不符：仓内记 2010，正式出版为 2009","Jacob et al. 2009, Int. J. Comput. Sci. Eng. 4(2), 73, DOI 10.1504/ijcse.2009.026999 (arXiv:1005.4454) — 只支撑'光度/天测守恒'；两旋钮分离改挂 SWarp 文档","版本不符","export.arxiv.org/api/query?id_list=1005.4454(摘要全文)；api.crossref.org/works?query.bibliographic=Jacob Montage"
