task_id,gate,depends_on,scope,required_commit,required_push,checkpoint,status
C0-001,C0,,V4 control package authoring and self-validation,yes,yes,C0,PASS
C0-002,C0,C0-001,repo identity and origin/main freeze,yes,yes,C0,PASS
C0-003,C0,C0-002,toolchain and host inventory,yes,yes,C0,PASS
C0-004,C0,C0-002,V3 evidence carry-over registration,yes,yes,C0,PASS
C0-005,C0,C0-001,baseline ledger initialization check,yes,yes,C0,PASS
C1-001,C1,C0-005,machine checker: build_graph + config_contracts,yes,yes,C1,NOT_STARTED
C1-002,C1,C0-005,machine checker: api_contracts + traceability,yes,yes,C1,NOT_STARTED
C1-003,C1,C0-005,machine checker: doc_symbols + comments,yes,yes,C1,NOT_STARTED
C1-004,C1,C0-005,machine checker: execution_contracts + science_units,yes,yes,C1,NOT_STARTED
C1-005,C1,C0-005,machine checker: forbidden_patterns + test_contracts,yes,yes,C1,NOT_STARTED
C1-006,C1,C1-001,hardcode scan: cores/workers/blocksize/AVX,yes,yes,C1,NOT_STARTED
C1-007,C1,C0-004,race-debt registry from TSan evidence,yes,yes,C1,NOT_STARTED
C1-008,C1,C1-006,static analysis checkpoint snapshot,yes,yes,C1,NOT_STARTED
C2-001,C2,C1-008,Phase3 SCI: reprojection scientific definition,yes,yes,C2,NOT_STARTED
C2-002,C2,C2-001,Phase3 SCI: tile-to-plane coverage semantics,yes,yes,C2,NOT_STARTED
C2-003,C2,C2-001,Phase3 SCI: resampling kernel and flux semantics,yes,yes,C2,NOT_STARTED
C2-004,C2,C2-001,Phase3 SCI: NaN/out-of-footprint semantics,yes,yes,C2,NOT_STARTED
C2-005,C2,C2-001,Phase3 SCI: precision contract fp32/fp64,yes,yes,C2,NOT_STARTED
C2-006,C2,C1-008,Phase1 SCI re-freeze on current main,yes,yes,C2,NOT_STARTED
C2-007,C2,C1-008,Phase2 SCI re-freeze on current main,yes,yes,C2,NOT_STARTED
C2-008,C2,C2-005,SCI checkpoint snapshot,yes,yes,C2,NOT_STARTED
C3-001,C3,C2-008,Phase3 ALG: HEALPix nested tile geometry derivation,yes,yes,C3,NOT_STARTED
C3-002,C3,C3-001,Phase3 ALG: target WCS grid derivation,yes,yes,C3,NOT_STARTED
C3-003,C3,C3-002,Phase3 ALG: sky-to-plane pixel mapping derivation,yes,yes,C3,NOT_STARTED
C3-004,C3,C3-003,Phase3 ALG: interpolation and coverage algorithm,yes,yes,C3,NOT_STARTED
C3-005,C3,C3-004,Phase3 ALG: boundary and NaN algorithm,yes,yes,C3,NOT_STARTED
C3-006,C3,C3-005,backend selection algorithm (profile→kernel map),yes,yes,C3,NOT_STARTED
C3-007,C3,C3-006,dynamic threading algorithm from CPU affinity,yes,yes,C3,NOT_STARTED
C3-008,C3,C3-007,per-kernel benchmark algorithm,yes,yes,C3,NOT_STARTED
C3-009,C3,C3-008,resource monitor and gate algorithms,yes,yes,C3,NOT_STARTED
C3-010,C3,C3-009,ALG checkpoint snapshot,yes,yes,C3,NOT_STARTED
C4-001,C4,C3-010,single astrocs CLI contract (Win/Linux),yes,yes,C4,NOT_STARTED
C4-002,C4,C4-001,in-process invocation architecture,yes,yes,C4,NOT_STARTED
C4-003,C4,C4-002,DLL-era retirement migration plan,yes,yes,C4,NOT_STARTED
C4-004,C4,C4-001,amd64 CPU backend interface,yes,yes,C4,NOT_STARTED
C4-005,C4,C4-004,backend registry and selection API,yes,yes,C4,NOT_STARTED
C4-006,C4,C4-004,profile data contract,yes,yes,C4,NOT_STARTED
C4-007,C4,C4-001,resource monitor API,yes,yes,C4,NOT_STARTED
C4-008,C4,C4-007,resource gate API,yes,yes,C4,NOT_STARTED
C4-009,C4,C4-002,Phase3 public API,yes,yes,C4,NOT_STARTED
