requirement_id,requirement_type,title,authority_doc,algorithm_id,module,public_api,implementation_files,implementation_symbols,test_ids,test_files,diagnostic_ids,error_codes,release_gate,status,notes
SCI-UPM-WEIGHT-001,science,production UPM 权重 = quality × geometric_reliability × control_ivar；禁止 star-SNR/support^p 乘因子,docs/science/PHASE2_UPM.md,,phase2,p2_upm_raw_weight;  p2_upm_build;  p2_upm_normalized_weights,lib/phase2/src/upm.cpp,p2_upm_raw_weight; p2_upm_build; p2_upm_normalized_weights,UPMW-001;UPMW-002;UPMW-003;UPMW-006,lib/phase2/tests/synthetic_gate.cpp,UPM_CONTROL_VARIANCE_SCIENCE,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 冻结
ALG-UPM-CONTROL-IVAR-001,science,control_variance = k_corr×(π/2)×σ_bg²/N_retained；control_ivar=1/var；k_corr 由 Drizzle MC 校准（1.4）,docs/science/PHASE2_UPM.md,,phase2,p2_sample_controls;  p2_sampler_default_config,lib/phase2/src/sampler.cpp,p2_sample_controls; p2_sampler_default_config,UPMW-004;UPMW-005;UPMW-007,lib/phase2/tests/synthetic_gate.cpp;lib/healpix_db/healpix_drizzle/tests/control_median_mc_test.cpp,ALG-UPM-CONTROL-IVAR-001,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,k_corr=1.4 冻结
DATA-UPM-CONTROL-UNC-001,science,control estimator = patch median；uncertainty=SE(median) 用 N_retained；ivar 产品缺失显式科学错误,docs/science/PHASE2_UPM.md,,phase2,p2_sample_controls;  p2_stage2_parse_config,lib/phase2/src/sampler.cpp;lib/phase2/tools/stage2.cpp,p2_sample_controls; p2_stage2_parse_config,UPMW-006;UPMW-007;V17NonFiniteWeightInvalid,lib/phase2/tests/synthetic_gate.cpp,IVAR_MISSING_BEHAVIOR,ERR-P2-UPM-001,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3
ACR-IVAR-001,science,weight_policy=ivar 时 ACR 块禁用（cell-ivar×support 与 CPU 逐像素 ivar 不等价）→ CPU canonical path,docs/science/PHASE2_UPM.md,,phase2,p2_stage2_parse_config;  mosaic_reject_legacy,lib/phase2/tools/stage2.cpp;lib/phase2/src/acr_kernels.cpp,p2_stage2_parse_config; mosaic_reject_legacy,UPMW-006,lib/phase2/tests/synthetic_gate.cpp,CPU_ACR_IVAR_EQUIVALENCE,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,ACR ivar 生产禁用
ALG-INTEGRATE-001,science,integrator 权重资格：NaN/Inf/负→INVALID；0→合法不贡献；>0→可用；reducer 无 policy 知识,docs/algorithms/INTEGRATION_ALGORITHMS.md,,phase2,p2_integrate_pixel;  p2_validate_candidate_weights,lib/phase2/src/integrate.cpp,p2_integrate_pixel; p2_validate_candidate_weights,V17NonFiniteWeightInvalid;V17StatusesExplicit;V17NonFiniteSupportInvalid,lib/phase2/tests/synthetic_gate.cpp,INTEGRATION_ZERO_WEIGHT_CONTRACT,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 零权重合同
ALG-DRZ-GEOM-CACHE-001,science,bounded target-ipix geometry cache（LRU 8192，run generation 清空）；科学等价 + 操作计数,docs/algorithms/DRIZZLE_GEOMETRY.md,,healpix_drizzle,compute_overlap_area_g_ctx_cached;  TargetGeomCache::get_or_build;  run_target_cache,lib/healpix_db/healpix_drizzle/spherical_overlap.cpp;lib/healpix_db/healpix_drizzle/drizzle_engine.cpp,compute_overlap_area_g_ctx_cached; TargetGeomCache::get_or_build; run_target_cache,UPMW-005,lib/healpix_db/healpix_drizzle/tests/control_median_mc_test.cpp,DRIZZLE_TARGETED_OPTIMIZATION,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 定点优化
SCI-UPM-PERSIST-001,science,UPM save→close→open 后 frame_id→theta 绑定不变,docs/science/PHASE2_UPM.md,,phase2,p2_upm_save;  p2_upm_open;  p2_upm_calibrate_block,lib/phase2/src/upm.cpp,p2_upm_save; p2_upm_open; p2_upm_calibrate_block,OpenSavePreservesFrameParameterBinding;UpmPersistAllPermutations;UpmPersistRandomStableIds;UpmPersistSparseDenseBinding;UpmPersistRoundtripChainNoDrift;UpmPersistInsertionOrderIndependent;UpmPersistMosaicSeamEquivalence;UpmPersistInvalidModelRejected,lib/phase2/tests/synthetic_gate.cpp,ERR-P2-UPM-001,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,PR#1 保留
ALG-UPM-FRAME-BIND-001,science,parameter_rows[index] ↔ frame_id_by_index[index] 同长无重复,docs/algorithms/UPM_SOLVER.md,,phase2,p2_upm_save;  p2_upm_open,lib/phase2/src/upm.cpp,p2_upm_save; p2_upm_open,UpmPersistAllPermutations;UpmPersistRandomStableIds;UpmPersistInsertionOrderIndependent;UpmPersistInvalidModelRejected,lib/phase2/tests/synthetic_gate.cpp,ERR-P2-UPM-001,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,PR#1 保留
DATA-UPM-MODEL-001,science,模型文件显式 schema/version/frame 列表；重复/缺失/类型损坏稳定报错,docs/architecture/COMPATIBILITY_POLICY.md,,phase2,p2_upm_open;  aio_upm_write_sparse;  aio_upm_open,lib/phase2/src/upm.cpp;lib/astro_image_io/src/aio_upm.cpp,p2_upm_open; aio_upm_write_sparse; aio_upm_open,UpmPersistInvalidModelRejected,lib/phase2/tests/synthetic_gate.cpp,ERR-P2-UPM-001,format; frames; C,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,PR#1 保留
ENG-OWN-001,science,模块 ownership/lifetime 契约（OWNERSHIP_AND_LIFETIME）,docs/architecture/OWNERSHIP_AND_LIFETIME.md,,phase2,p2_upm_build;  p2_upm_close,lib/phase2/src/upm.cpp,p2_upm_build; p2_upm_close,S0IdentityCalibrationNoChange;SaveOpenRoundtripAndHash,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R2 有效
