"符号/键","位置(路径:行)","现行值","单位","坐标系/归一化","精度要求","有效有限域","来源现状","出处","处置","适用域","备注"
"noise.source_mask_radius_px","eng/packaging/config/defaults.json:107","10","px","逐星掩膜硬上界 rmax 的 r0 项（非操作半径）；SCI 另授权 max(1,r0)","无精度陈述（上界参数，整数取值）","注册面 >=1；schema 与代码解析面均为 [0,1e4]（含 0）","可公式导出（只在 rmax=max(1,r0)·max(1,scale) 里有意义）","docs/science/NOISE_MODEL.md:97（rmax 式；注册件所引 :86 是 §5a 小节空行，真锚在 :97，另 :52 写 rmax=60）","公式导出（并与 scale 合并为单键 rmax_px=60）","Phase1 逐星掩膜半径上界","五侧并列：defaults.json:107=10（constraint >=1）｜代码兜底 noise_model.cpp:1250=10.0｜使用层 :824 再写 max(1.0,·)｜schema :323-327 default=10 minimum=**0** maximum=1e4｜解析层 module_adapters.cpp:6507-6511 允许 [0,1e4]⇒值域两侧不一致（注册 >=1 vs schema/代码 >=0）；=0 时静默按 1.0 生效但 noise_cfg_applied 回执记 0；plugin README lib/algorithms/noise_snr/README.md:111=10.0（第六侧同值）；语义说明有、单位 px 有"
"noise.mask_radius_scale","eng/packaging/config/defaults.json:121","6","1（无量纲）","rmax 式的倍率项","无精度陈述","注册 >=1；schema :330-334 minimum=1 maximum=1e4；解析层 [1,1e4] 同","可公式导出（同 rmax 式；权威只给乘积 60）","docs/science/NOISE_MODEL.md:97（=60 的合式），拆分 10·6 的 6 无任何权威陈述（docs/algorithms/NOISE_ESTIMATION.md:134 只是实现锚）","公式导出（合并为单键 rmax_px=60 以消除分解任意性）","Phase1 逐星掩膜半径上界","四侧同值 6：defaults.json:121｜noise_model.cpp:1251=6.0｜schema :334 default=6.0｜README:112=6.0；10 与 6 单独看均无出处、只有乘积 60 有 ⇒ 分解本身是无依据的自由度（若有人改 12·5=60 也满足全部条文）；单位/语义有"
"noise.clip_sigma","eng/packaging/config/defaults.json:135","5.0","sigma","patch 内 |v-med|>k·sigma 裁剪","无精度陈述","注册 >=1；schema :262-266 exclusiveMinimum=0 maximum=100；解析层 (0,100]⇒0<k<1 被 schema/代码放行而注册面判违规","文献值（本仓 SCI 冻结，非外部文献）","docs/science/NOISE_MODEL.md:63（稳健裁剪: cosmic/hot 5sigma，<=2 轮；注册件所引 :56 是 gain 行）","文献值（本仓冻结档，无外部一手出处）","Phase1 patch 稳健裁剪","键名跨侧不一致：注册名 clip_sigma vs 实现字段 cosmic_clip_sigma（noise_model.cpp:1252）｜defaults 135=5.0｜schema :266 default=5.0｜README:— 未列；同名不同值确证：Phase2 sky_plane.cpp:230 c.clip_sigma=3.0、:251 兜底 3.0 ⇒ 两套 clip_sigma 只有 Phase1 进配置键面，Phase2 的 3.0 无任何注册侧（隐藏默认）；语义有、单位 sigma 有"
"noise.min_patch_samples","eng/packaging/config/defaults.json:149","64","count","patch 合格样本数下限；受 §8 收紧为 max(64,9216)","无精度陈述（未给 SE 目标）","注册 >=1；schema :309-313 [1,1e6]；解析层同","需实验标定（64 无推导；仓内唯一依据是它等于 patch 面积）","docs/science/NOISE_MODEL.md:52（min_samples 默认 64，只陈述不推导）；派生线索在 lib/algorithms/noise_snr/README.md:117『64=8x8 全格』","实验标定（或改为按 patch_grid 面积导出：64 = gx·gy）","Phase1 patch 噪声估计","三处同值无单源：defaults.json:149=64｜noise_model.cpp:1253=64｜module_adapters.cpp:6599 兜底 64｜schema :313 default=64（第四侧）；README:117 给出的 64=8x8 关系**既未进 SCI 也未进代码**（若 patch_grid 改 6x6 则 64 失去依据而不会联动）⇒ 属『可导出而未导出』候选；另 snr_estimator.h:142 注释同值；语义有、单位 count 有"
"noise.max_clip_rounds","eng/packaging/config/defaults.json:163","2","rounds","patch 裁剪迭代轮数上限","无精度陈述","注册 >=0；schema :316-320 [0,100]；解析层 [0,100]","文献值（本仓 SCI 冻结 <=2 轮）","docs/science/NOISE_MODEL.md:63（<=2 轮；注册件所引 :56 为 gain 行，:126 亦非该陈述）","文献值（本仓冻结档）","Phase1 patch 裁剪","**证伪机械层结论**：队列称『无 schema 侧、无 CLI 侧』不成立——schema :320 明确 default=2 且 minimum=0/maximum=100，是第四侧；三侧同值 2：defaults.json:163｜noise_model.cpp:1254｜schema :320（CLI 骨架侧确无）；语义有、单位 rounds 有；无外部一手出处"
"noise.saturation_level","eng/packaging/config/defaults.json:177","0","ADU","0/负/非有限 = 未提供电平（unset），>0 = 饱和电平；优先级 显式 cfg > snr.saturation_level > FITS SATURATE > DATAMAX","电平本身是观测量（无精度要求）","注册：0 合法（作 unset）；**schema :343-346 exclusiveMinimum=0 且 default=0 ⇒ 声明的默认落在声明的值域之外**；解析层 module_adapters.cpp:6528-6531 要求 >0（0 即 rc=3 拒绝）","需实验标定（缺失代价已量化，但代价数字不可复核）","docs/science/NOISE_MODEL.md:52（饱和域 claim SC-008/SAT-001）；SAT-001 读数只在 run/PROJECT-GOVERNANCE-01/SAT-001/…（.gitignore:17 run/* ⇒ 不在跟踪集，无法独立复算）","实验标定（证据须落 实验/ 或 artifacts/ 才可判 B 级）","Phase1 blank-sky 统计与逐像素权重场","**本行立案（值域自相矛盾）**：同一 schema 对象同时声明 default=0 与 exclusiveMinimum=0 ⇒ 任何按 defaults.json 抄 0 进 phase_config 的用法被 fail-closed 拒绝，而 SCI 说的 unset 语义实际只能靠『不写该键』达成；两侧行为不等价（写 0 = 报错，不写 = 降级声明 DISABLED_NO_METADATA）；代码兜底 module_adapters.cpp:6383 saturation_level=0.0 与 defaults 同值（非配置面）；语义/单位陈述最完整的一行"
"noise.spatial_field_enabled","eng/packaging/config/defaults.json:191","1","bool(0/1)","1 且 n_ctrl>=4 且控制点几何张成二维（lambda_lo/lambda_hi>=1/16）走 LS 平面，否则全局中位数兜底","不适用（开关）","注册 {0,1}；schema :269-272 type=**boolean** default=true；解析层 flag() 同时接受 bool 与整数 0/1","文献值（本仓 SCI 启用条件）","docs/science/NOISE_MODEL.md:54（enable_spatial_field==1 && n_control_points>=4 且几何张成二维；注册件所引 :47 是空行）","文献值（本仓冻结档）","Phase1 空间噪声场","**类型不一致立案**：defaults.json:191 登记的是整数 1，schema :270 声明 type=boolean ⇒ 把注册值原样填进 phase_config 会被 schema 判型失败（解析层的宽容 0/1 救不回 schema 面）；异名同值：noise_model.cpp:1255 enable_spatial_field=1（键名与符号名不一致，靠注释对齐）；另 disable_spatial_field 形参（p1_noise_model_for_frame）是第三个未注册的旁路开关"
"calibration.dark_light_exposure_tolerance","eng/packaging/config/defaults.json:20","5","s","暗场/亮场曝光一致性容差；文档侧只给 K=t_light/t_dark 语义","未标注（未给与母版 SNR 的关系）","注册：未标注（仅预检橘色提示级，不阻断）；schema/CLI 侧无承载","待确认（负责人裁决未落 SCI 条文）","无（注册件 source 记『负责人裁决 2026-09-16』，source_ref=null；docs/science/CALIBRATION.md:19,21 只有 K 语义无数值，本仓实测该文档内无 5 s）","待确认（档④：显式登记保守方向与影响面）","normalize 预检与暗场优化建议路径","单侧孤值确认：对 leaf 名 dark_light_exposure_tolerance 在 lib/** 生产面 git grep 零命中 ⇒ 无实现侧兜底值可比、亦**无消费点**（键存在而无人读，属 AGENTS『声明必有用』缺口）；不在 schema、不在三份模板、不在 CLI 骨架；保守方向=更小容差（更严匹配），影响面限于预检提示；语义有、单位 s 有"
"noise.variance_floor","eng/packaging/config/defaults.json:205","1e-12","ADU^2","ivar=1/max(var,floor) 的分母下界；纯数值保护（SCI §9 明确不是最小可分辨方差、不是读出噪声下限）","未标注（只说保证 ivar 有限）","注册 >0；schema :337-340 exclusiveMinimum=0（**无上限**）；解析层 >0；SCI :55 要求有限且 >0 否则 SNR_FLOOR_UNBOUND(-10)","待确认（数量级拍定，无物理或数值推导）","docs/science/NOISE_MODEL.md:30（符号表：配置默认 1e-12，单位 ADU^2）与 :55/§7；注册件所引 :23 是符号表 `x` 行","待确认（应改为按 dtype 与帧标度导出；见备注导出式）","Phase1 variance/ivar 全场","同值多侧：defaults.json:205｜noise_model.cpp:1256｜schema :340 default=1e-12（第四侧，队列未列）；**语义冲突面**：仓内已有按 dtype 导出的地板实现 lib/include/astrocs/core/variance_floor.h:22（生效 floor=max(eps_rel·median(可用方差), dtype 最小正可表示值)），其文件头 :13-19 明确论证『1e-12 绝对常数无法同时服务 ADU 与 alpha^2 两个标度』，drizzle 侧 hp_drizzle_api.cpp:1052 用 eps_rel=1e-12（**相对**）而 noise 侧用 1e-12（**绝对 ADU^2**）⇒ 同一数字两套量纲；noise 路径已在 module_adapters.cpp:6584-6590 按 data_scale^2 换算并落诊断（不算下溢缺陷，但 eps_rel=1e-12 与 rejection.cpp:1245 normalization_floor=1e-12 均无注册侧、无推导）；实验侧 p1noise_oracle.hpp:112 记 0.0、p1noise_tests_core.cpp:776 用 1.0e-46 ⇒ 三档并存"
"noise.mask_k_sigma","eng/packaging/config/defaults.json:219","0.1","sigma","掩膜边缘残余面亮度系数：源面亮度 = k·sigma_bg 处定半径","污染预算：sigma_bg 偏差 <=0.5%（= 5% oracle 的 1/10 余量）","注册 >0；schema :274-278 exclusiveMinimum=0 maximum=100；解析层 (0,100]；使用层把 <=0 当 unset","可公式导出（配 SCI §11 源污染 oracle）","docs/science/NOISE_MODEL.md:88 与 :95（k=0.1 ⇒ 残余方差污染 <1%·sigma_bg^2 ⇒ 偏差 <=0.5%；注册件所引 :84 是实现一致性句）","公式导出","Phase1 逐星掩膜半径","两处同值且互不联动：noise_model.cpp:1258（配置兜底）与 :826（使用层再兜底 (c.mask_k_sigma>0)?·:0.1）⇒ 改配置默认不改使用层字面量即静默不一致；实测支撑 MASK-001 §3.3（r=10 px 偏差 +0.13%）在跟踪件 artifacts/evidence/governance-01/research/MASK-001_掩膜语义重新推导.md，但 NOISE_MODEL.md:108 把它引作 reports/PROJECT-GOVERNANCE-01/…（reports/ 跟踪集内无此件）⇒ 证据路径漂移；单位/语义有"
