ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
M4-C-06|C_DOC_CODE_GAP|P1|旧宪章 §4.1/§6.3；SCI-REJ-001 §4/§8（docs/science/REJECTION.md）|docs/science/REJECTION.md §4(:34) 与 §8(:87)：非有限 support/weights ⇒ INVALID_INPUT hard fail；ASTROCS_DESIGN §0（本文与其他文档冲突以本文为准，Agent 无权放宽）|命令：grep -m2 -n "hard fail" docs/science/REJECTION.md; grep -m1 -n "if (!std::isfinite(v)) { ++out->invalid_finite" lib/phase2/src/rejection.cpp; grep -m1 -n "reject_rcr_impl(work.data(), n, stack->weights" lib/phase2/src/rejection.cpp；输出：34:- `support/weights` 有限性在资格层校验，非有限 ⇒ `INVALID_INPUT` hard fail。；1189:        if (!std::isfinite(v)) { ++out->invalid_finite; ok = false; }；1801:            reject_rcr_impl(work.data(), n, stack->weights, reasons_out,|OPEN|P2-001|无|gather(:1189) 对非有限 values/support 只计数剔除（support NaN 落 invalid_support）且 rc=0，weights 全程不校验、:1801 直传 RCR 加权；ex 入口(:1712) INVALID_INPUT 只覆盖 stack->values。节点链上游 fail-closed 仅局部兜住，kernel 合同面与 SCI 相反
M4-C-07|C_DOC_CODE_GAP|P1|旧宪章 §6.1/§6.2/§8.3/§12.3-3|ASTROCS_DESIGN §7.3（每个生产 DAG 节点映射唯一真实 module/DLL/导出入口；多节点不得调用同一完整 Session）+ §7.1（算法模块唯一家）|命令：grep -m1 -n "实现源（唯一权威生产源）" docs/algorithms/PHASE2_MOSAIC_WRITE.md; grep -m1 -n "V5 遗留, LEG-004 已退出生产" docs/contracts/PUBLIC_API.md; grep -m1 -n "stage2 工具（lib/phase2/tools/stage2.cpp" docs/contracts/PUBLIC_API.md；输出：9:> 实现源（唯一权威生产源）: lib/phase2/tools/stage2.cpp（1762 行实测；入口 main :112）。；54:- `astrocs-stage2.exe <config.json>`（**V5 遗留, LEG-004 已退出生产**；当前生产入口 = `astrocs phase2 run`）；1120:> stage2 工具（lib/phase2/tools/stage2.cpp main :112）；编排层经|OPEN|P2-001|无|同一 PUBLIC_API.md :54 与 :1120 自相矛盾；生产实为 module_adapters p2_op_reject/integrate/write(:4002/:4240/:4610)，而四份 slice ALG 仍逐符号锚定已退出生产、现 1782 行的 stage2.cpp（MOSAIC_WRITE:9 与 :497-499 亦自认 LEG-004）
M5a-C-001|C_DOC_CODE_GAP|P1|旧宪章 §10.3/§11/§12.3-1/-7；AGENTS.md「无硬编码」映射行|ASTROCS_DESIGN §8（benchmark 生成绑定 CPU 特征的 cpu_profile 并输出到安装目录；一个进程只有一个资源调度器与线程预算源，模块不得硬编码 workers）|命令：grep -c "cpu-profile" cli/parser.cpp; grep -n "route_kernel_from_profile" cli/commands.cpp; grep -c 'set_provider("baseline")' lib/core/src/module_adapters.cpp；输出：9；180:                astrocs::backend_host::route_kernel_from_profile(；4|OPEN|CPU-001|与 GAP-015 重复|三个 phaseN run 的 kRules/usage 仍接受 --cpu-profile（parser.cpp:57/:62/:68 与 :92/:100/:104），全仓唯一消费点仍是 show-effective(commands.cpp:180)；run 预算恒取 cli_affinity_cpu_count()，provider 字面量 baseline 4 处，profile 选路对产品行为无效
M5a-C-002|C_DOC_CODE_GAP|P1|旧宪章 §12.3-8/§10.4/§12.2|ASTROCS_DESIGN §8（单一线程预算源；模块不得硬编码 workers、不得私建长期线程池）+ §0（冲突以本文为准）|命令：grep -m1 -n "生产默认 N-worker 并行" lib/phase2/src/sampler.cpp; grep -m1 -n -o "串行（hotfix 后无任何 OpenMP parallel region）" docs/architecture/THREADING_MODEL.md; grep -m1 -n -o "calibrator.cpp: OpenMP 16" docs/architecture/EXECUTION_MODEL.md；输出：882:    // 生产默认 N-worker 并行(std::thread, 跨 Linux/MSVC 一致); OpenMP 条件已移除。；21:串行（hotfix 后无任何 OpenMP parallel region）；9:calibrator.cpp: OpenMP 16|OPEN|RT-001|与 GAP-014 重复|FROZEN 架构文档与实现三方互斥：sampler 已是 std::thread 池(:890)，THREADING_MODEL:21 仍称串行；EXECUTION_MODEL:9 的「16」在 calibrator.cpp 无 num_threads 支撑（仅 :25 注释），:11 的「CMakeLists.txt:18 OFF」行锚实为 :28
M5a-C-003|C_DOC_CODE_GAP|P1|旧宪章 §10.5/§11/§12.3-1|ASTROCS_DESIGN §8（每个 heavy 运行自动记录 进程/线程 CPU、RSS/PSS、内存增长、读写字节、I/O wait、work units、队列深度、worker 均衡、进度、墙钟）+ §9（每次运行至少生成 resource-timeseries.csv、resource-summary.json）|命令：grep -m1 -n "smaps_rollup" cli/monitor.h; grep -m1 -n "resource_samples.csv" cli/resource_recorder.h; grep -c "iowait_percent" cli/commands.cpp；输出：72:    uint64_t pss_bytes = 0;        // /proc/self/smaps_rollup Pss(可得时)；2:// 每个 heavy node 自动生成 resource_samples.csv / resource_summary.json / worker_balance.csv；0|OPEN|OBS-001|与 GAP-014 重复|§9 工件名要求连字符，实现与 CLI_PROTOCOL_V1:61 产出下划线（resource_samples.csv/resource_summary.json）；GateConfig 的 iowait/mem_bandwidth/one_worker_ns/progress_stalled 在 commands.cpp 生产填充段 0 处赋值；monitor.h 只读 /proc/self/{status,io,stat}，PSS/队列/进度恒 0
M5a-C-004|C_DOC_CODE_GAP|P1|旧宪章 §13.1/§12.3 末段|ASTROCS_DESIGN §11.1（每个模型有独立解析/高精度/Monte Carlo Oracle）+ ENGINEERING_SPEC §5.1（不调用生产实现的独立 Oracle 或解析解）|命令：grep -m1 -n -o "与 Python 参考比对" docs/architecture/ISA_VARIANTS.md; grep -c "import numpy" tests/cpu/avx2/run_provider_avx2_checks.py; grep -m1 -n "avx2 vs baseline" tests/cpu/avx2/provider_avx2_oracle_main.cpp；输出：73:与 Python 参考比对；0；11://   3) baseline 对照容差: avx2 vs baseline 同输入输出 相对差 ≤ 2e-4|OPEN|CPU-001|无|变体 Oracle 实为 avx2 provider vs baseline provider 互比（runner 无任何 Python/解析参考通道，import numpy 命中 0），独立性仅靠「baseline 已与 f64 参考一致 CPU-002」援引，未把参考差与 2e-4 互比差做误差合成；ISA_VARIANTS:73 仍写「与 Python 参考比对」
M5b-C-03|C_DOC_CODE_GAP|P1|旧宪章 §8.1/§3.2/§16.2/§12.3-1/-9/-10|ASTROCS_DESIGN §6.2（唯一命令树 normalize/mosaic/export + help/--version/doctor/benchmark；phase1/2/3 仅为内部指代）+ §6.3（退出码唯一源 include/astrocs/exit_codes.h）|命令：grep -m1 -n "\"drizzle\"" cli/parser.cpp; grep -m1 -n "^int cmd_drizzle" cli/commands.cpp; grep -c "astrocs drizzle" docs/api/CLI_PROTOCOL_V1.md；输出：71:    {"drizzle",                     {"--config", "--events-jsonl", "--nside", "--pixfrac"}},；2005:int cmd_drizzle(const Parsed& p, astrocs::JsonlEmitter& ev) {；0|OPEN|CLI-001|与 GAP-005 重复|幽灵命令仍在 kRules(:71) 与 dispatch(:2621)，kHelp 与 CLI_PROTOCOL_V1 §1 命令树均无（该文档唯一 drizzle 是 test synthetic --group 取值）；handler 以 ARGS=2 退出，与真实参数错误不可区分；诊断文案仍指向已删 --phases（runtime_client.cpp:47）
M5b-C-04|C_DOC_CODE_GAP|P1|旧宪章 §8.6/§9/§11/§13.2；docs/architecture/abi/ABI_002_MODULE_ABI.md|ASTROCS_DESIGN §7.3（版本化 C ABI；所有权与释放方明确；结构体带 struct_size/abi_version）+ §11.3（状态如实标注）|命令：grep -m1 -n "DOUBLE_DESTROY" include/astrocs/abi/lifecycle_v1.h; grep -m1 -n "void (\*destroy)" include/astrocs/abi/module_api_v1.h; grep -m1 -n "int                    state;" lib/calibration/src/module_entry.cpp；输出：73: *     ACS_DIAG_ECODE_ILLEGAL_STATE / ACS_DIAG_ECODE_DOUBLE_DESTROY。；107:    void (*destroy)(acs_module_instance_v1* inst);；612:    int                    state;      /* ACS_LC_STATE_* */|OPEN|MOD-001|无|lifecycle_v1.h:44-49 承诺的并发语义与 double-destroy 报错在 ABI 层不可实现（destroy 返回 void）；cal_destroy(:1458-1463) 先读 state 再 free，二次调用为 UAF 读；state 为普通 int（cal:612/cosmetic:523）非原子，与「request_cancel 可并发（原子置位）」相反
M5b-C-05|C_DOC_CODE_GAP|P1|旧宪章 §8.1/§11/§12.3-1/-9/-10|ASTROCS_DESIGN §6.3（退出码唯一源 include/astrocs/exit_codes.h：0/2/3/4/5/6/7/8/9/10/70）|命令：grep -m1 -n "DLL_LOAD_FAILED=2  BLOCK_MISSING=3" docs/architecture/ERROR_MODEL.md; grep -m1 -n "ARGS          = 2" cli/exit_codes.h; grep -m1 -n "ErrorDomain::RESOURCE: return 5" cli/runtime_client.cpp；输出：27:SUCCESS=0  GENERIC_ERROR=1  DLL_LOAD_FAILED=2  BLOCK_MISSING=3；9:    ARGS          = 2,   // CLI 参数或配置错误；398:      case astrocs::core::ErrorDomain::RESOURCE: return 5;|OPEN|CLI-003|无|ERROR_MODEL.md:22-34 仍以 orchestrator.exe 旧码表为现状（2=DLL_LOAD_FAILED vs 唯一源 2=ARGS，10=CANCELLED vs RESOURCE），:41-44 自称由 docs_machine_consistency 全量校验而 ci/checks.json 对该检查器命中 0；runtime_client.cpp:398 把 RESOURCE 映射成 5；check_api_docs.py:27 把 6 命名 EXEC（唯一源 COMPUTE）
M5b-C-06|C_DOC_CODE_GAP|P1|旧宪章 §4.3/§11/§10.3/§13.3|ASTROCS_DESIGN §9（manifest 至少记录…算法 ID、模块 build ID、实际 provider、生成时间；禁止把计划值伪装成实际值）|命令：grep -c '{"provider", "baseline"}' lib/core/src/module_adapters.cpp; grep -m1 -n "started_utc\", astrocs::iso8601_utc_now()" cli/commands.cpp; grep -m1 -n "%02dT%02d:%02d:%02dZ" cli/jsonl.h；输出：4；435:        {"started_utc", astrocs::iso8601_utc_now()},；29:    std::snprintf(buf, sizeof(buf), "%04d-%02d-%02dT%02d:%02d:%02dZ",|OPEN|OBS-001|与 GAP-015 重复|4 处节点/session manifest 的 provider 写死常量 baseline；write_run_manifest(commands.cpp:435-436) 在同一初始化列表连取两次秒级时间作 started/finished，duration 恒 0/1s，无法与 resource-summary 墙钟交叉核对
