task_id,wave,owner_id,kind,depends_on,mutex_lock,resource_class,commit_subject,spec_ref,acceptance,alias_of
CTL-001,W0,FG-000,control,-,control,LINUX_LIGHT,no-commit,tasks/01_W0_GOVERNANCE_TASKS.md,CONTROL_PASS,
ID-001,W0,FG-000,evidence,CTL-001,workspace,LINUX_LIGHT,evidence-only,tasks/01_W0_GOVERNANCE_TASKS.md,identity.json,
ID-002,W0,FG-000,evidence,ID-001,host,LINUX_LIGHT,evidence-only,tasks/01_W0_GOVERNANCE_TASKS.md,host_toolchain.json,
ID-003,W0,FG-000,evidence,ID-001,workspace,LINUX_LIGHT,evidence-only,tasks/01_W0_GOVERNANCE_TASKS.md,workspace_lock.json,
AUD-001,W0,SA-AUD-99,audit,ID-001;ID-002;ID-003,audit-read,STATIC_READ,no-commit,tasks/01_W0_GOVERNANCE_TASKS.md,initial_findings.json,
GOV-001,W1,SA-GOV-01,implementation,ID-001,docs,LINUX_LIGHT,feat(GOV-001): 完成GOV-001任务：Freeze engineering constraints,tasks/01_W0_GOVERNANCE_TASKS.md,constraints in main,
GOV-002,W1,SA-GOV-01,implementation,GOV-001,docs,LINUX_LIGHT,feat(GOV-002): 完成GOV-002任务：Separate active and archived docs,tasks/01_W0_GOVERNANCE_TASKS.md,DOC_SCOPE_PASS,
GOV-003,W1,SA-GOV-01,implementation,GOV-001,version,LINUX_LIGHT,feat(GOV-003): 完成GOV-003任务：Create unique product version source,tasks/01_W0_GOVERNANCE_TASKS.md,VERSION_PASS,
GOV-004,W1,SA-GOV-01,implementation,GOV-002,docs,LINUX_LIGHT,feat(GOV-004): 完成GOV-004任务：Create L0 owner documents,tasks/01_W0_GOVERNANCE_TASKS.md,L0 skeleton,
GOV-005,W1,SA-GOV-01,implementation,GOV-002;GOV-003,docs,LINUX_LIGHT,feat(GOV-005): 完成GOV-005任务：Remove stale active legacy claims,tasks/01_W0_GOVERNANCE_TASKS.md,stale scan clean,
