rejection.linear_fit.max_iterations	eng/packaging/config/defaults.json:443	8	iterations	linear_fit 迭代上限	≥1	≥1	有文献（SCI §5 linear_fit 5.0/3.5/8）	docs/science/REJECTION.md:59	文献值	Phase2 排异	代码兜底同值 rejection.cpp:1252
rejection.esd.alpha	eng/packaging/config/defaults.json:457	0.05	1（无量纲）	Generalized ESD 显著性水平	0<alpha<1；未标注功效/样本量前提	alpha∈(0,1)	有文献（SCI §5 冻结 0.05）	docs/science/REJECTION.md:60,:9a（alpha=0.05, max_outliers=10）；方法学一手（Iglewicz & Hoaglin 1993）未登记 DOI	文献值	Phase2 排异 ESD 路径	缺一手出处：0.05 是通用显著性惯例而非本仓推导，须补 A 级文献（标准 02 §1）；代码同值两处 rejection.cpp:1253（esd.alpha）与 :1264（extreme_prior.alpha）⇒ 两个不同用途共用一个数
rejection.esd.max_outliers	eng/packaging/config/defaults.json:471	10	count	单次 ESD 允许剔除的离群数上限	≥1；与堆深度 n 的关系未定义	≥1 且应 < n/2	有文献（SCI §5 冻结 10）	docs/science/REJECTION.md:60	文献值	Phase2 排异 ESD 路径	绝对数而非随 n 缩放（可导出式应为 max_outliers = ⌈f·n⌋, f≈0.05）⇒ 小 n 堆（n=3..10）时可一次性剔掉全部样本，无相对性约束；代码 rejection.cpp:1253
rejection.percentile.low	eng/packaging/config/defaults.json:485	0.2	1（分位比）	小 N 分位拒低侧分位	0<low<1	low∈(0,1)；scale=|median|	有文献（SCI §5 percentile low 0.2/high 0.1）	docs/science/REJECTION.md:59,:166（§9a）	文献值	Phase2 小 N 排异	代码 rejection.cpp:1254 注释记来源为 WBPP Light ⇒ 与 SCI 并置成两个出处（叙述冲突候选）；不对称 0.2/0.1 与天光正偏预期一致但文档未陈述依据
rejection.percentile.high	eng/packaging/config/defaults.json:499	0.1	1（分位比）	小 N 分位拒高侧分位	0<high<1	high∈(0,1)	有文献（SCI §5）	docs/science/REJECTION.md:59,:166	文献值	Phase2 小 N 排异	代码 rejection.cpp:1254
rejection.minmax.min_kept	eng/packaging/config/defaults.json:513	4	count	极值拒保留下限	≥1；配套判据含 0.6·n 小 N 门	≥1	有文献（SCI §5 minmax 1/1/4）	docs/science/REJECTION.md:60,:166	文献值	Phase2 极值拒	同方法另两参数只在代码里（rejection.cpp:1257 reject_low_count=1、reject_high_count=1）⇒ defaults.json 三缺一，登记面缺口
rejection.large_scale.enabled	eng/packaging/config/defaults.json:527	false	bool	空间邻域排异（仅 large_scale 结构半径，pixel 域）默认关闭	不适用（开关）	{0,1}	有文献（SCI §5 默认关闭）	docs/science/REJECTION.md:61,:126,:24	文献值	Phase2 空间邻域排异	同结构三参数（rejection.cpp:1261 min_structure_pixels=8、:1262 low_grow_radius_pixels=2、:1263 high_grow_radius_pixels=2）未进配置键面 ⇒ 结构性硬编码且不可配置
photometry.mag_tolerance	eng/packaging/config/defaults.json:541	3.0	mag	预过滤 |delta_i − median(delta)| > 3.0 mag 的星被拒	>0；未标注与测光精度/sigma_residual 的关系	>0	有文献（SCI §测光 3.0 mag）	docs/science/PHOTOMETRY.md:30；docs/algorithms/PHOTOMETRIC_FIT.md:20（F7 同一 3.0 mag）	文献值	测光星等一致性预过滤	代码兜底同值 lib/algorithms/photometry/cpp/src/star_matcher.h:72 mag_tolerance = 3.0；3.0 mag 相当于亮度比 15.85×，与 sigma_residual（本项目测光精度 ~0.01 mag 量级）差两个数量级 ⇒ 该阈实际几乎不滤（判据强度需实验侧确认，交 AUD-201）
photometry.tukey_c	eng/packaging/config/defaults.json:555	4.685	1（无量纲）	Tukey biweight 形状参数 c（w=(1−u²)², u=(r−loc)/(c·S)）	>0；对应 95% 正态效率（未在本仓推导）	>0（经验最优 4.685）	可公式导出（给定效率目标可数值求根）	本仓 docs/science/PHOTOMETRY.md:21,:54；一手=Beaton & Tukey 1978 / Tukey 1975（本仓未登记 DOI）；实现注释 star_matcher.cpp:22「标准稳健统计, 对应 95% 正态效率」	公式导出	测光 IRLS 稳健位置	两份实现同值重复：lib/algorithms/photometry/cpp/src/spatial_gain.cpp:40 kTukeyC=4.685、star_matcher.cpp:23 _TUKEY_C=4.685；且 4.685 的 95% 效率结论只在正态假设下成立，本项目 r=log10(F_instr/F_syn) 分布是否近正态无证据 ⇒ 适用域未验证
photometry.irls_max_iterations	eng/packaging/config/defaults.json:569	50	iterations	S>0 时 IRLS 迭代上限	≥1；未标注收敛余量	≥1	有文献（SCI 冻结 max_iter=50）	docs/science/PHOTOMETRY.md:192,:53	文献值	测光 IRLS	键 leaf 在 lib 零命中：值以符号承载两处（spatial_gain.cpp:42 kIrlsMaxIter=50、star_matcher.cpp:25 _IRLS_MAX_ITER=50）⇒ 名称不对齐，改默认需人工同步；另有第三套迭代上限 100（rejection/upm/stage2 面）
photometry.irls_tolerance_dex	eng/packaging/config/defaults.json:583	1e-06	dex	IRLS location 收敛门 |loc_new−loc_old|<1e-6	>0；相对 MAD 尺度未定义；dex 单位下等于 2.3e-6 相对通量	>0	无来源（未给浮点精度或收敛速率推导）	docs/science/PHOTOMETRY.md:192（tol=1e-6）；实现 star_matcher.cpp:27 _IRLS_CONVERGE=1e-6	待确认	测光 IRLS 收敛	多侧不一致：spatial_gain.cpp:44 kIrlsConverge=1e-9（注释自称「比标量 location 的 1e-6 更严」）⇒ 同一"IRLS 收敛门"两处取值差 3 个数量级，只有 1e-6 进了 defaults.json；影响面=空间增益拟合的迭代终止与可复现性；保守方向=取更严者并统一
