符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
calibration.dark_light_exposure_tolerance,eng/packaging/config/defaults.json:20,5,s,暗场/亮场曝光一致性容差（文档侧只给 K=t_light/t_dark 语义）,未标注,未标注（预检橘色提示级，不阻断）,无来源（负责人裁决未落 SCI 条文）,"defaults.json:24 记「负责人裁决 2026-09-16」；docs/science/CALIBRATION.md:19,21 无数值",待确认,normalize 预检与暗场优化建议路径,多侧：仅 defaults.json 一侧有值；lib/ 生产代码对该 leaf 零命中 ⇒ 无实现侧兜底值可比对、亦无消费点；保守方向=取更小容差（更严匹配），影响面限于预检提示
calibration.master_flat_median_range,eng/packaging/config/defaults.json:31,"[0.5, 2.0]",1（无量纲）,已归一 master flat 的中位数判定带；合同值 1.0,带内/带外二值判定，无精度要求,"median(flat)∈[0.5,2.0] 视为已归一；带外须显式 master_flat_normalize=median",可公式导出（数量级判带，非科学容差）,"docs/science/CALIBRATION.md:103；docs/algorithms/CALIBRATION_ALGORITHMS.md:56,495（DISP-CAL-013）",文献值,master flat 消费边界（越界 DATA 拒绝 rc=2）,多侧同值且已闭合：代码兜底 lib/include/astrocs/core/master_unit_guard.h:31 同带，eng/tools/quality/check_master_unit_guard.py 机器核对 ⇒ 唯一有门背书的默认键
detection.threshold_sigma,eng/packaging/config/defaults.json:48,5.0,sigma,threshold = median(img) + 5.0·bgnoise（全局检测阈值）,未标注（fp32/fp64 两路各自实现）,>0,有文献（本仓 SCI 冻结）,docs/science/STAR_DETECTION.md:21,文献值,star detection 全局阈值,多侧异名同值：lib/algorithms/star_detection/src/sdet_api.cpp:1779 与 :1827 各写字面量 5.0、lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:448 detection_threshold_sigma=5.0 ⇒ 三处硬编码无单一来源，改默认需同步三处
psf.default_model,eng/packaging/config/defaults.json:62,moffat4,枚举 id,点源响应模型标识,不适用（枚举）,唯一实现值,有文献（本仓 SCI）,"docs/science/PSF.md:9,:105（ALG-STARPSF-001）",文献值,PSF 拟合路径,合同侧 eng/contracts/schemas/phase_config_normalize.schema.json:474 enum=[moffat4] 且**不声明 default** ⇒ 枚举唯一性由 schema 保证；键 leaf 在 lib 生产代码零命中（模型名不作为字符串比较）
psf.moffat_beta,eng/packaging/config/defaults.json:76,4.0,1（无量纲）,椭圆 Moffat 形状指数 β,精确等于 4.0（改动属 SCI 不可接受变化）,β=4,有文献（本仓 SCI 冻结 + Moffat 1995 惯例）,docs/science/PSF.md:94,文献值,Moffat4 PSF 模型,未做成配置键的冻结常数：实现侧以 FWHM↔σ 因子承载（lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:72 kMoffat4FwhmFactor），β 值在拟合函数内 ⇒ 默认值唯一家是 SCI，不是 defaults.json
noise.patch_grid,eng/packaging/config/defaults.json:90,"[8, 8]",patch 格数,噪声估计 patch 网格行列数,整数；实现侧下限钳位 2,≥2×2,有文献（SCI §5 冻结定义）,"docs/science/NOISE_MODEL.md:54,:39,:52",文献值,Phase1 patch 噪声估计,多侧同值三写：noise_model.cpp:1248-1249 兜底 8/8、头文件注释 snr_estimator.h:131、差异登记 docs/algorithms/NOISE_ESTIMATION.md:180 ⇒ 无单一来源；8×8 与 Phase2 UPM 控制网格（8/tile）同构但各写各的
noise.source_mask_radius_px,eng/packaging/config/defaults.json:107,10,px,逐星掩膜硬上界的 r0 项（非操作半径）,"≥1；参与 max(1,r0)","上界式 rmax=max(1,r0)·max(1,scale)=60 px",可公式导出（只在上界式里有意义）,docs/science/NOISE_MODEL.md:86（§5a）；拆分 10·6 见 docs/algorithms/NOISE_ESTIMATION.md:134（实现锚，非权威）,公式导出,Phase1 逐星掩膜半径上界,"MASK-001 §1.4 判旧 source_ref 为循环引用后改指 SCI；代码兜底 noise_model.cpp:1250=10.0，使用层 :824 再写一次 max(1.0,·) ⇒ 同值两处"
noise.mask_radius_scale,eng/packaging/config/defaults.json:121,6,1（无量纲）,上界式倍率项,≥1,"scale∈[1,∞)；与 r0 相乘",可公式导出（同 rmax 式）,docs/science/NOISE_MODEL.md:86（§5a）,公式导出,Phase1 逐星掩膜半径上界,10 与 6 单独看都无权威，只有乘积 60 有 ⇒ 可合并为单键 rmax_px=60 消除分解任意性；代码兜底 noise_model.cpp:1251=6.0
noise.clip_sigma,eng/packaging/config/defaults.json:135,5.0,sigma,patch 内 |v-med|>k·σ 的裁剪阈,≥1,>0,有文献（SCI §5 冻结 5σ）,"docs/science/NOISE_MODEL.md:56,:126；NOISE_ESTIMATION.md:36",文献值,Phase1 patch 稳健裁剪,键名冲突：实现侧字段名为 cosmic_clip_sigma（noise_model.cpp:1252）；同名不同值：Phase2 lib/algorithms/coverage/src/sky_plane.cpp:230 c.clip_sigma=3.0（另 :251 兜底 3.0）⇒ 两套 clip_sigma 只有 Phase1 进配置键面
noise.min_patch_samples,eng/packaging/config/defaults.json:149,64,count,patch 合格样本数下限,"≥1；受 §8 收紧为 max(64,9216)",≥1,有文献（SCI §4 默认 64）,docs/science/NOISE_MODEL.md:52（claim SC-002）,文献值,Phase1 patch 噪声估计,多侧同值三写：noise_model.cpp:1253、snr_estimator.h:142 注释、module_adapters.cpp:6599 兜底 64 ⇒ 无单一来源；64 本身无推导（为何不是 100/256）⇒ 属需实验标定档
