x	y
0	120
1	57
2	34
2	474
3	531
4	748
6	614
8	704
11	819
11	875
12	764
13	1005
15	775
16	960
16	1000
18	234
19	387
19	979
20	516
21	53
24	448
24	752
25	857
27	51
28	924
29	109
29	205
29	917
30	766
31	95
31	999
32	688
33	345
34	162
35	147
36	140
37	149
39	31
39	847
39	871
40	400
42	322
43	507
44	660
45	821
48	368
49	305
49	1009
50	330
50	562
50	746
51	915
52	156
54	670
56	248
56	984
57	425
60	140
61	301
62	598
62	902
63	391
63	671
65	905
66	2
67	219
68	236
72	456
73	49
74	74
74	370
75	515
76	372
78	62
79	871
80	928
81	489
82	826
83	115
83	803
84	372
84	724
86	54
90	130
91	3
91	131
92	836
93	317
93	429
93	477
95	367
95	455
96	64
96	96
96	328
101	221
101	501
103	367
103	967
104	840
105	193
105	873
106	26
111	159
111	599
111	967
111	1023
113	417
115	67
116	4
116	708
117	69
119	799
119	847
120	408
121	817
124	844
125	733
127	975
128	313
129	80
129	464
129	656
129	1008
130	595
130	739
130	787
134	815
136	201
137	544
137	840
140	37
140	293
140	333
143	142
143	174
144	809
145	480
146	635
147	322
148	469
150	807
152	153
153	144
155	314
156	269
157	100
158	967
161	40
162	827
166	775
167	6
168	313
170	147
170	163
170	1011
171	42
171	362
171	626
172	237
172	405
172	605
174	823
175	358
176	65
177	608
179	610
181	412
182	223
182	511
184	969
186	747
187	130
187	690
189	956
190	279
190	399
193	840
194	715
194	851
196	253
197	548
198	375
198	655
199	318
199	1014
201	24
202	603
204	389
207	174
207	238
207	246
207	870
208	889
208	953
209	488
209	848
211	242
214	167
217	280
217	552
217	632
218	891
219	1002
220	813
221	420
222	495
222	863
223	878
225	120
225	280
225	480
230	151
230	239
231	446
232	881
234	339
234	971
235	530
235	714
235	850
238	23
239	534
242	19
242	219
243	242
243	594
243	642
243	962
244	253
244	293
244	957
247	406
248	137
248	281
249	208
249	232
249	304
250	427
251	154
252	109
253	44
253	892
254	343
254	599
254	751
255	622
256	458
256	522
257	355
258	104
259	377
260	134
263	861
264	138
265	107
270	684
272	762
273	659
275	985
278	596
278	644
279	141
282	568
284	630
284	1006
285	439
286	556
288	498
291	1
293	367
293	511
293	951
294	172
297	435
298	504
301	111
302	28
302	468
303	61
303	317
303	893
305	715
307	729
308	422
308	734
308	774
309	591
310	100
312	330
313	563
313	579
316	582
317	567
317	639
318	268
318	284
321	403
322	392
326	84
326	164
326	420
326	988
328	786
330	472
330	536
330	984
330	1008
332	750
333	239
333	591
334	116
334	1004
336	570
336	594
336	1002
339	73
339	169
340	478
343	141
343	413
343	653
344	274
344	1018
345	3
345	299
345	331
347	89
347	401
350	156
351	917
353	163
355	65
356	166
356	374
357	79
358	340
358	572
359	853
360	1010
366	732
367	53
369	299
371	209
372	542
376	194
377	715
380	198
382	268
382	316
384	355
384	611
384	1011
385	250
385	706
385	786
386	201
387	688
389	158
389	974
390	645
391	76
392	635
392	947
393	282
394	489
396	7
396	511
399	108
400	163
400	555
402	393
404	887
406	21
406	589
407	180
407	220
408	651
409	82
409	170
409	1018
411	880
411	952
411	960
412	535
414	277
415	444
416	67
416	955
416	987
417	250
418	161
418	505
421	198
424	179
424	651
427	136
428	167
429	382
429	566
429	750
430	221
433	178
433	434
434	201
434	457
436	183
437	406
437	894
441	898
443	552
447	412
447	868
448	291
449	1002
450	649
451	944
452	159
452	295
454	789
455	84
455	156
456	187
459	360
459	768
460	583
462	661
462	829
463	1020
469	366
469	950
471	108
472	283
473	210
473	842
473	906
474	409
478	397
479	124
479	852
479	932
482	313
483	824
484	663
485	686
486	573
488	99
488	747
489	530
490	817
492	607
492	943
494	349
494	525
495	324
495	612
496	19
496	867
497	394
497	578
497	762
498	353
498	657
499	448
499	840
500	111
500	711
501	534
503	764
504	219
505	434
506	649
511	180
511	660
512	700
513	989
515	367
515	655
515	1023
517	969
518	226
518	594
518	978
519	283
521	397
521	565
523	799
524	592
525	1
526	26
526	714
526	794
527	355
530	606
530	830
531	519
531	551
532	160
533	257
534	218
534	298
537	373
537	725
538	142
540	328
541	593
543	267
544	28
544	236
544	276
545	533
546	390
546	598
547	255
547	943
548	104
549	1
549	465
550	490
551	219
551	723
553	357
554	190
554	654
555	455
557	57
557	425
558	490
559	307
559	851
562	78
563	255
563	647
565	25
565	521
565	601
565	873
565	945
567	683
568	108
568	692
569	901
570	406
570	630
571	327
571	639
572	24
573	273
573	545
573	1009
574	490
575	1019
577	749
577	965
578	86
579	151
579	631
579	879
580	800
581	65
582	778
582	970
583	699
584	692
585	213
588	880
590	538
590	954
591	131
593	165
594	302
596	816
596	840
599	19
602	470
602	662
603	175
603	791
606	10
606	762
607	379
607	627
608	468
608	940
609	797
609	917
609	949
610	190
610	390
610	398
610	454
611	287
611	927
613	137
613	457
613	769
614	834
615	907
619	359
619	375
619	431
620	176
620	512
620	1008
621	17
621	425
622	978
624	28
624	364
626	630
626	886
627	407
628	72
629	393
630	650
630	698
633	869
634	622
634	694
636	592
636	872
637	809
638	578
639	363
639	899
640	717
641	316
643	86
646	675
648	29
649	972
651	310
653	328
653	856
655	114
655	170
655	898
656	453
659	678
661	168
661	512
662	691
663	626
665	1004
666	55
666	831
669	88
669	368
669	584
669	888
670	227
674	319
677	56
677	96
677	536
677	776
678	307
678	539
679	458
680	197
680	613
680	797
680	821
682	615
683	870
684	217
684	425
684	481
684	505
684	617
684	793
685	944
687	82
687	602
687	866
688	533
689	700
691	374
692	721
693	1000
696	5
696	877
696	941
698	239
698	343
707	742
708	969
708	1001
710	379
710	923
711	426
711	562
711	714
712	349
714	135
714	591
716	329
721	460
723	190
723	550
726	235
726	683
726	747
727	146
729	100
730	71
730	703
731	374
731	438
731	566
732	985
734	739
734	779
735	714
739	894
740	673
741	128
742	35
743	450
743	594
743	810
743	930
743	954
746	527
746	575
747	974
749	208
749	408
749	976
751	754
752	997
753	44
753	644
754	671
755	262
757	448
758	707
759	10
759	346
759	426
760	173
760	301
761	948
763	366
764	577
766	475
766	979
767	146
767	346
768	6
769	327
769	863
769	943
770	1012
772	138
777	383
777	503
778	988
779	21
780	562
784	518
785	15
785	439
785	471
787	613
787	957
790	160
791	161
791	377
793	103
793	383
793	559
793	647
794	260
794	564
794	572
794	860
796	562
797	843
798	344
798	968
800	846
801	207
801	911
802	148
803	1013
804	162
804	170
804	282
804	418
804	842
805	379
805	395
807	609
807	745
808	358
808	790
809	711
809	903
810	676
811	261
814	48
815	793
817	183
818	492
818	564
820	338
821	867
822	400
824	14
826	60
826	564
826	916
827	381
827	901
828	82
828	258
829	883
830	320
831	425
833	415
833	663
835	773
837	715
837	779
838	24
838	392
838	952
839	81
839	217
839	225
839	545
839	873
842	892
843	797
844	210
844	338
845	363
845	907
845	939
847	809
848	294
850	68
851	653
852	618
852	730
853	275
858	508
858	612
859	669
859	725
859	861
860	514
860	634
860	746
861	731
862	656
862	664
863	249
864	686
865	319
868	730
870	624
871	545
871	993
873	55
873	503
873	983
874	164
875	869
877	203
877	451
878	1016
879	505
879	809
879	849
882	220
882	708
883	261
884	674
886	968
887	809
888	262
888	270
888	638
889	991
891	141
891	173
893	403
893	963
894	184
894	544
894	920
895	737
896	399
897	190
899	364
899	876
900	371
900	595
900	947
902	705
903	776
905	326
906	69
906	501
906	821
906	1013
907	972
908	475
909	410
910	401
910	625
911	392
913	918
914	189
915	380
915	668
915	716
916	19
919	136
919	1016
920	255
920	295
921	478
922	949
924	211
925	554
926	473
926	849
927	24
927	104
930	829
932	171
932	483
932	555
935	168
936	831
936	935
938	621
939	628
939	724
