ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
M5b-G-20|G_GOV_GATE|P1|旧宪章 §12.3-1（模块注册表/清单一致）、§15.4、§17-3|ENGINEERING_SPEC §8：检查器覆盖至少含模块 manifest/注册表/构建 target/产品清单一致，每项检查有正例与负例；ASTROCS_DESIGN §7.3：每模块含 README/module.yaml/公开头/实现/可复用测试。|命令：grep -n 'MODULES = ' -A 7 tools/check_module_readmes.py；ls lib/*/module.yaml；ls docs/modules/registry/*.md；输出：MODULES 仍为 5 项硬编码（phase1/stars,wcs,photometry,noise + phase3_session）；module.yaml 21 份；registry 页 26 份|OPEN|MOD-001|与 GAP-008 重复|门仍只做 5 条常量对的存在性/子串检查且实跑 exit 0，与 21 份 module.yaml、26 份 registry 页无任何集合对账；GAP_AUDIT §2 亦把该 rc=0 归入 GAP-008。
M6a-G-002|G_GOV_GATE|P1|旧宪章 §11（统一日志与 run-trace）、§8.6、§10.5、§12.2|ENGINEERING_SPEC §9：结构化日志走 JSONL 事件，错误通过统一状态码+结构化诊断传播；ASTROCS_DESIGN §6.3：运行事件走 JSONL，运行产物只落配置 output_dir，不得以进程 CWD 作隐式缺省写出。|命令：grep -n 'DYNAMIC_PSF_LOG_LEVEL' lib/dynamic_psf/src/dpsf_log.cpp；grep -n 'create_directories("lib' lib/dynamic_psf/src/dpsf_log.cpp；grep -c 'stderr' lib/phase2/src/sampler.cpp；输出：:20 getenv("DYNAMIC_PSF_LOG_LEVEL")；:39 create_directories("lib/dynamic_psf/logs")；sampler.cpp stderr 22 处|OPEN|OBS-001|无|三套私有 env 控级+CWD 相对源码树落点（lib/dynamic_psf/logs 等）与科学路径无条件 fprintf(stderr) 全部在位，host logger/JSONL 收敛零证据。
M6b-G-004|G_GOV_GATE|P1|旧宪章 §12.3、§12.3-9、§13.2、§14.5、§17.2、§17.10|ENGINEERING_SPEC §8：每项检查有正例与负例（能红能绿），豁免必须显式登记且只减不增；ASTROCS_DESIGN §12：未实现/未验收必须明确报告，不得用命令占位/空输出/文档声明冒充完成。|命令：grep -n 'return 0' tools/quality/check_traceability.py；grep -n 'DEFAULT_TABLES' tools/check_traceability.py；grep -c 'never_waivable' ci/run.py；输出：159:return 0（无条件）；:16 默认表为 artifacts/prerelease_v5/tables/TRACEABILITY.csv；0 命中|OPEN|CI-001|无|锚门 git_ls 无 timeout、anchor_contract.json expiry 命中 0、check_test_contracts 伞形豁免 :40-42、TRACEABILITY-MATRIX 命令仍无 --strict 全部复现；仅 known_failures 挂账由 2 条变 1 条。
M6b-G-005|G_GOV_GATE|P1|旧宪章 §12.3 全条（十二项机器检查）、§17.2、§17.10|ENGINEERING_SPEC §8：检查器覆盖清单（模块 manifest/注册表/构建 target/产品清单一致、端口引用有效 DATA 合同、算法引用有效 SCI/ALG、API 文档与 AST 一致、删除/重命名无悬空引用）。|命令：grep -i -c -e REFERENCE -e INTEGRITY -e DANGLING ci/checks.json；grep -n 'module_index' tools/quality/check_pipeline_graph.py；输出：引用完整性门 0 命中；:40 compare 形参 module_index 在函数体内零引用，CI 只跑 --selftest|OPEN|CI-001|无|§12.3-9 对应门仍零实现；checks.json 已由 finding 时点的 75 项增至 145 项，但悬空引用/条款引用有效性仍无承载门。
M6b-G-006|G_GOV_GATE|P1|旧宪章 §12.1/§12.2（分层权威）、§12.3 总则、§17.2|ENGINEERING_SPEC §8：检查器覆盖含活动文档无陈旧版本号/历史状态冒充当前状态；ASTROCS_DESIGN §0：本文与其他任何文档冲突时以本文为准。|命令：python3 解析 docs/DOCUMENT_INDEX.yaml 统计 path/status；输出：条目 305（ACTIVE_NORMATIVE 190、ACTIVE_INFORMATIVE 67、GENERATED 17、ARCHIVED 31）；不在符号门五目录内 50 条（26%）|OPEN|CI-001|无|finding 的 236/123/82 已过期，按当前树复算为 305/190/50；docs/owner、docs/standards、docs/traceability 等仍在任何内容级门作用域外，索引 :18 的自述未限定该作用域。
M7-G-101|G_GOV_GATE|P1|旧宪章 §18.1（四投影裁决）；docs/standards/STANDARDS_REGISTRY.md D.spherical-projection 行|ASTROCS_DESIGN §5.3：首批冻结 TAN/SIN/CAR/AIT/STG/MOL/CEA/ZEA 八投影，新增投影经 registry 注册并附独立往返 Oracle；ASTROCS_DESIGN §0：冲突以本文为准。|命令：sed -n '100p' docs/science/PHASE3_HIPS_TO_FITS.md；grep -n '不互改' docs/algorithms/PHASE3_PROJ_IMPL.md；输出：SCI 仍写「输出投影清单：alpha 仅 TAN；SIN/CAR 等增加须独立测试+新 claim」；ALG :360 仍写「不互改」|OPEN|P3-001|与 GAP-011 重复|旧判据四投影已被最新权威八投影取代，冲突反而扩大：SCI 仍显式拒绝 SIN/CAR，注册表仍按四投影记 CONFORMANT 且偏差列「无」。
M7-G-102|G_GOV_GATE|P1|旧宪章 §1.1/§1.2（权威分层与变更权）、§12.3-12|ASTROCS_DESIGN §0：Agent 无权放宽、重新解释或为通过检查而改写本文；§12：未实现/未验收必须明确报告，不得用文档声明冒充完成。|命令：grep -n '无差异项' docs/algorithms/DRIZZLE_GEOMETRY.md；grep -n '不构成合同违反' docs/algorithms/PHASE3_RSMP_IMPL.md；输出：DRIZZLE_GEOMETRY.md:236「无差异项（核对通过）」；PHASE3_RSMP_IMPL.md:307「冻结现状实现为合同基线；§11 五项偏差不构成合同违反」|OPEN|GOV-001|无|ALG 仍以自裁口吻出具合规结论且无 §12.3-12 要求的 SHA/命令/日志可追溯证据，越权句式未被撤销。
M7-G-103|G_GOV_GATE|P1|旧宪章 §4.1（量与单位分离）、§5.3（单位闭合）、§12.3|ASTROCS_DESIGN §11.1：科学定义先于算法、算法先于实现；ENGINEERING_SPEC §3：科学公式、精度与默认容差不可修改。|命令：ls docs/standards/SCIENTIFIC_CONSTANTS.md；grep -n '1.4826' docs/science/NOISE_MODEL.md；输出：目标文件不存在；NOISE_MODEL.md:17 写 1.4826022185、:46 写 1.482602218505602、:91 写 1.4826 与 0.6745 四写法并存|OPEN|DOC-001|无|常数「值×因次×适用域×推导源」四元表仍无载体；:135 只补了 MAD 恒等式的推导源一条，值/因次/适用域仍分散，机器无从判违规。
M7-G-104|G_GOV_GATE|P1|旧宪章 §12.3-4（独立 Oracle）、§13.1|ENGINEERING_SPEC §5.1：不调用生产实现的独立 Oracle 或解析解；ASTROCS_DESIGN §11.1：每个模型有独立解析/高精度/Monte Carlo Oracle。|命令：ls lib/common/healpix/tests/；grep -rn 'test_healpix_oracle' --include=CMakeLists.txt .；find lib -name oracle.jsonl；输出：test_healpix_oracle.cpp 在位；构建目标命中 0；oracle.jsonl 0 个|OPEN|CI-001|无|原为归集条（自述无独立四态）；本轮以实例 1 复现取证：Oracle 源文件存在但不在任何 CTest 执行面且真值文件缺失，§5.1 独立 Oracle 义务仍未落地。
M7-G-105|G_GOV_GATE|P1|旧宪章 §12.3-1（科学定义=算法=接口=代码=测试）、§13.1|ENGINEERING_SPEC §8：算法引用有效 SCI/ALG、无悬空引用，检查器能红能绿；ASTROCS_DESIGN §11.1：科学定义先于算法。|命令：sed -n '136p' docs/standards/STANDARDS_REGISTRY.md；sed -n '43p' 同文件；grep -n 'Paper IV' lib/core/src/module_adapters.cpp；输出：:136 以 Górski §5.2/§5.3 支撑「order ≤ 29」并记 CONFORMANT 偏差「无」；:43 CLAUSES 只列 §5.1/§5.2/§5.3 三主题；module_adapters.cpp:1903 仍引「FITS paper IV §2.1」|OPEN|DOC-001|无|三例中两例（注册表工程上界冒充 Górski 条款、SIP 桥注释错引 Paper IV）逐字仍在位，外部标准锚仍为自述版本。
