x	y
1	489
1	569
2	626
4	1012
6	318
9	401
10	386
11	315
12	580
13	909
14	470
15	143
18	890
19	563
21	213
22	670
24	848
25	409
25	1009
26	66
27	971
28	364
28	924
28	940
31	135
32	8
32	712
33	841
34	954
35	715
36	732
36	948
39	303
40	512
40	936
41	673
42	242
45	621
46	278
46	766
48	240
49	329
50	210
51	555
51	819
52	28
52	84
52	508
52	932
52	948
55	703
56	200
57	825
59	707
60	724
61	437
62	182
64	712
66	410
69	101
69	829
69	853
71	423
71	479
71	903
72	72
73	225
73	545
74	178
75	619
75	795
76	916
77	629
78	38
78	598
82	594
84	4
84	116
84	308
85	213
85	389
85	437
85	637
86	590
87	103
87	327
87	351
89	113
89	185
94	670
95	239
96	312
96	640
98	378
99	867
100	92
100	540
101	613
101	765
102	814
103	935
105	881
107	987
109	117
109	781
111	551
112	0
112	632
118	758
119	23
121	153
121	681
123	219
124	156
124	428
124	716
126	222
126	374
130	99
131	514
132	133
136	113
137	600
137	680
138	451
138	475
138	491
138	931
139	338
142	607
142	999
143	638
143	830
144	537
145	656
145	1008
146	251
146	891
147	482
147	626
148	813
149	372
149	628
150	15
150	575
150	871
152	81
152	665
153	32
154	1011
155	90
156	893
158	543
159	814
161	480
162	235
162	667
165	852
166	351
168	521
171	2
172	237
174	383
174	799
175	678
175	830
176	417
177	920
178	427
178	547
178	715
178	1011
179	522
180	269
181	980
184	225
184	361
185	720
187	186
189	92
189	156
189	740
189	940
191	1014
192	81
194	571
195	138
195	594
197	612
199	374
200	337
203	490
203	658
204	981
205	436
205	676
206	343
207	182
207	902
208	225
208	233
208	737
210	59
210	843
211	442
213	268
214	127
217	760
218	883
219	170
220	69
220	941
221	228
223	366
224	545
225	808
225	992
226	107
226	619
226	675
228	509
228	837
229	812
230	807
232	713
233	168
233	224
233	592
234	707
234	795
236	93
238	151
239	390
239	662
240	121
243	522
245	916
246	87
247	238
248	201
249	576
250	659
252	53
252	221
253	348
254	847
255	798
256	354
258	24
258	280
258	320
258	712
259	225
262	620
262	660
265	107
266	624
266	776
267	977
269	95
270	772
271	485
271	733
272	962
276	94
276	214
277	495
277	663
278	436
280	314
281	27
282	240
283	313
284	614
284	926
284	1022
285	207
287	309
288	834
289	315
289	411
289	459
290	144
290	496
290	752
291	897
292	238
292	950
294	796
296	298
296	658
297	131
298	456
298	728
298	928
300	846
300	966
302	252
303	29
305	219
306	864
307	977
308	718
309	831
310	348
310	884
312	498
312	842
313	595
315	17
315	321
316	126
317	623
318	124
318	852
318	1004
321	203
322	800
323	353
323	601
325	847
326	356
327	293
328	610
332	534
333	23
334	428
335	965
337	963
339	41
339	569
340	246
342	452
343	365
344	34
344	602
349	399
351	1013
353	91
353	667
354	256
354	688
354	696
356	910
357	127
358	124
358	388
359	989
361	395
362	416
362	440
363	185
363	609
364	758
365	271
367	141
368	674
368	730
369	835
370	888
371	113
371	785
372	630
372	974
375	93
375	237
375	437
376	394
376	930
376	1018
377	547
378	552
379	73
380	958
381	263
382	604
383	53
383	469
383	549
383	565
384	419
384	539
388	263
388	767
390	437
392	411
392	627
392	971
393	2
395	128
395	520
396	751
396	927
402	1001
403	704
404	975
405	502
405	678
407	572
408	483
409	210
410	857
411	160
412	79
412	87
416	147
417	754
419	288
421	278
421	774
422	317
423	644
427	752
429	814
429	838
429	998
430	349
430	381
431	820
433	442
435	608
437	366
437	446
438	69
438	333
439	164
439	212
439	220
440	3
440	315
441	602
441	770
442	617
446	229
446	405
449	650
452	863
454	109
455	612
457	714
458	105
458	697
460	375
464	139
467	56
468	151
468	423
470	453
474	65
474	649
475	552
475	584
475	808
477	182
477	606
478	453
478	461
478	621
478	685
478	757
481	314
483	944
484	31
485	454
486	93
487	508
488	259
488	467
489	90
493	254
494	13
495	876
497	506
501	390
501	686
503	76
503	84
503	836
503	1012
504	891
505	82
506	161
506	225
507	608
508	759
509	726
510	117
511	892
511	900
512	812
514	462
515	511
517	977
520	620
521	117
521	949
522	974
523	15
523	111
525	321
525	329
525	793
526	50
527	683
527	923
529	541
531	47
532	56
532	992
533	409
534	418
534	626
535	171
535	947
536	348
536	988
539	439
540	1000
541	673
541	905
544	324
546	718
547	519
548	192
548	360
549	777
551	51
551	699
552	60
552	524
552	892
554	382
555	111
556	80
558	186
558	346
558	874
558	914
561	509
561	709
562	710
564	872
567	235
569	173
569	677
569	869
569	901
570	614
570	662
572	88
573	833
576	388
577	181
578	30
578	1006
579	631
580	408
580	872
581	673
582	162
582	210
582	498
582	610
583	547
583	931
584	812
588	160
588	296
592	468
592	564
592	612
592	812
593	125
594	246
594	622
595	367
595	727
595	791
597	177
599	627
600	92
600	356
600	588
601	453
601	701
601	821
603	887
605	305
605	409
606	970
607	515
607	803
608	716
609	589
609	661
609	821
610	918
612	200
612	352
613	369
614	978
616	44
617	981
618	78
618	414
620	160
623	315
626	670
627	319
628	176
628	184
628	448
628	560
628	960
631	419
632	900
635	711
635	831
635	887
640	157
641	324
642	471
642	711
645	728
648	389
648	725
649	932
650	903
653	624
654	875
657	236
657	508
657	724
658	583
659	446
659	774
661	544
661	800
662	923
663	434
663	594
663	818
663	922
664	501
664	1021
665	844
666	479
667	30
671	90
671	298
671	610
671	922
672	317
672	421
673	356
673	868
674	495
676	321
678	219
678	979
680	685
681	940
682	543
684	497
685	224
686	299
687	90
687	386
687	698
687	866
691	790
692	657
693	616
694	339
698	943
700	57
703	522
704	501
707	542
707	662
708	793
709	32
709	208
709	352
709	784
709	840
710	283
711	298
711	394
712	13
712	21
712	45
713	484
716	993
717	216
721	196
721	556
723	734
724	865
725	216
725	400
725	920
725	968
726	331
729	564
730	951
732	849
733	112
734	443
737	212
738	151
739	126
739	382
741	736
745	84
746	351
747	702
748	97
748	713
748	977
750	427
751	354
751	426
754	855
755	70
755	278
755	526
757	576
760	221
760	629
763	430
765	944
766	243
766	411
766	763
768	206
768	798
768	894
768	1006
769	1007
770	52
771	61
772	18
772	898
773	675
774	232
774	408
774	808
775	337
778	692
779	5
779	437
779	1021
780	210
780	786
781	491
781	819
782	600
782	624
782	784
784	142
784	366
784	494
785	423
786	964
787	661
789	43
790	536
791	313
791	577
792	278
794	244
796	714
797	107
797	187
797	483
798	24
798	984
799	33
800	430
802	44
803	629
804	26
809	407
809	695
812	194
812	530
813	363
813	419
813	995
814	512
816	830
816	1022
817	583
817	647
818	652
819	101
819	133
819	757
820	978
821	947
824	678
826	548
827	189
827	765
828	970
830	8
831	49
831	985
833	271
833	911
835	813
836	458
836	578
836	650
837	235
837	395
837	635
837	651
837	995
838	368
838	488
838	832
838	952
839	41
839	233
839	345
839	489
839	577
840	254
841	471
841	903
844	826
845	187
845	779
846	344
847	393
848	878
851	893
853	907
854	72
857	215
858	140
859	349
859	893
861	171
861	363
862	328
862	712
864	102
864	126
864	542
865	431
865	903
869	75
871	673
872	790
872	918
873	23
873	783
875	981
876	18
876	346
877	603
879	305
879	721
880	934
881	199
881	1023
884	258
886	896
887	241
889	223
889	743
890	268
890	284
892	322
893	651
893	939
894	584
894	768
894	952
899	188
900	979
901	578
903	32
904	103
904	751
905	174
905	374
905	510
907	132
907	628
909	666
909	994
910	57
910	553
911	112
911	584
912	367
915	788
915	804
915	1004
916	459
917	714
919	48
919	112
920	519
920	999
921	414
922	309
923	444
925	810
927	528
927	888
930	69
932	91
932	139
932	195
933	2
934	657
937	46
937	126
938	13
938	117
939	276
939	356
939	772
940	675
942	553
943	208
943	640
943	800
944	55
944	175
945	918
945	1022
946	13
946	853
947	572
948	339
948	699
948	971
953	438
954	797
956	259
957	98
958	161
960	71
960	79
960	143
960	199
960	223
960	583
960	711
960	791
961	934
962	85
963	196
963	372
963	956
963	964
964	131
965	290
965	466
965	906
966	697
966	753
966	889
967	400
968	359
969	806
972	403
972	603
972	883
973	338
973	490
973	882
973	898
974	417
974	617
974	721
978	325
978	461
978	653
978	853
980	195
983	512
988	811
989	2
989	482
989	794
990	257
991	928
992	31
992	135
993	382
994	893
996	571
996	579
996	891
997	722
997	898
1002	789
1003	636
1006	857
1007	568
1007	624
1008	39
1008	55
1010	181
1011	788
1016	983
1017	406
1017	558
1019	228
1019	260
1020	883
1020	955
1021	634
1022	329
1022	473
1022	897
1023	216
