task_id,phase,depends_on,scope,required_commit,required_push,preferred_host,status
BASE-001,BASE,,冻结当前 main 身份与 V3 V4 风险清单,no,no,Linux,PASS
GOV-001,BASE,BASE-001,合并精简 AGENTS 规则与连续执行状态机,yes,yes,Linux,PASS
VER-001,DOC,GOV-001,建立 alpha 单一版本源与机器化同步检查,yes,yes,Linux,PASS
TRACE-001,DOC,GOV-001,建立 SCI ALG ARCH API CODE TEST 追溯 schema 与检查器,yes,yes,Linux,PASS
DOC-001,DOC,TRACE-001,冻结术语 单位 坐标 frame weight variance mask 词典,yes,yes,Linux,PASS
SCI-001,SCI,DOC-001,Calibration 科学合同与文献,yes,yes,Linux,PASS
SCI-002,SCI,DOC-001,WCS PSF Photometry 科学合同与文献,yes,yes,Linux,PASS
SCI-003,SCI,DOC-001,Noise SNR variance ivar 科学合同与文献,yes,yes,Linux,PASS
SCI-004,SCI,DOC-001,Drizzle support flux covariance 科学合同与文献,yes,yes,Linux,PASS
SCI-005,SCI,DOC-001,UPM 光度面 接缝 正则化科学合同,yes,yes,Linux,PASS
SCI-006,SCI,DOC-001,Rejection Integration 科学合同与文献,yes,yes,Linux,PASS
SCI-007,SCI,DOC-001,Phase3 HiPS 球面到平面 FITS 科学合同与文献,yes,yes,Linux,PASS
ALG-001,ALG,SCI-001,Calibration 离散算法 误差 复杂度 并行性,yes,yes,Linux,PASS
ALG-002,ALG,SCI-002,WCS PSF Photometry 离散算法,yes,yes,Linux,PASS
ALG-003,ALG,SCI-003,Noise SNR 离散算法与归约误差,yes,yes,Linux,NOT_STARTED
ALG-004,ALG,SCI-004,Drizzle 离散算法与支持域,yes,yes,Linux,NOT_STARTED
ALG-005,ALG,SCI-005,UPM 稀疏求解与接缝算法,yes,yes,Linux,NOT_STARTED
ALG-006,ALG,SCI-006,Rejection Integration 离散算法,yes,yes,Linux,NOT_STARTED
ALG-007,ALG,SCI-007,Phase3 order WCS 重采样 FITS 算法,yes,yes,Linux,NOT_STARTED
REV-001,REVIEW,ALG-001|ALG-002|ALG-003|ALG-004|ALG-005|ALG-006|ALG-007,生成全量 SCI ALG 异步审阅胶囊,no,no,Linux,NOT_STARTED
ARCH-001,ARCH,GOV-001,盘点生产入口 线程池 队列 ACR 和 Phase 数据流,yes,yes,Linux,NOT_STARTED
ARCH-002,ARCH,ARCH-001|ALG-001|ALG-002|ALG-003|ALG-004|ALG-005|ALG-006|ALG-007,冻结单一 CLI 与 Phase1 2 3 架构,yes,yes,Linux,NOT_STARTED
ARCH-003,ARCH,ARCH-001,冻结纯 CPU backend ABI loader 和逐 kernel 调度,yes,yes,Linux,NOT_STARTED
ARCH-004,ARCH,ARCH-002|ARCH-003,冻结全局 thread budget 串并行异步与取消架构,yes,yes,Linux,NOT_STARTED
ARCH-005,ARCH,ALG-007|ARCH-002|ARCH-004,冻结 Phase3 HiPS 到 FITS 模块架构,yes,yes,Linux,NOT_STARTED
API-001,API,ARCH-002|ARCH-003|TRACE-001,定义公共类型 配置 error cancel ownership 和 ABI,yes,yes,Linux,NOT_STARTED
API-002,API,API-001|ARCH-002,定义 CLI 命令 JSON JSONL exit code schema,yes,yes,Linux,NOT_STARTED
API-003,API,API-001|ALG-001|ALG-002|ALG-003,定义 Phase1 内部 API 全函数合同,yes,yes,Linux,NOT_STARTED
API-004,API,API-001|ALG-004|ALG-005|ALG-006,定义 Phase2 内部 API 全函数合同,yes,yes,Linux,NOT_STARTED
API-005,API,API-001|ALG-007|ARCH-005,定义 Phase3 HiPS FITS API 全函数合同,yes,yes,Linux,NOT_STARTED
CLI-001,CODE,API-002,建立 Windows Linux 单一 astrocs CLI 骨架,yes,yes,Linux,NOT_STARTED
CLI-002,CODE,CLI-001,实现 JSON JSONL exit cancel crash 协议与 schema tests,yes,yes,Linux,NOT_STARTED
CLI-003,CODE,CLI-002|VER-001,实现 config version run manifest 与验证命令,yes,yes,Linux,NOT_STARTED
CLI-004,CODE,CLI-003|API-003,将 Phase1 作为进程内 API 接入 CLI,yes,yes,Linux,NOT_STARTED
CLI-005,CODE,CLI-003|API-004,将 Phase2 作为进程内 API 接入 CLI,yes,yes,Linux,NOT_STARTED
P3-001,CODE,API-005,实现 HiPS properties tile order frame 与安全读取,yes,yes,Linux,NOT_STARTED
P3-002,CODE,P3-001,实现输出 FITS WCS 和 pixel world 变换,yes,yes,Linux,NOT_STARTED
P3-003,CODE,P3-002,实现跨 tile 重采样 coverage mask 与单位语义,yes,yes,Linux,NOT_STARTED
P3-004,CODE,P3-003,实现 FITS writer header provenance 与独立读取验证,yes,yes,Linux,NOT_STARTED
CLI-006,CODE,CLI-003|P3-004,将 Phase3 作为进程内 API 接入 CLI,yes,yes,Linux,NOT_STARTED
CLI-007,CODE,CLI-004|CLI-005|CLI-006,实现统一 run phases 1 2 3 编排恢复与 artifact,yes,yes,Linux,NOT_STARTED
CLI-008,CODE,CLI-007,从发布目标移除旧 Phase 与 benchmark 可执行入口,yes,yes,Linux,NOT_STARTED
ABI-001,CPU,API-001|ARCH-003,实现稳定 C ABI v1 host services kernel table selftest,yes,yes,Linux,NOT_STARTED
ABI-002,CPU,ABI-001,实现 manifest hash CPUID XGETBV 和安全 DLL SO loader,yes,yes,Linux,NOT_STARTED
ABI-003,CPU,ABI-002,实现无 AVX 要求的 baseline backend 与动态多线程,yes,yes,Linux,NOT_STARTED
ISA-001,CPU,ABI-003,对已证明热点实现并验证 SSE4.1 backend,yes,yes,Linux,NOT_STARTED
ISA-002,CPU,ISA-001,对已证明热点实现并验证 AVX backend,yes,yes,Linux,NOT_STARTED
ISA-003,CPU,ISA-002,对已证明热点实现并验证 AVX2 FMA backend,yes,yes,Linux,NOT_STARTED
ISA-004,CPU,ISA-003,对已证明热点实现并验证 AVX512 backend,yes,yes,Windows,NOT_STARTED
ISA-005,CPU,ISA-004,仅对相关整数热点评估 BMI2 POPCNT 等路径,yes,yes,Windows,NOT_STARTED
BENCH-001,BENCH,ABI-003,实现 affinity topology CPUID XCR0 hardware inspect,yes,yes,Linux,NOT_STARTED
BENCH-002,BENCH,BENCH-001|ISA-001|ISA-002|ISA-003|ISA-004|ISA-005,实现逐 backend 独立 Oracle 筛选和 benchmark harness,yes,yes,Linux,NOT_STARTED
BENCH-003,BENCH,BENCH-002,实现内存基线与逐 kernel size precision worker block 测量,yes,yes,Linux,NOT_STARTED
BENCH-004,BENCH,BENCH-003,实现稳健统计 选择 profile schema 缓存与失效,yes,yes,Linux,NOT_STARTED
BENCH-005,BENCH,BENCH-004|CLI-003,接入 hardware benchmark doctor CLI 命令,yes,yes,Linux,NOT_STARTED
MON-001,MON,CLI-001,实现 Linux Windows 进程 CPU memory IO thread telemetry,yes,yes,Linux,NOT_STARTED
MON-002,MON,MON-001|CLI-007,实现 stage 标注 JSONL resource event 和摘要,yes,yes,Linux,NOT_STARTED
MON-003,MON,MON-002|BENCH-004,实现 compute memory io mixed 利用率门禁和快速失败,yes,yes,Linux,NOT_STARTED
MON-004,MON,MON-003,实现重复 stage 内存斜率 泄漏和 OOM 预警门禁,yes,yes,Linux,NOT_STARTED
ISO-001,PAR,CLI-008|ABI-003,证明 ACR GPU Mixed 在生产路由与发布包完全 dormant,yes,yes,Linux,NOT_STARTED
PAR-001,PAR,MON-003|ARCH-004,修复 AIO 队列 全局锁 backpressure 和线程预算,yes,yes,Linux,NOT_STARTED
PAR-002,PAR,MON-003|ARCH-004,修复 sampler 竞态 crash 生命周期与可扩展性,yes,yes,Linux,NOT_STARTED
PAR-003,PAR,MON-003|ALG-005|ARCH-004,修复 UPM 稀疏计算竞态和 CPU 扩展性,yes,yes,Linux,NOT_STARTED
PAR-004,PAR,MON-003|ALG-004|ARCH-004,修复 Drizzle 重计算布局 归约和 CPU 扩展性,yes,yes,Linux,NOT_STARTED
PAR-005,PAR,MON-003|ALG-006|ARCH-004,修复 Rejection Integration 并行和确定性合同,yes,yes,Linux,NOT_STARTED
PAR-006,PAR,MON-003|ALG-001|ALG-002|ALG-003|ARCH-004,修复 Phase1 热点并行与资源利用,yes,yes,Linux,NOT_STARTED
PAR-007,PAR,PAR-001|PAR-002|PAR-003|PAR-004|PAR-005|PAR-006,消除嵌套过订阅并证明统一 thread budget,yes,yes,Linux,NOT_STARTED
SYN-001,TEST,ALG-001|PAR-006|ABI-003,Calibration 独立合成 Oracle 全后端全线程,yes,yes,Linux,NOT_STARTED
SYN-002,TEST,ALG-002|PAR-006|ABI-003,WCS PSF Photometry 独立合成 Oracle,yes,yes,Linux,NOT_STARTED
SYN-003,TEST,ALG-003|PAR-006|ABI-003,Noise SNR 独立合成 Oracle,yes,yes,Linux,NOT_STARTED
SYN-004,TEST,ALG-004|PAR-004|ABI-003,Drizzle 独立合成 Oracle 与不变量,yes,yes,Linux,NOT_STARTED
SYN-005,TEST,ALG-005|PAR-003|ABI-003,UPM 接缝 独立合成 Oracle,yes,yes,Linux,NOT_STARTED
SYN-006,TEST,ALG-006|PAR-005|ABI-003,Rejection Integration 独立合成 Oracle,yes,yes,Linux,NOT_STARTED
SYN-007,TEST,ALG-007|CLI-006|ABI-003,Phase3 HiPS FITS 独立合成 Oracle,yes,yes,Linux,NOT_STARTED
SYN-008,TEST,SYN-004|SYN-005|SYN-006,马赛克接缝 flux support 和低频残差专项,yes,yes,Linux,NOT_STARTED
SYN-009,TEST,CLI-007|SYN-001|SYN-002|SYN-003|SYN-004|SYN-005|SYN-006|SYN-007,CLI Phase1 2 3 端到端合成 pipeline,yes,yes,Linux,NOT_STARTED
DOCCHK-001,CHECK,API-002|API-003|API-004|API-005|CLI-008,机器核对文档函数名 签名 schema 命令与退出码,yes,yes,Linux,NOT_STARTED
DOCCHK-002,CHECK,TRACE-001|SYN-001|SYN-002|SYN-003|SYN-004|SYN-005|SYN-006|SYN-007|SYN-008|SYN-009|DOCCHK-001,机器核对六层追溯和单位 mutation tests,yes,yes,Linux,NOT_STARTED
LNX-001,LINUX,DOCCHK-002|ISO-001|PAR-007,amd64 clean Debug Release 构建零错误零警告债,yes,yes,Linux,NOT_STARTED
LNX-002,LINUX,LNX-001|BENCH-005,运行 hardware quick benchmark profile fallback 与 ISA 安全测试,yes,yes,Linux,NOT_STARTED
LNX-003,LINUX,LNX-002|MON-004,运行全量小合成 CLI contract 和资源门禁,yes,yes,Linux,NOT_STARTED
LNX-004,LINUX,LNX-003,运行 ASan UBSan TSan 可行集 静态分析和内存循环,yes,yes,Linux,NOT_STARTED
LNX-005,LINUX,LNX-004|VER-001,生成 Linux alpha amd64 发布包 SBOM manifest hash smoke test,yes,yes,Linux,NOT_STARTED
REV-002,REVIEW,LNX-005|DOCCHK-002,生成架构 API 核心代码 Oracle 与 Linux 异步审阅胶囊,no,no,Linux,NOT_STARTED
WIN-001,WINDOWS,LNX-005,探测 Fatduck 同步相同 main SHA 与数据 manifest,no,no,Windows,NOT_STARTED
WIN-002,WINDOWS,WIN-001,MSVC amd64 clean Debug Release 构建零错误零失败,yes,yes,Windows,NOT_STARTED
WIN-003,WINDOWS,WIN-002|BENCH-005,运行 doctor 全 backend 安全加载与 full benchmark,yes,yes,Windows,NOT_STARTED
WIN-004,WINDOWS,WIN-003|MON-004,运行全量 synthetic CLI contract 资源与内存门禁,yes,yes,Windows,NOT_STARTED
WIN-005,WINDOWS,WIN-004,运行 Windows sanitizer 可用集 静态检查和跨平台数值合同,yes,yes,Windows,NOT_STARTED
WIN-006,WINDOWS,WIN-005,从 Fatduck testdata 冻结少量真实帧并通过代表链路,yes,yes,Windows,NOT_STARTED
WIN-007,WINDOWS,WIN-006|SYN-008,当前候选银心 32R 唯一一次全流程和 32 32 contribution,yes,yes,Windows,NOT_STARTED
WIN-008,WINDOWS,WIN-007,验证 HiPS 接缝固定视图 数值指标和完整资源曲线,yes,yes,Windows,NOT_STARTED
WIN-009,WINDOWS,WIN-008|VER-001,生成 Windows alpha amd64 发布包 SBOM manifest hash smoke test,yes,yes,Windows,NOT_STARTED
REV-003,REVIEW,WIN-009,生成 Windows 32R HiPS 资源和发布包异步审阅胶囊,no,no,Windows,NOT_STARTED
REL-001,RELEASE,REV-001|REV-002|REV-003,关闭外部审阅 P0 P1 并登记 P2 disposition,yes,yes,Linux,NOT_STARTED
REL-002,RELEASE,REL-001,在最终 SHA 做核心 100 百分比与其他代码确定性 20 百分比抽样,no,no,Linux,NOT_STARTED
REL-003,RELEASE,REL-002,冻结 traceability findings tables 与双平台 alpha artifacts,no,no,Linux,NOT_STARTED
REL-004,RELEASE,REL-003,白名单生成校验最终审核包并标等待外部发布审核,no,no,Linux,NOT_STARTED
