ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
M1a-B-001|B_STD_MISMATCH|P0|旧宪章 §12.3-4（claim↔evidence）、§13.4（偏差登记）、§17.1（发布门）；文件：docs/standards/STANDARDS_REGISTRY.md::D.spherical-projection 第 5 行（:66）与偏差表（:76、:241）|ASTROCS_DESIGN.md §12（发布候选清单：偏差登记与证据须一致）；ENGINEERING_SPEC.md §2（注释禁令：禁审计流水复述）|命令：sed -n '411p' lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp; sed -n '535p' lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp; grep -c DISP-WCS-006 docs/standards/STANDARDS_REGISTRY.md；输出：const int NB_GRID = 41;       // 每轴网格点数 (整改: 7 -> 41);                 const int NB_GRID_X   = 81;  // 每轴网格点数 (5.3 段 41 -> 81); 4|OPEN|GOV-001|无|注册表 :66/:76/:241 仍写「7×7 网格」「与 SCI 冻结一致」并评 severity 低，而生产实现为 NB_GRID=41 阶 5 与 NB_GRID_X=81 阶 7，全仓不存在任何 7×7 网格
M1a-B-002|B_STD_MISMATCH|P0|旧宪章 §12.3-13（四投影一致）、§17.1（发布门）、§18.1；文件：docs/standards/STANDARDS_REGISTRY.md::D.spherical 表（:62、:64、:65）+ 偏差登记（:76）|ASTROCS_DESIGN.md §11.1（科学不变量验证）与 §12（P0/P1=0）；FITS WCS Paper II §2.2（fiducial 天球坐标对 (α0,δ0) 须与投影像原点配对）|命令：sed -n '64p' docs/standards/STANDARDS_REGISTRY.md; awk 'NR>=192 && NR<=209 && /crval_dec_deg/{n++} END{print "car_body_crval_dec_deg_hits=" n+0}' lib/phase3_proj/p3_projection.cpp；输出：¦ Paper II §5 Table 1（TAN/SIN/CAR/AIT 四投影） ¦ 四投影按 Table 1 的 R_θ 定义实现，新增投影须注册并附独立往返 Oracle ¦ CONFORMANT ¦ docs/algorithms/PHASE3_PROJ_IMPL.md；tests/unit/p3_projection_test.cpp；tests/backend/test_p3_projection_oracle.py ¦ 无（registry v1 恰四行；T1/T2 往返与独立解析解在位） ¦; car_body_crval_dec_deg_hits=0|OPEN|GOV-001|无|注册表 :64 对 Paper II §5 四投影判 CONFORMANT 且偏差列「无」，而 car_pix2world（:192-209）与 ait_pix2world 函数体完全不引用 CRVAL2，δ 由 θ 直接给出，与 §2.2 fiducial 配对条款不符
M2a-B-1|B_STD_MISMATCH|P0|旧宪章 §5.3（frame identity 可追溯）、§7.3（frame/历元传播须明确，不支持须显式拒绝）、§4.3；文件：docs/standards/STANDARDS_REGISTRY.md::D.catalog（:186 CLAUSES 行 与 :193 判定式首行）|ASTROCS_DESIGN.md §12（未实现/未验收必须明确报告，不得用文档声明冒充）；docs/contracts/DATA_SEMANTICS.md §8.2（星表输出行单位/语义须唯一）；Gaia DR3 source 表 ra/dec 参考历元 J2016.0|命令：awk 'NR==186' docs/standards/STANDARDS_REGISTRY.md; awk 'NR==193' docs/standards/STANDARDS_REGISTRY.md; grep -c 历元 lib/gaia_xpsd_client/src/gaia_client.c；输出：- CLAUSES: DR3 source 列面（ra/dec 参考历元 J2016.0、phot_g_mean_mag/phot_bp_mean_mag/phot_rp_mean_mag）；本地 XPSD 记录布局（ALG-GAIA-001 §2）; ¦ DR3 source 位置列（ra/dec，ICRS，参考历元 J2016.0） ¦ 位置以 ICRS 表达，RA∈[0,360)、Dec∈[-90,90] ¦ CONFORMANT ¦ docs/algorithms/GAIA_QUERY.md；docs/science/ASTROMETRY.md；lib/gaia_xpsd_client/src/gaia_client.c ¦ 无（RA 归一到 [0,360)；frame 契约与 SCI-WCS-001 §3a 一致） ¦; 0|OPEN|GOV-001|无|条款面要求 J2016.0，判定式却给 CONFORMANT/偏差「无」；产品面四处仍声称 J2000，模块代码内历元词零命中，无任何历元换算或传播实现
M2b-B-01|B_STD_MISMATCH|P0|旧宪章 §12.3-10、§19；STD-REG-001 §1.2（禁止按实现反推标准）/§1.4；文件：lib/astro_image_io/src/hips/aio_hips_writer.cpp::tile_rel_path 与 docs/standards/STANDARDS_REGISTRY.md::D.hips 清单行 1|IVOA REC-HIPS-1.0 §4.1：Tile N in order K 位于 NorderK/DirD/NpixN，其中 D=(N/10000)*10000（整数除法），文件名带完整 tile 号（示例 10302@order6 到 Dir10000/Npix10302）|命令：awk 'NR==137{print "writer:137 "$0} END{}' lib/astro_image_io/src/hips/aio_hips_writer.cpp; awk 'NR==41' lib/astro_image_io/src/hips/aio_hips_reader.cpp; awk 'NR==558' runtime/io/hips_core.c；输出：writer:137     uint64_t dir = ipix / 10000;;                   dir.c_str(), order, (unsigned long long)(ipix / 10000),;   D = ipix / 10000u;|OPEN|P1-001|无|生产写/读/runtime 三处（writer :137-138、aio_hips_reader :41-42、hips_core.c :558-559）仍把商写入 Dir、余数写入 Npix，与 §4.1 算式相反；注册表 :93 偏差列还把该实现算式写成「与读侧同一合同」并判 CONFORMANT
M2b-B-02|B_STD_MISMATCH|P0|旧宪章 §12.3-10、§17.11；STD-REG-001 §1.2/§1.4；文件：lib/astro_image_io/src/hips/aio_hips_writer.cpp::write_moc_fits 与 docs/standards/STANDARDS_REGISTRY.md::D.hips 清单行 5 + DISP-HIPS-005|IVOA REC-MOC 2.0 §6 Table 3：ORDERING 与 COORDSYS 对 MOC1.1 与 MOC2.0 均 mandatory（COORDSYS 值须为 C）；IVOA HiPS 1.0 §4.4.2：Moc.fits 须遵循 IVOA MOC 标准|命令：grep -c NUNIQ lib/astro_image_io/src/hips/aio_hips_writer.cpp; sed -n '313,314p' lib/astro_image_io/src/hips/aio_hips_writer.cpp；输出：0;     fits_write_key_lng(fptr, "MOCORDER", (long)order, (char*)"MOC order", &status);;     fits_write_key_lng(fptr, "PIXCOUNT", (long)uniq.size(), (char*)"Cell count", &status);|OPEN|P1-001|无|write_moc_fits（:293-314）只写 TTYPE1=UNIQ 与 MOCORDER/PIXCOUNT，强制键 ORDERING=NUNIQ、COORDSYS=C 均缺失（NUNIQ 在该文件命中 0）；:243 的 COORDSYS=C 属 tile 图 HDU 不属 MOC；注册表 :97 仍判 CONFORMANT 且同挂开放偏差 DISP-HIPS-005
M2b-B-03|B_STD_MISMATCH|P0|旧宪章 §11（单位不得在接口处丢失/篡改）、§17.11；STD-REG-001 §1.2；文件：lib/astro_image_io/src/hips/aio_hips_writer.cpp::finalize_image_product 与 docs/standards/STANDARDS_REGISTRY.md::D.hips 清单行 6、docs/algorithms/HIPS_WRITER.md::ALG-HIPS-005 (5b)|IVOA REC-HIPS-1.0 §4.4.1 键表：hips_pixel_scale 与 s_pixel_scale 的 Unit 均为 degrees（示例值 8.946E-4）|命令：sed -n '943p' lib/astro_image_io/src/hips/aio_hips_writer.cpp; awk 'NR==99' docs/standards/STANDARDS_REGISTRY.md；输出：std::snprintf(buf, sizeof(buf), "%.6f", 3600.0 * 180.0 / kPi() * std::sqrt(kPi() / 3.0) / (double)ps->nside);; ¦ properties 1.4（hips_version="1.4" 与 hierarchy 聚合） ¦ 1.4 修订的 properties 版本字面量与层级聚合语义 ¦ CONFORMANT ¦ lib/astro_image_io/src/hips/aio_hips_writer.cpp；docs/algorithms/HIPS_WRITER.md；docs/contracts/PUBLIC_API.md ¦ DISP-HIPS-009（f32 产品层级累加为 float 求和，多子 tile 舍入漂移） ¦|OPEN|P1-001|无|写出值含 3600 因子即角秒，标准同名键单位为度（相差 3600 倍）；HIPS_WRITER.md:186 把该实现口径登记为标准公式，注册表仍判 CONFORMANT 且条款挂成 §6.3.1（键表实为 §4.4.1）
M2b-B-04|B_STD_MISMATCH|P0|旧宪章 §12.3-9（引用存在性）、§17.11；STD-REG-001 §1.2/§1.6；文件：docs/standards/STANDARDS_REGISTRY.md::D.hips CLAUSES + 清单行 1/3/5/6 + 偏差表 STD-F4|IVOA REC-HIPS-1.0 §4.1（目录结构）/§4.2（tile 格式）/§4.4.1（properties 九必填键 creator_did、obs_title、dataproduct_type、hips_version、hips_release_date、hips_status、hips_tile_format、hips_order、hips_frame）/§4.4.2（Moc.fits）|命令：grep -c obs_bandpass docs/standards/STANDARDS_REGISTRY.md; awk 'NR==87' docs/standards/STANDARDS_REGISTRY.md; awk 'NR==95' docs/standards/STANDARDS_REGISTRY.md；输出：2; - COMPLIANCE: PARTIAL; ¦ §4.2.1（properties 必需键集） ¦ `hips_version/hips_order/hips_tile_width/hips_tile_format/hips_frame` 必需且自洽 ¦ PARTIAL ¦ docs/interfaces/io/IO_002_HIPS_INPUT_INTERFACE.md；lib/astro_image_io/src/hips/aio_hips_writer.cpp ¦ STD-F4（写出侧键集缺 em_min/em_max/obs_bandpass 等推荐键；META-002 禁伪造，待 index.json 真实滤镜元数据接通） ¦|OPEN|GOV-001|无|注册表四处条款号错挂（§3/§4.1/§4.2.1/§4.4.1 应分别为 §4.1/§4.2/§4.4.1/§4.4.2）；IO_002 §3.1 以自定 5 键替代标准 9 必填（多 hips_tile_width，缺五个标准必填键）；STD-F4 仍引用标准中不存在的 obs_bandpass（该词在注册表命中 1，即 STD-F4 自身）
M2b-B-07|B_STD_MISMATCH|P0|旧宪章 §13.5（禁静默夹紧/回绕）、§14.4（非法值 fail-fast）；STD-REG-001 §1.2；文件：lib/common/healpix/healpix_core.h::require_valid_nside、lib/common/healpix/healpix_core.cpp::npix 与 docs/standards/STANDARDS_REGISTRY.md::D.healpix 清单行 1/3/4|Górski et al. 2005 §5/§5.1/§5.2（Npix=12·Nside²、Ω_pix=π/(3Nside²)、NESTED 四分叉树）——正文不含任何 order 上限；ENGINEERING_SPEC.md §8（检查器须能红能绿）|命令：grep -n -A1 'uint64_t npix' lib/common/healpix/healpix_core.cpp; awk 'NR==136' docs/standards/STANDARDS_REGISTRY.md；输出：333:uint64_t npix(uint32_t nside) {; 334-    return 12ULL * uint64_t(nside) * uint64_t(nside);; ¦ §5.2/§5.3（order 上限与溢出收口） ¦ order ≤ 29 且越界输入显式拒绝 ¦ CONFORMANT ¦ lib/common/healpix/healpix_core.cpp；lib/common/healpix/tests/test_healpix_neighbors.cpp ¦ 无（checked 收口，禁静默溢出） ¦|OPEN|GOV-001|无|npix（:333-335）已无 require_valid_nside 调用且无上界（nside=2^31 时 12·nside² 按模 2^64 回绕为 0）；注册表 :136 把标准中不存在的 order≤29 写成 Górski 条款并判 CONFORMANT；test_healpix_neighbors.cpp:228 仍把 order 31 断言为合法往返
M2b-B-09|B_STD_MISMATCH|P0|旧宪章 §8.3、§17.6（禁结构合法但语义虚假的伪产品）、§17.11；STD-REG-001 §1.2/§1.4；文件：runtime/io/fits_core.c::fio_write_header_block / ::acs_fio_writer_end_v1 / ::acs_fio_verify_file_v1 与 docs/interfaces/io/IO_001_FITS_STREAM_INTERFACE.md::§9|FITS 4.0 §4.4.2（保留关键字 CHECKSUM/DATASUM 的语义）+ 附录 J（J.1 推荐实现、J.2 ASCII 编码；全零串只是重算前置占位，非交付校验值）|命令：sed -n '1155p;1651p' runtime/io/fits_core.c; awk 'NR==223' docs/standards/STANDARDS_REGISTRY.md；输出：fio_card_write(f, "CHECKSUM", "0000000000000000", "HDU checksum updated");;         if (sum != decoded && sum != 0xFFFFFFFFUL && sum != 0UL) {; ¦ §6（DATASUM/CHECKSUM 校验和） ¦ 数据与头校验和须可复算、校验失败显式报错 ¦ CONFORMANT ¦ docs/interfaces/io/IO_001_FITS_STREAM_INTERFACE.md；docs/contracts/DATA_SEMANTICS.md；tests/io/test_fits_stream_contract.py ¦ 无（内容哈希流式重算复核在位） ¦|OPEN|P1-001|无|头块仍无条件预留并写 CHECKSUM 全零串（注释自称 HDU checksum updated），仅 write_checksum=1 时回填；verify 豁免仍设在计算值侧（:1651）；注册表 :223 该行仍判 CONFORMANT 且条款挂 §6（实为随机群结构）
M9-B-1|B_STD_MISMATCH|P0|旧宪章 §4.1（DATA 须写明单位与像素语义）、§5.3（WCS 单位与误差传播须明确）、§12.3（登记与实现一致）；文件：lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp::extract_wcs_sip 与 lib/core/src/module_adapters.cpp::p1_sip_write_header_frame|ENGINEERING_SPEC.md §3（科学代码红线：公式/权重/精度/容差不可改）与 §2（注释禁令）；SIP 约定（Shupe et al. 2005）：A_ij/B_ij 修正施加于中间世界坐标（度），量纲 deg/px^(i+j)；FITS WCS Paper I：CDi_j 为 deg/px|命令：awk 'NR==274' lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp; awk 'NR==361' lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp; grep -n 'FITS paper IV' lib/core/src/module_adapters.cpp；输出：result->cd.cd11 = trans.x10 / 3600.0;;             // 单位: (像素/角秒) * (角秒/像素^(i+j)) = 1/像素^(i+j-1) (SIP 标准); 1903:// SIP 前向修正 (FITS paper IV §2.1: U = dx + A(dx,dy), V = dy + B(dx,dy))。|OPEN|P1-001|无|同函数内 CD 除 3600 而 A/B 不除（:274 与 :361），像素域系数仍以标准键 A_i_j/B_i_j 加 CTYPE 带 -SIP 写出（module_adapters.cpp:1933/1948 与调用点 :3131 仍在）；桥注释仍引不存在的 FITS paper IV §2.1；DATA_SEMANTICS :247/:777 对该数组仍作互斥单位声明
