id,category,priority,producer,release_blocker,owner_decision,title,fix_state,verified_state,evidence_file_field,n_headings,file,line,files_all
M1a-A-001,A_SCI_DEF,P0,M1a,Y,,"SCI 前向 WCS 公式把像素域 SIP 加在天球域中间坐标上，量纲不闭合，且同节自称""与实现一致""",OPEN,,问题扫描/findings/A_SCI_DEF/p0/M1a_L01_L02.md,1,问题扫描/findings/A_SCI_DEF/p0/M1a_L01_L02.md,6,问题扫描/findings/A_SCI_DEF/p0/M1a_L01_L02.md
M1a-A-002,A_SCI_DEF,P0,M1a,Y,,天测精度门只约束内部拟合 RMS 域；仓内唯一外部闭环实测超 ALG F1 门 1.8× 且判 PASS、无偏差登记,OPEN,,问题扫描/findings/A_SCI_DEF/p0/M1a_L01_L02.md,1,问题扫描/findings/A_SCI_DEF/p0/M1a_L01_L02.md,24,问题扫描/findings/A_SCI_DEF/p0/M1a_L01_L02.md
M1a-A-003,A_SCI_DEF,P0,M1a,Y,A-07,CAR/AIT 投影丢失 Paper II fiducial 偏移（CRVAL2 不进映射）且 Y=−θ 手性与 CD 合成北南镜像,OPEN,,问题扫描/findings/A_SCI_DEF/p0/M1a_L01_L02.md,1,问题扫描/findings/A_SCI_DEF/p0/M1a_L01_L02.md,42,问题扫描/findings/A_SCI_DEF/p0/M1a_L01_L02.md
M2a-A-1,A_SCI_DEF,P0,M2a,Y,A-06,"SCI-DRZ-001 的 pixfrac 归一化与其自身""常数场流量守恒""不变量互斥：常数面亮度 B0 的输出为 B0/pixfrac²",OPEN,,问题扫描/findings/A_SCI_DEF/p0/M2a_L04_L10.md,1,问题扫描/findings/A_SCI_DEF/p0/M2a_L04_L10.md,6,问题扫描/findings/A_SCI_DEF/p0/M2a_L04_L10.md
M2b-A-01,A_SCI_DEF,P0,M2b,Y,,HiPS 写入口对 nside 零校验：非 2 的幂与 order>29 均被接受并静默产出错产品；lib/hips 的正确校验在生产调用点被绕过,OPEN,,问题扫描/findings/A_SCI_DEF/p0/M2b_L03_L15.md,1,问题扫描/findings/A_SCI_DEF/p0/M2b_L03_L15.md,7,问题扫描/findings/A_SCI_DEF/p0/M2b_L03_L15.md
M2b-A-02,A_SCI_DEF,P0,M2b,Y,,tile 几何合同三源互斥：层级 tile NSIDE 卡（代码 2^(k+9) vs ALG 2^k vs IO_002 2^(K+9)）与 hips_order 入参域四层互斥，自产 hierarchy tile 不被自家输入合同接受,OPEN,,问题扫描/findings/A_SCI_DEF/p0/M2b_L03_L15.md,1,问题扫描/findings/A_SCI_DEF/p0/M2b_L03_L15.md,51,问题扫描/findings/A_SCI_DEF/p0/M2b_L03_L15.md
M3-A-001,A_SCI_DEF,P0,M3,Y,A-01,SNR 无唯一定义：进入生产权重的「SNR」实为已退休的 PSF 拟合质量比,OPEN,FIXED,问题扫描/findings/A_SCI_DEF/p0/M3_L05_L07.md,1,问题扫描/findings/A_SCI_DEF/p0/M3_L05_L07.md,9,问题扫描/findings/A_SCI_DEF/p0/M3_L05_L07.md
M3-A-002,A_SCI_DEF,P0,M3,Y,A-02,SCI-CW 把 `weight_mode=2` 像素权重定义为 `support × snr²`，与实现、另两份冻结合同及其自身条款互斥,OPEN,,问题扫描/findings/A_SCI_DEF/p0/M3_L05_L07.md,1,问题扫描/findings/A_SCI_DEF/p0/M3_L05_L07.md,44,问题扫描/findings/A_SCI_DEF/p0/M3_L05_L07.md
M3b-A-01,A_SCI_DEF,P0,M3b,Y,,生产检测拟合内核实为椭圆高斯，SCI 冻结基线却写 Moffat4 且禁止高斯主路径,OPEN,,问题扫描/findings/A_SCI_DEF/p0/M3b_L06.md,1,问题扫描/findings/A_SCI_DEF/p0/M3b_L06.md,5,问题扫描/findings/A_SCI_DEF/p0/M3b_L06.md
M3b-A-02,A_SCI_DEF,P0,M3b,Y,,star_det flux 列实为峰值振幅/m00 两链不同量，合同却以流量名义登记,OPEN,,问题扫描/findings/A_SCI_DEF/p0/M3b_L06.md,1,问题扫描/findings/A_SCI_DEF/p0/M3b_L06.md,25,问题扫描/findings/A_SCI_DEF/p0/M3b_L06.md
