名称,处置,关联既有 ID,检验对象（真实对象）,命令,判据,正例（正确实现下判绿）,负例（注入什么必红）,层次与档位,对应文档条款,是否替换现有门（被替换 ID）,落地成本档,原名称（逐字留存）
GATE-ZERO-EFFECTIVE,新增,,本轮运行的单元执行台账：每个在册单元的 verdict 与 exit_code 集合（run 结果 JSON 的 steps[]）,python3 eng/ci/run_checks.py --self-test --case zero-effective,任一 scope 下选中单元数>0 而有效执行数=0 ⇒ FAIL(scope) rc≠0；有效执行仅指真跑了 command 并给出 PASS/FAIL；SKIPPED(platform)/SKIPPED(waivable)/SKIPPED(optional_input)/PASS(reused_fingerprint) 四类一律不计，判词逐条点名每个单元未生效的原因,构造 2 单元的合成注册表（platform 与本机一致）真跑 ⇒ rc=0；改动集为空的增量档显式打印 no_changes 后 rc=0,①合成注册表全部单元 platform 反置 ⇒ rc≠0；②全部单元 command 退 77 且标 waivable ⇒ rc≠0；③全部单元声明 optional_inputs 且全缺 ⇒ rc≠0,module/quick,docs/ci/CI_SPEC.md §2.1 第3行 + §2.4；ENGINEERING_SPEC.md §10 fail-closed,改造 eng/ci/run_checks.py 汇总面（原缺口），并对齐 eng/ci/run.py 的三分支守卫,L,GATE-ZERO-EFFECTIVE
GATE-PROFILE-PLATFORM,新增,,eng/ci/checks.json 的 platform 列 × profiles 列交叉集 + 顶层 platforms 声明,python3 eng/ci/validate_registry.py --registry eng/ci/checks.json --strict,"C-a 单平台单元的每个所属档必须声明支持该平台；C-b 每档 platforms 非空且在该平台上成员有效执行数>0；C-c platform 值域仅 {any,linux,windows}，出现渠道名充当平台的值即红",全表零冲突 ⇒ 绿；把 CHK-ALGO-WIRING 移出 windows-main 或改 platform:any 后 ⇒ 绿,注入一条 platform:linux + profiles:[windows-main] 的合成项 ⇒ 红；注入 platform:fatduck ⇒ 红,module/quick,docs/ci/CI_SPEC.md §2.6 档位表；docs/ci/03_GATES.md §3,新增（现有 CHK-DEEP-PROFILES-TESTS 的三分支用例并入其负例集）,M,GATE-PROFILE-PLATFORM
GATE-REGISTRY-FIELDS,新增,,eng/ci/checks.json 的 370 个执行单元 + eng/ci/checks.schema.json,python3 eng/ci/validate_registry.py --registry eng/ci/checks.json --strict,逐单元自描述：command/profiles/platform/timeout_seconds/outputs/inputs/waivable/heavy/requires_monitor/mutates_workspace/changed_paths/layer/tier/object_class/clause/negative 全部显式必填（fixture-only 门可免 inputs）；校验器、schema、执行器三方字段集合相等；任何一侧多字段或少字段即红,回填完成后全表通过 ⇒ 绿；schema 增一个可选字段且三侧同步 ⇒ 绿,①删某 step 的 platform ⇒ 红（不再静默继承）；②只在 schema 加字段不加校验器 ⇒ 红；③注册表塞一个未登记字段 ⇒ 红,module/quick,ENGINEERING_SPEC.md §10 首条；标准 05 §5,改造 CHK-REGISTRY-VALIDATE（R2/R13 扩表并废除继承面）,L,GATE-REGISTRY-FIELDS
GATE-DECLARED-INPUTS,新增,,非 waivable 单元的 inputs/optional_inputs 声明 + 被声明面的实算对象数,python3 eng/ci/validate_registry.py --registry eng/ci/checks.json --strict --inputs-enforce,非 waivable 单元必须声明 inputs 或 optional_inputs 之一，或显式 object_class=fixture-only；目录须递归非空、glob 命中>0，缺失/空面 ⇒ FAIL(inputs_missing)/FAIL(inputs_empty),为 43 个读产品面的单元补齐声明且实算>0 ⇒ 绿,①删掉一条 inputs 声明且未标 fixture-only ⇒ 红；②把 inputs 指向空目录 ⇒ 红；③声明了但目录不存在 ⇒ 红,module/quick,docs/ci/CI_SPEC.md §9 前置口径；标准 05 §3,新增（现 inputs 覆盖 10/370 的缺口即其负例）,M,GATE-DECLARED-INPUTS
GATE-CLAUSE-MAP,新增,,"每个执行单元的 clause={doc,section,title} 三件 + 被指文档的实际节标题 + docs/DOCUMENT_INDEX.yaml 的 canonical 面",python3 eng/ci/check_gate_clause_map.py --json-out run/ci/gate-clause/map.json,每单元恰一条口径；section 在被指文档实际小节号集合内（机器扫标题行得号—标题对，不接受硬编码清单）；title 与该节标题去空白逐字相等；反向：每条 canonical 口径要么被≥1 门引用、要么文档侧显式登记「无门覆盖：理由」，两者皆无即红,全单元 clause 齐备且双向闭合 ⇒ 绿,①把某门的 section 改成不存在的号 ⇒ 红；②号对但标题写错（挂到相邻节） ⇒ 红；③新增一条正本口径不给门也不登记理由 ⇒ 红,module/quick,标准 05 §5；《索引重建规格》C7/C8（共用双要素实现）,新增（补齐 CHK-REGISTRY-DOC-SYNC 只管 ID 不管口径的缺口）,M,GATE-CLAUSE-MAP
GATE-DOC-TABLE-GENERATED,新增,,docs/ci/01_CHECKS.md §2 表体 与 eng/ci/checks.json 全部执行单元（含 step 粒度）,python3 eng/ci/gen_checks_doc_table.py --check,文档表体是注册表派生物：逐字比较生成结果与文件现状，任何差异点名到行；命令列必须与实际执行的唯一入口命令串完全一致；散文里出现「注册项待写入」而该 ID 已在册 ⇒ 红,跑一次 --write 后再 --check ⇒ 绿（无差异）；step 集合 370 行全部可解析 ⇒ 绿,①手改文档表一行的门禁级 ⇒ 红；②注册项新增 step 未重生成 ⇒ 红；③文档写「待写入」而注册表已在册 ⇒ 红,module/quick,ENGINEERING_SPEC.md §10 注册表双向一致；docs/ci/01_CHECKS.md §1 末条,替换 CHK-REGISTRY-DOC-SYNC（其 4 个执行单元一并退役，ID 迁移映射登记去向）,L,GATE-DOC-TABLE-GENERATED
GATE-DISCRIMINATION-SURVEY,新增,,每个执行单元登记的 negative 注入入口 + 该门真实对象的受控缺陷料（临时副本内）,python3 eng/ci/gate_discrimination_survey.py --json-out run/ci/gate-discrimination/survey.json,S1 真跑该门注入命令断言 rc≠0；S2 未注入时同命令 rc=0；S3 至少一条负例穿过该门自身豁免分支；S4 单元集取 index_steps() 并断言普查面==执行器强制面；S5 单元数==实算值或单调棘轮；S6 换掉某真门的判据函数为恒绿必须点名该门；S7 产物落跟踪件带 head_sha 与注册表哈希,全单元 S1–S3 齐备 ⇒ 绿；把 S5 锚换成实算值后裁剪注册表 ⇒ 立即红,S6 即其自身负例；另：某门豁免分支无负例 ⇒ 该门记 not_covered 且普查红,module/measure,标准 05 §2 + §7 第2项；ENGINEERING_SPEC.md §10 可执行负例面,替换 CHK-FAILCLOSED-SURVEY 的「全门禁普查」名号与职责（该 ID 退役，去向登记 id_migration_map.json）,L,GATE-DISCRIMINATION-SURVEY
GATE-RUNNER-EVIDENCE-CONTRACT,新增,,执行器自身的证据裁决管道（缺失证据/坏证据/无输出三面对共享判定函数的反应）,python3 eng/ci/failclosed_survey.py --runner-contract --json-out run/ci/runner-contract/survey.json,三面各自判红且判定值可复核；三条豁免分支（SILENT_OK_UNITS 名单、waivable、path_exists 的 glob）各有一条注入负例；名号在门名、表头、两处文档里全部为「runner 证据管道契约普查」，出现「全门禁」字样即红；结构断言与内容断言分开,三面全红 + 三分支负例齐备 ⇒ 绿,文档任一处写回「全门禁普查」⇒ 红；替换共享函数为恒绿 ⇒ 抓出（现有 N1 形态保留但不作为唯一负例）,module/quick,docs/ci/CI_SPEC.md §9.4；标准 05 §2 崩溃与判红分离,改造 CHK-FAILCLOSED-SURVEY（改名并收窄职责，与被替换的 GATE-DISCRIMINATION-SURVEY 分工）,M,GATE-RUNNER-EVIDENCE-CONTRACT
GATE-EVIDENCE-OWNERSHIP,新增,,全部单元的 outputs 声明集 + 判「结论」的门所写证据 JSON 的字段面,python3 eng/ci/validate_registry.py --registry eng/ci/checks.json --strict --evidence,一个 outputs 路径只允许一个单元登记；判结论的门（verdict 型）必须登记结构化结论 JSON，字段含 gate_id/verdict/n_objects/findings/degraded/head_sha；既无 outputs 又不在 SILENT_OK_UNITS 白名单 ⇒ 红；白名单成员按 ID 逐条生效且不得新增,现两员白名单成员保持，其余结论门补证据 ⇒ 绿,①两个单元登记同一证据路径（今日真实存在一例：某门的自检单元登记本体的证据）⇒ 红；②新增白名单成员 ⇒ 红；③结论门只打印一行 OK 不落 JSON ⇒ 红,module/quick,标准 05 §6 证据落档可复核；ENGINEERING_SPEC.md §10,新增（现 155/370 单元零登记证据即其负例集）,M,GATE-EVIDENCE-OWNERSHIP
GATE-EVIDENCE-FRESHNESS,新增,,artifacts/evidence/** 中被文档引用的门禁证据件 + eng/ci/checks.json 哈希 + run/ 下本轮现算产物,python3 eng/ci/check_gate_evidence_freshness.py --json-out run/ci/gate-evidence/freshness.json,被引用为现状的证据件必须带 head_sha 且其登记的注册表哈希等于当前注册表文件哈希；mode=replay 的结论只允许表述为「历史证据在当前判据下应判红/绿」；跟踪件读数与本轮现算读数不等 ⇒ 红并给两侧值,证据由本轮普查刷新后 ⇒ 绿；把某门标 mode=replay 并如实表述 ⇒ 绿,①保留旧跟踪证据件（历史读数）而注册表已变 ⇒ 红；②把回放结论写成「当前产品正确」⇒ 红,module/measure,标准 05 §6 退出码判据值日志证据落档可复核；负责人口径「只回放归档件不算证据」,新增（现文档计数与注册表现值全量漂移即其负例）,M,GATE-EVIDENCE-FRESHNESS
