ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
M5b-G-20	G_GOV_GATE	P1	M5b	问题扫描/findings/G_GOV_GATE/p1/M5b_L12_L17.md	194	MODULE-READMES 门只覆盖 5 个硬编码目录，与 21 份 module.yaml / 26 份 registry 页无对账	:docstring/MODULES/main`（现 :6、:12-18、:20-40）；`ci/checks.json::MODULE-READMES`（现 :415 起）；实测集合 `lib/*/module.yaml`（21 份）、`docs/modules/registry/*.md`（26 份）、`lib/*/README.md`（7 份）	"检查模块: phase1/{stars,wcs,photometry,noise}, phase3_session。 / MODULES = [ / (""lib/phase1/stars/README.md"",        [""star_detector.h"", ""star_detector.cpp"", ""p1_stars_test.cpp""]),"	宪章 §12.3-1（模块注册表/清单一致）、§15.4、§17-3	OPEN	
M6a-G-002	G_GOV_GATE	P1	M6a	问题扫描/findings/G_GOV_GATE/p1/M6a_L13_L14.md	5	三个 Phase1 模块各自私造日志体系：以 CWD 相对路径把日志文件写进源码树 lib/*/logs/、用私有环境变量控级且默认级互不一致，另有多条科学/生产路径无条件 fprintf(stderr)（宪章 §11 统一日志面为零实现）	":dpsf_get_log_level / dpsf_ensure_log_file`（复核时点 :18-29 私有 `DYNAMIC_PSF_LOG_LEVEL`、缺省 LOG_WARN；:31-48 `CreateDirectoryA(""lib\\dynamic_psf\\logs"")` / `std::filesystem::create_directories(""lib/dynamic_psf/logs"")` + `fopen("".../dynamic_psf.log"",""a"")`） ；`lib/star_detector/src/sdet_log.cpp::`（复核时点 :18-40 同族，私有 `STAR_DETECTOR_LOG_LEVEL`，缺省与 dpsf 不一致） ；`lib/plate_solve/cpp/ipv/include/ipv_log.h::文件头/emit"	"（dpsf_log.cpp:39/:42-46）std::filesystem::create_directories(""lib/dynamic_psf/logs""); … std::fopen(""lib/dynamic_psf/logs/dynamic_psf.log"", ""a / （dpsf_log.cpp:20-26）const char* env = std::getenv(""DYNAMIC_PSF_LOG_LEVEL""); … 默认只输出WARN+ERROR / （sdet_log.cpp:18-40 同族）STAR_DETECTOR_LOG_LEVEL，缺省 INFO（与 dpsf"	stderr 洪水落在计算区间内）、§12.2（注释不得把违例写成设计）	OPEN	
M6b-G-004	G_GOV_GATE	P1	M6b	问题扫描/findings/G_GOV_GATE/p1/M6b_L16_L18.md	9	追溯与文档门的有效性缺陷集合：三条追溯门无一能证伪 VERIFIED，锚门可被 git 异常整体跳过，豁免与不可豁免类别均无执行体	:main return`（现 :159，`broken`/`sym_broken` 收集后仍无条件 `return 0`）、`ci/checks.json::TRACEABILITY`（现 :37-62，`mutates_workspace: true`） ；`tools/check_traceability.py::DEFAULT_TABLES`（现 :16 = `artifacts/prerelease_v5/tables/TRACEABILITY.csv`）、`ci/checks.json::TRACEABILITY-CODE`（现 :64-87） ；`tools/quality/contracts/check_test_contracts.py::伞形豁免`（现 :36-43） ；`docs/algorithms/anchors/check_doc_line_anchors.py	"（quality/check_traceability.py:159）return 0        ← 无论 broken/sym_broken 是否为空 / （tools/check_traceability.py:16）DEFAULT_TABLES = [""artifacts/prerelease_v5/tables/TRACEABILITY.csv""] / （check_test_contracts.py:36-43）if ""synthetic_gate"" in tf or ""TST-"" in str(tids):  if (repo / ""lib/phase2/tests/synth"	"::56-58`（本仓自查已登记 PRODUCTION-GRAPH/TRACEABILITY 的 ""--strict 参数不存在"" 事实）。"	OPEN	
M6b-G-005	G_GOV_GATE	P1	M6b	问题扫描/findings/G_GOV_GATE/p1/M6b_L16_L18.md	44	"宪章 §12.3 十二项机器检查在本域的落地核对表：可复算的""假覆盖""清单（追溯链三条门无一能证伪 VERIFIED，§12.3-9 零实现，§12.3-7/-11 只到 selftest/选检查项）"	:§12.3 第 1/2/3/4/5/6/7/8/9/10/11/12 条`（现 :424-:442） ；`tools/quality/check_traceability.py::main`（现 :53、:146、:151、:159 `return 0`） ；`tools/check_traceability.py::DEFAULT_TABLES`（现 :16）、`::main`（现 :145-161 有判定但输入为快照） ；`tools/quality/contracts/check_traceability.py::TABLE`（现 :17）、`::main`（仅 ID 唯一/authority_doc 存在/核心覆盖） ；`tools/quality/contracts/check_test_contracts.py::test_files 判定`（现 :18、:36-43 伞形豁		:检查项对齐表`。	OPEN	
M6b-G-006	G_GOV_GATE	P1	M6b	问题扫描/findings/G_GOV_GATE/p1/M6b_L16_L18.md	87	"机器门覆盖率被文档高估：索引自述""由机器校验""仅指结构自洽，实测 123 条 ACTIVE_NORMATIVE 中至少 82 条（67%）不进入任何内容级门"	:文首校验声明`（现 :18）、`::（active/archived 条目全集）`、`tools/doccheck/check_doc_index.py::main`（现 :96-:150）、`docs/algorithms/anchors/anchor_contract.json::doc_globs`（现 :5-8）、`tools/quality/contracts/check_doc_symbols.py::auth_dirs`（现 :35-43）、`docs/README-DOCS.md::Wiki 行`（现 :20）	"（DOCUMENT_INDEX.yaml:18）校验：tools/doccheck/check_doc_index.py（exit 0 = PASS） / （check_doc_index.py:127-128）results.append(check(""docs_fully_covered"", not uncovered, …))   ← 判据为""git 跟踪的 docs 文件是否被索引覆盖""，不读正文 / （anchor_contract.json:5-8）""doc_globs"": [ ""docs/science/*.md"", ""docs/algorithms/*.md"" ] / （che"	:（机器一致性/分层校验要求）`。	OPEN	
M7-G-101	G_GOV_GATE	P1	M7	问题扫描/findings/G_GOV_GATE/p1/M7_G_GOV_GATE_p1.md	7	"宪章 §18.1 裁决的""四投影""在 SCI 侧仍是""仅 TAN、SIN/CAR 显式拒绝""，ALG 以「两者不互改」结案 = 未升级冲突（L20-019，**方向订正版**）"	§15`（复核时 :360，grep「不互改」命中）；对照 `ASTROCS_PROJECT_CONSTITUTION.md::§18.1`（四投影裁决）、`docs/science/PHASE3_HIPS_TO_FITS.md::§/CTYPE`（SIN/CAR 拒绝条）、`docs/standards/STANDARDS_REGISTRY.md::D.spherical-projection Paper II §5 Table 1 行`（:64 CONFORMANT/偏差「无」）			OPEN	
M7-G-102	G_GOV_GATE	P1	M7	问题扫描/findings/G_GOV_GATE/p1/M7_G_GOV_GATE_p1.md	16	ALG 自行出具合规结论：「冻结现状实现为合同基线；五项偏差不构成合同违反」+「无差异项（核对通过）」（L20-020）	§13`（复核时 :307）；`docs/algorithms/DRIZZLE_GEOMETRY.md::§10`（:223「无差异项（核对通过）…HP_CIRCUMRADIUS_FACTOR=1.25」）			OPEN	
M7-G-103	G_GOV_GATE	P1	M7	问题扫描/findings/G_GOV_GATE/p1/M7_G_GOV_GATE_p1.md	25	冻结常数缺「值×因次×适用域×推导源」四元表（跨 SCI/ALG ≥8 个常数；含负责人点名的 1.4826/k_corr/2.5σ 族）				OPEN	
M7-G-104	G_GOV_GATE	P1	M7	问题扫描/findings/G_GOV_GATE/p1/M7_G_GOV_GATE_p1.md	37	「独立 Oracle 缺位」清单（应父层／M2b 改道归集；级别由各实例持有，本条不另立总述）				OPEN	
M7-G-105	G_GOV_GATE	P1	M7	问题扫描/findings/G_GOV_GATE/p1/M7_G_GOV_GATE_p1.md	58	M7-G-001 家族**第 2 类**（M2b 改道并入本家族，不单立总述）：「引用不存在的标准依据」——把工程上界/自造出处冒充标准条款，与「门数学不可达」是同一失败模式的两种表现				OPEN	
M8-G-001	G_GOV_GATE	P1	M8	问题扫描/findings/G_GOV_GATE/p1/M8_L22_L23.md	5	【元结论】注册面在三个方向上是空集：任何现有门都不能回答「这个证据/测试是否真被执行」	`tools/quality/check_ctest_registration.py::collect_real`、`::ADD_TEST_NAME_RE`（只从 add_test 出发，C1-C6 单向闭包） ；方向②（被采集但 0 用例）：`ci/validate_registry.py::R4`（:156 只验 discover 的 -s 目录存在） ；方向③（证据文件从不执行）：`docs/standards/checks/check_standards_registry.py::evaluate`（:209 `_clauses` 丢弃、:249 C3 只验 path_exists）+ 该判定器本身在全仓 `STD-REGISTRY` **0 命中**（既未注册也未挂账） ；配套空集面：`ci/known_failures.json` 全文仅 2 条挂账（UT-CLI expect	"（check_ctest_registration.py C1）扫描活动 CTest 面全部 CMake 源 ... 解析 add_test(NAME <target> ...)   ← 起点即""已注册"" / （validate_registry.py:156）目录不存在 → FAIL(""R4 ... -s 目录不存在"")   ← 只验目录，不验用例数 / （check_standards_registry.py:249）results.append(check(""C3_evidence_path_%s"" % key, False, ""证据路径不存在: %s"" % ref))   ← 唯一判据"	宪章 §12.3-4（机器一致性检查必须能失败且指向真实对象）、§13.2（登记的验证须实际执行）、§17.10（追溯/证据清零）、§14.4（最小充分校验 fail-fast）	OPEN	
M8-G-002	G_GOV_GATE	P1	M8	问题扫描/findings/G_GOV_GATE/p1/M8_L22_L23.md	28	"「选中检查全部合同化 SKIP」被 `ci/run.py` 判为整体 PASS；叠加 R4 不验采集数，形成""跑了个空集也算过"""	1038-1057，`SKIP_EXIT_CODE = 77`；`elif not executed and skipped_executed:` → 整体 PASS 分支）；对照 `ci/checks.json` 的 `prerequisite_tools` 面（全仓 18 处）与 `waivable` 字段	（ci/run.py :1046-1053 区段）若本轮无 executed 但有 skipped_executed → 汇总判 PASS（不产生 no_checks_selected 类错误） / （实测）`no_checks_selected` 字面串在 ci/ 与 tools/ 0 命中	宪章 §12.3-4、§14.4（fail-fast）、§17.10	OPEN	
M8-G-003	G_GOV_GATE	P1	M8	问题扫描/findings/G_GOV_GATE/p1/M8_L22_L23.md	44	已知失败基线的 40 个探针自身含 4 个恒真探针，且唯一针对恒真断言的 F-022 探针只查 1 个文件	"F-032 :996 条件尾部 `or True`；F-033 :1002、F-036 :1028、F-037 :1034 判据为字面 `True`；F-022 :912-916 `p3_vacuous = ""CHECK(true)"" in p3_assembly_test`）"	"（:996）results.append(probe(""F-032"", ... or True))            ← 恒真探针 / （:1002/:1028/:1034）probe(""F-033""/""F-036""/""F-037"", True, ...)  ← 判据为字面 True / （:912-916）p3_vacuous = ""CHECK(true)"" in p3_assembly_test      ← 探针只读 p3_assembly_test.cpp 一个字面串"	宪章 §12.3-4（检查器必须可失败）、§13.1、§14.5（修复须独立可验证）	OPEN	
M8a-G-003	G_GOV_GATE	P1	M8a	问题扫描/findings/G_GOV_GATE/p1/M8a_L25_L27.md	10	第三方/派生代码的识别与豁免按「目录名字面」切分，登记面与真实闭包互不覆盖	:VENDORED_PARTS`（复核 35）、`::is_third_party`（95）、`::third_party_sources.csv 输出`（277-279） ；`tools/gen_v19_evidence.py::is_excluded`（54-59）、`::third 标记`（78-82）；`tools/make_rev2_capsule.py::排除段`（49-50） ；`tools/arch/check_thread_budget.py::目录剪枝`（81）；`tools/quality/contracts/check_comments.py::排除`（28-29）；`check_doc_symbols.py`（14/101）；`check_forbidden_patterns.py`（30/60） ；`docs/algorithms/anchors/check_d	"gen_source_index_v61.py:35 `VENDORED_PARTS = {""third_party""}`；:277 `if path.is_file() and ""third_party"" in path.parts:`（同一判据用于生成 `third_part / gen_v19_evidence.py:57 `if p in (""third_party"", ""archive"", ""build"", ""__pycache__"", "".git"", ""tests"", …)`；check_thread_budget.py:81 `dirs[:] ="	"宪章 §16.3（审核包白名单只含""当前源码基线""，第三方许可属必含项）、§12.3-1（依赖/构建/清单一致）、§17.11（白名单/哈希/provenance 全过）；BSD-2（nanoflann 二进制再分发须复现版权声明）、BSD-3（healpix_core 源分发须保留上游版权行）、MIT（json-schema-validator）"	OPEN	
M8a-G-004	G_GOV_GATE	P1	M8a	问题扫描/findings/G_GOV_GATE/p1/M8a_L25_L27.md	35	「依赖锁的机器校验入口」「preset/actions 复验」等现时态声称在 CI 注册表零接线，且已接的检查是单向	:依赖锁定 (BLD-004)`（复核 58-63）、`::工具链表`（4、26-27）、`::机器路径政策`（81-83）；`packaging/gen_sbom_input.py::verify_dependencies_md`（93-107）、`::main 输出`（145-163）、`::SCAN_SCOPE`（29）；`ci/checks.json`（全文 grep）；`cmake/toolchain/verify_toolchain.py`（存在性）；`ci/verify_toolchain.py::docstring`（6-21）；`ci/verify_actions_lock.py` 与 `ci/WORKFLOW_BINDING_AUDIT.md`（17-18）	"DEPENDENCIES.md:61-63 「机器校验入口：`packaging/gen_sbom_input.py --root .`（lock <-> 本文一致性 + fresh configure 无机器绝对路径扫描 + SBOM 输入生成）」 / gen_sbom_input.py:100-105 的判据实体只遍历 `lock[""production_dependencies""]` 与 `lock[""test_only_oracles""]` 断言""名称已在 DEPENDENCIES.md 提及""（**单向：lock → 文 / `ci/checks.json` 全文 grep（放宽级亦"	宪章 §12.3-1、§12.3-12（L0 结论须可追溯到当前 SHA 的机器证据）、§17.11；§14.4（fail-fast 语义要如实）	OPEN	
