class	path	type	tracked	bytes	files	dirs	mtime	sha256	git_last	decision	basis
E	工程控制	DIR	36	203031	37	3	2026-09-16T14:10:01	-	5f891080 2026-09-16 14:11:39 +0800	保留	§7 白名单（控制包家；PROJECT-GOVERNANCE-01 已 tracked 36 文件）
F	设计大纲	DIR	344	86346995	6406	430	2026-09-15T12:27:50	-	08898978 2026-09-15 12:28:17 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked（344 文件 / 86.3 MB）但不在 §7 白名单（GAP-022）；归档或收敛归 DOC-001
F	问题扫描	DIR	1011	17651027	1095	52	2026-09-15T13:59:22	-	f17f28c4 2026-09-15 13:59:22 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked（1011 文件 / 17.7 MB）但不在 §7 白名单（GAP-022）；归档或收敛归 DOC-001
E	AGENTS.md	FILE	1	4652	1	0	2026-09-16 13:19:13	e171a67a7cb0b115608077a610f3e6c5cdbf464cea9959388626c22f443be6f2	a861d8f6 2026-09-16 13:19:42 +0800	保留	§7 白名单
A	alloc_report.json	FILE	0	819	1	0	2026-09-16 02:54:18	064e5511fc6062c292a80fc42fd045b23dd217c3de4c63bf4e0b7786064ceaf1	—（untracked）	删除	MON-002/资源监控一次性运行产物（CWD 落盘）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷；ci/ci_repair_round.py:118 明文点名 alloc_report.json/alloc_samples.csv 为 CWD 误落
A	alloc_samples.csv	FILE	0	151	1	0	2026-09-16 02:54:18	30a82c5d24d77a30104d9976ed70746f959c9180575d1ab26bdc9fa0ac389185	—（untracked）	删除	MON-002/资源监控一次性运行产物（CWD 落盘）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷；ci/ci_repair_round.py:118 明文点名 alloc_report.json/alloc_samples.csv 为 CWD 误落
E	artifacts	DIR	268	76304189	1415	294	2026-09-16T04:27:29	-	3ec798d3 2026-09-16 04:28:28 +0800	保留	§7 白名单（证据 artifacts/）
E	ASTROCS_DESIGN.md	FILE	1	26073	1	0	2026-09-16 13:19:13	d9345874ea822e4d0a62ad257ff10b893210db64b5c96fd4c3060e17a3202aff	a861d8f6 2026-09-16 13:19:42 +0800	保留	§7 白名单（最高权威）
F	AstroCS_ENGINEERING_CONSTRAINTS.md	FILE	1	10061	1	0	2026-09-10 01:40:24	e6547a0bdd77b26304e8a52fc23e916a7caf57db402c1b30d732d81ebdbbc4c7	d8c821db 2026-09-10 01:58:38 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked 但不在 §7 白名单（GAP-001/015）；旧工程约束，处置归 GOV-001
A	astrocs_p1sess_neg	DIR	0	5280	1	2	2026-09-12T17:16:33	-	—（untracked）	删除	p1sess 测试在 CWD 落盘的测试输出目录（lib/phase1_session/tests/p1sess/p1sess_tests_{units,perf,negative,properties}.cpp 以 tmp_root=CWD 建同名目录）；全部 untracked，重跑测试即再生
A	astrocs_p1sess_perf	DIR	0	134400	16	2	2026-09-12T17:16:33	-	—（untracked）	删除	p1sess 测试在 CWD 落盘的测试输出目录（lib/phase1_session/tests/p1sess/p1sess_tests_{units,perf,negative,properties}.cpp 以 tmp_root=CWD 建同名目录）；全部 untracked，重跑测试即再生
A	astrocs_p1sess_props	DIR	0	37920	7	3	2026-09-12T17:16:33	-	—（untracked）	删除	p1sess 测试在 CWD 落盘的测试输出目录（lib/phase1_session/tests/p1sess/p1sess_tests_{units,perf,negative,properties}.cpp 以 tmp_root=CWD 建同名目录）；全部 untracked，重跑测试即再生
A	astrocs_p1sess_test	DIR	0	55288	12	2	2026-09-12T17:16:33	-	—（untracked）	删除	p1sess 测试在 CWD 落盘的测试输出目录（lib/phase1_session/tests/p1sess/p1sess_tests_{units,perf,negative,properties}.cpp 以 tmp_root=CWD 建同名目录）；全部 untracked，重跑测试即再生
F	ASTROCS_PROJECT_CONSTITUTION.md	FILE	1	39903	1	0	2026-09-10 01:38:23	0f25544eeea26904c1836a7899ac0327bb7cc168bdb1db52aaf0dce47c3c66db	d8c821db 2026-09-10 01:58:38 +0800	保留（登记建议，交由 GOV-001/DOC-001）	tracked 但不在 §7 白名单（GAP-001/002）；旧宪章，处置归 GOV-001
