ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
V13-N-01|G_GOV_GATE|P1|无（原判据即现行权威，账本 clause 列为空）；判据对象 docs/traceability/TRACEABILITY_MATRIX.json 的 EVID 层|ENGINEERING_SPEC.md §8：ci/checks.json 是唯一检查注册表；每项检查有正例与负例（能绿能红）；检查器覆盖须含「算法引用有效 SCI/ALG、删除/重命名无悬空引用」。ASTROCS_DESIGN.md §12：发布候选至少满足「追踪无断链」|命令：python3 tools/traceability/check_traceability_matrix.py --strict；输出：[REF_OUT_OF_SCOPE] MOD-astrocs-phase1-calibration [EVID] id EVID-P1-CAL-001 无 authority 文件可见（NOISE/PHOT 同形）；默认 CI 形态只报 WARN 摘要 4 条（--strict 将升级为 ERROR）|OPEN|CI-001|无|EVID 层无路径列（tools/traceability/check_traceability_matrix.py:66 pathk=None）且 ci/checks.json 的 TRACEABILITY-MATRIX command 无 --strict ⇒ 3 枚自铸 EVID 结构上不可红；AUTHORITY_DIRS 的 returns/ 目录不存在，evidence/ 与 reports/ 对 EVID-P1- 零命中
V13-N-02|G_GOV_GATE|P1|无（原判据即现行权威，账本 clause 列为空）；判据对象 docs/traceability/TRACEABILITY_MATRIX.json 的 test_path 列|ENGINEERING_SPEC.md §8：检查器覆盖须含「删除/重命名无悬空引用」；每项检查须能绿能红。ASTROCS_DESIGN.md §12：发布候选须「追踪无断链」|命令：python3 tools/traceability/check_traceability_matrix.py；输出：TRACEABILITY_MATRIX_FAIL errors=7；[DANGLING_REF] MOD-astrocs-phase1-calibration [TEST]: 路径不存在 lib/calibration/tests/p1cal (ctest p1cal_units/...)（noise-snr 与 photometry 同形共 3 条）；EXIT=1|OPEN|CI-001|无|3 行 test_path 仍是散文串（含 "(ctest ...)" 与 "+ tests/unit/CMakeLists.txt:441 master_flat_median"）；账本 问题扫描/账本/FIX_LEDGER.csv 该行 regression_test 引用的 tools/quality/check_traceability.py 读的是 docs/TRACEABILITY.csv，另一文件另一列
V13-N-04|G_GOV_GATE|P1|无（原判据即现行权威，账本 clause 列为空）；判据对象 docs/TRACEABILITY.csv 的 status 列|ENGINEERING_SPEC.md §8：每项检查有正例与负例（能绿能红）；检查器覆盖须含算法引用有效 SCI/ALG。ASTROCS_DESIGN.md §11.3：VERIFIED = 正式平台（Windows x64）+ 真实数据验收通过|命令：python3 解析 docs/TRACEABILITY.csv；输出：rows: 63，status dist: {'VERIFIED': 63}；命令：grep -c VERIFIED tools/quality/check_traceability.py tools/quality/contracts/check_traceability.py tools/check_traceability.py → 0 0 0；grep -c v19r3_traceability ci/checks.json → 0|OPEN|CI-001|无|63/63 全 VERIFIED 而三个读者零 VERIFIED 命中（status 列零门消费）；重算生成器铸造族 SCI-NOISE-# 15 + SCI-UPM-# 10 + TEST-PR-UPM-# 10 + TEST-UPMW-# 7 = 42/63 = 66.7%，该生成器未登记进 ci/checks.json
V13-N-06|G_GOV_GATE|P1|无（原判据即现行权威，账本 clause 列为空）；判据对象 docs/contracts/INDEX.yaml 与 docs/TRACEABILITY.csv 的 ID 集|ASTROCS_DESIGN.md §12：发布候选至少满足「追踪无断链」。ENGINEERING_SPEC.md §8：检查器覆盖须含「删除/重命名无悬空引用、算法引用有效 SCI/ALG」|命令：python3 tools/quality/contracts/check_traceability.py；输出：{"tool": "check_traceability", "status": "FAIL", "rows": 63, ... TRACE-CORE-MISSING PSF / TRACE-CORE-MISSING REJ}，EXIT=1；命令：grep -c TRACEABILITY tools/check_contract_graph.py → 0|OPEN|CI-001|无|被删 4 行 SCI-PSF-001/SCI-REJ-001/SCI-INT-001/SCI-ACR-EQUIV-001 在 TRACEABILITY.csv 0 行，而 docs/contracts/INDEX.yaml 中这些 ID 近邻 status=ACTIVE（ACR-EQUIV 另有 DORMANT 处）；CONTRACT-GRAPH 不读 TRACEABILITY.csv ⇒ 无 ID 集对账门，两面分叉恒不红
V14-N-01|G_GOV_GATE|P1|旧宪章 §16.2/§16.3（清单一致）、§17.2、§17.12；cmake/astrocs.product.windows.json.in vs packaging/astrocs.product.json|ASTROCS_DESIGN.md §11.3：IMPLEMENTED = 生产源码在位且当前提交内实际执行通过；NOT_IMPLEMENTED/NOT_VERIFIED 等负向状态如实标注。§12：未实现/未验收必须明确报告，不得用文档声明冒充完成|命令：python3 逐 unit 对读两份清单 unit_id 与 status；输出：DIFF: {'PLATFORM-RUNTIME': ('SKELETON', 'IMPLEMENTED'), 'PLATFORM-IO': ('SKELETON', 'IMPLEMENTED')}；命令：grep -rn astrocs.product.windows --include=*.py ci tools → 0 命中（无跨平台清单比对门）|OPEN|PKG-001|无|Linux 清单 note 自述「不伪装实现完成，维持 SKELETON」，Windows .in 同两 unit 登记 IMPLEMENTED；该 manifest 进 Windows 安装树并被发布评审消费
V14-N-02|G_GOV_GATE|P1|无（原判据即现行权威，账本 clause 列为空）；判据对象 modules/conformance/noop/ 自身 status 三处与 README 已知限制|ASTROCS_DESIGN.md §11.3：IMPLEMENTED = 生产源码在位且当前提交内实际执行通过；负向状态如实标注。§12：未实现必须明确报告，不得用文档声明冒充完成|命令：grep -n module_status modules/conformance/noop/module.yaml；输出：11:module_status: SKELETON；sed -n 74,78p modules/conformance/noop/README.md → SKELETON：execute/plan/create 等全部返回 ACS_ERR_UNSUPPORTED；两份清单 MOD-NOOP 均 status=IMPLEMENTED；grep -c echo 两份清单 → 0 0|OPEN|MOD-001|无|骨架 NOOP 两清单登记 IMPLEMENTED 而自身 README:1/:17、module.yaml:11、CMakeLists:5 三处为 SKELETON；真正实现动词的 echo（module_status: IMPLEMENTED）在产品清单与白名单三面零登记
V14-N-03|G_GOV_GATE|P1|无（原判据即现行权威，账本 clause 列为空）；守卫 tests/unit/cpu_provider_test.cpp:73 与 FD-F-001|ENGINEERING_SPEC.md §8：检查器覆盖须含「模块 manifest/注册表/构建 target/产品清单一致」；每项检查须能绿能红。ASTROCS_DESIGN.md §7.3：模块与 DLL/SO 边界|命令：python3 逐列 diff lib/backend_host/backend_table.inc 与 providers/cpu/baseline/src/baseline_provider.cpp 的 12 行 kernel 表；输出：inc rows 12 cpp rows 12；PRECISION_DIFF_ROWS = 6（ALG-004/ALG-002/ALG-006×3/ALG-P3-002 交付侧 F64 vs 实现 F32）；命令：grep -n backend_table.inc tests/unit/cpu_provider_test.cpp → 73: CHECK(s.find("backend_table.inc") != std::string::npos);|OPEN|CPU-001|无|守卫只测文件名字符串不测内容，故 6/12 行精度漂移仍绿；表内 precision 字段无消费者（lib/backend_host、runtime、cli 唯一命中为 g_api.precision_class），属登记面失真
V14-N-04|G_GOV_GATE|P1|旧宪章 §17.2（追溯完整、无悬空引用）、§12.3；A-36 已裁事项|ENGINEERING_SPEC.md §8：检查器覆盖须含「模块 manifest/注册表一致、算法引用有效 SCI/ALG、删除/重命名无悬空引用」。ASTROCS_DESIGN.md §12：追踪无断链|命令：grep -rn ALG-P2-COV-001 lib cli runtime docs contracts；输出：lib/core/src/module_adapters.cpp:874: d.alg_id = "ALG-P2-COV-001"; 与 lib/phase2/module.yaml:32，docs/contracts 0 命中（权威登记为另一套 ALG-COV-001，docs/algorithms/PHASE2_COVERAGE.md 3 处）；命令：grep -rn ALG-004 → 三面出厂 module_adapters.cpp:808、lib/backend_host/backend_table.inc:21、providers/cpu/baseline/src/baseline_provider.cpp:91|OPEN|MOD-001|无|出厂 kernel_id 在登记面零存在（docs 侧 ALG-004 唯一宿主是自述「已更正为 ALG-NOISE-001..003」的 registry 页 astrocs.phase1.noise-snr.md，其 :67 仍引用）；ALG-002 又被 star-psf/wcs/photometry 三模块共用（module_adapters.cpp:750/:769/:789）⇒ 按 kernel_id 追溯必断链
V14-N-05|G_GOV_GATE|P1|旧宪章 §17.6（禁正向钉在册计数）；cmake/install_layout.cmake 的 if(TARGET) 门卫与 tests/abi/mod001_install_load_check.py:255|ENGINEERING_SPEC.md §8：检查器覆盖须含「模块 manifest/注册表/构建 target/产品清单一致」。ASTROCS_DESIGN.md §11.3：INSTALLED = 进入构建安装树 + 产品清单|命令：grep -n if(TARGET cmake/install_layout.cmake；输出：106:  if(TARGET 目标名)（:101 注释自述「target 重新出现时随 if(TARGET) 门卫自动恢复安装」）；命令：python3 读 packaging/astrocs.product.json 的 unit_id → 10 项无 MOD-P1-NOISE；grep -n "units=10" tests/abi/mod001_install_load_check.py → 255: check("S4 manifest units=10 ...", len(munits) == 10,|OPEN|PKG-001|无|白名单外新增不拦（packaging/verify_install_tree.py:7-9 自述「存在即前缀合法」），而按纪律补登记会先让 units==10 断言变红（惩罚合规行为）；lib/snr_estimator/CMakeLists.txt 当前 untracked 而根 CMakeLists:210 已解除 add_subdirectory ⇒ 属结构缺陷未现发
V14-N-06|G_GOV_GATE|P1|旧宪章 §10.2（CPU provider 只承载经 profiling 证明值得优化的重计算 kernel）；descriptor 与 runtime/pipeline/module_ports.registry.json 的 execution_class|ENGINEERING_SPEC.md §10：一个进程只有一个资源调度器与线程预算源；模块不得硬编码 workers；CPU-heavy 必须多线程。ASTROCS_DESIGN.md §8：CPU 后端与资源|命令：python3 扫 lib/core/src/module_adapters.cpp 两函数体并读 descriptor；输出：p3_op_properties lines 5391-5440 omp: 0 std::thread: 0 for(: 0（p3_op_wcs 5441-5489 同形）；sed -n 622,650p → d.execution_class = "cpu_heavy"; d.parallel_ok = true;（:627/:628 与 :646/:647）；runtime/pipeline/module_ports.registry.json 同两模块 resource_class: cpu_heavy|OPEN|RT-001|无|三个注册面一致宣称 heavy+parallel 而实现体零并行轴（单发 JSON 读写）⇒ 元数据节点申请并占用 heavy 租约；registry 页 astrocs.phase3.wcs.md:119 自证「内核无内部并行轴（0 处）」仍挂 cpu_heavy
V14-N-08|G_GOV_GATE|P1|无（原判据即现行权威，账本 clause 列为空）；机制=tools/quality/gen_module_readmes.py:134-143 派生面无条件覆盖|ENGINEERING_SPEC.md §8：检查器覆盖须含「活动文档无陈旧版本号/历史状态冒充」；修改代码/测试后同步订正 ci/checks.json。§2：注释禁令（禁止堆积历史版本号/任务编号/审计流水）|命令：grep -n 'open(p, "w"' tools/quality/gen_module_readmes.py；输出：141:        with open(p, "w", encoding="utf-8") as f:（以 module_adapters.cpp descriptor 为唯一源无条件覆盖 docs/modules/registry/）；命令：grep -rl 事实修订 docs/modules/registry/ 后 wc -l → 10；grep -c gen_module_readmes ci/checks.json → 0|OPEN|MOD-001|无|重跑生成器即蒸发 10 页人工修订并把占位 ID 钉回 docs 面；生成器在 ci/checks.json 与 .github 双面 0 接线（既不进 CI 也不进 pre-commit）
