calibration.dark_light_exposure_tolerance	eng/packaging/config/defaults.json:20	5	s	暗场/亮场曝光一致性容差（文档侧只给 K=t_light/t_dark 语义）	未标注	未标注（预检橘色提示级，不阻断）	无来源（负责人裁决未落 SCI 条文）	defaults.json:24 记「负责人裁决 2026-09-16」；docs/science/CALIBRATION.md:19,21 无数值	待确认	normalize 预检与暗场优化建议路径	多侧：仅 defaults.json 一侧有值；lib/ 生产代码对该 leaf 零命中 ⇒ 无实现侧兜底值可比对、亦无消费点；保守方向=取更小容差（更严匹配），影响面限于预检提示
calibration.master_flat_median_range	eng/packaging/config/defaults.json:31	[0.5, 2.0]	1（无量纲）	已归一 master flat 的中位数判定带；合同值 1.0	带内/带外二值判定，无精度要求	median(flat)∈[0.5,2.0] 视为已归一；带外须显式 master_flat_normalize=median	可公式导出（数量级判带，非科学容差）	docs/science/CALIBRATION.md:103；docs/algorithms/CALIBRATION_ALGORITHMS.md:56,495（DISP-CAL-013）	文献值	master flat 消费边界（越界 DATA 拒绝 rc=2）	多侧同值且已闭合：代码兜底 lib/include/astrocs/core/master_unit_guard.h:31 同带，eng/tools/quality/check_master_unit_guard.py 机器核对 ⇒ 唯一有门背书的默认键
detection.threshold_sigma	eng/packaging/config/defaults.json:48	5.0	sigma	threshold = median(img) + 5.0·bgnoise（全局检测阈值）	未标注（fp32/fp64 两路各自实现）	>0	有文献（本仓 SCI 冻结）	docs/science/STAR_DETECTION.md:21	文献值	star detection 全局阈值	多侧异名同值：lib/algorithms/star_detection/src/sdet_api.cpp:1779 与 :1827 各写字面量 5.0、lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:448 detection_threshold_sigma=5.0 ⇒ 三处硬编码无单一来源，改默认需同步三处
psf.default_model	eng/packaging/config/defaults.json:62	moffat4	枚举 id	点源响应模型标识	不适用（枚举）	唯一实现值	有文献（本仓 SCI）	docs/science/PSF.md:9,:105（ALG-STARPSF-001）	文献值	PSF 拟合路径	合同侧 eng/contracts/schemas/phase_config_normalize.schema.json:474 enum=[moffat4] 且**不声明 default** ⇒ 枚举唯一性由 schema 保证；键 leaf 在 lib 生产代码零命中（模型名不作为字符串比较）
psf.moffat_beta	eng/packaging/config/defaults.json:76	4.0	1（无量纲）	椭圆 Moffat 形状指数 β	精确等于 4.0（改动属 SCI 不可接受变化）	β=4	有文献（本仓 SCI 冻结 + Moffat 1995 惯例）	docs/science/PSF.md:94	文献值	Moffat4 PSF 模型	未做成配置键的冻结常数：实现侧以 FWHM↔σ 因子承载（lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:72 kMoffat4FwhmFactor），β 值在拟合函数内 ⇒ 默认值唯一家是 SCI，不是 defaults.json
noise.patch_grid	eng/packaging/config/defaults.json:90	[8, 8]	patch 格数	噪声估计 patch 网格行列数	整数；实现侧下限钳位 2	≥2×2	有文献（SCI §5 冻结定义）	docs/science/NOISE_MODEL.md:54,:39,:52	文献值	Phase1 patch 噪声估计	多侧同值三写：noise_model.cpp:1248-1249 兜底 8/8、头文件注释 snr_estimator.h:131、差异登记 docs/algorithms/NOISE_ESTIMATION.md:180 ⇒ 无单一来源；8×8 与 Phase2 UPM 控制网格（8/tile）同构但各写各的
noise.source_mask_radius_px	eng/packaging/config/defaults.json:107	10	px	逐星掩膜硬上界的 r0 项（非操作半径）	≥1；参与 max(1,r0)	上界式 rmax=max(1,r0)·max(1,scale)=60 px	可公式导出（只在上界式里有意义）	docs/science/NOISE_MODEL.md:86（§5a）；拆分 10·6 见 docs/algorithms/NOISE_ESTIMATION.md:134（实现锚，非权威）	公式导出	Phase1 逐星掩膜半径上界	MASK-001 §1.4 判旧 source_ref 为循环引用后改指 SCI；代码兜底 noise_model.cpp:1250=10.0，使用层 :824 再写一次 max(1.0,·) ⇒ 同值两处
noise.mask_radius_scale	eng/packaging/config/defaults.json:121	6	1（无量纲）	上界式倍率项	≥1	scale∈[1,∞)；与 r0 相乘	可公式导出（同 rmax 式）	docs/science/NOISE_MODEL.md:86（§5a）	公式导出	Phase1 逐星掩膜半径上界	10 与 6 单独看都无权威，只有乘积 60 有 ⇒ 可合并为单键 rmax_px=60 消除分解任意性；代码兜底 noise_model.cpp:1251=6.0
noise.clip_sigma	eng/packaging/config/defaults.json:135	5.0	sigma	patch 内 |v-med|>k·σ 的裁剪阈	≥1	>0	有文献（SCI §5 冻结 5σ）	docs/science/NOISE_MODEL.md:56,:126；NOISE_ESTIMATION.md:36	文献值	Phase1 patch 稳健裁剪	键名冲突：实现侧字段名为 cosmic_clip_sigma（noise_model.cpp:1252）；同名不同值：Phase2 lib/algorithms/coverage/src/sky_plane.cpp:230 c.clip_sigma=3.0（另 :251 兜底 3.0）⇒ 两套 clip_sigma 只有 Phase1 进配置键面
noise.min_patch_samples	eng/packaging/config/defaults.json:149	64	count	patch 合格样本数下限	≥1；受 §8 收紧为 max(64,9216)	≥1	有文献（SCI §4 默认 64）	docs/science/NOISE_MODEL.md:52（claim SC-002）	文献值	Phase1 patch 噪声估计	多侧同值三写：noise_model.cpp:1253、snr_estimator.h:142 注释、module_adapters.cpp:6599 兜底 64 ⇒ 无单一来源；64 本身无推导（为何不是 100/256）⇒ 属需实验标定档
noise.max_clip_rounds	eng/packaging/config/defaults.json:163	2	rounds	patch 裁剪迭代轮数上限	≥0	0..N	有文献（SCI §5 冻结 ≤2 轮）	docs/science/NOISE_MODEL.md:56,:126	文献值	Phase1 patch 裁剪	代码兜底 noise_model.cpp:1254；无 schema 侧、无 CLI 侧
noise.saturation_level	eng/packaging/config/defaults.json:177	0	ADU	0/负/非有限 = 未提供电平（unset），>0 = 饱和电平	整数或浮点；0 不表示「无饱和」	来源优先级：显式 cfg > FITS SATURATE > DATAMAX	需实验标定（缺失代价已由实验量化）	docs/science/NOISE_MODEL.md:52（§4 饱和域，claim SC-008/SAT-001）；SAT-001 实测 run/PROJECT-GOVERNANCE-01/SAT-001	实验标定	Phase1 blank-sky 统计与逐像素权重场	代码兜底同值 module_adapters.cpp:6383 saturation_level=0.0；未提供路径强制写显式降级声明 photo_stats.NOISE_SATURATION_FILTER=DISABLED_NO_METADATA ⇒ 缺陷不静默；SAT-001 数字：平台 patch 方差 6.87e8 vs 1.74e8（真值 25），帧平均 ivar 比 0.218
noise.spatial_field_enabled	eng/packaging/config/defaults.json:191	1	bool(0/1)	1 且 n_ctrl≥4 用 LS 平面 var=a+b·x+c·y，否则全局中位数兜底	不适用（开关）	{0,1}	有文献（SCI §4 启用条件）	docs/science/NOISE_MODEL.md:47；NOISE_ESTIMATION.md:20,:38	文献值	Phase1 空间噪声场	代码兜底异名同值 noise_model.cpp:1255 enable_spatial_field=1 ⇒ 键名与符号名不一致，靠注释对齐
noise.variance_floor	eng/packaging/config/defaults.json:205	1e-12	ADU^2	ivar=1/max(var,floor) 的分母下界	未标注（仅「保证 ivar 有限」）	>0	无来源（数量级拍定，未给物理或数值推导）	docs/science/NOISE_MODEL.md:23（§2）、:125（§9）、:29（单位 ADU²）	待确认	Phase1 variance/ivar 全场	同一语义 epsilon 现有多档：rejection.cpp:1245 normalization_floor=1e-12；实验侧 p1noise_oracle.hpp:112 记 0.0、p1noise_tests_core.cpp:776 用 1.0e-46 ⇒ 除零/下限保护没有统一的相对量纲定义（应相对 σ_bg² 或机器精度给出导出式）；影响面=全部下游权重与 SNR；保守方向=按最小可观测 σ² 的 1e-6 相对量导出
noise.mask_k_sigma	eng/packaging/config/defaults.json:219	0.1	sigma	掩膜边缘残余面亮度系数：源面亮度 = k·σ_bg 处定半径	由污染预算导出（σ_bg 偏差 ≤0.5%）	>0；k 越大掩膜越大	可公式导出（配 SCI §11 源污染 oracle）	docs/science/NOISE_MODEL.md:84（§5a 冻结 k=0.1）；MASK-001 §3.3 实测 r=10 px 偏差 +0.13%	公式导出	Phase1 逐星掩膜半径	代码内两处同值：noise_model.cpp:1258 配置兜底 + :826 使用层再兜底 (c.mask_k_sigma>0)?·:0.1 ⇒ 改一处即不一致
noise.mask_r_min_px	eng/packaging/config/defaults.json:233	1.5	px	逐星半径下界 r_min=max(1.5 px, 0.75·FWHM_i)	约束写 ≥1 而取值 1.5（两数不同源）	>0	有文献（SCI §5a 同式）	docs/science/NOISE_MODEL.md:85	文献值	Phase1 逐星掩膜半径下界	代码两处同值：noise_model.cpp:1259 与 :827；r_min 与 mask_fwhm_floor_scale 取 max 的同式在两处（配置层/使用层）重复实现
noise.mask_fwhm_floor_scale	eng/packaging/config/defaults.json:247	0.75	1（无量纲）	r_min 的 FWHM 项系数 0.75·FWHM_i	>0	>0	有文献（SCI §5a 同式）但**导出式未写**	docs/science/NOISE_MODEL.md:85	文献值	Phase1 逐星掩膜半径下界	0.75 与 PSF 核心覆盖的关系无推导（为何不是 1·FWHM=2.35σ 或 2σ）⇒ 属可公式导出但文档只给结果；代码两处同值 noise_model.cpp:1260,:828
noise.mask_budget_min_patches	eng/packaging/config/defaults.json:261	8	count	天空预算合格 patch 数下限 n_qualified	≥4（平面 LS 需 ≥4 非共线控制点）	≥1	可公式导出（下限 4 可导；8=2× 余量无据）	docs/science/NOISE_MODEL.md:87（§5a）	公式导出	Phase1 掩膜天空预算	代码两处同值 noise_model.cpp:1261,:829；4→8 的余量倍数未标定 ⇒ 余量部分属需实验标定档
noise.mask_budget_min_sky	eng/packaging/config/defaults.json:275	9216	px	未被掩膜合法像素数下限 N_sky	SE(σ̂)/σ ≤ 1.5%	≥1；同时收紧 §8 全帧兜底阈	可公式导出	(1.44/0.015)²=9216；docs/science/NOISE_MODEL.md:87 与 defaults.json:285（c≈1.152/√N、中位数效率 1.25 ⇒ SE≈1.44/√N）；MASK-001 §5.3/§3.5	公式导出	Phase1 天空预算与全帧兜底	典型「可推导却硬编码」：代码 noise_model.cpp:1262 与 :830 直接写 9216ull，未由 (1.44/tol)² 生成，容差 1.5% 变更时不会联动；建议由公式生成并加断言
rejection.sigma.lower_sigma	eng/packaging/config/defaults.json:289	4.0	sigma	sigma-clip 低侧阈值（正数）	未标注	>0	有文献（SCI §5 阈值冻结锚点）	docs/science/REJECTION.md:97（sigma/winsorized/averaged = 4.0/3.0/8）	文献值	Phase2 多值堆排异	代码兜底同值 rejection.cpp:1246；方向异常（lower 4.0 > upper 3.0）文档与实现一致，物理判据交 AUD-203
