符号或键,类别,位置集合（全部侧，规范化全路径:行）,现行值,单位,坐标系或归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,是否已复核,冲突标记,来源成稿与条目,多侧默认值预筛（预筛已回：raw/D4-多侧默认值全表.csv）
(无名)·lib/infrastructure/cli/session_commands.h:181,常数,lib/infrastructure/cli/session_commands.h:181；eng/packaging/config/defaults.json:666-667；docs/plugins/algorithms_phase1/08_drizzle.md:49；eng/packaging/config/defaults.json,1.0,1（收缩因子）,drop 边长/源像素边长,未规定,0<pixfrac<=1,A 负责人裁决 + ① 契约侧登记（但本侧取值相反）,唯一数值源 eng/packaging/config/defaults.json:666-667 drizzle.pixfrac=0.8（authority_status=owner_adjudicated）；docs/plugins/algorithms_phase1/08_drizzle.md:49 亦 0.8 并指回该唯一源,文献值,生产可达：CLI `--template` 输出面（用户直接抄用）,否（判读层逐行已判，未过第②层复核）,红（判读层立案 L1｜AUD-402-判读-A3 §2.1／判读-A1 F-2）：drizzle.pixfrac 六侧两组值：CLI --template 骨架取 1.0，而 defaults.json/出厂模板/插件文档/编排器兜底取 0.8；同文件 :109 自订『科学默认值不写进模板，唯一家在 defaults.json』⇒ 自我违约,AUD-402-判读-A3；L1,
additive_mode（seam）,算法,lib/infrastructure/scheduler/src/module_adapters.cpp:10311；lib/infrastructure/scheduler/src/module_adapters.cpp:9820；eng/packaging/config/config_registry.json:1849（补侧·本行出处所列，该侧带值）；docs/modules/phase2_upm.md:75（补侧·本行出处所列，该侧带值）,"代码默认 ""delta""（两处读点一致）；合同面 config_registry declared_default=""delta"" 且 finding=""unregistered""","枚举 {c, delta, both}",多退少补的施加口径,不适用,默认 delta ⇒ sub_c=false ⇒ c_subtracted=false；缺天光面产物时显式降级为 c 并写 additive_mode_degraded,有文献（负责人 GAP §9.67 定案 1；ASTROCS_DESIGN.md:410 calibrated=raw−δ_k 保 B_ref）,module_adapters.cpp:9835-9836/:10311-10312 读点、:10313-10316 校验、:10318-10321 降级、:10524/:10528-10537/:10541-10552 施加链、:10699-10700/:10743-10747 manifest；eng/packaging/config/config_registry.json:1849/:1855/:1856,文献值,创新点③ 加性天光（默认行为正确）,是（第②层复核改判）,红：四处注释/文档与默认打架——:9819-9820「默认 c、δ 从不施加」为假（其自称锚点 :5503 已漂移）；:10298-10300「c = raw − C_k 全减含 B_ref ⇒ 背景被剪掉」为假；docs/modules/phase2_upm.md:75-76 同两处错；符号 C_k 在三层文档为全量、在正本＋实现为帧分量,AUD-203-天光无缝核验 AUD203-10；复核-AUD203 V3；复核注记：是（复核-AUD203 V3：判确认但定性为注释/符号口径缺陷 P2，行为与默认面正确；并把成稿「中置信＋需跑产品」升为静态已判）,预筛已回：全表命中键 additive_mode｜有值侧 1（S6 登记册）
calibration.master_flat_median_range,容差,eng/packaging/config/defaults.json:31；docs/science/CALIBRATION.md:182；docs/algorithms/CALIBRATION_ALGORITHMS.md:57；lib/include/astrocs/core/master_unit_guard.h:34-35；eng/tools/quality/check_master_unit_guard.py,"[0.5, 2.0]",1（无量纲）,已归一 master flat 的中位数判定带；合同值 1.0，带内=视为已归一，带外须显式 master_flat_normalize=median,带内/带外二值判定，无精度要求,"注册：median(flat)∈[0.5,2.0]；schema :214-221 只约束 array 长度 2 与 lower<upper，**不声明 default 也不声明带值**⇒ 带值无合同承载",可公式导出（数量级判带，非科学容差）,"真锚 docs/science/CALIBRATION.md:182（冻结默认 [0.5, 2.0]）+ docs/algorithms/CALIBRATION_ALGORITHMS.md:57；注册件所引 :103 讲的是**平场响应下界 0.1**（与此带无关）⇒ 锚点指向另一常数",文献值,master flat 消费边界（越界 DATA 拒绝 rc=2）,否（判读层逐行已判，未过第②层复核）,红（判读层立案 F-16/X-9｜AUD-402-判读-A1 §2.1 F-16；X-9）：数值三侧闭合且有门背书，但其自述的两条文档锚都不含带值（CALIBRATION.md:101-102 讲响应下界 0.1；ALG 真锚 :57 而非 :56）⇒ 出处链坏；机械层所记代码位点 :31 亦是注释行，常量在 :34-35,AUD-402-判读-A1,预筛已回：全表命中键 master_flat_median_range｜有值侧 1（S1 defaults）
cosmetic.bad_column_enabled,常数,eng/packaging/config/defaults.json:755；docs/contracts/DATA_SEMANTICS.md:316；lib/infrastructure/scheduler/src/module_adapters.cpp:2781；eng/ci/ledgers/config_default_divergences.json,true,bool,列状缺陷路径开关（false 时该路径逐位不生效）,不适用（开关）,"注册 {0,1}；无 schema 承载（cosmetic 块在 schema :223-226 是裸 object，无 properties）；解析层 p1_flag 接受 bool/0/1",文献值（合同条款 + 缺陷形态可分性论证）,真锚 docs/contracts/DATA_SEMANTICS.md:316（§10.4 表『开关』行：列状缺陷路径默认启用，置 false 时本路径逐位不生效）；注册件所引 :304 是 §10.4 小节标题,文献值,Phase1 装饰性校正,否（判读层逐行已判，未过第②层复核）,红（判读层立案 F-10｜AUD-402-判读-A1 §2.1 F-10）：实现侧同节点 11 个配置读取点、defaults.json 只登记 6 个 ⇒ 登记面缺口 5 键（hot_sigma、cold_sigma、max_structure_size、bad_column_max_seg_len、bad_column_science_wide_frac_max）；其中四项直接决定判坏与修复集合,AUD-402-判读-A1,预筛已回：全表命中键 bad_column_enabled｜有值侧 2（S1 defaults、S5 代码兜底）
drizzle.pixfrac,常数,eng/packaging/config/defaults.json:667；docs/science/DRIZZLE.md:26；lib/infrastructure/cli/session_commands.h:181；eng/packaging/config/defaults.json；lib/algorithms/drizzle/src/module_entry.cpp:355；lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:27；lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.h:39；lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.h:35；lib/infrastructure/pipeline/phase1_product.h:130；lib/infrastructure/aio/include/hiss_format.h:53；lib/infrastructure/aio/v6/include/astro/aio/v6_provenance.h:48；lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:1191；lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:67；lib/algorithms/coverage/src/sampler.cpp:81；…（另有 4 处同簇位点，见判读成稿）,0.8,1（无量纲）,drop 投影足迹收缩边长比（drop 边长 = pixfrac × 像素边长）,未标注（通量守恒与 pixfrac 无关，由核面积归一保证）,"注册与权威均为 0<pixfrac<=1，非法值显式 NO_DATA 不夹逼；**drizzle 模块的键合同写 [0,1]**（types.h:56 f64 [0,1]、module_entry.cpp:356 校验 pixfrac<0.0 才拒 ⇒ 放行 pixfrac=0）",文献值（负责人裁决 + Fruchter & Hook 2002 核归一）,"docs/science/DRIZZLE.md:26（pixfrac (0,1]，默认 0.8）/:35（值域与 NO_DATA）/:56（核按 drop 面积归一 ⇒ 与 pixfrac 无关）；一手 Fruchter & Hook 2002 PASP 114,157（§7.2；**本仓未登记 DOI，且 :677 note 引的 0.6 下 0.004 mag 实测属该文献适用域而非本仓**）",文献值,Phase1 drizzle 累加,否（判读层逐行已判，未过第②层复核）,红（判读层立案 F-2｜AUD-402-判读-A1 §2.1 F-2；判读-A3 §2.1 L1）：六侧两组值：defaults.json 0.8／出厂模板 0.8／插件文档 0.8／CLI 骨架 1.0／生产代码缺键兜底 1.0／登记册 declared_default=1.0 且 registration=defaults_json、finding=none ⇒ 同一命令按是否显式给键产出 0.8/1.0 两种产品，登记表自称指向 defaults.json 却记相反值且不报冲突 ∥ 红（判读层立案 L1｜AUD-402-判读-A3 §2.1／判读-A1 F-2）：drizzle.pixfrac 六侧两组值：CLI --template 骨架取 1.0，而 defaults.json/出厂模板/插件文档/编排器兜底取 0.8；同文件 :109 自订『科学默认值不写进模板，唯一家在 defaults.json』⇒ 自我违约,AUD-402-判读-A1,预筛已回：全表命中键 pixfrac｜有值侧 6（S1 defaults、S2 出厂模板、S3 CLI骨架、S4 合同schema、S5 代码兜底、S6 登记册）
gate_enforcement（资源门是否影响退出码）,算法,lib/infrastructure/cli/resource_gate.h:268；docs/plugins/infrastructure/21_observability.md:101；eng/contracts/resource_gate_v1.json（补侧·本行出处所列，该侧带值）,恒 RecordOnly,枚举,in_process_hard_fail = retired,不适用,本队列所有阈值只影响记录面与外挂裁决面；exit 10 只属磁盘门,有文献（resource_gate.h:268-270 + 契约 enforcement 段）,resource_gate.h:268-270；eng/contracts/resource_gate_v1.json enforcement.in_process_hard_fail；21_observability.md §8.3 表 ③ 行仍写 enforce→exit 10（陈旧行，与 §8.4:101/:103 自相矛盾）,文献值,资源判据的效力面,否（判读层逐行已判，未过第②层复核）,红（判读层立案 A2 §3.5）：同文档 §8.3 表格为陈旧行，与 §8.4 与契约相反,AUD-402-判读-A2 §3.5；判读-A3 §5 第 6 条,
kEventLineMaxBytes,常数,lib/infrastructure/cli/jsonl.h:55；docs/contracts/LOG_AND_ERROR_CONTRACT.md:35；docs/design/LOG_AND_ERROR_SYSTEM.md:94；docs/architecture/observability/STRUCTURED_LOGGING_CONTRACT.md:122；lib/infrastructure/cli/jsonl.h:54；lib/infrastructure/observability/logging/log_event.py:54；eng/tools/monitoring/check_log_contract.py:38；eng/contracts/schemas/jsonl_event_v1.schema.json（补侧·本行出处所列，该侧带值）,4096,字节（含换行符）,不适用（传输协议行界）,单行 ≤4096 B（含 \n）,运行事件流 stdout（JSONL）与人可读 stderr 双通道,无（值一致，但 4096 本身的依据未登记；载体等级 C）,docs/contracts/LOG_AND_ERROR_CONTRACT.md:35/:55/:151＋docs/design/LOG_AND_ERROR_SYSTEM.md:94＋docs/architecture/observability/STRUCTURED_LOGGING_CONTRACT.md:122（MAX_LINE_BYTES）四处同为 4096；jsonl.h:54 自称与 LOG-001 §6 同口径,文献值,CLI 运行事件流（唯一 schema = jsonl.h＋protocol.h；jsonl.h:10）,否（判读层逐行已判，未过第②层复核）,红（判读层立案 L-07）：不一致项在别处：eng/contracts/schemas/jsonl_event_v1.schema.json **不含**行长约束（maxLength 零命中），故机读合同面无此值，只有散文＋代码,AUD-402-判读-A2；L-07,
kEventLineMaxBytes 的实现越界,容差,lib/infrastructure/cli/jsonl.h:86；lib/infrastructure/cli/jsonl.h:143；eng/contracts/schemas/jsonl_event_v1.schema.json（补侧·本行出处所列，该侧带值）,4096,字节/行,事件行上限（含换行）,不适用,六侧数值一致（jsonl.h:55／log_event.py:54／check_log_contract.py:38／三份文档），但 clip_utf8 是「截到 max_bytes 后再追加 …（U+2026=3 字节）」⇒ human_summary_of 上限实为 4099 B,有文献（LOG_AND_ERROR_CONTRACT.md:35/:55 写「含换行 ≤4096」）,jsonl.h:55/:86-102/:143/:124/:121；eng/contracts/schemas/jsonl_event_v1.schema.json 无 maxLength（正例对照：log_event_v1.schema.json 命中 maxLength 1024）,文献值,日志合同行界,否（判读层逐行已判，未过第②层复核）,红（判读层立案 A2 L-07）：实现未达合同的越界，非阈值取错；且机读合同面不含该值,AUD-402-判读-A2 §3.4 L-07；L-07,
mb_per_s 命名的量纲债,常数,lib/infrastructure/cli/v6_runtime_contract.h:310；lib/infrastructure/cli/memory_report.h:481；eng/contracts/resource_gate_v1.json（补侧·本行出处所列，该侧带值）,rss_growth_mb_per_s 等（值为 MiB、名字写 MB、工件内无单位注记）,MiB/s（1048576 B/s）,契约 memory.unit 明写「禁止再使用 MB/s（1e6 B/s，口径差 4.858%）」,不适用（标注债，数值正确）,C++ 侧标识符 32 处/5 文件、Python 侧键名 24 处/5 文件,有文献（契约）＋命名违禁,eng/contracts/resource_gate_v1.json#memory.unit；memory_report.h:228/:481；v6_runtime_contract.h:310/:329 required_metric_keys()；resource_monitor.py:90 已把旧键名定性为「兼容别名」,文献值,对外冻结字段名与产品工件字段,否（判读层逐行已判，未过第②层复核）,红（判读层立案 A2 L-03／A3 L13）：键名把口径写死而本头不换算 ⇒ 下游按 1e6 解释即差 4.858%；已知未清偿债务，须给清偿时点,AUD-402-判读-A2 §3.4 L-03；判读-A3 §2.4 L13；L-03；L13,
noise.clip_sigma,算法,eng/packaging/config/defaults.json:135；docs/science/NOISE_MODEL.md:63；lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1252；lib/algorithms/coverage/src/sky_plane.cpp:230,5.0,sigma,patch 内 |v-med|>k·sigma 裁剪,无精度陈述,"注册 >=1；schema :262-266 exclusiveMinimum=0 maximum=100；解析层 (0,100]⇒0<k<1 被 schema/代码放行而注册面判违规",文献值（本仓 SCI 冻结，非外部文献）,docs/science/NOISE_MODEL.md:63（稳健裁剪: cosmic/hot 5sigma，<=2 轮；注册件所引 :56 是 gain 行）,文献值,Phase1 patch 稳健裁剪,否（判读层逐行已判，未过第②层复核）,红（判读层立案 F-17｜AUD-402-判读-A1 §2.1 F-17）：同 leaf 名两阶段两值：Phase1 注册 5.0、Phase2 sky_plane.cpp:230 c.clip_sigma=3.0（:251 兜底 3.0），Phase2 的 3.0 无任何注册侧,AUD-402-判读-A1,预筛已回：全表命中键 clip_sigma｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）｜候选档 ①生产兜底在对面
