ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
V10-N-09	C_ALG_IMPL	P2	V10-c	问题扫描/findings/C_ALG_IMPL/p2/V10-c.md	15	（P3）CLI/环境变量面裸解析：同 TU 已有带 `endptr` 的写法未推广				OPEN	
V20-N-02	C_ALG_IMPL	P2	V20	问题扫描/findings/C_ALG_IMPL/p2/V20.md	4	（P2｜面1）`max_workers` 六模块解析、四个生效、**两个零消费**，其中 hips 连「仅作回显」的承诺都不成立				OPEN	
V20-N-03	C_ALG_IMPL	P2	V20-c	问题扫描/findings/C_ALG_IMPL/p2/V20-c.md	3	（P2·面1+面3）snr 的 `noise_cfg` 判别位与冗余副本**只写不读**，而**同结构体其余字段全都读** ⇒ 是漏接不是设计				OPEN	
V20-N-04	C_ALG_IMPL	P2	V20	问题扫描/findings/C_ALG_IMPL/p2/V20.md	8	（P2｜面2）`cli/commands.cpp`（sha `b85aec30ec7c`）`--resource-detail` 两档**唯一行为差别是多两个字段** ⇒ 「timeseries 详略」从未产出任何曲线点				OPEN	
V20-N-05	C_ALG_IMPL	P2	V20-b	问题扫描/findings/C_ALG_IMPL/p2/V20-b.md	3	（P2·面1）phase3 平铺「特征键」`output_fits_path`/`sampler_used`/`mode` 的**值全仓零消费，但存在却改判**				OPEN	
V20-N-07	C_ALG_IMPL	P2	V20-b	问题扫描/findings/C_ALG_IMPL/p2/V20-b.md	8	（P2·面3）导出面形参三态：`(void)` 刻意未用 41 处 对 **真·零引用未标注 4 处**				OPEN	
V20-N-08	C_ALG_IMPL	P2	V20-b	问题扫描/findings/C_ALG_IMPL/p2/V20-b.md	12	（P2·面3+面4）`P3nGeom.frame` 与 `coverage_output`：**唯一合法值就是缺省值**，且写入后全仓零读者				OPEN	
V20-N-09	C_ALG_IMPL	P2	V20-b	问题扫描/findings/C_ALG_IMPL/p2/V20-b.md	17	（P2·面3）**只写不读字段已成簇**：6 个结构体 / 18 个字段				OPEN	
V20-N-11	C_ALG_IMPL	P2	V20-c	问题扫描/findings/C_ALG_IMPL/p2/V20-c.md	8	（轴主定 **P3**，账本按现存三档落 P2 并注记）非法值折叠到缺省：`snr_max_sources` 的 **写 -1／不写／写 0 三态折叠不可区分**				OPEN	
V20-N-12	C_ALG_IMPL	P2	V20-d	问题扫描/findings/C_ALG_IMPL/p2/V20-d.md	3	（P2·面1）`p3_verify.json` 读 `module_build_id` 而生产者**从不写该键** ⇒ 交付产物的这个 provenance 字段恒为空串				OPEN	
V21-N-03	C_ALG_IMPL	P2	V21	问题扫描/findings/C_ALG_IMPL/p2/V21.md	12	（P2）`cli/monitor.h:144,157,179-180` + 唯一调用点 `:230`：Linux 分支自算的 `bool ok` 被 `(void)ok;` **丢弃并无条件 `return true;`**，调用者又丢弃 				OPEN	
V21-N-04	C_ALG_IMPL	P2	V21	问题扫描/findings/C_ALG_IMPL/p2/V21.md	15	（P2）`modules/conformance/echo/src/echo_module.c:350,362,371`：出参 `acs_error_info_v1 aerr/rerr` 被 `artifact_open`/`read_al				OPEN	
V21-N-08	C_ALG_IMPL	P2	V21	问题扫描/findings/C_ALG_IMPL/p2/V21.md	18	（P2）`cli/resource_recorder.h:43` 的 `ResRecord::system_cpu_pct`：**表头有该列（`:229-231`）、序列化 fprintf 有该参数（`:235-243`），而全仓赋值点 =				OPEN	
V21-N-09	C_ALG_IMPL	P2	V21	问题扫描/findings/C_ALG_IMPL/p2/V21.md	21	（P2）`cli/monitor.h:76-79`（填点 `:124-126,:138-140,:166-167,:175-176`）+ `:245`：`ProcSample` 五字段 **prodW>0 而 prodR=0**（`read				OPEN	
V21-N-10	C_ALG_IMPL	P2	V21	问题扫描/findings/C_ALG_IMPL/p2/V21.md	24	（P2）`include/astrocs/core/context.h:31-39,170-200` + `lib/core/src/context.cpp:28-52` + `logging.cpp:52-112`：**RunContex				OPEN	
V21-N-11	C_ALG_IMPL	P2	V21	问题扫描/findings/C_ALG_IMPL/p2/V21.md	28	（P2）`lib/astro_image_io/include/hiss_format.h:352` 的 `uint32_t n_contrib`（注释自述「诊断用」）：生产写 2 点（`drizzle_engine.cpp:1251,23				OPEN	
V21-N-14	C_ALG_IMPL	P2	V21	问题扫描/findings/C_ALG_IMPL/p2/V21.md	3	（P2）安装树合同与产品清单的版本/归因字段：`packaging/install-tree.contract.json:5` 的 `target_version = 0.11.0-alpha.1` 对根 `VERSION = 0.11.0				OPEN	
V7-N-01	C_ALG_IMPL	P2	V7	问题扫描/findings/C_ALG_IMPL/p2/V7.md	13	（P2）cosmetic 参数面**两通道值域几乎不相交**：同一 config 在 IR 生产通道与 DLL 通道交付**不同像素**，且 IR 侧全静默兜底				OPEN	
V7-N-02	C_ALG_IMPL	P2	V7	问题扫描/findings/C_ALG_IMPL/p2/V7.md	21	"（P2）SIP 缺键→36 个系数全零但 `present=true` ⇒ 交付**声明""畸变已修""而实际未修**；判别位记声明值不记生效值"				OPEN	
V7-N-03	C_ALG_IMPL	P2	V7	问题扫描/findings/C_ALG_IMPL/p2/V7.md	5	（P2，**机制级**，本卷最值一条）typed-artifact 消费面「缺键 ⇒ 就地默认」全仓规模：兜底把**上游显式拒绝的非法值**制度化				OPEN	
W3-R2-004	C_ALG_IMPL	P2	W3-b	问题扫描/findings/C_ALG_IMPL/p2/W3-b.md	1	（P2）p1_session_run 仍全局改写 OpenMP ICV 且不恢复；登记锚已漂移（:162-165 → 现 :259-263）	259-263；lib/calibration/src/ac_api.cpp:128-134；登记面 docs/contracts/PUBLIC_API.md:687（「budget.max_workers 注入 ac_set_num_threads（p1_session.cpp:162-165，迁移整改点）」）。			OPEN	
W3-R2-007	C_ALG_IMPL	P2	W3-b	问题扫描/findings/C_ALG_IMPL/p2/W3-b.md	9	（P2）astrocs_process.h 承诺「超时杀进程树」，实现=单进程 SIGKILL；无进程组/Job Object、无 SIGTERM 宽限	21、:29；cli/process.cpp:113-115（Win）、:188-194（POSIX）；全仓 setsid/setpgid/CREATE_NEW_PROCESS_GROUP/CreateJobObject 检索零命中（_verify/W3.md §三-5）。			OPEN	
W3-R2-008	C_ALG_IMPL	P2	W3-b	问题扫描/findings/C_ALG_IMPL/p2/W3-b.md	18	（P2）executor.cpp 头注宣称「全仓唯一 executor 池、scheduler 不再自建 std::thread 池」，同树 scheduler 每 run 自建 budget_ 池	19-20、:39；lib/core/src/scheduler.cpp:339-341；另 lib/phase2/src/upm.cpp:522/618/662/779/1487、lib/phase2/src/sampler.cpp:890、lib/phase3_session/p3_session.cpp:327-333。			OPEN	
W3-R2-009	C_ALG_IMPL	P2	W3-b	问题扫描/findings/C_ALG_IMPL/p2/W3-b.md	28	（P2）p1_atomic_publish 兜底「删目标再 rename」且注释自证不违反原子性；同仓另一处注释明令禁止同型——两文一题互相矛盾	1183-1205；矛盾对照 lib/astro_image_io/src/hiss_stream_writer.cpp:172-174；另注其合同锚 00_COMMON_CONTRACTS §4.6 全仓不存在（find 零命中，_verify/W3.md §三-7）。			OPEN	
W3-R2-010	C_ALG_IMPL	P2	W3-b	问题扫描/findings/C_ALG_IMPL/p2/W3-b.md	38	（P2）aio_frame_save_cache：tmp 以 _wfopen(UTF-16) 打开、改名却用 MoveFileExA(ACP)——同函数开/提编码口径相反	78-95（open_utf8_file: CP_UTF8→_wfopen）、:877-878、:911（MoveFileExA）；POSIX 分支 :917 正常。			OPEN	
W3-R2-011	C_ALG_IMPL	P2	W3-b	问题扫描/findings/C_ALG_IMPL/p2/W3-b.md	47	（P2）CON-008 BoundedAsyncQueue 缺 §10.6 五判据中的「超时」；全仓零生产消费者	44-67（push/pop 均无限 wait，无 wait_for/deadline）；宪章 §10.6:381。			OPEN	
W3-R2-012	C_ALG_IMPL	P2	W3-b	问题扫描/findings/C_ALG_IMPL/p2/W3-b.md	56	（P2）节点 plan 自报 max_workers 只进重节点闸门、不进租约请求：writer 自报 1「不占整份预算」实际按整份申请	54-57（语义声明：供 NodeSpec min/max 使用）；lib/core/src/scheduler.cpp:231-233（min/max 唯一消费点=heavy 布尔）；lib/core/src/module_adapters.cpp:5100-5101、:5113-5116。			OPEN	
W6-N-06	C_ALG_IMPL	P2	W6	问题扫描/findings/C_ALG_IMPL/p2/W6.md	3	（P2）preset 契约声明指向**不存在文件**、其校验器零注册，`build.sh` 与 preset 面不同源				OPEN	
W6-N-07	C_ALG_IMPL	P2	W6	问题扫描/findings/C_ALG_IMPL/p2/W6.md	8	（P2）头独立编译：**唯一悬空引号 include + 8 处 stddef 闭包缺**，且仓内无此类门				OPEN	
W6-N-08	C_ALG_IMPL	P2	W6	问题扫描/findings/C_ALG_IMPL/p2/W6.md	16	（P2）`ACR-DORMANT`（fast+双 main、**非豁免**）的 nm 判据锚 `build/root-cmake/astrocs` 在 **CI 三面零生产者** ⇒ 恒不执行却末行打 PASS				OPEN	
W6-N-09	C_ALG_IMPL	P2	W6	问题扫描/findings/C_ALG_IMPL/p2/W6.md	24	（P2）`p1_noise_adapter` 的「自动复活」承诺**在受跟踪面缺落点** ⇒ 永久零注册却双在册				OPEN	
V7-N-08	C_ALG_IMPL	P?	V7	问题扫描/findings/C_ALG_IMPL/p3/V7.md	3	"（P3）亲和性探测失败 ⇒ 静默按 1 核，**无「探测失败」判别位** ⇒ run manifest 的 `budget=1` 与""真 1 核机""同值"	83-95`（`sched_getaffinity != 0` → 1；计数为 0 → 1）；`hardware_inspect.cpp:165` **甚至不查 `sched_getaffinity` 返回值**（`CPU_ZERO` 后空集 → avail=0 → `worker_advisor` 的 `derive_limits_v1` 保守取 1；advisor 侧有 reason 串＝**半记账**）。			OPEN	
V7-N-09	C_ALG_IMPL	P?	V7	问题扫描/findings/C_ALG_IMPL/p3/V7.md	13	**判否负清单**（V7 逐行核为 fail-closed / 非缺陷，各轴与后续扫描**不得重报**）				OPEN	NOT_A_DEFECT
V7-N-10	C_ALG_IMPL	P?	V7	问题扫描/findings/C_ALG_IMPL/p3/V7.md	9	（P2）杜撰锚残留：`module_entry.cpp:355` 仍以「`API-DRZ-001` 默认 1.0」为 pixfrac 缺键依据，而该节**无默认条款**（`M2a-C-6` 已实证）				OPEN	
