ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
M1a-B-001	B_STD_MISMATCH	P0	M1a	问题扫描/findings/B_STD_MISMATCH/p0/M1a_L01_L02.md	3	"注册表把 41×41/81×81 的 AP/BP 网格拟合登记为""7×7 网格…SCI 层已显式冻结该口径""并评severity低（M1a 加重事实，非叶子原述）"	":SIP 行（:66）与::偏差登记表（:76、:241）；对照 lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp::extract_wcs_sip（""5.3 AP/BP"" 与 ""5.4 APx/BPx"" 两块）"	（STANDARDS_REGISTRY.md:66）| SIP §A（A/B 前向、AP/BP 逆向与单位线性剔除） | SIP 畸变系数约定与单位线性项处理 | PROJECT_DEFINED | docs/science/ASTROMETRY.md；docs/algorith / （STANDARDS_REGISTRY.md:76）| DISP-WCS-006 | **低** | docs/algorithms/PLATESOLVE.md | P1-WCS-IMPL（AP/BP 网格拟合口径**与 SCI 冻结一致**，维护歧义） | / （ipv_wcs.cpp:402-403）con	SCI/ALG 已冻结且与实现无冲突）；SIP 标准（Shupe 2005）	OPEN	
M1a-B-002	B_STD_MISMATCH	P0	M1a	问题扫描/findings/B_STD_MISMATCH/p0/M1a_L01_L02.md	19	"Paper II 相关三行注册表判 CONFORMANT/偏差""无""，与 CAR/AIT 实质偏离及""仅 TAN 受控""现状互斥"	:D.spherical 表（:62、:64、:65）+::偏差登记（:76）+::§（:241）；对照 lib/phase3_proj/p3_projection.cpp::car_pix2world 与 lib/phase3_session/p3_wcs.cpp::p3_wcs_validate_descriptor	（STANDARDS_REGISTRY.md:62）| FITS WCS Paper I | … | **CONFORMANT** | … STD-F1（已闭环：Phase3 导出边界单点桥 + 全库扫描 + 双桥必败负向锁；回归测试 tests/unit/p3_wcs_test / （STANDARDS_REGISTRY.md:64）| FITS WCS Paper II §5 投影族（TAN/SIN/CAR/AIT）| 投影方程与奇异处理 | **CONFORMANT** | docs/science/PHASE3_HIPS_TO_FITS.md §2；d	"astro-ph/0207413 渲染全文）**：""a fiducial celestial coordinate pair (α₀,δ₀) given by the CRVAL_ia will be associated with a fiducial native coordinate pair (φ₀,θ₀) defined explicitly for each projection. For example, zenithal projections all have (φ₀,θ₀)=(0,90°), while cylindricals have (φ₀,θ₀)=(0,0). … by constructing the projection equations so that (φ₀,θ₀) transforms to the reference point, (x,y)=(0"	OPEN	
M2a-B-1	B_STD_MISMATCH	P0	M2a	问题扫描/findings/B_STD_MISMATCH/p0/M2a_L04_L10.md	6	星表位置历元：注册表条款面要求 J2016.0，产品面四处声称 J2000，模块零历元处理且无天测列可传播——CONFORMANT 判定与偏差登记双双失真	:D.catalog（CLAUSES 行 + 判定式首行）；docs/science/ASTROMETRY.md::§3 frame 表、::§10；docs/contracts/DATA_SEMANTICS.md::§8.2 输出行（坐标 frame 段 + ra/dec 行）；docs/algorithms/GAIA_QUERY.md::§1/§2 单位段；lib/gaia_xpsd_client/src/gaia_client.h::文件头坐标契约注释；lib/gaia_xpsd_client/include/astrocs/gaia/types.h::op 参数单位注释；lib/gaia_xpsd_client/integration/astrocs_catalog_gaia.integration.json::coordinate；lib/gaia_xpsd_client/REA	（STANDARDS_REGISTRY.md:186）- CLAUSES: DR3 source 列面（ra/dec **参考历元 J2016.0**、phot_g_mean_mag/phot_bp_mean_mag/phot_rp_mean_mag）；本地 XPSD 记录布局（ / （STANDARDS_REGISTRY.md:193）| DR3 source 位置列（ra/dec，ICRS，参考历元 J2016.0） | 位置以 ICRS 表达，RA∈[0,360)、Dec∈[-90,90] | **CONFORMANT** | docs/algorith	186 自记 J2016.0）；Gaia Collaboration 2023, A&A 674 A1（DR3 source 表 ra/dec 为 J2016.0 历元 ICRS 位置）+ ESA Gaia DR3 文档页 https://www.cosmos.esa.int/web/gaia/dr3；宪章 §5.3（frame identity 与坐标语义可追溯）、§7.3（坐标 frame/历元传播规则必须明确，不支持的语义必须显式拒绝）、§4.3（manifest 须记录 frame/单位/像素语义）；规程 §2 类别 B（错误声称 CONFORMANT / 偏差未登记）	OPEN	
M2b-B-01	B_STD_MISMATCH	P0	M2b	问题扫描/findings/B_STD_MISMATCH/p0/M2b_L03_L15.md	10	HiPS tile 目录名写「商」、文件名写「余数」，与 IVOA §4.1 算式相反	:tile_rel_path；lib/astro_image_io/src/hips/aio_hips_reader.cpp::tile_path；runtime/io/hips_core.c::hips_tile_rel；docs/interfaces/io/IO_002_HIPS_INPUT_INTERFACE.md::§3.3；docs/standards/STANDARDS_REGISTRY.md::D.hips 清单行 1	"std::string tile_rel_path(int order, uint64_t ipix, const char* ext) { / uint64_t dir = ipix / 10000; / uint64_t npix = ipix % 10000; / std::snprintf(buf, sizeof(buf), ""Norder%d/Dir%llu/Npix%llu%s"","	IVOA REC-HIPS-1.0 §4.1；STD-REG-001 §1.2（禁止按实现反推标准）/§1.4；宪章 §12.3-10、§19	OPEN	
M2b-B-02	B_STD_MISMATCH	P0	M2b	问题扫描/findings/B_STD_MISMATCH/p0/M2b_L03_L15.md	36	Moc.fits 缺 MOC Table 3 强制键 ORDERING=NUNIQ / COORDSYS=C，注册表仍判 CONFORMANT	:write_moc_fits；docs/standards/STANDARDS_REGISTRY.md::D.hips 清单行 5 与偏差表 DISP-HIPS-005；runtime/io/hips_core.c::hips_parse_moc（旁证：读侧不校验强制键）	"char* ttype[1] = {(char*)""UNIQ""}; / char* tform[1] = {(char*)""K""}; / if (fits_create_tbl(fptr, BINARY_TBL, (long)uniq.size(), 1, ttype, tform, tunit, (char*)"""", &status)) { / fits_write_key_lng(fptr, ""MOCORDER"", (long)order, (char*)""MOC order"", &status); / fits_write_key_lng(fptr, ""PIXCOUNT"", (long)"	IVOA REC-MOC 2.0 §6/Table 3（ORDERING、COORDSYS 对 MOC1.1 与 MOC2.0 均 mandatory）；IVOA HiPS 1.0 §4.4.2（Moc.fits 须遵循 IVOA MOC 标准）；STD-REG-001 §1.2/§1.4；宪章 §12.3-10、§17.11	OPEN	
M2b-B-03	B_STD_MISMATCH	P0	M2b	问题扫描/findings/B_STD_MISMATCH/p0/M2b_L03_L15.md	63	hips_pixel_scale 写角秒，标准规定单位为度（相差 3600 倍）	:finalize_image_product；docs/algorithms/HIPS_WRITER.md::ALG-HIPS-005 (5b)；docs/standards/STANDARDS_REGISTRY.md::D.hips 清单行 6；docs/contracts/DATA_SEMANTICS.md::DATA-P1-HIPS §12.1 properties 键表	"std::snprintf(buf, sizeof(buf), ""%.6f"", 3600.0 * 180.0 / kPi() * std::sqrt(kPi() / 3.0) / (double)ps->nside); / kv.push_back({""hips_pixel_scale"", buf}); / hips_pixel_scale HiPS pixel angular resolution at the highest order – Format: real – Unit : degrees / s_pixel_scale Be"	degrees）；STD-REG-001 §1.2；宪章 §11（单位不得在接口处丢失/篡改）、§17.11	OPEN	
M2b-B-04	B_STD_MISMATCH	P0	M2b	问题扫描/findings/B_STD_MISMATCH/p0/M2b_L03_L15.md	86	HiPS 域条款锚整体错挂；properties 必需键集用自定 5 键替代标准 9 键；STD-F4 引用不存在的 obs_bandpass	:D.hips CLAUSES + 清单行 1/3/5/6 + 偏差表 STD-F4；docs/interfaces/io/IO_002_HIPS_INPUT_INTERFACE.md::§3.1；runtime/io/hips_core.c::hips_parse_properties；docs/standards/checks/check_standards_registry.py::C3_clauses_form/C7_deviation_index_rows_resolve	- CLAUSES: HiPS 1.0 §3（层级索引与目录结构）/§4.1（tile）/§4.2.1（properties）/§4.4.1（all-sky map）/§6.3.1（客户端绘制）；properties 1.4 键集 / | §4.2.1（properties 必需键集） | `hips_version/hips_order/hips_tile_width/hips_tile_format/hips_frame` 必需且自洽 | PARTIAL | … | STD-F4（写出侧键集缺 em_min / 4.1 HiPS directory structure … 4.	IVOA HiPS 1.0 §4.1 / §4.2 / §4.4.1 / §4.4.2 节号与 §4.4.1 九必填键；STD-REG-001 §1.2/§1.6；宪章 §12.3-9、§17.11	OPEN	
M2b-B-07	B_STD_MISMATCH	P0	M2b	问题扫描/findings/B_STD_MISMATCH/p0/M2b_L03_L15.md	110	「order ≤ 29」被写成 Górski 标准条款，代码实际无 order 上界且 npix 在 2^31 处静默回绕	":require_valid_nside；lib/common/healpix/healpix_core.cpp::npix；docs/standards/STANDARDS_REGISTRY.md::D.healpix 清单行 1/3/4；docs/algorithms/HEALPIX_MAPPING.md::§2；lib/common/healpix/tests/test_healpix_neighbors.cpp::""child_nest/tile_to_leaf_nest legal roundtrip"""	"inline void require_valid_nside(uint32_t nside) { / if (nside == 0 || (nside & (nside - 1u)) != 0u) { / throw std::invalid_argument(""healpix: nside must be a power of two (got "" + std::to_string(nside) + "")"");"	Górski et al. 2005 §5/§5.1/§5.2（Npix=12·Nside²、Ω_pix=π/(3Nside²)、NESTED 四分叉树）——**不含任何 order 上限**；STD-REG-001 §1.2；宪章 §13.5（禁静默夹紧/回绕）、§14.4（非法值 fail-fast）	OPEN	
M2b-B-09	B_STD_MISMATCH	P0	M2b	问题扫描/findings/B_STD_MISMATCH/p0/M2b_L03_L15.md	133	交付 FITS 可恒带 CHECKSUM 全零占位卡（注释谎称「HDU checksum updated」），且 verify 的豁免设在**计算值**一侧，D.fits §6 行仍判 CONFORMANT	:fio_write_header_block（恒预留 CHECKSUM 槽并写全零值）、::acs_fio_writer_end_v1（仅 write_checksum 时 patch）、::acs_fio_verify_file_v1（mismatch 判据的豁免侧）；docs/interfaces/io/IO_001_FITS_STREAM_INTERFACE.md::§9 与示例段；docs/standards/STANDARDS_REGISTRY.md::D.fits 清单行 4（§6 DATASUM/CHECKSUM 行）；tests/io/test_fits_stream_contract.py::write_fits/checksum 用例	"f, wr->checksum_card_off, ""CHECKSUM"", cstr, ""HDU checksum updated"", err, cap); … }」"	FITS 4.0 §4.4.2（保留关键字 CHECKSUM/DATASUM 的语义）+ 附录 J（推荐实现与 ASCII 编码；占位值不得作为交付校验值）；宪章 §8.3、§17.6（禁结构合法但语义虚假的伪产品）、§17.11；STD-REG-001 §1.2/§1.4	OPEN	
M9-B-1	B_STD_MISMATCH	P0	M9	问题扫描/findings/B_STD_MISMATCH/p0/M9_L24_L26.md	5	SIP 前向 A/B/AP/BP 系数以「像素域」数值直写 FITS 标准键 A_i_j/B_i_j；同一数组在合同面有四处互斥单位；桥注释引用不存在的标准文献；并发修复批次已把该错误口径复制进新的写出面	:extract_wcs_sip（系数生成与单位注释）、lib/core/src/module_adapters.cpp::p1_sip_write_header_frame 与 ::p1_tan_forward_reference_sip（写出面 + 消费面）、lib/orchestrator/cpp/src/orchestrator.cpp（回写面两处、回读面一处）、lib/healpix_db/healpix_drizzle/hp_drizzle_api.cpp::hp_drizzle_run（键读面）、lib/photometric_calib/cpp/src/wcs_transform.cpp::skyToPixel（第二消费面）、docs/contracts/DATA_SEMANTICS.md（三行互斥）	**系数生成（像素域）**（ipv_wcs.cpp:351-352）`// A[i][j] = cd_inv · (trans.x_ij, trans.y_ij)` / `// 单位: (像素/角秒) * (角秒/像素^(i+j)) = 1/像素^(i+j-1) (SIP 标准)	246 与 :739）。宪章 §4.1（DATA 必须写明单位与像素语义）、§5.3（WCS 单位与误差传播必须明确）、§12.3（登记与实现一致）、§6.3 红线（禁以文档措辞替代可验证口径）。**外部原文限制**：SIP 原文与本会话内 Paper I 原文均未能抓取（见 M9 §11/M9-B-2 的抓取台账），本条定档**不依赖**外部原文——由「同一函数内 CD 除 3600、A 不除」+「合同三行互斥」+「键名与 CTYPE 自称标准 SIP」三处内证自足。	OPEN	
