seq,sha8,日期,作者,分级,文件数,增行,删行,编号,主题
1,4a2750bd,2026-05-24,fujiaze,M,6,974,0,,Initial commit: Gaia DR3 XPSD Client
2,802becc2,2026-05-24,fujiaze,L,18,2148,0,,Initial commit: Astro Image IO
3,850973a7,2026-05-24,fujiaze,L,12,2126,0,,"feat: Star Detector - astronomical star detector with PSF fitting filter, FWHM clipping and roundness filter"
4,cebab976,2026-05-24,fujiaze,S,1,5,1,,添加百度网盘下载链接
5,1ddbe246,2026-05-24,fujiaze,S,1,1,1,,删除多余文字
6,2ce5598e,2026-05-26,fujiaze,M,11,846,24,,feat: 基于SExtractor背景估计 + 修复Moffat4坐标计算
7,b33f88da,2026-05-26,fujiaze,S,1,7,1,,docs: README添加检测效果示例图像
8,25d71815,2026-05-26,fujiaze,S,2,106,0,,docs: 添加代码注释，说明核心算法原理
9,23f3ee5f,2026-05-26,fujiaze,S,1,1,1,,Update README.md
10,08a8766a,2026-05-27,fujiaze,M,6,425,12,,Add multi-database support (GaiaDR3 and GaiaDR3SP)
11,1153cd95,2026-05-27,fujiaze,S,0,0,0,,Merge branch 'master' of github.com:fujiaze/Gaia-DR3SP-C-Client
12,8cbeef6d,2026-05-27,fujiaze,M,5,644,7,,feat: add saturated star detection with debug image output
13,7eb45fce,2026-05-27,fujiaze,S,1,3,2,,chore: compress example2 image to JPEG for faster push
14,1013feb6,2026-06-03,fujiaze,L,9,1591,974,,feat: half-threshold saturated star detection + candidate pre-filter + OpenMP parallelization
15,787ab234,2026-06-04,fujiaze,M,7,1031,20,,feat: 自适应fitRadius - 基于连通域大小自动估算FWHM
16,22e727ff,2026-06-06,fujiaze,M,2,547,30,,feat: add L1 query cache (60s TTL) and L2 decompressed block cache
17,8c0762ca,2026-07-07,fujiaze,L,11,1739,639,,feat: V5.0 Gaussian PSF + GSL trust-region LM + 代码清理
18,12c55ed6,2026-05-24,fujiaze,M,11,1556,0,,feat: Dynamic PSF - Moffat4 PSF fitting engine with 16bit input and batch mode
19,941b82a2,2026-06-07,fujiaze,M,3,305,176,,fix(search_recursive): add projection center point to AzimuthalEquidistant bbox computation
20,48396682,2026-05-24,fujiaze,L,12,2313,126,,feat: Astro Image IO C++ native implementation - FITS/XISF read/write with Python ctypes binding
21,7691d768,2026-07-10,fujiaze,M,4,925,3,,feat: expose DR3SP spectrum interface (BP/RP spectra + magBP/magRP)
22,51adc4d7,2026-07-10,fujiaze,M,4,397,79,,refactor: split spectrum and photometry APIs for separation of concerns
23,b58ff404,2026-07-10,fujiaze,S,2,38,12,,fix: FITS keyword write_card quote logic + BZERO/BSCALE filtering
24,a88d9789,2026-07-10,fujiaze,M,8,1481,0,,feat: Astro Calibration C++ module
