符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
sigma_floor,eng/tests/backend/syn008_seam_main.cpp:105,0.02,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
snr,eng/tests/backend/syn008_seam_main.cpp:96,1.0;100.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
max_rel,eng/tests/cpu/avx2/provider_avx2_oracle_main.cpp:262,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
read_noise_e,eng/tests/integration/v6_p1/v6_p1_integrate_test.cpp:101,5.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
dark,eng/tests/integration/v6_p1/v6_p1_integrate_test.cpp:145,100.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
bias_dark,eng/tests/integration/v6_p1/v6_p1_integrate_test.cpp:151,50.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
closure_rel_tol,eng/tests/integration/v6_p1/v6_p1_integrate_test.cpp:606,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
gain,eng/tests/integration/v6_p1/v6_p1_integrate_test.cpp:99,2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
photometric_scale_a,eng/tests/integration/v6_p3/p3_v6_export_e2e_test.cpp:168,1.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
scale,eng/tests/system/v6_runtime/v6_runtime_determinism_test.cpp:56,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
max_pt,eng/tests/system/v6_runtime/v6_runtime_resource_record_test.cpp:106,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
iterativeClipSigma,eng/tests/unit/ipv_platform_binding_test.cpp:65,5.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
fwhmClipSigma,eng/tests/unit/ipv_platform_binding_test.cpp:70,3.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
kLimit,eng/tests/unit/mem_wire_test.cpp:223,2500,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
scale_deg_per_px,eng/tests/unit/mem_wire_test.cpp:312,0.001,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
limit,eng/tests/unit/mem_wire_test.cpp:319,1.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
cpu_percent,eng/tests/unit/mon001_gate_test.cpp:34,95.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
cpu_p50_percent,eng/tests/unit/mon001_gate_test.cpp:36,95.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
cpu_mean_percent,eng/tests/unit/mon001_gate_test.cpp:37,90.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
iowait_percent,eng/tests/unit/mon002_gate_test.cpp:202,80.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
active_window_seconds,eng/tests/unit/mon004_enforcement_test.cpp:46,12.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
mem_bandwidth_percent,eng/tests/unit/mon004_enforcement_test.cpp:91,90.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
max_dev0,eng/tests/unit/p1001_real_nodes_test.cpp:1516,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
kPxScaleDeg,eng/tests/unit/p1001_real_nodes_test.cpp:1810,0.0002777777777777778,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,测试/实验,测试/实验钉值旁表：命名常数旁表（纯数值初始化）
min_sep_px,eng/tests/unit/p1001_real_nodes_test.cpp:1851,0.9,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,测试/实验,行内浮点字面量旁表（只登记不判对错）
