ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
M3-E-001|E_TRACE_BREAK|P0|旧宪章 §17.2、§12.3-1、§12.3-4、§11|ASTROCS_DESIGN.md §12：发布候选须"追踪无断链"、未实现/未验收必须明确报告不得用文档声明冒充；ENGINEERING_SPEC.md §8：检查器须覆盖"算法引用有效 SCI/ALG、核心合同有独立测试、删除/重命名无悬空引用"|命令：python3 -c "import csv;r=list(csv.reader(open('docs/TRACEABILITY.csv',encoding='utf-8')))[19];print(r[9],r[10],r[14],'ac_correct_frame_in_public_api=', 'ac_correct_frame' in r[6])"；输出：TEST-CAL-001 lib/calibration/tests/test_photometry_apply.cpp VERIFIED ac_correct_frame_in_public_api= False|OPEN|P1-001|无|校准科学门 VERIFIED 行的第 9/10 列仍只指测光比例应用测试，第 6 列仍无 ac_correct_frame；三域 TST-CAL/TST-PHOT/TST-NOISE 非法前缀本轮 grep -roE 在 docs 仍命中 12 处
M6b-E-001|E_TRACE_BREAK|P0|旧宪章 §12.3-9、§12.3-1、§14.2、§16.1、§17.2；docs/traceability/TRACEABILITY_SPEC.md §1|ASTROCS_DESIGN.md §12（追踪无断链）；ENGINEERING_SPEC.md §8（检查器覆盖注册表/文档一致、无悬空引用、能红能绿）|命令：grep -m1 -n TRACEABILITY.csv docs/README-DOCS.md docs/DEVELOPER_GUIDE.md docs/standards/API_STANDARD.md；输出：docs/README-DOCS.md:13:追溯             docs/TRACEABILITY.csv（唯一矩阵）；docs/DEVELOPER_GUIDE.md:38:- 规范标准：`docs/standards/`；追溯：`docs/TRACEABILITY.csv`；docs/standards/API_STANDARD.md:14:每个稳定公共 API 关联 API-* ID（见 docs/TRACEABILITY.csv），例如|OPEN|DOC-001|无|SPEC 仍明文 JSON 为机器真相而三份路由文档仍指旧 CSV，DOCUMENT_INDEX 仍列旧表 ACTIVE_NORMATIVE；两表 TEST 证据互斥率本轮未逐条重算
L28c-E-001|E_TRACE_BREAK|P1|旧宪章 §12.2、§12.3-3；RQS-PROTOCOL-001 §1 E_TRACE；L28b R-3/R-6b/R-6c|ENGINEERING_SPEC.md §2（注释禁堆积任务编号/审计流水）；§8（无悬空引用、能红能绿）|命令：grep -rl typed_dag_contract runtime lib cli tests ci tools include CMakeLists.txt; echo "grep_exit=$? cmake_refs=$(grep -c 'runtime/pipeline' CMakeLists.txt)"; sed -n '62p' runtime/pipeline/typed_dag_contract.h；输出：grep_exit=1 cmake_refs=0；// 冻结字段顺序不得重排（ABI 冒烟测试锁定 layout 断言）。|OPEN|RT-001|无|该头仍零 C++ 消费者、零构建源登记（根 CMake 0 处 runtime/pipeline），:62 仍宣称 ABI 冒烟测试锁 layout；:48 "DATA-xxx" 占位仍在
L28c-E-002|E_TRACE_BREAK|P1|旧宪章 §12.3-3、§12.2；RQS-PROTOCOL-001 §1 E_TRACE；L28b R-2①/R-6b|ENGINEERING_SPEC.md §8（删除/重命名无悬空引用）；§2（注释只写非显然决定）|命令：sed -n '7p' lib/photometric_calib/cpp/src/spectrum_integrator.h; ls lib/photometric_calib/spectrum_integrator/python/synthetic_photometry.py 2>&1; ls lib/photometric_calib/docs/algorithm.md 2>&1；输出：// 参考: lib/photometric_calib/spectrum_integrator/python/synthetic_photometry.py；ls: 无法访问 'lib/photometric_calib/spectrum_integrator/python/synthetic_photometry.py': 没有那个文件或目录；lib/photometric_calib/docs/algorithm.md|OPEN|DOC-001|无|:7 数值参考实现路径仍悬空；原 finding 同时指控的 :3 第二锚 lib/photometric_calib/docs/algorithm.md 本轮实测已存在，故 OPEN 只由 :7 承载
L28e-E-001|E_TRACE_BREAK|P1|旧宪章 §12.3-4、§13.1、§13.2、§11；L28b R-2①/R-6b|ENGINEERING_SPEC.md §5.1（每模块必备测试与独立 Oracle）；§8（核心合同有独立测试、算法引用有效 SCI/ALG）|命令：python3 -c "import csv,glob;rows=list(csv.reader(open('docs/TRACEABILITY.csv',encoding='utf-8')));n=sum(1 for r in rows if r and (r[0].startswith('TEST-UPMW') or r[0].startswith('TEST-PR-UPM')));fs=[f for d in ('lib','tests','ci') for f in glob.glob(d+'/**/*',recursive=True) if f.endswith(('.h','.hpp','.cpp','.c','.py','.txt','.md','.json','.yaml'))];h=sum(1 for f in fs if ('TEST-UPMW' in open(f,encoding='utf-8',errors='ignore').read() or 'TEST-PR-UPM' in open(f,encoding='utf-8',errors='ignore').read()));print('upmw_csv_rows=',n,'literal_files_in_lib_tests_ci=',h)"；输出：upmw_csv_rows= 17 literal_files_in_lib_tests_ci= 0|OPEN|DOC-001|无|本轮重算：CSV 中该两族行 17 条（finding 记 16），lib/tests/ci 字面命中 0 文件；ID 只由 tools/quality/v19r3_traceability.py:294/:311 f-string 铸造
L28e-E-002|E_TRACE_BREAK|P1|旧宪章 §11、§12.3-2、§12.3-3、§12.1；L28b R-2①/R-4|docs/design/UNIFIED_MODEL.md §1/§2（数据对象与配置唯一模型）；ENGINEERING_SPEC.md §8（端口引用有效 DATA 合同）|命令：python3 -c "import glob;ids=['DATA-IMG-IVAR-001','DATA-IMG-VAR-001','DATA-IMG-WEIGHT-001','DATA-IMG-SUPPORT-001','DATA-IMG-MASK-001','DATA-CAT-PSF-001','DATA-CAT-PHOT-001','DATA-REJ-MAP-001','DATA-P3-FITS-001','DATA-WCS-001'];fs=[f for d in ('lib','tests','ci','tools','contracts','runtime','cli','include') for f in glob.glob(d+'/**/*',recursive=True) if f.endswith(('.h','.hpp','.cpp','.c','.py','.txt','.md','.json','.yaml','.csv'))];blob=''.join(open(f,encoding='utf-8',errors='ignore').read() for f in fs);print('zero_carrier_ids=',sum(1 for i in ids if i not in blob),'of',len(ids))"；输出：zero_carrier_ids= 10 of 10|OPEN|DATA-001|无|本轮按前台订正口径复算：10 枚确证零承载（IMG 的 VAR/IVAR/WEIGHT/SUPPORT/MASK、CAT-PSF/CAT-PHOT、REJ-MAP、P3-FITS、WCS）；tools/check_data_artifacts.py 仍只验表内自洽
L28e-E-003|E_TRACE_BREAK|P1|旧宪章 §12.3-3、§11；L28b R-2①/R-4/R-6b|ENGINEERING_SPEC.md §8（算法引用有效 SCI/ALG）|命令：python3 -c "import glob;fs=[f for d in ('lib','tests','ci','tools','runtime','cli','include') for f in glob.glob(d+'/**/*',recursive=True) if f.endswith(('.h','.hpp','.cpp','.c','.py','.txt','.md','.json','.yaml'))];blob=''.join(open(f,encoding='utf-8',errors='ignore').read() for f in fs);print('ALG-UPM-002_hits=',blob.count('ALG-UPM-002'),'ALG-UPM-003_hits=',blob.count('ALG-UPM-003'),'ALG-UPM-004_hits=',blob.count('ALG-UPM-004'))"; sed -n '113p' docs/science/PHASE2_UPM.md；输出：ALG-UPM-002_hits= 0 ALG-UPM-003_hits= 0 ALG-UPM-004_hits= 0；- `ALG-UPM-002` `p2_upm_calibrate_block` 双线性校正|OPEN|DOC-001|无|权威 :113-115 仍逐条绑定序号式 ALG ID，实现侧仍只挂语义式 ID（upm.cpp:11 ALG-UPM-CONTROL-IVAR-001），序号 ID 全仓零字面命中
M1a-E-001|E_TRACE_BREAK|P1|旧宪章 §12.3-9、§13.1、§17.1；10_PROTOCOL"锚须可定位"|ENGINEERING_SPEC.md §8（活动文档无陈旧状态冒充、删除/重命名无悬空引用）|命令：sed -n '29,30p' lib/plate_solve/module.yaml; grep -n 'add_library(astrocs_p1_ipv' CMakeLists.txt；输出：# -O3 -fopenmp → ipv_solver.dll，MSYS2/MinGW）；未编入根 CMake 主构建；# （根 CMakeLists.txt 无 ipv 目标）——CMake 集成归 P1-WCS-IMPL。生产；528:add_library(astrocs_p1_ipv STATIC|OPEN|DOC-001|无|module.yaml:29-30"根 CMake 无 ipv 目标"仍被 CMakeLists.txt:528/:673 证伪；:3-8 的 12 个导出行锚仍整体漂移（from_detections_v1 记 :524 实为 :623）
M1a-E-002|E_TRACE_BREAK|P1|旧宪章 §12.3-9、§4.1；AGENTS.md 目录规范|ENGINEERING_SPEC.md §8（无悬空引用）；§7（目录规范，产物只落 output_dir）|命令：ls docs/05_STAR_DETECT_PSF_DEDUP_SPEC.md 2>&1; ls -d lib/plate_solve_old 2>&1; sed -n '155p' lib/plate_solve/cpp/ipv/include/ipv_api.h；输出：ls: 无法访问 'docs/05_STAR_DETECT_PSF_DEDUP_SPEC.md': 没有那个文件或目录；ls: 无法访问 'lib/plate_solve_old': 没有那个文件或目录；// 规范: docs/05_STAR_DETECT_PSF_DEDUP_SPEC.md|OPEN|DOC-001|无|ipv_api.h 仍把规范指向仓内不存在的 docs/05_*（另有 :237 的 docs/24_/25_ 已归档）；REPORT.md 仍称旧资产迁至不存在的 lib/plate_solve_old/v4_archive/；源码树仍留 make_clean_*.txt 残留
M1a-E-003|E_TRACE_BREAK|P1|旧宪章 §12.3-9、§13.1|ENGINEERING_SPEC.md §8（活动文档无陈旧状态冒充）|命令：sed -n '11,12p' docs/algorithms/PHASE3_PROJ_IMPL.md; echo "p3_wcs_h=$(wc -l < lib/phase3_session/p3_wcs.h) p3_wcs_cpp=$(wc -l < lib/phase3_session/p3_wcs.cpp) p3_resample_h=$(wc -l < lib/phase3_session/p3_resample.h)"；输出：> 生产源: lib/phase3_session/p3_wcs.h（50 行，唯一权威签名头）+；> lib/phase3_session/p3_wcs.cpp（165 行），实测 2026-09-11。；p3_wcs_h=63 p3_wcs_cpp=230 p3_resample_h=150|OPEN|DOC-001|无|合同"实测"行数仍失真：50→63、165→230、p3_resample.h 记 58 实为 150（PHASE3_RSMP_IMPL.md:13）；p3_resample.cpp 记 239 实为 519
