finding_id,severity,status,task_id,module,path,symbol,claim,observed,expected,reproduction,impact,proposed_fix,verification,evidence_path
P0-01,P0,FAIL,CON-001..010,,,,"Phase2 OpenMP/Dispatcher 生产接线虚假, 运行单线程",V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P0-02,P0,FAIL,CHK-002,,,,API checker 的 signature mismatch 分支为空操作,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P0-03,P0,FAIL,API-001..005,,,,API_CONTRACTS 大量字段为全表模板占位,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P1-01,P1,FAIL,"SCI-004, ALG-003",,,,UPM Huber、复杂度、OpenMP 文档与实现矛盾,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P1-02,P1,FAIL,"SCI-003, ALG-002",,,,Drizzle 单位、面亮度与常量场定义矛盾,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P1-03,P1,FAIL,"CHK-001, REL-001",,,,63/67 traceability 行缺 ALG leg,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P1-04,P1,FAIL,"BLD-001, BLD-002",,,,"AIO 缺 -fPIC, Phase2 构建依赖不显式",V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P1-05,P1,FAIL,"BLD-003, TST-002",,,,Linux ivar wiring test 硬编码 .exe 而失败,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P1-06,P1,FAIL,TST-001..003,,,,全测试清单绝大多数未构建/未运行,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P1-07,P1,FAIL,BLD-003,,,,Orchestrator 无 Linux 动态加载路径,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P2-01,P2,FAIL,"CON-005, CON-006",,,,Stage2 热循环临时分配设计脆弱; O2 可能优化掉但 Debug 会分配,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P2-02,P2,FAIL,BLD-003,,,,99 处 Windows 绝对路径/.exe 等可移植性问题,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P2-03/P2-08,P2,FAIL,BLD-003,,,,Drizzle Makefile 硬编码 Windows --stack,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P2-04,P2,FAIL,BLD-003,,,,ACR 无条件 windows.h,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P2-05,P2,FAIL,"BLD-003, TST-002",,,,Phase2 测试硬编码 Windows executable,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P2-06,P2,FAIL,DOC-001,,,,文档引用不存在 commit,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P2-07,P2,FAIL,"DOC-001, CHK-005",,,,文档引用不存在文件/路径,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P2-09,P2,FAIL,CHK-004,,,,forbidden-pattern checker 漏报 hardcoded 16 worker cap,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P2-10,P2,FAIL,"ID-003, CHK-005",,,,BASS SHA256 清单含路径/哈希错误,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P2-11,P2,FAIL,BLD-004,,,,SNR shared build 混入 -static,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P2-12,P2,FAIL,BLD-002,,,,Gaia client shared build 缺 -fPIC,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P2-13,P2,FAIL,"BLD-003, BLD-004",,,,PlateSolve Makefile 使用 cmd.exe 与 kernel32,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P2-14,P2,FAIL,BLD-002,,,,Dynamic PSF shared build 缺 -fPIC,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
P2-15,P2,FAIL,API-001..005,,,,36 个合同 API 无生产实现引用,V2 已确认(见 08_V2_INHERITED_FINDINGS.md),修复+测试+外部复核后方可关闭,,,,,
