编号,符号或键,出处原文,解析出的锚数,锚样例
A2-001,(无名)·lib/infrastructure/cli/session_commands.h:181,唯一数值源 eng/packaging/config/defaults.json:666-667 drizzle.pixfrac=0.8（authority_status=owner_adjudicated）；docs/plugins/al,2,eng/packaging/config/defaults.json:666; docs/plugins/algorithms_phase1/08_drizzle.md:49
A2-002,additive_mode（seam）,module_adapters.cpp:9835-9836/:10311-10312 读点、:10313-10316 校验、:10318-10321 降级、:10524/:10528-10537/:10541-10552 施加链、:1069,2,module_adapters.cpp:9835; eng/packaging/config/config_registry.json:1849
A2-003,calibration.master_flat_median_range,"真锚 docs/science/CALIBRATION.md:182（冻结默认 [0.5, 2.0]）+ docs/algorithms/CALIBRATION_ALGORITHMS.md:57；注册件所引 :103 讲的是**平场响应下界",2,docs/science/CALIBRATION.md:182; docs/algorithms/CALIBRATION_ALGORITHMS.md:57
A2-004,cosmetic.bad_column_enabled,真锚 docs/contracts/DATA_SEMANTICS.md:316（§10.4 表『开关』行：列状缺陷路径默认启用，置 false 时本路径逐位不生效）；注册件所引 :304 是 §10.4 小节标题,1,docs/contracts/DATA_SEMANTICS.md:316
A2-005,drizzle.pixfrac,"docs/science/DRIZZLE.md:26（pixfrac (0,1]，默认 0.8）/:35（值域与 NO_DATA）/:56（核按 drop 面积归一 ⇒ 与 pixfrac 无关）；一手 Fruchter & Hook 20",1,docs/science/DRIZZLE.md:26
A2-006,gate_enforcement（资源门是否影响退出码）,resource_gate.h:268-270；eng/contracts/resource_gate_v1.json enforcement.in_process_hard_fail；21_observability.md §8.3 表 ,1,resource_gate.h:268
A2-007,kEventLineMaxBytes,docs/contracts/LOG_AND_ERROR_CONTRACT.md:35/:55/:151＋docs/design/LOG_AND_ERROR_SYSTEM.md:94＋docs/architecture/observabil,4,docs/contracts/LOG_AND_ERROR_CONTRACT.md:35; docs/design/LOG_AND_ERROR_SYSTEM.md:94; docs/architecture/observability/STRUCTURED_LOGGING_CONTRACT.md:122
A2-008,kEventLineMaxBytes 的实现越界,jsonl.h:55/:86-102/:143/:124/:121；eng/contracts/schemas/jsonl_event_v1.schema.json 无 maxLength（正例对照：log_event_v1.schema.,1,jsonl.h:55
A2-009,mb_per_s 命名的量纲债,eng/contracts/resource_gate_v1.json#memory.unit；memory_report.h:228/:481；v6_runtime_contract.h:310/:329 required_metric_,3,memory_report.h:228; v6_runtime_contract.h:310; resource_monitor.py:90
A2-010,noise.clip_sigma,docs/science/NOISE_MODEL.md:63（稳健裁剪: cosmic/hot 5sigma，<=2 轮；注册件所引 :56 是 gain 行）,1,docs/science/NOISE_MODEL.md:63
A2-011,noise.mask_r_min_px,"docs/science/NOISE_MODEL.md:96（r_min = max(1.5 px, 0.75·FWHM_i)；符号表 :38 同）；注册件所引 :85 是空行",1,docs/science/NOISE_MODEL.md:96
