ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
M1a-C-005|C_DOC_CODE_GAP|P1|旧宪章 §12.3-3、§13.1；ALG-WCS-001 §3/§11.1|ENGINEERING_SPEC.md §8：检查器覆盖（至少）算法引用有效 SCI/ALG、活动文档无陈旧版本号/历史状态冒充；ASTROCS_DESIGN.md §0：本文与其他任何文档冲突时，以本文为准|命令：grep -n -e IRLS -e extract_wcs_sip -e legacy docs/algorithms/PLATESOLVE.md；输出：33:    sip = build_sip(trans) order 2-3, IRLS 15x ε1e-6 Huber 1.345 (ipv_sip.cpp:238-262)；166:- DISP-WCS-003 双 SIP 拟合路径并存：生产 extract_wcs_sip（TRANS 解析 A/B；167:  + 7x7 网格反变换 AP/BP，ipv_wcs.cpp:322-478）与 legacy fit_sip IRLS+Huber|OPEN|P1-001|无|§3 伪代码仍把生产 SIP 步写成 legacy IRLS+Huber 并锚 ipv_sip.cpp；本轮 grep 证 ipv_wcs.cpp 内 0 处 irls_huber_fit 调用（生产走 extract_wcs_sip:241 解析+网格最小二乘），同一文档 §11.1 自述与之互斥且未订正
M1a-C-006|C_DOC_CODE_GAP|P1|旧宪章 §12.3-3、§13.1、§14.4；ALG-WCS-001 §5|ENGINEERING_SPEC.md §3：科学公式/权重/精度与默认容差不可修改，禁止一个字段承载多个含义；ENGINEERING_SPEC.md §8：活动文档无历史状态冒充|命令：grep -n -e 'flux(A) 降序' -e 'mag(box积分) 升序' -e 'img_n_target = 20' -e '自适应扩充 20' lib/plate_solve/cpp/ipv/src/ipv_select.cpp lib/plate_solve/cpp/ipv/include/ipv_types.h；输出：ipv_select.cpp:16:// - 图像侧选星 (: 统一按 flux(A) 降序取前 img_n_target 颗)；ipv_select.cpp:745:    // 按 mag(box积分) 升序排序 (mag 越小越亮)；ipv_types.h:232:    // 自适应扩充 20→40→60 仅在 max_vote < vote_threshold 时触发|OPEN|P1-001|无|头注口径（flux 降序）与实现（mag 升序，ipv_select.cpp:745-747）互斥；ipv_types.h:230-232 仍写默认 20 颗/自适应 20→40→60，而 ipv_solver.cpp:1208 与 :440 为硬编码 60 覆盖入参；PLATESOLVE.md:115 仍写 flux 降序
M1a-C-007|C_DOC_CODE_GAP|P1|旧宪章 §12.3-3、§12.3-9、§13.1、§17.1；ALG-P3-003/RSMP 实现合同|ENGINEERING_SPEC.md §8：模块 manifest/注册表/构建 target/产品清单一致、活动文档无陈旧版本号/历史状态冒充；ASTROCS_DESIGN.md §0：冲突以本文为准|命令：wc -l lib/phase3_session/p3_resample.h lib/phase3_session/p3_resample.cpp；sed -n '14p;24p;195p' docs/algorithms/PHASE3_RSMP_IMPL.md；grep -c -e ^P3ResampleStatus -e ^void -e ^struct -e '^typedef enum' lib/phase3_session/p3_resample.h；输出：150 p3_resample.h；519 p3_resample.cpp；14:> 生产源: lib/phase3_session/p3_resample.h（58 行，唯一权威签名头）+ ...（239 行），实测 2026-09-12；24:- 非目标: 不实现 variance/weight/ivar/support 输入；195:  *coverage 恒 1；22|OPEN|P3-002|无|四项失真仍在：行数 58/239 对实测 150/519；非目标已被 p3_uncertainty_* 推翻（头 :94-146 自述 §30.4-4 supersession）；§4 自称全部公共符号（10 个）而头文件现 22 个符号/16 个函数，p3_sample_nearest 签名不符；§6.5 仍记 coverage 恒 1 而头注为 1=有值/0=tile 缺失
M1a-C-008|C_DOC_CODE_GAP|P1|旧宪章 §4.3、§12.3-9、§12.3-4；SCI-P3-001 §9a-11|ASTROCS_DESIGN.md §12：只有通过验收的 Phase 才能标 available，未实现/未验收必须明确报告，不得用命令占位/空输出/文档声明冒充完成；ENGINEERING_SPEC.md §8：活动文档无历史状态冒充|命令：grep -n -e 'prov.hips_id' -e 'prov.manifest_hash' lib/phase3_session/p3_session.cpp lib/core/src/module_adapters.cpp；grep -n 'B2-A9/A10 已闭合' docs/algorithms/PHASE3_FITS_IMPL.md；输出：p3_session.cpp:373:    prov.hips_id = "ivo://astrocs/phase3";；p3_session.cpp:374:    prov.manifest_hash = nullptr;；module_adapters.cpp:5868:  prov.manifest_hash = input_manifest_hash.c_str();；PHASE3_FITS_IMPL.md:344:- **整改项（B2-A9/A10 已闭合）**|OPEN|P3-002|无|会话面仍置 nullptr（p3_output.cpp:225 HISTORY manifest 字段写空值），hips_id 两面均为常量占位；合同按整体登记已闭合；lib/phase3_fits/README.md:48/:97 仍引用 docs/science/PHASE3_HIPS_TO_FITS.md（143 行）中不存在的 §96（该文件 grep §96 = 0 命中）
M2a-C-10|C_DOC_CODE_GAP|P1|旧宪章 §4.3、§12.3-1、§7.3；DATA-001/DATA-002 合同自述|ENGINEERING_SPEC.md §8：检查器覆盖（至少）模块 manifest/注册表/构建 target/产品清单一致；docs/design/UNIFIED_MODEL.md §2：数据对象（禁止互相冒充）|命令：python3 载入 artifact_types.registry.json 与 artifact_manifest.schema.json 的 type_id.pattern 并逐个 match；输出：^astrocs\.[a-z0-9]+\.[a-z0-9_]+\.v[0-9]+$；[('astrocs.phase1.frame_hips.v1', True), ('astrocs.phase2.mosaic_hips.v1', True), ('astrocs.phase3.planar_fits.v1', True), ('astrocs.calibrated_frame.v1', False)]|OPEN|DATA-001|无|registry 第 4 个类型 astrocs.calibrated_frame.v1 过不了自家 schema 词法（三段且第二段含下划线），校验器先词法后注册表（artifact_manifest_validator.py:131-137）故一经使用必被拒；phase_product_exchange.schema.json 同 pattern，同判 False
M2a-C-11|C_DOC_CODE_GAP|P1|旧宪章 §12.3-1/-2、§16.2；该 JSON 自任通道语义唯一事实源输入|ENGINEERING_SPEC.md §8：模块 manifest/注册表/构建 target/产品清单一致；ASTROCS_DESIGN.md §12：未实现/未验收必须明确报告，不得用文档声明冒充|命令：python3 读 contracts/data/phase2_uncertainty_rejection_provenance_v1.json 的 pending_aio_channels 状态；grep -n -e AIO_HIPS_PRODUCT_NREJ -e AIO_HIPS_PRODUCT_NUSED lib/astro_image_io/include/aio_hips.h；输出：{'writer_int32_tile': 'PENDING_AIO_DOMAIN', 'properties_key_channel': 'PENDING_AIO_DOMAIN'}；46:    AIO_HIPS_PRODUCT_NREJ    = 32,；47:    AIO_HIPS_PRODUCT_NUSED   = 64,|OPEN|AIO-001|无|两个 pending 通道均已实现：flags 位 32/64 定义并可落盘（aio_hips.h:162-163），writer 写 astrocs_diag_dtype 与 ASTROCS_* 五键（aio_hips_writer.cpp:991-999）；合同 JSON 无 resolution 回登，与同文件 findings_transfer 的 IMPLEMENTED 惯例不一致
M2a-C-12|C_DOC_CODE_GAP|P1|旧宪章 §4.1、§4.3、§12.3-2；DATA-GAIA-001|docs/design/UNIFIED_MODEL.md §2：数据对象（禁止互相冒充）与可否作权重表；ENGINEERING_SPEC.md §3：数据对象按 UNIFIED_MODEL 区分，禁止一个字段承载多个含义|命令：grep -n parallax lib/gaia_xpsd_client/src/module_entry.c；sed -n '121,123p' docs/contracts/DATA_SEMANTICS.md；grep -n calloc lib/gaia_xpsd_client/src/gaia_client.c；输出：module_entry.c:802: "magRP":"f64","parallax":"f32","pmra":"f32",；DATA_SEMANTICS.md:121-123: 明确**不输出**：source_id（恒 0 占位）、parallax/pmra/pmdec（输出结构体中**未初始化**...）；gaia_client.c:2139: *out_stars = (GaiaStar *)calloc(...) /* CAT-GAIA-IMPL: 未初始化字段显式置 0 */|OPEN|DATA-001|无|代码已 calloc 显式置 0（:2072/:2139/:2355），DATA_SEMANTICS:121-123 与 README:142 仍写未初始化（UB 面失实）；cone 行 published schema 仍下发 parallax/pmra/pmdec/source_id 四列，恒 0 落在合法天测值域内且无 invalid 表达
M2a-C-2|C_DOC_CODE_GAP|P1|旧宪章 §4.3、§5.3、§12.3-1/-10；DATA-SEMANTICS §11（DATA-P1-DRZ）|ASTROCS_DESIGN.md §3.3：precision（FP32/FP64）显式声明；科学模块按声明精度执行|命令：grep -n -e 'precision_mode == 1 && !data_is_f64' -e 非法 lib/healpix_db/healpix_drizzle/hp_drizzle_api.cpp；grep -n 'precision consistency' lib/core/src/module_adapters.cpp；ls tests/unit/drizzle_precision_default_test.cpp；输出：hp_drizzle_api.cpp:1006:    if (config.precision_mode == 1 && !data_is_f64) {... 显式拒绝 return -14；module_adapters.cpp:3066: drizzle precision consistency: data block dtype != precision_mode；tests/unit/drizzle_precision_default_test.cpp（T8/T9 两向一致性钉住）|RESOLVED|P1-001|无|使其不再成立：M2a-H-1 落地——节点按 precision_mode 选 data 块 dtype 并自检（module_adapters.cpp:3032-3066），库边界 pm=1+FP32 块显式拒 rc=-14（hp_drizzle_api.cpp:1006-1013），落盘 add_tile_f64 仅 pm==1（drizzle_engine.cpp:2394-2395），故声明与产品精度重新因果绑定；残余 pm=0+f64 块按块累加不影响产品级声明
M2a-C-3|C_DOC_CODE_GAP|P1|旧宪章 §12.3-1/-2/-10、§1.1；SCI-DRZ-001 §8:96|ENGINEERING_SPEC.md §8：活动文档无陈旧版本号/历史状态冒充；ASTROCS_DESIGN.md §0：本文与其他任何文档冲突时以本文为准|命令：grep -n 不掩膜 lib/healpix_db/healpix_drizzle/drizzle_engine.cpp；grep -n DISP-DRZ-004 docs/algorithms/DRIZZLE_GEOMETRY.md docs/standards/STANDARDS_REGISTRY.md；输出：drizzle_engine.cpp:1891: 源像素 NaN/Inf 经 F_p=Σx_j·w_jp 直接传播, drizzle 层**不掩膜**;；DRIZZLE_GEOMETRY.md:118: 值像素 NaN/Inf 主循环静默 continue（等效掩膜）:230 DISP-DRZ-004 主循环 !isfinite→continue 静默跳过；STANDARDS_REGISTRY.md:163/:173/:259 仍记 DISP-DRZ-004 TRACKED P1-DRZ-IMPL|OPEN|DOC-001|无|代码已删除旧 isfinite+continue（:1893 自述），六处登记面（ALG §5 行 :118、ALG §10 :230、DATA_SEMANTICS:245、lib/drizzle/README.md:89-90、registry 页:43、STANDARDS_REGISTRY:163/:173/:259）仍把静默掩膜当现状，登记与实现相反
M2a-C-4|C_DOC_CODE_GAP|P1|旧宪章 §12.3-1/-9/-10、§16.2|ENGINEERING_SPEC.md §8：模块 manifest/注册表/构建 target/产品清单一致、活动文档无历史状态冒充|命令：sed -n '9p' lib/drizzle/README.md；grep -n -e 'entrypoint: MISSING' -e 未建 lib/drizzle/module.yaml；grep -n 'add_library(astrocs_p1_drizzle' lib/drizzle/CMakeLists.txt；输出：README.md:9:> 由 P1-DRZ-IMPL 建立，当前本目录仅合同文件、无源码；；module.yaml:24/34: astrocs_p1_drizzle.dll 未建 / entrypoint: MISSING；CMakeLists.txt:61:add_library(astrocs_p1_drizzle SHARED|OPEN|MOD-001|无|实际已有 lib/drizzle/src/module_entry.cpp 与 def/map、SHARED target 及 descriptor（module_adapters.cpp:817 astrocs.phase1.drizzle），README §1 与 module.yaml 的未建/MISSING 仍是迁移前稿，机器一致性门会读到相反事实
