task_id,title,owner_id,lane,depends_on,spec_ref,write_scope,timeout_sec,domain,status
BASE-001,冻结预存工作区与旧台账,FG-000,read-only,,tasks/BASE-001.md,,600,baseline,PASSED
GOV-001,负责人冻结宪章与四项裁决,OWNER,owner,,tasks/GOV-001.md,,1800,governance,PASSED
GOV-002,归档旧控制包并统一活动状态,SA-GOV,repo-write,,tasks/GOV-002.md,工程控制/;engineering/control/,1800,governance,PASSED
WCS-001,修复独立WCS Oracle量纲,SA-WCS,repo-write,,tasks/WCS-001.md,tests/unit/p1wcs/,3600,science,PASSED
WCS-002,修复SIP逆模型与空对边界,SA-WCS,repo-write,WCS-001,tasks/WCS-002.md,lib/plate_solve/;tests/unit/p1wcs/,7200,science,PASSED
WCS-003,AP/BP布局扩展与迭代反演达冻结门,SA-WCS,repo-write,WCS-002,tasks/WCS-003.md,lib/plate_solve/;tests/unit/p1wcs/,10800,science,PASSED
PSF-001,修复PSF批量ABI尺寸边界,SA-PSF,repo-write,,tasks/PSF-001.md,lib/dynamic_psf/,3600,science,PASSED
DATA-001,冻结Phase2与Phase3不确定度产品合同,OWNER,owner,,tasks/DATA-001.md,docs/;contracts/,3600,science,PASSED
AIO-001,建立唯一AIO C ABI与内容哈希复核,SA-AIO,repo-write,,tasks/AIO-001.md,include/;lib/astro_image_io/,7200,architecture,PASSED
AIO-002,实现HiPS原子发布与临时目录清理,SA-AIO,repo-write,AIO-001,tasks/AIO-002.md,lib/hips/;lib/hips_p2/,7200,architecture,PASSED
P1-001,实现Phase1真实节点与complete门,SA-P1,repo-write,WCS-002|PSF-001|AIO-002,tasks/P1-001.md,lib/phase1_session/;lib/core/,10800,architecture,PASSED
P2-001,实现Phase2真实算法节点,SA-P2,repo-write,DATA-001|AIO-002,tasks/P2-001.md,lib/phase2/;lib/core/,10800,architecture,PASSED
P2-002,实现Phase2不确定度排异与provenance产品,SA-P2,repo-write,P2-001,tasks/P2-002.md,lib/phase2/;contracts/,10800,science,PASSED
P3-001,建立投影registry与冻结投影实现,SA-P3,repo-write,DATA-001|AIO-002,tasks/P3-001.md,lib/phase3_proj/,10800,science,PASSED
P3-002,实现Phase3真实节点流式输出与不确定度,SA-P3,repo-write,P3-001,tasks/P3-002.md,lib/phase3_session/;lib/core/,10800,architecture,PASSED
P1-HIPS-DIGEST-001,p1hips多HDU digest归一化修复,SA-AIO,repo-write,,tasks/P1-HIPS-DIGEST-001.md,lib/astro_image_io/tests/,3600,testing,PASSED
RT-001,接入唯一Executor和实测资源门,SA-RT,rw-mod,,tasks/RT-001.md,lib/core/;runtime/,10800,performance,PASSED
MOD-001,完成科学DLL安装加载验证与产品清单,SA-MOD,rw-mod,RT-001,tasks/MOD-001.md,cmake/;packaging/,10800,architecture,PASSED
CLI-001,完成薄CLI validate plan inspect,SA-CLI,rw-mod,MOD-001,tasks/CLI-001.md,cli/,7200,architecture,PASSED
CI-001,收紧CI注册表与资源fail-closed,SA-CI,repo-write,CLI-001,tasks/CI-001.md,ci/,7200,ci,PASSED
REAL-000,真实数据审计索引v1.2与匹配计划,SA-REAL,repo-write,,tasks/REAL-000.md,testdata/index.json;tools/realdata/;run/,7200,realdata,PASSED
CI-REG-002,新增测试全注册与关键检查不可豁免,SA-CI,rw-ci,,tasks/CI-REG-002.md,ci/;tools/quality/;tests/unit/CMakeLists.txt,10800,ci,PASSED
CI-REPAIR-001,拉回上轮CI结果并建立常驻修复线,SA-CI,rw-ci,,tasks/CI-REPAIR-001.md,run/ci_repair/;ci/;tools/quality/,7200,ci,PASSED
CI-BASELINE-001,known-failures基线机器化,SA-CI,rw-ci,CI-REG-002,tasks/CI-BASELINE-001.md,tools/quality/;ci/;tests/,5400,ci,PASSED
STD-REG-001,国际标准冻结注册表,SA-GOV,repo-write,,tasks/STD-REG-001.md,docs/standards/;docs/DOCUMENT_INDEX.yaml,7200,governance,PASSED
STD-F1-ADJ,CRPIX口径落地(裁决b:导出边界+1桥接),SA-WCS,rw-tests,,tasks/STD-F1-ADJ.md,lib/plate_solve/;lib/phase3_session/;docs/;tests/,10800,science,IN_PROGRESS
DOC-CONV-001,L0与模块状态文档收敛,SA-DOC,rw-docs,STD-REG-001,tasks/DOC-CONV-001.md,REVIEW.md;docs/;memory.md,7200,docs,PASSED
SCI-F2-001,integrate逐样本剔除kernel拒绝样本(§30.2生产修复),SA-P2,rw-lib,CORE-RACE-001,tasks/SCI-F2-001.md,lib/core/src/module_adapters.cpp;lib/phase2/;tests/,10800,science,IN_PROGRESS
SCI-F3-001,AIO NREJ/NUSED通道与五键落盘,SA-AIO,rw-lib,,tasks/SCI-F3-001.md,lib/astro_image_io/;lib/hips_p2/;tests/,10800,science,IN_PROGRESS
SCI-ANCHOR-001,冻结文档行号锚全量复测,SA-DOC,rw-docs,,tasks/SCI-ANCHOR-001.md,docs/;tests/,7200,docs,NOT_STARTED
UT-CLI-MAINT,UT-CLI 17项过时断言维护,SA-CLI,rw-ci,,tasks/UT-CLI-MAINT.md,tests/;ci/,5400,testing,NOT_STARTED
RT-001A,模块私池拆除接入唯一Executor,SA-RT,rw-mod,RT-001,tasks/RT-001A.md,lib/phase2/;lib/phase3_session/;tests/,10800,performance,NOT_STARTED
RT-001B,资源门实测接线与监控合同,SA-RT,rw-mod,RT-001,tasks/RT-001B.md,runtime/;tools/monitoring/;tests/,10800,performance,NOT_STARTED
MOD-001A,科学DLL安装树与ABI verify,SA-MOD,rw-mod,MOD-001,tasks/MOD-001A.md,cmake/;packaging/;tests/,10800,architecture,NOT_STARTED
MOD-001B,产品manifest生成与hash填充,SA-MOD,rw-mod,MOD-001A,tasks/MOD-001B.md,packaging/;cmake/;tests/,7200,architecture,NOT_STARTED
