路径,层级,当前存在,现存文件数,被提交触及次数,累计增行,累计删行,引入_seq,引入_sha8,引入日期,引入消息,最后改动_seq,最后改动_sha8,最后改动日期
evidence/v8_1_ci_control,目录,是,2153,189,49884,6665,1521,a4fdee3f,2026-09-05,chore(control): V81-ADOPT-001 注册控制包 V8.1 并冻结工作区身份 [V81-ADOPT-001],1780,9690c1da,2026-09-09
lib/healpix_db,目录,是,171,157,100229,32261,31,0c08aeb5,2026-07-11,feat: HEALpix Database - 球面存储与可视化系统,1951,dce8abd4,2026-09-14
tests/unit,目录,是,114,150,34157,306,1275,338eecc2,2026-08-30,BLD-001: 建立显式根 CMake 目标图,1980,0e4cee72,2026-09-14
artifacts/prerelease_v5,目录,是,242,146,3822,177,1042,f99e80d8,2026-08-28,(BASE-001) 起点冻结与V3/V4风险登记 — BASELINE.json(HEAD=main=origin/main=3895142三SHA一致)+R,1635,57319b1e,2026-09-08
lib/phase2,目录,是,57,144,25808,4983,553,1a38f400,2026-08-10,feat(phase2): W1 wiki sync + stage2 schema; W2 freeze UPM/rejection interfaces i,1951,dce8abd4,2026-09-14
lib/acr,目录,是,218,137,111806,13501,272,f8d749e4,2026-08-02,docs(acr): freeze bottom-only scope and dependency ADRs,1690,1efef060,2026-09-08
lib/astro_image_io,目录,是,353,123,338817,20453,2,802becc2,2026-05-24,Initial commit: Astro Image IO,1888,23f96b9c,2026-09-14
evidence/v6_1_rework,目录,是,347,110,65897,1687,1361,a3d16d85,2026-08-31,"R0-001: 冻结当前 main 身份 (三 SHA 相同, b16d422 为祖先, 工作树 205 项全分类, CONTROL_PASS)",1754,acceab68,2026-09-09
lib/orchestrator,目录,是,53,105,54312,21599,76,127c4a96,2026-07-15,feat: 管线编排引擎初始版本 (9节点管线 + SNR集成),1690,1efef060,2026-09-08
evidence/refactor,目录,是,298,96,7045,466,1261,4b1b948e,2026-08-30,BAS-001: 冻结仓库身份与控制包基线,1594,4f6e2b65,2026-09-07
docs/algorithms,目录,是,30,74,9549,1064,700,8ab2efbd,2026-08-15,docs(v19r2-s2): authoritative L0-L5 doc hierarchy + 64 contract IDs,1958,b0353303,2026-09-14
tests/backend,目录,是,145,63,9524,474,1094,7718a2f8,2026-08-28,(ABI-001) C ABI v1落地 — 单一头C11/C++17双编译+host services(计数allocator/atomic cancel/C,1924,23a91351,2026-09-14
docs/contracts,目录,是,9,58,6433,195,624,5a9eadcf,2026-08-13,docs(phase2-v14): finalization docs + config consistency tool - DATA_SEMANTICS/P,1980,0e4cee72,2026-09-14
tools/quality,目录,是,98,57,12989,236,698,729bc3b9,2026-08-15,chore(v19r2-s0): full-repo inventory on merged HEAD,1959,80c32b19,2026-09-14
lib/core,目录,是,14,55,10303,628,1277,3e98a22d,2026-08-31,CORE-002: 实现 DataArtifact 与 Provenance,1980,0e4cee72,2026-09-14
docs/architecture,目录,是,32,52,2807,203,624,5a9eadcf,2026-08-13,docs(phase2-v14): finalization docs + config consistency tool - DATA_SEMANTICS/P,1951,dce8abd4,2026-09-14
reports/evidence,目录,是,49,50,2002,39,1040,1c580eb9,2026-08-28,chore(v5): 前会话遗留工作树变更归位 — evidence/QA-V19R7-A2-*与self_review/round0-6按AGENTS目录规范,1259,587fe0e3,2026-08-30
lib/photometric_calib,目录,是,63,49,113159,48075,35,f75ae3f0,2026-07-12,v1.0: 鲁棒流量校准 Python 开发原型,1958,b0353303,2026-09-14
tests/cli,目录,是,63,48,5073,407,1088,07bc18b9,2026-08-28,(CLI-001) 单一astrocs target落地 — 严格C++17双平台main(help13行golden+version json+exit2 s,1950,adaeb531,2026-09-14
reports/REAUDIT_V3,目录,是,349,41,986,115,979,ac2ced53,2026-08-27,REAUDIT_V3: 控制包仅保留在 工程控制，已完成报告移入 reports/REAUDIT_V3,1036,6a947f51,2026-08-28
engineering/evidence,已不在树中,否,,40,1290251,995063,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,203,036a3bb5,2026-07-29
lib/gaia_xpsd_client,目录,是,15,40,11387,2302,1,4a2750bd,2026-05-24,Initial commit: Gaia DR3 XPSD Client,1955,bd4bc23b,2026-09-14
docs/science,目录,是,15,39,2401,468,700,8ab2efbd,2026-08-15,docs(v19r2-s2): authoritative L0-L5 doc hierarchy + 64 contract IDs,1958,b0353303,2026-09-14
docs/modules,目录,是,49,37,5216,473,700,8ab2efbd,2026-08-15,docs(v19r2-s2): authoritative L0-L5 doc hierarchy + 64 contract IDs,1958,b0353303,2026-09-14
include/astrocs,目录,是,23,37,3209,86,1094,7718a2f8,2026-08-28,(ABI-001) C ABI v1落地 — 单一头C11/C++17双编译+host services(计数allocator/atomic cancel/C,1977,57c04256,2026-09-14
lib/star_detector,目录,是,31,37,18196,3929,3,850973a7,2026-05-24,"feat: Star Detector - astronomical star detector with PSF fitting filter, FWHM c",1971,8dc0220e,2026-09-14
lib/plate_solve,目录,是,50,36,44637,6536,94,75835599,2026-07-16,重构: 根目录调试文件整理 + 模块内部冗余清理（2026-07-16）,1972,b858b76d,2026-09-14
docs/DOCUMENT_INDEX.yaml,目录或文件,否,,35,643,34,1480,b7b2dea7,2026-09-02,docs(governance): GOV-002 归档非当前工程文档,1855,344e0c9c,2026-09-13
lib/calibration,目录,是,33,35,20863,5390,24,a88d9789,2026-07-10,feat: Astro Calibration C++ module,1884,1dce779d,2026-09-13
cli/CMakeLists.txt,目录或文件,否,,33,338,71,1088,07bc18b9,2026-08-28,(CLI-001) 单一astrocs target落地 — 严格C++17双平台main(help13行golden+version json+exit2 s,1961,35c85f53,2026-09-14
cli/commands.cpp,目录或文件,否,,33,3013,492,1379,84191084,2026-08-31,"RT-008: CLI 接入唯一 Runtime (main 拆分, run/phase 走 runtime_client, cfitsio 并行 I/O 串行",1950,adaeb531,2026-09-14
lib/snr_estimator,目录,是,27,32,7602,507,75,8399f940,2026-07-15,feat: SNR 估算模块初始版本 (乘法模型),1961,35c85f53,2026-09-14
engineering/control,目录,是,912,31,3726,759,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,1787,8e03d7da,2026-09-10
lib/backend_host,目录,是,27,31,5370,258,1094,7718a2f8,2026-08-28,(ABI-001) C ABI v1落地 — 单一头C11/C++17双编译+host services(计数allocator/atomic cancel/C,1743,aceca50c,2026-09-09
reports/v19r8_quality,目录,是,24,31,2168,400,821,f1cf87a6,2026-08-22,chore(checkpoint): round03 53/95 V19R8 trio 255+185+421 [R03],930,b26db31a,2026-08-22
lib/dynamic_psf,目录,是,24,28,7193,830,18,12c55ed6,2026-05-24,feat: Dynamic PSF - Moffat4 PSF fitting engine with 16bit input and batch mode,1957,23a7f665,2026-09-14
lib/phase3_session,目录,是,11,28,2290,159,1117,9fb12dc0,2026-08-29,(P3-001) HiPS properties严格解析 — 必需键全查(5键)/值域(order0-20/width512/fits/frame)/重复键拒/,1857,66906609,2026-09-13
ci/tests,目录,是,67,27,7767,203,1528,459da629,2026-09-06,feat(ci): V8-CI-002 统一确定性 CI 执行器、结果 schema 与 29 项单测 [V8-CI-002],1823,a67bbc83,2026-09-12
docs/traceability,目录,是,4,24,2690,1689,1500,2a8676bf,2026-09-03,test(traceability): DOC-001 建立机器追溯合同,1953,c3452d48,2026-09-14
ci/checks.json,目录或文件,否,,22,3726,65,1527,0acfb514,2026-09-05,feat(ci): V8-CI-001 检查器与测试资产盘点注册 70 项 [V8-CI-001],1956,6d74046d,2026-09-14
cli/main.cpp,目录或文件,否,,21,1755,1677,1088,07bc18b9,2026-08-28,(CLI-001) 单一astrocs target落地 — 严格C++17双平台main(help13行golden+version json+exit2 s,1719,47ac0d40,2026-09-08
lib/phase1_session,目录,是,16,16,3149,101,1113,c5629be6,2026-08-29,(CLI-004) Phase1进程内接入 — p1_session四段式(API-P1-001冻结)+budget注入ac_set_num_threads+帧,1957,23a7f665,2026-09-14
cli/parser.cpp,目录或文件,否,,15,545,79,1379,84191084,2026-08-31,"RT-008: CLI 接入唯一 Runtime (main 拆分, run/phase 走 runtime_client, cfitsio 并行 I/O 串行",1961,35c85f53,2026-09-14
lib/common,目录,是,16,15,2012,252,327,bd036f3e,2026-08-04,feat(r10): 真正全链路 FP32/FP64 双精度 ABI 改造,1694,9f85b422,2026-09-08
docs/api,目录,是,6,14,403,13,1078,e08512ba,2026-08-28,(API-001) 公共C ABI基础层v1冻结 — acs_命名五结构handshake+逐字段单位/所有权+九错误码+thread_budget租借+并发合,1872,c21eec50,2026-09-13
tests/api,目录,是,32,14,930,6,1078,e08512ba,2026-08-28,(API-001) 公共C ABI基础层v1冻结 — acs_命名五结构handshake+逐字段单位/所有权+九错误码+thread_budget租借+并发合,1872,c21eec50,2026-09-13
