来源成稿,行,条目,短标题,被点名对象,全部对象,对象数,定级,置信,原文
AUD-101-D1残余.md,1,AUD-101,· 批次 D1 残余补登,docs/algorithms/,docs/algorithms/ 工程控制/RELEASE-05/tasks/,2,,,# AUD-101 · 批次 D1 残余补登 —— `docs/algorithms/` 3 份 + `工程控制/RELEASE-05/tasks/` 10 份
AUD-101-D1残余.md,23,,| 份数 | 13 份 = DA-02-missing 3 份 + D1-residual 11 份「其中 TEST_S,docs/standards/TEST_STANDARD.md,docs/standards/TEST_STANDARD.md,1,,,| 份数 | 13 份 = DA-02-missing 3 份 + D1-residual 11 份「其中 TEST_STANDARD.md 跳过」 | `DA-02-missing.txt` 3 行、`D1-residual.txt` 11 行；`3 + (11 − 1) = 13` ✓ 自洽 | 按 13 份登记，`docs/standards/TEST_STANDARD.md` **不登**（另一路在做） |
AUD-101-D1残余.md,29,,而 `D1-residual.txt` 与机械台账用的是**仓库相对全路径** `工程控制/RELEASE-05/tas,工程控制/RELEASE-05/tasks/ACCEPT-501.md,工程控制/RELEASE-05/tasks/ACCEPT-501.md,1,,,而 `D1-residual.txt` 与机械台账用的是**仓库相对全路径** `工程控制/RELEASE-05/tasks/ACCEPT-501.md`。
AUD-101-D1残余.md,38,,### 1.1 `docs/algorithms/CALIBRATION_ALGORITHMS.md`,docs/algorithms/CALIBRATION_ALGORITHMS.md,docs/algorithms/CALIBRATION_ALGORITHMS.md,1,,,### 1.1 `docs/algorithms/CALIBRATION_ALGORITHMS.md`
AUD-101-D1残余.md,42,,| 路径 | `docs/algorithms/CALIBRATION_ALGORITHMS.md` |,docs/algorithms/CALIBRATION_ALGORITHMS.md,docs/algorithms/CALIBRATION_ALGORITHMS.md,1,,,| 路径 | `docs/algorithms/CALIBRATION_ALGORITHMS.md` |
AUD-101-D1残余.md,45,,| 角色 | 算法推导。实际目录 `docs/algorithms/` = 标准 01 §2 该角色的目标目录 ⇒ **,docs/algorithms/,docs/algorithms/,1,,,| 角色 | 算法推导。实际目录 `docs/algorithms/` = 标准 01 §2 该角色的目标目录 ⇒ **一致，非角色错放** |
AUD-101-D1残余.md,48,,"| 下游 | 分片外 **36 个跟踪文件**引用（命令 `git grep -c -e ""CALIBRATION_AL",docs/algorithms,"docs/algorithms docs/science/CALIBRATION.md docs/modules/calibration.md lib/algorithms/calibration/README.md eng/tools/quality/check_master_unit_guard.py eng/packaging/config/defaults.json eng/tests/unit/p1001_real_nodes_test.cpp docs/traceability/TRACEABILITY_MATRIX.{csv,json}",8,,,"| 下游 | 分片外 **36 个跟踪文件**引用（命令 `git grep -c -e ""CALIBRATION_ALGORITHMS.md"" -- ':!docs/algorithms'`）。含 `CMakeLists.txt:594`、`docs/science/CALIBRATION.md`、`docs/modules/calibration.md`、`lib/algorithms/calibration/README.md`、`eng/tools/quality/check_master_unit_guard.py`、`eng/packaging/config/defaults.json`、`eng/tests/unit/p1001_real_nodes_test.cpp`、`docs/traceability/TRACEABILITY_MATRIX.{csv,json}` ⇒ "
AUD-101-D1残余.md,49,,| 是否正本 | 是——`docs/algorithms/` 层校准算法唯一正本；L7–8 自declare「本文为下游,docs/algorithms/,docs/algorithms/ docs/science/CALIBRATION.md,2,,,| 是否正本 | 是——`docs/algorithms/` 层校准算法唯一正本；L7–8 自declare「本文为下游派生件，SCI 的修改从 SCI 自身发起」，SCI 层正本是 `docs/science/CALIBRATION.md`，两层分工不冲突 |
AUD-101-D1残余.md,50,,| 重复或重叠对象 | `docs/science/CALIBRATION.md` §5「连续定义」。**两处原文**：,docs/science/CALIBRATION.md,docs/science/CALIBRATION.md,1,,,"| 重复或重叠对象 | `docs/science/CALIBRATION.md` §5「连续定义」。**两处原文**：本份 L38 `cal = (raw − bias·[bias≠NULL] − K·dark·[dark≠NULL]) / max(flat, 0.1)` ↔ `docs/science/CALIBRATION.md:91` 同式逐字节同；本份 L41 `K = t_light / t_dark`（两分支同一 K）↔ `docs/science/CALIBRATION.md:96` 同；本份 L42 `flat_norm = max(flat / median(flat), 0.1)` ↔ `docs/science/CALIBRATION.md:98` 同。<br>重叠范围：SCI 的**连续定义整块**（三式 + 双分支）在本份 §2 被整段复述，非指针引用。**无值"
AUD-101-D1残余.md,53,,| 悬空引用 | 1. **`02_FROZEN_STAGE1_HISS_SPEC` 三份引用全部悬空**：L255–2,docs/science…）」,"docs/science…）」 lib/algorithms/calibration/src/photometry_apply.{h,cpp} lib/infrastructure/aio/src/hiss_ docs/science/CALIBRATION.md docs/api/PHASE1_API_V1.md docs/contracts/{ARCH-001,PUBLIC_API,DATA_SEMANTICS}.md docs/modules/calibration.md eng/contracts/data/phase_product_exchange_matrix.json lib/",11,,确认,| 悬空引用 | 1. **`02_FROZEN_STAGE1_HISS_SPEC` 三份引用全部悬空**：L255–256「规范依据 `02_FROZEN_STAGE1_HISS_SPEC §2.3`（engineering 控制，非 docs/science…）」、L281–282「规范依据 `02_FROZEN_STAGE1_HISS_SPEC §7`（I_photo = k_photo·I_cal，Drizzle 前应用）」、L512「02_FROZEN §2.3 语义未进入生产路径」。<br>确认命令：`git ls-files \| grep -i '02_FROZEN\|HISS_SPEC'` → 跟踪集 **0 命中**；`git log --all --diff-filter=D --name-only` → 唯一历史路径为 `_agent_package/AstroCS
