task_id,wave,status,owner_id,depends_on,integrated_main_sha,commit,closed_utc
ABI-001,W1,CLOSED,SA-ABI-03,ARC-001,76b85d4,,
ABI-002,W1,CLOSED,SA-ABI-03,ABI-001,5de0813,,
ABI-003,W2,CLOSED,SA-ABI-03,ABI-002;BLD-003,da5ca10,,
ABI-004,W2,CLOSED,SA-ABI-03,ABI-003,40b5687,,
ABI-005,W2,CLOSED,SA-ABI-03,ABI-004,d9c3980,,
ABI-006,W2,CLOSED,SA-AUD-99,ABI-005,b99fcd80d41f16610ff5a4b26f487a93e46e5aa4,,
ACR-001,W2,CLOSED,SA-ACR-13,BLD-002,9cc5cb5,,
ARC-001,W1,CLOSED,SA-ABI-03,GOV-001,1c3d1dc,,
AUD-001,W0,CLOSED,SA-AUD-99,ID-001;ID-002;ID-003,f260b804880898f69aa9ffd0f78b6df1eeb8bc94,,
AUD-002,W5,NOT_STARTED,SA-AUD-99,LNX-006,,,
AUD-003,W6,NOT_STARTED,SA-AUD-99,WIN-014,,,
AUD-004,W7,NOT_STARTED,SA-AUD-99,QA-007;QA-008,,,
AUD-005,W8,NOT_STARTED,SA-AUD-99,WIN-014;AUD-004,,,
BLD-001,W1,CLOSED,SA-BLD-02,GOV-001,f260b80,,
BLD-002,W2,CLOSED,SA-BLD-02,BLD-001,3e7f7581fd066def5bc817f3b32311049ed0c264,,
BLD-003,W2,CLOSED,SA-BLD-02,BLD-002,46b0d8e,,
BLD-004,W2,CLOSED,SA-BLD-02,BLD-003,64a2f99,,
CAT-GAIA-DOC,W1,NOT_STARTED,SA-P1-W16,GOV-001;ARC-001;DATA-001;DOC-001,,,
CAT-GAIA-IMPL,W3,NOT_STARTED,SA-P1-W16,CAT-GAIA-TEST;ABI-005;RT-004;DATA-003,,,
CAT-GAIA-INT,W3,NOT_STARTED,SA-P1-W16,CAT-GAIA-IMPL;ABI-005;DATA-004;IO-003,,,
CAT-GAIA-TEST,W3,NOT_STARTED,SA-P1-W16,CAT-GAIA-DOC;TST-001,,,
CLI-001,W2,CLOSED,SA-CLI-04,ABI-005,10a5972390cbc214507ff4dedf347ef6a8c17bf3,,2026-09-04T10:02:52Z
CLI-003,W2,CLOSED,SA-CLI-04,CLI-002;RT-002,,257ae1f4efbaf5822ea6d7c42882e15f2c416b36,2026-09-05T13:30:00Z
CLI-004,W2,NOT_STARTED,SA-CLI-04,CLI-003,,,
CPU-001,W2,CLOSED,SA-CPU-09,BLD-003,0d32c07,,
CPU-002,W2,CLOSED,SA-CPU-B10,CPU-001,c20a94c,,
CPU-003,W2,CLOSED,SA-CPU-A11,CPU-002,d823895,,
CPU-004,W2,CLOSED,SA-CPU-X12,CPU-002,b99fcd80d41f16610ff5a4b26f487a93e46e5aa4,,
CPU-005,W2,CLOSED,SA-CPU-09,CPU-002;CPU-003;CPU-004;RT-004,9096d08dadbbccd7e583fb8c9ce011fa2037fb46,,2026-09-04T05:08:50Z
CPU-006,W3,DISPATCHED,SA-CPU-09,CPU-005;LOG-002,,,
CPU-007,W3,NOT_STARTED,SA-CPU-09,CPU-006,,,
CPU-008,W3,NOT_STARTED,SA-CPU-09,CPU-007;RT-003,,,
CTL-001,W0,CLOSED,FG-000,,no-commit(control validation),,
DATA-001,W1,CLOSED,SA-DATA-06,GOV-001,2df77af,,
DATA-002,W1,CLOSED,SA-DATA-06,DATA-001,c1ee791,,
DATA-003,W2,CLOSED,SA-DATA-06,DATA-002;BLD-002,c1e0233,,
DATA-004,W2,CLOSED,SA-DATA-06,DATA-003,9256587,,
DOC-001,W1,CLOSED,SA-QA-29,GOV-004,2a8676b,,
FG-VERIFY-001,W8,NOT_STARTED,FG-000,AUD-005,,,
GATE-OWNER-001,W8,NOT_STARTED,FG-000,PKG-003,,,
GOV-001,W1,CLOSED,SA-GOV-01,ID-001,065c81deb0a7b6e0c09a4cba5c5c9291e3a5547d,,
GOV-002,W1,CLOSED,SA-GOV-01,GOV-001,b7b2dea,,
GOV-003,W1,CLOSED,SA-GOV-01,GOV-001,39e7731,,
GOV-004,W1,CLOSED,SA-GOV-01,GOV-002,6affe30,,
GOV-005,W1,CLOSED,SA-GOV-01,GOV-002;GOV-003,,,
ID-001,W0,CLOSED,FG-000,CTL-001,c1696156583c68c9a3a65287639c726937e9f6e7,,
ID-002,W0,CLOSED,FG-000,ID-001,c1696156583c68c9a3a65287639c726937e9f6e7,,
ID-003,W0,CLOSED,FG-000,ID-001,c1696156583c68c9a3a65287639c726937e9f6e7,,
IO-001,W2,CLOSED,SA-IO-07,DATA-001,caee3e6,,
IO-002,W2,CLOSED,SA-IO-07,DATA-002,316d417,,
IO-003,W2,CLOSED,SA-IO-07,DATA-004;IO-001;IO-002,442958d,,
LNX-001,W5,CLOSED,FG-000,ID-002,,,
LNX-002,W5,CLOSED,SA-BLD-02,BLD-002;LNX-001,a37aeb5,,
LNX-003,W5,NOT_STARTED,SA-QA-29,QA-001;QA-005,,,
LNX-004,W5,NOT_STARTED,SA-QA-29,QA-003;CPU-005,,,
LNX-005,W5,NOT_STARTED,SA-LOG-08,LOG-002;LNX-004,,,
LNX-006,W5,NOT_STARTED,SA-PKG-31,LNX-003;LNX-004,,,
LOG-001,W1,CLOSED,SA-LOG-08,GOV-001,bbe2e59efe0caabed78aafa491b748ff4e7497fa,,
LOG-002,W2,CLOSED,SA-LOG-08,LOG-001;RT-006,4ca0d0e903f3ec7af5e95cb498ad744d897e2e8e,,2026-09-04T10:09:38Z
LOG-003,W2,CLOSED,SA-LOG-08,RT-006,0b0d269480fd0de16a1b679d4c585e248609ef32,,2026-09-04T13:36:05Z
MON-001,W3,NOT_STARTED,SA-LOG-08,LOG-002;CPU-006,,,
MON-002,W3,NOT_STARTED,SA-LOG-08,MON-001,,,
P1-CAL-DOC,W1,NOT_STARTED,SA-P1-C14,GOV-001;ARC-001;DATA-001;DOC-001,,,
P1-CAL-IMPL,W3,NOT_STARTED,SA-P1-C14,P1-CAL-TEST;ABI-005;RT-004;DATA-003,,,
P1-CAL-INT,W3,NOT_STARTED,SA-P1-C14,P1-CAL-IMPL;IO-003;DATA-004;RT-006;CPU-005,,,
P1-CAL-TEST,W3,NOT_STARTED,SA-P1-C14,P1-CAL-DOC;TST-001,,,
