ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
FD-I-001	I_DOC_HYGIENE	P1	FD	问题扫描/findings/I_DOC_HYGIENE/p1/FD_providers_dual_meaning.md	2	`providers/` 一名两指：不编译的源目录 与 登记为 IMPLEMENTED 的交付路径共用同一目录名	17`（`unit_id=PROV-CPU-BASELINE`、`kind=provider`、`rel_path=providers/astrocs_cpu_baseline.so`、`status=IMPLEMENTED`）；		宪章 §16.2（发布清单=交付单元唯一事实源）、§8.3、§12.3-10；根 AGENTS.md「目录规范（强制）」	OPEN	
M3-I-001	I_DOC_HYGIENE	P1	M3	问题扫描/findings/I_DOC_HYGIENE/p1/M3_L05_L07.md	4	P1-CAL/P1-COS 文档族的「现状断言」整体过期：已入库并被消费的代码仍被写成未编译、无符号、无调用方	:§0`（:8-9「尚未存在生产符号」）；`lib/cosmetic/README.md::§目录现状`（:9-10、:19、:23）—— 实际 `lib/cosmetic/src/module_entry.cpp`、`lib/cosmetic/CMakeLists.txt`、`lib/cosmetic/tests/p1cos/*`、`docs/modules/registry/astrocs.phase1.cosmetic.md` 均已入库，且根 `CMakeLists.txt:199` `add_subdirectory(lib/cosmetic)` ；`docs/algorithms/CALIBRATION_ALGORITHMS.md::§1 构建行`（:20-23）—— 实际根 `CMakeLists.txt:191` `add_subdirectory(lib/calibrati	根 CMakeLists.txt:199  `add_subdirectory(lib/calibration)`；:191 … `add_subdirectory(lib/cosmetic)`（当前树） / 尚未存在生产符号（ALG-COS:8） / 当前本目录**仅合同文件，无源码**：…（lib/cosmetic/README.md:9） / | 1 | `dark_optimizer.cpp`（优化 K 搜索）不在 `astrocs_calibration` 构建清单（CMakeLists.txt:321-325…）…未挂接，DISP-CAL-001 |（ALG-CAL:178-179	宪章 §12.3-10（活动文档不得以历史状态冒充当前状态，历史只准 `docs/archive/`）、§12.3-1、§11、§16.2	OPEN	
M3-I-002	I_DOC_HYGIENE	P1	M3	问题扫描/findings/I_DOC_HYGIENE/p1/M3_L05_L07.md	30	`docs/science/PHASE1_API.md:8` 称 `ac_set_num_threads` 属「遗留（不在本契约）」，但该符号在公共头与交付导出表中均在位	:§范围`（复核时点 :8）；对照 `lib/calibration/include/astro_calibration.h:::161`（`AC_API void ac_set_num_threads(int n);`）、`lib/calibration/astro_calibration.def`（第 13 号导出）、`lib/calibration/astro_calibration.map.t`（`ac_calibrate_frame` 同族 8 行 + `ac_set_num_threads`）	遗留 calibration/cosmetic C ABI（`ac_calibrate_frame, ac_generate_master_*, ac_set_num_threads`）**不在本契约**。（PHASE1_API.md:8） / AC_API void ac_set_num_threads(int n);（astro_calibration.h:161）	宪章 §12.3-1/-2（同一 ABI 面的声明口径须唯一）、§11、§10.4（不得有模块私有线程预算）	OPEN	CLOSED-ANCHOR-DEAD
M5a-I-001	I_DOC_HYGIENE	P1	M5a	问题扫描/findings/I_DOC_HYGIENE/p1/M5a_L11.md	5	两份同名 ACR_EQUIVALENCE.md 给出互斥等价语义（逐位等价 vs 1e-6 容差）	3 状态 FROZEN、:84-88 容差、:99-103 验证 Oracle） ；`docs/algorithms/ACR_EQUIVALENCE.md`（:3 状态 DERIVED、:15 F2、:17 F4、:65 §9 容差来源）	F2: legacy launcher: per-pixel rejection+integrate逐位等价, signal=Σw·x/Σw, support=max / F4: 容差: float32 max_abs ≤1e-6, float64 ≤1e-12; support/rejection exact	宪章 §12.3-1/-3（文档↔算法↔实现一致、算法实现引用有效 SCI/ALG）、§1.1 权威分层（SCI > ALG）；SCI-ACR-EQUIV-001	OPEN	
M5b-I-01	I_DOC_HYGIENE	P1	M5b	问题扫描/findings/I_DOC_HYGIENE/p1/M5b_L12_L17.md	3	"活动文档以历史轮次（V19R8/预发布 v5）结论冒充现状；同名词表在两份""发布状态""文件中含义互斥"	:标题/概述/Gate 字面量`（现 :1-8）；`docs/DOCUMENT_INDEX.yaml::（同路径登记）`（现 :66-67）；`docs/standards/RELEASE_STANDARD.md::Gate 字面量`（现 :3、:8-11）；对照 `docs/owner/RELEASE_STATUS.md::§0/§1`（现 :7、:40-42）；`docs/archive/review/RELEASE_STATUS.md::（AWAITING_EXTERNAL_RELEASE_REVIEW 语义）`（现 :3、:26）；`docs/RELEASE_AUDIT_2026-09-05.md::（旧阈值 80/75/50 历史）`（现 :155-157）；`AGENTS.md::目录规范 顶层文件清单`（不含 docs/RELEASE_STATUS.md）；`tests/te	# AstroCS 发布状态（V19R8 更新） / PRE_RELEASE_ENGINEERING_FOUNDATION=PASS / FINAL_REAL_DATA_VALIDATION=PENDING / - 版本记录：CHANGELOG.md + docs/RELEASE_STATUS.md 同步。 / | `docs/RELEASE_STATUS.md` | 发布与验收状态 | ACTIVE_INFORMATIVE | / `docs/RELEASE_STATUS.md` = V19R8 历史轮次；当前发布状态真源是 `docs/owner/RELEASE_STATUS.md`。 /	宪章 §15.4（一份事实一个权威落点）、§16.2、§12.3-1/-10、§1.1；`AGENTS.md` 目录规范	OPEN	
M5b-I-02	I_DOC_HYGIENE	P1	M5b	问题扫描/findings/I_DOC_HYGIENE/p1/M5b_L12_L17.md	19	README「当前状态」段陈述的是历史里程碑，与同仓库现状相反；顶层 README 不在版本门扫描面	:当前状态`（现 :9-37）；`::权威与当前状态`（现 :26、:31）；对照 `docs/owner/RELEASE_STATUS.md::§F.1 未达成/已删除项`（现 :13、:22-26、:40-41）；`CHANGELOG.md::（删除记录）`（现 :10）；`REVIEW.md::1`（现 :20）；`tools/doccheck/check_version_namespaces.py::SCAN_FILES`（现 :36-43）；投影集合见 M5b-C-07	- Phase1/2/3 进程内编排（`astrocs run --phases 1,2,3`）已实现并通过 ctest。 / - `astrocs run --phases` 与 orchestrator 串接路径已从生产代码删除（CLI-002 单入口化） / - **§F.1 每节点唯一真实 operation**：尚未达成（当前为 hidden whole-phase session，宪章禁止）	宪章 §12.3-10（禁止 stale 版本或完成状态）、§1.1、§14.3	OPEN	
M5b-I-03	I_DOC_HYGIENE	P1	M5b	问题扫描/findings/I_DOC_HYGIENE/p1/M5b_L12_L17.md	32	发布状态结论与既有实现不一致的三处直接冲突（Windows 就绪 / 科学合同状态 / 投影 registry 范围）	":（Windows 侧复验）`（现 :9）；`docs/owner/SCIENCE_OVERVIEW.md::（同一表同一模块两行）`（现 :81-82，""真实数据（BASS/32R）验证"" 重复两行且 verdict 同义）；`::（表头状态词混用）`（现 :74-80，同一""状态""列混用裸文本 PASS / 反引号 IMPLEMENTED / ""部分 `IMPLEMENTED`""）；`docs/owner/RELEASE_STATUS.md::（同列混用）`（现 :60-80）；对照 `docs/owner/RELEASE_STATUS.md::（Windows 未产生）`（现 :50-52）；`docs/owner/SCIENCE_OVERVIEW.md::（合同状态）`（现 :12-13、:29、:31、:57-58）；对照 `docs/standards/SCIENCE_CONT"	（`docs/TRACEABILITY.csv` 中 `SCI-TGT-001` 行 `contract_status=ACTIVE_NORMATIVE` 是 V19R2 历史快照， / 按 §1.1 以本文件为准）。	宪章 §1.1、§12.3-1/-10、§15.4	OPEN	
M6a-I-001	I_DOC_HYGIENE	P1	M6a	问题扫描/findings/I_DOC_HYGIENE/p1/M6a_L13_L14.md	6	合同与模块三件套把「实测 N 行」写成现状断言却整体滞后（7 个文件全部不符），phase3_proj 三件套的两条「现状」陈述更被代码直接推翻（来源 L14-001，本条为该族文档自述的 Phase2/3 侧定稿点）	10-11「coverage.cpp（239 行实测）与唯一权威签名头 coverage.h（59 行）」）— 实测 coverage.cpp **280**、coverage.h **65** ；`docs/algorithms/PHASE3_RSMP_IMPL.md::§3 生产源图`（:51-63 自称「实测，2026-09-12」：p3_resample.h 58 行 / p3_resample.cpp 239 行 / p3_session.cpp 343 行）— 实测 **116 / 366 / 433** ；`docs/algorithms/PHASE3_PROJ_IMPL.md::头部`（:11-12「p3_wcs.h（50 行…）+ p3_wcs.cpp（165 行），实测 2026-09-11」）— 实测 **63 / 230** ；`lib/phase2/README.	（lib/phase2/README.md:10-11）落位依据：coverage 生产源 lib/phase2/src/coverage.cpp（239 行实测）与唯一权威签名头 lib/phase2/include/astro/phase2/coverage.h（59 行）位 / （PHASE3_RSMP_IMPL.md:51）## 3 生产源图（实测，2026-09-12） / （PHASE3_RSMP_IMPL.md:54-56）p3_resample.h 58 行 … p3_resample.cpp 239 行 … p3_session.cpp 343 行 / （lib/phase3	宪章 §16.2（状态/自述与实际一致）、§12.3-5（追溯链与锚点一致）、§17.2（VERIFIED 须仓内可核）；`docs/standards/DOCUMENTATION_STANDARD.md`（合同文档须可定位到实现）	OPEN	
M6a-I-002	I_DOC_HYGIENE	P1	M6a	问题扫描/findings/I_DOC_HYGIENE/p1/M6a_L13_L14.md	29	部分修复残余：合同字段 result.coverage_ok 仍被写路径无条件置 1（真值只在 verify 路径计算），头注释/DATA §27.2 称其为「coverage 头/数据一致」的验证结论，ALG 把常量当规格写死，三处自测把	:p3_output_write_atomic_ex 结果段`（复核时点 :360-379：:374 `result->coverage_ok = 1;`，随后 :376-379 调 `p3_output_verify_ex` 但只回传 `reopen_ok`，丢弃 `v.reopen_ok` 之外的真值） ；`lib/phase3_session/p3_output.cpp::p3_output_verify_ex`（复核时点 :481-493 真算 covok、:537-538 `result->reopen_ok = (ok&&covok&&uncok&&wcsok); result->coverage_ok = covok;`） ；`lib/phase3_session/p3_output.h::P3OutputResult`（:33 `int coverage_ok;  // 1	（p3_output.cpp:374-379）result->coverage_ok = 1; / // 独立重开读回验证 … / P3OutputStatus vst = p3_output_verify_ex(output_path, wcs, signal, coverag / （p3_output.h:33）int coverage_ok;                // 1=coverage 头/数据一致 / （PHASE3_FITS_IMPL.md:142）result.total_px = W*H; result.covered_px = #(co	DATA-P3 §27.2（字段语义即合同）；宪章 §11（半成品禁发布、验证结论须有证据）、§16.2、§12.3-5	OPEN	
M6a-I-003	I_DOC_HYGIENE	P1	M6a	问题扫描/findings/I_DOC_HYGIENE/p1/M6a_L13_L14.md	53	活动 README/模块状态面的「N/N PASS」与「全 PASS」宣称无仓内可核锚；本次复核另发现被指的测试脚本在 CI 面根本收集不到用例（来源 L14-014，含新证据）	":文件表/运行测试`（复核时点 :12「tests/abi/test_secure_loader.py | 全部正/负场景编排(36 checks)」、:39「python3 tests/abi/test_secure_loader.py   # 退出码 0 = 36/36 PASS」） ；`tests/abi/test_secure_loader.py`（复核时点 :37/:49/:495-496 `CHECKS_TOTAL` 运行时自增、`FAILURES` 非空即 exit 1；全文件 grep `unittest\|TestCase\|def test_` **零命中**，仅 `if __name__ == ""__main__""` 触发） ；`ci/checks.json::UT-ABI`（复核时点 :1642-1658 命令 = `python3 -B -m unittest d"	"（README.md:39）python3 tests/abi/test_secure_loader.py   # 退出码 0 = 36/36 PASS / （UT-ABI 命令）[""python3"",""-B"",""-m"",""unittest"",""discover"",""-s"",""tests/abi"",""-t"",""tests/abi""] / （lib/hips/memory.md:109）五项自检 rc（run/local/agent_p1_hips_doc/ 日志在案，2026-09-07 实测）： / （lib/hips/memory.md:199）adapter 9 case 全 PASS（"	宪章 §17（VERIFIED/PASS 须仓内可核证据）、§16.2（状态声明与实际一致）、§12.3-12；`AGENTS.md`「所有外部命令带 timeout 并保存日志」（日志落点须可指）	OPEN	
