claim_id,science_doc,science_anchor,algorithm_doc,algorithm_anchor,architecture_doc,api_symbol,source_symbol,test_id,oracle_id,unit,precision_contract,status
SCI-VER-001,docs/VERSIONING.md,1-唯一版本源,,,,,,,,dimensionless,版本串逐字符精确匹配,ACTIVE
ALG-VER-001,docs/VERSIONING.md,1-唯一版本源,docs/VERSIONING.md,2-生成接口,,,,,,dimensionless,版本串逐字符精确匹配,ACTIVE
ARCH-VER-001,docs/VERSIONING.md,1-唯一版本源,docs/VERSIONING.md,2-生成接口,docs/VERSIONING.md#3-同步矩阵,,,,,dimensionless,版本串逐字符精确匹配,ACTIVE
API-VER-001,docs/VERSIONING.md,1-唯一版本源,docs/VERSIONING.md,2-生成接口,docs/VERSIONING.md#3-同步矩阵,tools/gen_version.py::build_report,,,,dimensionless,--version--json七字段合同,ACTIVE
CODE-VER-001,docs/VERSIONING.md,1-唯一版本源,docs/VERSIONING.md,2-生成接口,docs/VERSIONING.md#3-同步矩阵,tools/gen_version.py::build_report,tools/gen_version.py,,,dimensionless,版本串逐字符精确匹配,ACTIVE
TEST-VER-001,docs/VERSIONING.md,1-唯一版本源,docs/VERSIONING.md,2-生成接口,docs/VERSIONING.md#3-同步矩阵,tools/gen_version.py::build_report,tools/gen_version.py,tests/version/test_version_consistency.py,ORC-VER-001,dimensionless,5用例全过+schema校验,ACTIVE
SCI-CAL-001,docs/science/CALIBRATION.md,3 物理量和单位,,,,,,,,ADU,独立Oracle FP32 rtol 1e-6 atol 1e-7,ACTIVE
ALG-CAL-001,docs/science/CALIBRATION.md,3 物理量和单位,docs/algorithms/CALIBRATION_ALGORITHMS.md,2 离散公式,,,,,,ADU,独立Oracle FP32 rtol 1e-6 atol 1e-7,ACTIVE
ARCH-CAL-001,docs/science/CALIBRATION.md,3 物理量和单位,docs/algorithms/CALIBRATION_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,,,,,ADU,独立Oracle FP32 rtol 1e-6 atol 1e-7,ACTIVE
API-CAL-001,docs/science/CALIBRATION.md,3 物理量和单位,docs/algorithms/CALIBRATION_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/calibration/src/ac_api.cpp::ac_calibrate_frame,,,,ADU,独立Oracle FP32 rtol 1e-6 atol 1e-7,ACTIVE
CODE-CAL-001,docs/science/CALIBRATION.md,3 物理量和单位,docs/algorithms/CALIBRATION_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/calibration/src/ac_api.cpp::ac_calibrate_frame,lib/calibration/src/ac_api.cpp::ac_calibrate_frame,,,ADU,独立Oracle FP32 rtol 1e-6 atol 1e-7,ACTIVE
TEST-CAL-001,docs/science/CALIBRATION.md,3 物理量和单位,docs/algorithms/CALIBRATION_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/calibration/src/ac_api.cpp::ac_calibrate_frame,lib/calibration/src/ac_api.cpp::ac_calibrate_frame,tests/backend/test_calibration_oracle.py,SYN-001,ADU,独立Oracle FP32 rtol 1e-6 atol 1e-7,ACTIVE
SCI-WCS-001,docs/science/ASTROMETRY.md,3 物理量和单位,,,,,,,,deg,WCS roundtrip <1e-6 px (FP64),ACTIVE
ALG-WCS-001,docs/science/ASTROMETRY.md,3 物理量和单位,docs/algorithms/PLATESOLVE.md,2 离散公式,,,,,,deg,WCS roundtrip <1e-6 px (FP64),ACTIVE
ARCH-WCS-001,docs/science/ASTROMETRY.md,3 物理量和单位,docs/algorithms/PLATESOLVE.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,,,,,deg,WCS roundtrip <1e-6 px (FP64),ACTIVE
API-WCS-001,docs/science/ASTROMETRY.md,3 物理量和单位,docs/algorithms/PLATESOLVE.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/plate_solve/cpp/ipv/include/ipv_api.h::ipv_solve,,,,deg,WCS roundtrip <1e-6 px (FP64),ACTIVE
CODE-WCS-001,docs/science/ASTROMETRY.md,3 物理量和单位,docs/algorithms/PLATESOLVE.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/plate_solve/cpp/ipv/include/ipv_api.h::ipv_solve,lib/plate_solve/cpp/ipv/src/ipv_entry.cpp::ipv_solve,,,deg,WCS roundtrip <1e-6 px (FP64),ACTIVE
TEST-WCS-001,docs/science/ASTROMETRY.md,3 物理量和单位,docs/algorithms/PLATESOLVE.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/plate_solve/cpp/ipv/include/ipv_api.h::ipv_solve,lib/plate_solve/cpp/ipv/src/ipv_entry.cpp::ipv_solve,tests/backend/test_wcs_psf_oracle.py,SYN-002,deg,WCS roundtrip <1e-6 px (FP64),ACTIVE
SCI-PSF-001,docs/science/PSF.md,3 物理量和单位,,,,,,,,ADU,Moffat4 7参数 LM residue<1e-8,ACTIVE
ALG-PSF-001,docs/science/PSF.md,3 物理量和单位,docs/algorithms/STAR_PSF_ALGORITHMS.md,2 离散公式,,,,,,ADU,Moffat4 7参数 LM residue<1e-8,ACTIVE
ARCH-PSF-001,docs/science/PSF.md,3 物理量和单位,docs/algorithms/STAR_PSF_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,,,,,ADU,Moffat4 7参数 LM residue<1e-8,ACTIVE
