优先档,键,键族,机械命中判据,机械细节,S1_defaults.json,S2_出厂模板,S3_CLI骨架,S4_合同schema,S5_代码兜底,S6_登记册,有值侧数
①生产兜底在对面,clip_sigma,noise、noise_config,T1a生产兜底在权威对面|T1数值不等,T1: S1={5.0} ｜S4={5.0} ｜S5={3.0},值[5.0] @eng/packaging/config/defaults.json#fields[key=noise.clip_sigma] [authority_status=sourced],该侧无此项,该侧无此项,值[default=5.0;exclusiveMinimum=0;maximum=100] @eng/contracts/schemas/phase_config_normalize.schema.json#/noise_config/clip_sigma,"值[3.0 ×2 (成员/赋值 c.k=,成员/赋值 cfg.k=) @lib/algorithms/coverage/src/sky_plane.cpp:230; lib/algorithms/coverage/src/sky_plane.cpp:251] @2 处 / 2 个位点（前 4: 成员/赋值 c.k=; 成员/赋值 cfg.k=）；全量见 side5_位点.log",该侧无此项,3
①生产兜底在对面,k_corr,upm,T1b生产兜底含权威外值|T1数值不等,"T1: S1={1.4} ｜S5={0.0,1.4,kkcorrfrozen}",值[1.4] @eng/packaging/config/defaults.json#fields[key=upm.k_corr] [authority_status=sourced],该侧无此项,该侧无此项,该侧无此项,"值[1.4 ×2 (成员/赋值 c.k=,成员/赋值 cfg.k=) @lib/algorithms/coverage/src/sky_plane.cpp:233; lib/algorithms/coverage/src/sky_plane.cpp:254 ## 0.0 ×1 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:376 ## kKCorrFrozen ×1 (成员/赋值 cfg.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:1331] @4 处 / 3 个位点（前 4: 声明/赋值 k=; 成员/赋值 c.k=; 成员/赋值 cfg.k=）；全量见 side5_位点.log",该侧无此项,2
①生产兜底在对面,max_iterations,photometry、psf、rejection,T1b生产兜底含权威外值|T1数值不等,"T1: S1={50.0,8.0} ｜S5={1.0,10.0,100.0,30.0,8.0}",值[8] @eng/packaging/config/defaults.json#fields[key=rejection.sigma.max_iterations] ; eng/packaging/config/defaults.json#fields[key=rejection.winsorized.max_iterations] ; eng/packaging/config/defaults.json#fields[key=rejection.averaged_sigma.max_iterations] ; eng/packaging/config/defaults.json#fields[key=rejection.linear_fit.max_iterations] [authority_status=sourced] ||| 值[50] @eng/packaging/config/defaults.json#fields[key=photometry.irls_max_iterations] [authority_status=sourced],该侧无此项,该侧无此项,值[minimum=1] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/psf/max_iterations,"值[8 ×10 (value(""k"",d),成员/赋值 p.averaged.k=,成员/赋值 p.linear_fit.k=,成员/赋值 p.median_sigma.k=,成员/赋值 p.sigma.k=,成员/赋值 p.winsorized.k=) @lib/algorithms/coverage/src/rejection.cpp:1246; lib/algorithms/coverage/src/rejection.cpp:1248; lib/algorithms/coverage/src/rejection.cpp:1250; lib/algorithms/coverage/src/rejection.cpp:1252 ## 100 ×8 (value(""k"",d),声明/赋值 k=,成员/赋值 cfg.k=,成员/赋值 uc.k=) @lib/algorithms/coverage/src/upm.cpp:1545; lib/algorithms/coverage/src/upm.cpp:2462; lib/algorithms/coverage/src/upm.cpp:270; lib/algorithms/coverage/src/upm.cpp:287 ## 1 ×1 (成员/赋值 cfg.k=) @lib/algorithms/coverage/src/sky_plane.cpp:517 ## 10 ×1 (声明/赋值 k=) @lib/algorithms/platesolve/cpp/ipv/include/ipv_robust_refine.h:48 ## 30 ×1 (成员/赋值 c.k=) @lib/algorithms/coverage/src/sky_plane.cpp:457] @21 处 / 10 个位点（前 4: value(""k"",d); 声明/赋值 k=; 成员/赋值 c.k=; 成员/赋值 cfg.k=）；全量见 side5_位点.log",该侧无此项,2
①生产兜底在对面,pixfrac,algorithm_drizzle_pixfrac、blocks、drizzle、drizzle_config、signal,T1b生产兜底含权威外值|T1数值不等|T3哨兵不一致|T4登记即错,"T1: S1={0.8} ｜S2={0.8} ｜S3={1.0} ｜S4={0.8} ｜S5={0.0,0.8,1.0} ｜S6={1.0} ;; T3: 合同 exclusiveMinimum=0 把 0 判为非法，而某侧把 0 当默认/兜底 ⇒ 0 两义 ;; T4: 登记册 declared_default=""1.0"" 但 defaults.json 实测=0.8 @eng/packaging/config/config_registry.json#plugin_knobs[36] registered_key=drizzle.pixfrac (doc docs/plugins/algorithms_p ;; T4: note 断言「默认1.0」与 defaults.json 实测 0.8 不符 @eng/packaging/config/config_registry.json#plugin_knobs[36] registered_key=drizzle.pixfrac (doc docs/plugins/al",值[0.8] @eng/packaging/config/defaults.json#fields[key=drizzle.pixfrac] [authority_status=owner_adjudicated],值[0.8] @eng/packaging/config/templates/normalize.phase_config.json#blocks.[].drizzle.pixfrac [phase=normalize],值[1.0] @lib/infrastructure/cli/session_commands.h#config_fields(normalize).drizzle [normalize],值[exclusiveMinimum=0;maximum=1] @eng/contracts/schemas/phase_config_normalize.schema.json#/drizzle_config/pixfrac ; eng/contracts/schemas/phase_config_normalize.schema.json#/algorithm_drizzle_pixfrac ; eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/normalization/pixfrac ||| 值[default=0.8;exclusiveMinimum=0;maximum=1] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/drizzle/pixfrac,"值[1.0 ×15 (value(""k"",d),声明/赋值 k=,成员/赋值 grid.k=,成员/赋值 hmeta.k=,成员/赋值 p.k_corr.domain.k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:27; lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.h:39; lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.h:35; lib/algorithms/drizzle/src/module_entry.cpp:359 ## 0.0 ×3 (声明/赋值 k=) @lib/algorithms/coverage/src/sampler.cpp:122; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:54; lib/infrastructure/aio/v6/include/astro/aio/v6_provenance.h:71 ## 0.8 ×3 (contains(""k"")?x:d,声明/赋值 k=,成员/赋值 p.k_corr.domain.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:475; lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:67; lib/infrastructure/pipeline/orchestrator/cpp/src/json_config.cpp:712] @21 处 / 6 个位点（前 4: contains(""k"")?x:d; value(""k"",d); 声明/赋值 k=; 成员/赋值 grid.k=）；全量见 side5_位点.log","值[declared_default=""1.0"" ｜note默认值断言: 默认1.0] @eng/packaging/config/config_registry.json#plugin_knobs[36] registered_key=drizzle.pixfrac (doc docs/plugins/algorithms_phase1/08_drizzle.md:49, module 08_drizzle, finding=none) [registered_at=eng/packaging/config/defaults.json#fields[].key=drizzle.pixfrac]",6
①生产兜底在对面,tile_width,coverage_index、hips、product_content,T1b生产兜底含权威外值|T1数值不等,"T1: S1={512.0} ｜S5={0.0,512.0}",值[512] @eng/packaging/config/defaults.json#fields[key=hips.tile_width] [authority_status=sourced],该侧无此项,该侧无此项,值[minimum=1] @eng/contracts/data/phase_product_exchange.schema.json#/product_content/geometry/hips/tile_width ; eng/contracts/schemas/hips_storage_form.schema.json#/coverage_index/granularity/tile_width,"值[512 ×6 (具名常量 kTileWidth,声明/赋值 k=) @lib/algorithms/coverage/src/sampler.cpp:76; lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:40; lib/algorithms/resample/p3_resample.cpp:48; lib/infrastructure/aio/src/hips/aio_hips_reader.cpp:154 ## 0 ×1 (声明/赋值 k=) @lib/algorithms/coverage/hips_properties.h:14] @7 处 / 2 个位点（前 4: 具名常量 kTileWidth; 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项,2
②值域自相矛盾,saturation_level,noise、noise_config、saturation_level,T2值域自相矛盾|T3哨兵不一致,T2: default=0 <= exclusiveMinimum=0 @eng/contracts/schemas/phase_config_normalize.schema.json#/noise_config/saturation_level ;; T3: 合同 exclusiveMinimum=0 把 0 判为非法，而某侧把 0 当默认/兜底 ⇒ 0 两义,值[0] @eng/packaging/config/defaults.json#fields[key=noise.saturation_level] [authority_status=sourced],该侧无此项,该侧无此项,值[default=0;exclusiveMinimum=0] @eng/contracts/schemas/phase_config_normalize.schema.json#/noise_config/saturation_level,"值[0.0 ×2 (value(""k"",d),声明/赋值 k=) @lib/infrastructure/scheduler/src/module_adapters.cpp:6384; lib/infrastructure/scheduler/src/module_adapters.cpp:6648] @2 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log","值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[8] field=saturation_level (doc docs/plugins/algorithms_phase1/02_cosmetic.md:34, module 02_cosmetic, finding=none) [registered_at=eng/contracts/schemas/phase_config_normalize.schema.json#/properties/blocks[]]",3
③哨兵不一致,dark_exposure_s,calibration,T3哨兵不一致,T3: 合同 exclusiveMinimum=0 把 0 判为非法，而某侧把 0 当默认/兜底 ⇒ 0 两义,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/calibration/dark_exposure_s,值[0.0 ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:37] @1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log,该侧无此项,1
③哨兵不一致,dec_deg,blocks、center、platesolve、projections,T1数值不等|T3哨兵不一致,"T1: S2={0.0} ｜S3={0.0} ｜S5={-999.0,0.0} ;; T3: 合同 exclusiveMinimum=0 把 0 判为非法，而某侧把 0 当默认/兜底 ⇒ 0 两义",该侧无此项,值[0.0] @eng/packaging/config/templates/export.phase_config.json#blocks.[].center.dec_deg [phase=export],值[0.0] @lib/infrastructure/cli/session_commands.h#config_fields(export).center [export],值[minimum=-85;maximum=85] @eng/contracts/schemas/phase_config_export.schema.json#/center/dec_deg ||| 值[exclusiveMinimum=0;maximum=90] @eng/contracts/schemas/projection_registry.schema.json#/projections/items/max_abs_crval_dec_deg ||| 值[minimum=-90;maximum=90] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/platesolve/initial_dec_deg,"值[0.0 ×3 (value(""k"",d),声明/赋值 k=) @lib/algorithms/shared/healpix/healpix_core.cpp:250; lib/infrastructure/scheduler/src/module_adapters.cpp:9531; lib/infrastructure/scheduler/src/module_adapters.cpp:9552] @3 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log ||| 值[-999.0 ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:45] @1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项,3
③哨兵不一致,flux_conservation_factor,provenance、signal,T3哨兵不一致,T3: 合同 exclusiveMinimum=0 把 0 判为非法，而某侧把 0 当默认/兜底 ⇒ 0 两义,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/normalization/flux_conservation_factor ; eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/flux_conservation_factor,"值[0.0 ×3 (contains(""k"")?x:d,声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:374; lib/infrastructure/aio/v6/include/astro/aio/v6_provenance.h:113; lib/infrastructure/aio/v6/src/v6_provenance.cpp:264 ## 1.0 ×3 (成员/赋值 p.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:470; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:273; lib/phase3_session/p3_v6_export.cpp:290 ## ""1.0"" ×1 (成员/赋值 cfg.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:1334 ## ""k_corr"" ×1 (value(""k"",d)) @lib/infrastructure/aio/v6/src/v6_provenance.cpp:58] @8 处 / 5 个位点（前 4: contains(""k"")?x:d; value(""k"",d); 声明/赋值 k=; 成员/赋值 cfg.k=）；全量见 side5_位点.log",该侧无此项,1
③哨兵不一致,light_exposure_s,calibration,T3哨兵不一致,T3: 合同 exclusiveMinimum=0 把 0 判为非法，而某侧把 0 当默认/兜底 ⇒ 0 两义,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/calibration/light_exposure_s,值[0.0 ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:36] @1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log,该侧无此项,1
