ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
M2a-C-13	C_DOC_CODE_GAP	P2	M2a	问题扫描/findings/C_DOC_CODE_GAP/p2/M2a_L04_L10.md	5	gaia_client_get_spectrum_params 缺句柄空指针防护，是同族查询符号里唯一不设防者，且合同未声明该差异	:gaia_client_get_spectrum_params；对照 ::gaia_client_get_db_type / ::gaia_client_get_file_count / ::gaia_client_get_total_sources / ::gaia_client_query_spectrum_by_coords；lib/gaia_xpsd_client/README.md::§6 inspect 面；docs/algorithms/GAIA_QUERY.md::§3.1 inspect 段	（gaia_client.c:2425-2427）int gaia_client_get_spectrum_params(GaiaClient *client, int *out_start_nm, int *out_step_nm, int *out_count) { for  / （对照 :2001/:2006/:2011/:1722/:1785）if (!client) return GAIA_DB_AUTO; / if (!client) return 0; / if (!client) return NULL; / if (!client) retu / （GAIA_Q	API-GAIA-001（家族一致错误语义）；宪章 §11（稳定状态码、边界行为可预期）、§14.4（最小充分校验）	OPEN	
M2a-C-14	C_DOC_CODE_GAP	P2	M2a	问题扫描/findings/C_DOC_CODE_GAP/p2/M2a_L04_L10.md	22	"exchange/manifest schema 与执行校验器在三处口径分叉，""与 schema 一一对应""声明不成立"	:type_id/storage_uri；contracts/data/artifact_manifest.schema.json::storage_uri/size；runtime/artifact_store/phase_product_exchange_validator.py::_TYPE_ID_RE、::min_planes 断言段；runtime/artifact_store/artifact_manifest_validator.py::_is_nonneg_int	"（phase_product_exchange.schema.json:54）""storage_uri"": { ""type"": ""string"", ""minLength"": 1 },   // 对照 artifact_manifest.schema.json:53-56 要求 U / （artifact_manifest_validator.py:72-73）def _is_nonneg_int(v: Any) -> bool: return isinstance(v, int) and not isinstance(v, bool) and v >= 0   / （两校验器 type_id "	宪章 §12.3-5（AST/schema 与执行形态一致）、§4.3；DATA-002/DATA-001 合同自述	OPEN	
M2b-C-05	C_DOC_CODE_GAP	P2	M2b	问题扫描/findings/C_DOC_CODE_GAP/p2/M2b_L03_L15.md	7	lib/hips/types.h 的 ALG-HIPS-002..005 语义映射与 ALG-HIPS-001 §0 分节索引整体错位一格	:ASTROCS_HIPS_*_ID 宏段（「公式语义源」注释）；docs/algorithms/HIPS_WRITER.md::§0 分节索引 与 ::章头（ALG-HIPS-002/003/004/005）	「/* SCI-DRZ-001 为共享引用 …；ALG 面 001..005 中 describe 的 alg_id 槽承载主公式面 ALG-HIPS-001 (产品语义), 002..005 同链 (**ALG-HIPS-002 variance/ivar, 003 hierarchy 聚合, 004 MOC/UNIQ, 005 SNR Catalogue**)。 */」 ；ALG §0 索引（	宪章 §7.3（科学=算法=接口=代码=测试 的 ID 同构）、§12.3-3（交叉引用可定位）	OPEN	
M2b-C-06	C_DOC_CODE_GAP	P2	M2b	问题扫描/findings/C_DOC_CODE_GAP/p2/M2b_L03_L15.md	23	manifest 的 nrej_tiles/nused_tiles 恒取叶级 tile 总数，与同文件 products 清单的 present 判据自相矛盾，且两键不在 ALG (5d) 字段清单内	:aio_hips_finalize 的 manifest 段（prods[] 表与 fprintf 参数）；docs/algorithms/HIPS_WRITER.md::ALG-HIPS-005 (5d) 字段清单 + ::§9 不变量 I8；lib/astro_image_io/src/hips/aio_hips_reader.cpp::manifest 键混淆注释段	"diag_nrej_tiles},」「{AIO_HIPS_PRODUCT_NUSED, ""nused"", ps->diag_nused_tiles},」＋「if ((ps->flags & p.flag) && p.present) { … }」"	ALG-HIPS-001 §9 I8（manifest 计数字段=实际文件数）与 (5d) 字段集；宪章 §12.2、§12.3-9	OPEN	
M2b-C-07	C_DOC_CODE_GAP	P2	M2b	问题扫描/findings/C_DOC_CODE_GAP/p2/M2b_L03_L15.md	43	注册表与 ALG 内的事实性数量/规模断言与当前代码不符（ACS_FIO_ERR 17 码 vs 实际 13；p3_wcs.cpp 165 行 vs 实测 230）	:D.fits 清单行 5（错误语义行的偏差列）；docs/algorithms/PHASE3_PROJ_IMPL.md::文档规模声明段（另其 §6/§7/§8 实现锚区间同步失真）；modules/services/io/include/astrocs/io/fits_stream_v1.h::acs_fio_status 枚举	「| §3.1/§4.2（错误语义：截断/坏头/不支持位深） | 违规输入显式错误码，禁静默降级 | CONFORMANT | … | 无（ACS_FIO_ERR_* **17 码**，含 TRUNCATED/BAD_HEADER/UNSUPPORTED） |」 ；实测枚举（原文）:「ACS_FIO_OK = 0,」至「ACS_FIO_ERR_DISKFULL = 13,」「ACS_FIO_STA	宪章 §12.3-9/-10（文档声明须与当前树一致、不得以历史实测冒充当前）、§12.2	OPEN	
M3-C-013	C_DOC_CODE_GAP	P2	M3	问题扫描/findings/C_DOC_CODE_GAP/p2/M3_L05_L07.md	4	`pc_calibrate_simple` 的返回码合同与实际返回值不符（`-3` 永不可达、同一条件两处不同码）	:返回码合同`（复核时点 :101-104）；`lib/photometric_calib/cpp/src/pc_api.cpp::pc_calibrate_simple 退化分支`（:92、:105）、`::参数校验`（:74、:78）、`::pc_calibrate_simple_with_gaia 校验`（:204、:208、:212、:216）	-1: 输出指针为空或图像尺寸无效；-2: Gaia 客户端句柄无效；-3: 无Gaia星/PSF星(退化scale=1.0)；其他非 0: 内部错误（photometric_calib.h:101-103） / *out_scale_factor = 1.0; *out_n_matched = 0; *out_fit_used = 0; … return 0;（pc_api.cpp:84-92 退化块，结尾 `return 0`） / if (width <= 0 || height <= 0) { … return -2; }（:78） / if (width <= 0 || height	宪章 §12.3-1（接口文档陈述须逐符号命中）、§14.4（返回码是唯一机器可读错误通道）、§11	OPEN	
M3-C-014	C_DOC_CODE_GAP	P2	M3	问题扫描/findings/C_DOC_CODE_GAP/p2/M3_L05_L07.md	22	ALG 把两处串行循环写成「OpenMP 并行」，与代码 `#pragma` 分布不符	:F2.1 步骤1 行`（复核时点 :81「步骤1（每帧 n，OpenMP parallel for）[194-225]」）；`docs/algorithms/COSMETIC_ALGORITHMS.md::步 6 并行与归约`（:138、:141-143）；对照 `lib/calibration/src/master_generator.cpp::generate_master_flat 步骤1`（:193-225，无 `#pragma`）与 `lib/calibration/src/cosmetic_corrector.cpp::correct_frame 合并/计数段`（:252-258 串行，仅 :261 修复环有 pragma）	步骤1（每帧 n，OpenMP parallel for）[194-225]（ALG-CAL:81） / - cosmetic_corrector.cpp:254-256，omp 并行。（ALG-COS:138） / - 计数与修复同块并行：cosmetic_corrector.cpp:258-264 为 `#pragma omp parallel for reduction(+:hot,cold)`（…）（ALG-COS:141-143） / float med = compute_global_median(light[i].data(), n);（master_generator.cpp	43 的免责限定（见 M3-E-002）	OPEN	
M4-C-08	C_DOC_CODE_GAP	P2	M4	问题扫描/findings/C_DOC_CODE_GAP/p2/M4_L08_L09.md	4	UPM 接口面：normalized_weights 把 rc=2 塌缩为 rc=1；calibrate_block 未检 leaf_ipix 空指针——均与 IMPL §10 表不符	:p2_upm_normalized_weights（复核时点 :1333）；::p2_upm_calibrate_block（复核时点 :1244-1246 参数检查、:1257-1258 解引用 leaf_ipix）；docs/algorithms/PHASE2_UPM_IMPL.md:305-308（§10 rc 表）	if (p2_upm_raw_weight(&obs[i], cfg, &raw[i]) != 0) return 1; / | 同上 | 2 | production 缺 control_ivar（raw_weight rc=2 传播；显式科学错误禁静默降级） | / | `p2_upm_calibrate_block` | 0/1 | ok / 参数 null 或 未知 frame_id（**禁**按最近邻 frame 静默求值） |	ALG-P2-UPM-IMPL §10 rc 语义表；宪章 §7.3（显式错误禁止静默降级）	OPEN	
M4-C-09	C_DOC_CODE_GAP	P2	M4	问题扫描/findings/C_DOC_CODE_GAP/p2/M4_L08_L09.md	20	ERR-P2-UPM-001 双文档锚互异且均偏离现实；NO_DATA 字面量无实现；AIO/phase2 format 接受面不对称未登记	85,:89；docs/architecture/ERROR_MODEL.md:53；lib/phase2/src/upm.cpp::open 校验（复核时点 :1064-1134,:1177-1227）、format 判定（:1027）；lib/astro_image_io/src/aio_upm.cpp:75-77；docs/algorithms/UPM_SOLVER.md:91	"| 无重叠/无 control | `NO_DATA` | `upm.cpp:6` 域检查 |（SCI:85） / | 畸形模型文件 | `ERR-P2-UPM-001` | `aio_upm.cpp` |（SCI:89） / ERR-P2-UPM-001 见 `lib/phase2/src/upm.cpp:~890` frames 唯一/类型/C 行数校验。（ERROR_MODEL:53） / if (j.value(""format"", std::string()) != ""astrocs-upm-v1"" && … != ""astrocs-upm-v2"")（aio 收 v1/v2）；p2_u"	宪章 §7.3/§12.3-3；ALG-P2-UPM-IMPL §10	OPEN	
M6a-C-004	C_DOC_CODE_GAP	P2	M6a	问题扫描/findings/C_DOC_CODE_GAP/p2/M6a_L13_L14.md	5	部分修复残余：drizzle 合同词表仍把 nested 写成「0=RING 1=NESTED」并列、DLL 面缺省仍取 0，与引擎「仅 NESTED」和已订正的 README 互斥（来源 L13-012）	":DRZ_CFG_KEY_NESTED`（复核时点 :55 词表注释 `/* 0=RING 1=NESTED */`，未标「仅 1 可用/缺键即拒」） ；`lib/drizzle/src/module_entry.cpp::config 解析`（复核时点 :417-418 `double nested = json_get_f64(json, DRZ_CFG_KEY_NESTED, &found); c->nested = (found && nested != 0.0) ? 1 : 0;` ← 缺键即 0） ；反证合同：`lib/healpix_db/healpix_drizzle/drizzle_engine.cpp::validate/execute`（复核时点 :745-747 `if (!config.nested) { error_msg = ""HISS requires NE"	"（types.h:55）#define DRZ_CFG_KEY_NESTED         ""nested""             /* 0=RING 1=NESTED */ / （module_entry.cpp:417-418）double nested = json_get_f64(json, DRZ_CFG_KEY_NESTED, &found); c->nested = (found && nested != 0.0) ? 1 : 0; / （drizzle_engine.cpp:745-746）if (!config.nested) { error_msg = ""HISS re"	宪章 §5.3（HiPS 仅 NESTED 语义冻结）、§12.3-1（词表/注释与实现一致）、§14.3（同一合同不得两处不同缺省）	OPEN	
