编号,符号或键,类别,现行值,支撑类型,出处,适用域,位点(面),第②层已复核,取证分片
OK-001,(无名)·lib/infrastructure/cli/session_commands.h:181,常数,1.0,文献值,唯一数值源 eng/packaging/config/defaults.json:666-667 drizzle.pixfrac=0.8（authority_status=owner_adjudicated）；docs/plugins/algorithms_phase1/08_drizzle.md:49 亦 0.8 并指回该唯一源,生产可达：CLI `--template` 输出面（用户直接抄用）,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3；L1
OK-002,additive_mode（seam）,算法,"代码默认 ""delta""（两处读点一致）；合同面 config_registry declared_default=""delta"" 且 finding=""unregistered""",文献值,module_adapters.cpp:9835-9836/:10311-10312 读点、:10313-10316 校验、:10318-10321 降级、:10524/:10528-10537/:10541-10552 施加链、:10699-10700/:10743-10747 manifest；eng/packaging/config/config_registry.json:1849/:18,创新点③ 加性天光（默认行为正确）,生产,是（第②层复核改判）,AUD-203-天光无缝核验 AUD203-10；复核-AUD203 V3；复核注记：是（复核-AUD203 V3：判确认但定性为注释/符号口径缺陷 P2，行为与默认面正确；并把成稿「中置信＋需跑产品」升为静态已判）
OK-003,calibration.master_flat_median_range,容差,"[0.5, 2.0]",文献值,"真锚 docs/science/CALIBRATION.md:182（冻结默认 [0.5, 2.0]）+ docs/algorithms/CALIBRATION_ALGORITHMS.md:57；注册件所引 :103 讲的是**平场响应下界 0.1**（与此带无关）⇒ 锚点指向另一常数",master flat 消费边界（越界 DATA 拒绝 rc=2）,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-004,cosmetic.bad_column_enabled,常数,true,文献值,真锚 docs/contracts/DATA_SEMANTICS.md:316（§10.4 表『开关』行：列状缺陷路径默认启用，置 false 时本路径逐位不生效）；注册件所引 :304 是 §10.4 小节标题,Phase1 装饰性校正,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-005,drizzle.pixfrac,常数,0.8,文献值,"docs/science/DRIZZLE.md:26（pixfrac (0,1]，默认 0.8）/:35（值域与 NO_DATA）/:56（核按 drop 面积归一 ⇒ 与 pixfrac 无关）；一手 Fruchter & Hook 2002 PASP 114,157（§7.2；**本仓未登记 DOI，且 :677 note 引的 0.6 下 0.004 mag 实测属该文献适用域而非本仓**）",Phase1 drizzle 累加,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-006,gate_enforcement（资源门是否影响退出码）,算法,恒 RecordOnly,文献值,resource_gate.h:268-270；eng/contracts/resource_gate_v1.json enforcement.in_process_hard_fail；21_observability.md §8.3 表 ③ 行仍写 enforce→exit 10（陈旧行，与 §8.4:101/:103 自相矛盾）,资源判据的效力面,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §3.5；判读-A3 §5 第 6 条
OK-007,kEventLineMaxBytes,常数,4096,文献值,docs/contracts/LOG_AND_ERROR_CONTRACT.md:35/:55/:151＋docs/design/LOG_AND_ERROR_SYSTEM.md:94＋docs/architecture/observability/STRUCTURED_LOGGING_CONTRACT.md:122（MAX_LINE_BYTES）四处同为 4096；jsonl.h:54 自称与 L,CLI 运行事件流（唯一 schema = jsonl.h＋protocol.h；jsonl.h:10）,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；L-07
OK-008,kEventLineMaxBytes 的实现越界,容差,4096,文献值,jsonl.h:55/:86-102/:143/:124/:121；eng/contracts/schemas/jsonl_event_v1.schema.json 无 maxLength（正例对照：log_event_v1.schema.json 命中 maxLength 1024）,日志合同行界,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §3.4 L-07；L-07
OK-009,mb_per_s 命名的量纲债,常数,rss_growth_mb_per_s 等（值为 MiB、名字写 MB、工件内无单位注记）,文献值,eng/contracts/resource_gate_v1.json#memory.unit；memory_report.h:228/:481；v6_runtime_contract.h:310/:329 required_metric_keys()；resource_monitor.py:90 已把旧键名定性为「兼容别名」,对外冻结字段名与产品工件字段,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §3.4 L-03；判读-A3 §2.4 L13；L-03；L13
OK-010,noise.clip_sigma,算法,5.0,文献值,docs/science/NOISE_MODEL.md:63（稳健裁剪: cosmic/hot 5sigma，<=2 轮；注册件所引 :56 是 gain 行）,Phase1 patch 稳健裁剪,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-011,noise.mask_r_min_px,常数,1.5,文献值,"docs/science/NOISE_MODEL.md:96（r_min = max(1.5 px, 0.75·FWHM_i)；符号表 :38 同）；注册件所引 :85 是空行",Phase1 逐星掩膜半径下界,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-012,noise.patch_grid,常数,"[8, 8]",文献值,真锚 docs/science/NOISE_MODEL.md:61（§5『patch grid 8x8』）与 :48（§3a 像素域 8x8）；**注册件 source 与 source_ref 都引 :54，该行讲的是平面场启用条件（enable_spatial_field/n_control_points），不含 8x8**,Phase1 patch 噪声估计,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-013,noise.spatial_field_enabled,常数,1,文献值,docs/science/NOISE_MODEL.md:54（enable_spatial_field==1 && n_control_points>=4 且几何张成二维；注册件所引 :47 是空行）,Phase1 空间噪声场,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-014,paths.gaia_root,算法,gaia,文献值,defaults.json:748 记负责人指令原文（无文档条款号，source_ref=null）；ASTROCS_DESIGN.md 与 AGENTS.md §7 记 gaia/ 为根级只读数据集目录（跟踪数 0，gitignore）⇒ 路径本身有授权，值的语义（相对谁解析）靠 constraint 自述,Gaia 客户端与星表引导检测,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-015,photometry.mag_tolerance,容差,3.0,文献值,docs/science/PHOTOMETRY.md:34（真陈述行，注册件引 :30 偏 +4）；pc_api.cpp:145/:435 字面量 3.0；defaults.json 标 dead_config_key,测光预过滤,生产,是（第②层独立复核）,AUD-201-测光核验 AUD201-008／AUD201-013／AUD201-017；复核-AUD201 V4/V5；AUD-402-判读-A1 F-15；复核注记：是（复核-AUD201 V4 定 P1：溯源验证机制空转）；F-15
OK-016,photometry.min_inlier_stars,常数,2,文献值,docs/science/PHOTOMETRY.md:191（注册件引 :44 偏 +147）；star_matcher.cpp:616 字面量,测光残差尺度估计,生产,是（第②层独立复核）,AUD-201-测光核验 AUD201-008；复核-AUD201 V4；AUD-402-判读-A1；复核注记：是
OK-017,photometry.min_reference_stars,常数,3,文献值,docs/science/PHOTOMETRY.md:191（真行，注册件引 :44 偏 +147）；star_matcher.cpp:518 字面量,测光定标入口判据,生产,是（第②层独立复核）,AUD-201-测光核验 AUD201-008；复核-AUD201 V4；AUD-402-判读-A1 F-15；复核注记：是；F-15
OK-018,psf.default_model,算法,moffat4,文献值,"docs/science/PSF.md:9（点源响应=椭圆 Moffat4，锚正确）；一手 = Moffat 1969 A&A 3,455（PSF.md:177 登记 bibcode，自注『文章级，未逐式核验』）",PSF 拟合路径,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-019,rejection.large_scale.enabled,算法,false,文献值,"docs/science/REJECTION.md:121（large_scale 默认关闭: enabled=0, min_structure=8, low/high grow radius=2）；注册件 source :61（空行）与 source_ref :24（P2RejectionLargeScaleConfig 符号表行）均不含『默认关闭』",Phase2 空间邻域排异,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-020,rejection.linear_fit.upper_sigma,算法,3.5,文献值,docs/science/REJECTION.md:117,Phase2 排异,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-021,snr.path,算法,sparse_reconstruct,文献值,docs/plugins/algorithms_phase1/07_noise_snr.md:186 附近与 GAP_AUDIT §9.46（负责人：马赛克各帧天光/光污染空间分布不同 ⇒ 帧级标量精度不足）；值域与默认唯一事实源 = phase_config_mosaic.schema.json#/$defs/mosaic_config/properties/snr_path；链路报告侧：eng,Phase2 SNR 重建,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1；AUD-402-判读-A1 X-2／U-16
OK-022,tolerance / tolerance_relative,容差,tolerance=1e-6 两侧同值；tolerance_relative 适配器侧=1、session 侧未设⇒结构体默认 0,文献值,module_adapters.cpp:9571/:9573（设 1）、:9650-9652（读覆盖键）；p2_session.cpp:204（只设 tolerance）＋:199-212 全列无该键、:212-218 覆盖块只读 max_iterations/huber_delta/smoothing_lambda；upm.h:113 int tolerance_relative=0；upm.c,Phase2 UPM 收敛判定本身（非仅日志）,生产,是（第②层复核改判）,AUD-203-天光无缝核验 AUD203-09；复核-AUD203 V4；复核注记：是（复核-AUD203 V4 定 P2：生产侧取合规一侧；并订正成稿「设计 §5 明文」为「同一句还带『禁绝对容差』四字 ⇒ session 侧是违禁不是不一致」）
OK-023,w_jp 权重分母,公式,"代码 = a_jp/A_drop,j；两处文档 = a_jp/A_pixel,j",文献值,drizzle_engine.cpp:1617；docs/algorithms/DRIZZLE_GEOMETRY.md:48-50/:332（正确侧）vs :337-346、docs/contracts/DATA_SEMANTICS.md:47、ASTROCS_DESIGN.md:209（冲突侧）,创新点④ 权重与通量守恒声明,生产,是（第②层独立复核）,AUD-204-面积交叠核验 AUD204-09；复核注记：是
OK-024,0.85 抄进用户可见诊断串,容差,0.85（串内字面量）,公式导出,resource_gate.h:492；契约 eng/contracts/resource_gate_v1.json,用户可见诊断文本,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3 §2.2
OK-025,1.253（应为 √(π/2)）,常数,1.253,公式导出,snr_science.cpp:279（代码）、:272（自证注释）；p1snr_linux_test.cpp:244（1e-15 断言）；docs/science/NOISE_MODEL.md:323,绝对 SNR 的 dex 不确定度换算,测试/实验,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1 §1.2 D1
OK-026,Phase2 逐像素科学权重（臂 A）,公式,w_used = 1/σ_bg²（背景面 ivar）；最优 w_opt = 1/(σ_bg² + S_src/g),公式导出,ASTROCS_DESIGN.md:156-158/:168-174；docs/science/NOISE_MODEL.md §5b/§5c/§10；module_adapters.cpp:11936/:8155/:12004,创新点②③ 叠加权＋产品误差面,生产,是（第②层复核改判）,AUD-202-SNR核验 AUD202-001/AUD202-010；复核-AUD202 V1（P0）；复核注记：是（复核-AUD202 V1 定 P0；V3 推翻「两篇 FROZEN 互斥需裁决」，降为 P2 文档订正）
OK-027,USER_HZ / _SC_CLK_TCK,常数,100.0（硬编码）,公式导出,monitor.h:257/:258（硬编码除 100.0）；反证在同文件 :204-205（iowait）与 :277-278（read_thread_cpu）都已用 sysconf(_SC_CLK_TCK) 并只在返回 ≤0 时兜底 100,cpu_seconds → 等效核 → GateConfig,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §3.2 L-05；L-05
OK-028,cpu_pct_p50,常数,0.50 ｜ 0.0,公式导出,"eng/contracts/resource_gate_v1.json compute.p50_utilization_min_percent 的统计量名=""p50""；—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）",送 gate :190 判据⑤,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3
OK-029,eq,常数,0.0,公式导出,:428-437 与 commands.cpp:719 注释（作者以 0.5 s 标称周期自证「normalized 口径成立」）；对照 :470 的 last_t_ 成员（记录上次采样时刻，全文件零使用）,cpu_cores_used 事件、work_core_seconds（⑦ 事实标记）、GateConfig.avg_equivalent_cores,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；L-04
OK-030,hips_pixel_scale（浏览器真值件）,常数,58.6（写死）,公式导出,gen_geometry_truth.py:177（写死）、:168/:35（阶数声明）；生产写出路径 aio_hips_writer.cpp:1890 已按式算（不受影响）；本机复算 numerics.txt,HiPS 浏览器几何真值文件（非交付产品链）,测试/实验,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1 §1.2 D5
