task_id,phase,title,dependencies,gate,status,evidence_dir
P00-001,P00,仓库与环境事实基线,,G0,DONE,evidence/P00-001
P00-002,P00,恢复并锁定全部模块源码,P00-001,G0,DONE,evidence/P00-002
P00-003,P00,旧 CLI 真实数据基线,P00-001;P00-002,G0,DONE,evidence/P00-003
P01-001,P01,PipelineFrame 唯一归属决策,P00-001,G1,DONE,evidence/P01-001
P01-002,P01,数据块注册表与 schema 校验器,P01-001,G1,DONE,evidence/P01-002
P01-003,P01,HISS/HCSD 格式版本与 round-trip,P00-002;P01-001,G1,DONE,evidence/P01-003
P02-001,P02,PlateSolve 全量 TestData 与旧路径基线,P01-002;P00-003,G2,DONE,evidence/P02-001
P02-002,P02,共享 detections 候选路径与 star_det v1,P02-001,G2,DONE,evidence/P02-002
P02-003,P02,PlateSolve 全量 A/B 与路径决策,P02-002;P00-003,G2,DONE,evidence/P02-003
P02-004,P02,实施选定 PlateSolve 单次检测路径,P02-003,G2,DONE,evidence/P02-004
P02-005,P02,Dynamic PSF float32 API,P02-001,G2,DONE,evidence/P02-005
P02-006,P02,Gaia 查询边界与缓存,P02-004,G2,DONE,evidence/P02-006
P02-007,P02,PlateSolve 无退化与单次检测专项 Gate,P02-004;P02-005;P02-006,G2,DONE,evidence/P02-007
P03-001,P03,真实校准输入接线,P01-002;P00-003,G3,DONE,evidence/P03-001
P03-002,P03,配置参数端到端追踪,P03-001;P02-007,G3,DONE,evidence/P03-002
P03-003,P03,严格失败与禁止静默跳过,P03-002,G3,DONE,evidence/P03-003
P03-004,P03,SNR 稀疏模型与 SIP 一致性,P02-007;P03-002,G3,DONE,evidence/P03-004
P04-001,P04,CLI request 与 effective config,P03-003,G4,DONE,evidence/P04-001
P04-002,P04,JSONL 事件与稳定错误码,P04-001,G4,DONE,evidence/P04-002
P04-003,P04,capabilities 与 inspect 命令,P04-002;P01-003,G4,DONE,evidence/P04-003
P04-004,P04,取消、超时与 partial 输出,P04-002,G4,IN_PROGRESS,evidence/P04-004
P05-001,P05,真实参考数据集登记,P00-003;P03-003,G5,TODO,evidence/P05-001
P05-002,P05,Stage1 真实数据端到端,P05-001;P03-004;P04-004,G5,TODO,evidence/P05-002
P05-003,P05,Stage1 负面与恢复测试,P05-002,G5,TODO,evidence/P05-003
P06-001,P06,Stage2 真实输入兼容检查,P05-002;P01-003,G6,TODO,evidence/P06-001
P06-002,P06,球面梯度与稳健叠加证据,P06-001,G6,TODO,evidence/P06-002
P06-003,P06,HCSD 输出与独立读取,P06-002;P04-003,G6,TODO,evidence/P06-003
P07-001,P07,性能与峰值内存基线,P05-002;P06-003,G7,TODO,evidence/P07-001
P07-002,P07,长批次与故障稳定性,P07-001;P05-003,G7,TODO,evidence/P07-002
P08-001,P08,CLI Core v1 发布包,P07-002;P04-003,G8,TODO,evidence/P08-001
P08-002,P08,最终独立复核与交接,P08-001,G8,TODO,evidence/P08-002
