ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
FD-G-001	G_GOV_GATE	P1	FD	问题扫描/findings/G_GOV_GATE/p1/FD_shadow_agents_md.md	6	影子树内的 agent 指令文件与冻结宪章在「唯一入口」上正面冲突，且对全部机器门永久不可见	:正式运行只有 orchestrator.exe`（207 行、UNTRACKED）；同文本第二份 `run/reaudit_v3/run001/B/AGENTS.md`（207 行）；另有 `run/arch_audit_p1/shadow_base`(78)、`run/arch_audit_p1/shadow`(57)、`run/scif2001/shadow`(57)、`run/rt001/base_shadow`(57)、`run/release-rescue/**` 七份 clean/clean-check*/base_src/mut/src/a4_src(各 78)、`工程控制/AstroCS_V7_MODULAR_REFOUNDATION_CONTROL_20260902_FINAL3/templates/AGENTS.md`(5)		宪章 §1.1（权威分层）、§3.1、§8.1、§12.3-10（状态与声明须同源）、§14.1；根 `AGENTS.md`「目录规范（强制）」与「单入口」要素	OPEN	
FD-G-002	G_GOV_GATE	P1	FD	问题扫描/findings/G_GOV_GATE/p1/FD_shadow_agents_md.md	26	唯一执行「禁止运行产物落项目根目录」的门被永久容忍为红，且该检查自身声明 `waivable=False`	:failures[0]`（`check_id=UT-CLI`、`kind=check`、`category=WORKSPACE_HYGIENE`、`expected=fail`、`owner=SA-CLI`）；		AGENTS.md「目录规范（强制）」末段与「状态机」要素（R-05/R-13）；宪章 §12.3-10（声明与执行须同源）、§14.5（放行与 waiver）	OPEN	FIXED
FD-G-004	G_GOV_GATE	P1	FD	问题扫描/findings/G_GOV_GATE/p1/FD_shadow_agents_md.md	45	同一检查项在 `checks.json` 写 `waivable=false`、在证据里被记为 `SKIPPED(waivable)`：豁免状态无单一事实源（第二实例）	:UT-CPU-AVX512`（前台当场 python3 解析：`waivable=False`；同族 `UT-CPU-BASELINE`/`UT-CPU-DISPATCH`/`UT-CPU-AVX2` **四项全 `waivable=False`**）；		宪章 §10.2、§10.3、§12.3-10（状态与声明须同源）、§15.4（验证职责矩阵）；AGENTS.md「状态机」要素（waiver 登记唯一入口）	OPEN	
M1a-G-001	G_GOV_GATE	P1	M1a	问题扫描/findings/G_GOV_GATE/p1/M1a_L01_L02.md	3	产品头/manifest 无「坐标 frame 与像素-采样语义」声明面（宪章 §4.3 强制项只在进程内描述符存在，不随产品落盘）	:§4.3；lib/phase3_session/p3_output.cpp::（FITS 头键面）；lib/core/src/module_adapters.cpp::（p3_resampled.json 与 p3_writer.json 键面）；lib/phase3_session/p3_session.cpp::（inspect result 键集）	"（宪章:125）所有 Phase 产品至少记录：产品类型和 schema 版本、软件版本、完整 source SHA、run ID、输入产品哈希、科学配置哈希、单位、坐标 frame、**像素/采样语义**、算法 ID、模块 build ID、实际 provider、输出哈希和生 / （p3_output.cpp:185-186 实测）fits_write_key(f, TSTRING, (char*)""CUNIT1"", (void*)""deg"", …)  —— 全仓 grep **RADESYS/EQUINOX 在 p3_output.cpp 0 命中**； / （module_adapte"	"宪章 §4.3、§12.3-15；SCI-P3-001 §3（""ADU 面亮度语义…单位必须由产品合同声明""）、§7.3"	OPEN	STILL
M1a-G-002	G_GOV_GATE	P1	M1a	问题扫描/findings/G_GOV_GATE/p1/M1a_L01_L02.md	18	API-P3-001 状态 FROZEN 却未随宪章 §18.1/DATA-UNC-001 订正；引用的请求 schema 在仓内不存在；门测试只做文档子串断言（空转）	::3/:16；contracts/schemas/::（缺失项）；tests/api/test_p3_api.py::（门测试）	（PHASE3_API_V1.md:3）> ID: API-P3-001 范围: API-P3-001..006 **状态: FROZEN (V5 API-005, 2026-08-28)** 上游: … ALG-P3-001..004, ARCH-P3-001 下游: … SY / （PHASE3_API_V1.md:16）… 请求体 schema 见 `contracts/schemas/phase3_request_v1.schema.json`（**实测 contracts/schemas 下 0 命中**） / （test_p3_api.py:16-31）self.assertIn(	宪章 §12.3-9、§17.1、§18.1；AGENTS.md（合同与实现同步）；API-P3-001	OPEN	
M2a-G-1	G_GOV_GATE	P1	M2a	问题扫描/findings/G_GOV_GATE/p1/M2a_L04_L10.md	5	标准注册表的机器检查器存在但未登记进 ci/checks.json，D.catalog/D.fits 的失真 CONFORMANT 判定无门可拦（注册表自身已自陈该事实）	:§5 机器检查段；.github/workflows/build.yml::standards-registry 步骤；ci/checks.json（缺项）；tools/check_domain_interfaces.py::STANDARDS_PATH；docs/standards/checks/check_standards_registry.py	（STANDARDS_REGISTRY.md §5）- `docs/standards/checks/check_standards_registry.py` 校验：每个 ID 的必填小节存在；…；**该检查器当前尚未登记进 `ci/checks.json`（缺 CI 检查项 I / （ci/checks.json）grep `standards|registry` → NO HIT（当下树仍无该项） / （docs/standards/checks/check_standards_registry.py 存在；tools/check_domain_interfaces.py 引用 STAND	宪章 §12.3（机器一致性检查清单须与 CI 一致、CI 逐步覆盖）、§17.1（发布门须由机器证据支撑）；STD-REG-001 §5 自述	OPEN	STILL
M2b-G-01	G_GOV_GATE	P1	M2b	问题扫描/findings/G_GOV_GATE/p1/M2b_L03_L15.md	7	HiPS 写出被建成两个独立顶层模块面（lib/hips + lib/hips_p2），与宪章 §5.2/§6.2 规定的 AIO 归属与「非独立模块」直接冲突，且未登记任何架构偏差	:§5.2（HiPS 归属条款）与 ::§6.2（禁为 Phase2 另起 HiPS writer）；lib/hips/module.yaml::模块定位段 + module_id + execution_class/threading_model；lib/hips/README.md::§1 身份表；lib/hips/CMakeLists.txt::add_library(astrocs_p1_hips_writer SHARED)；根 CMakeLists.txt::add_subdirectory(lib/hips)；packaging/astrocs.product.json::required_units；lib/hips_p2/module.yaml::target/module_id/module_status/entrypoint；lib/infrastructure/（不	「其中 Drizzle、球面映射和 HEALPix 累积属于 lib/algorithms/；**HiPS properties、目录、tile、manifest、压缩和原子提交属于 lib/infrastructure/aio/。HiPS 写出不是独立科学模块或独立顶层架构。**」 ；宪章 §6.2（原文）:「最终写出统一调用 AIO 服务，不为 Phase2 再复制一套 HiPS writer	宪章 §1.1（宪章为最高守则）、§5.2、§6.2、§1.2（Agent 无权放宽解释，修改权仅在负责人）、§12.3-1	OPEN	
M2b-G-02	G_GOV_GATE	P1	M2b	问题扫描/findings/G_GOV_GATE/p1/M2b_L03_L15.md	28	标准符合性检查器与偏差登记合同脱节：checker 无 CI 执行面、docstring 宣称的 C8 从未实现、catalog 域无宪章 §19 锚与 §4 对应行	:§4 机器可读字段说明 + ::§5 机器检查 C1–C7 + ::§5 末段（已知缺口自述）；docs/standards/checks/check_standards_registry.py::模块 docstring（C1–C8 清单）与 ::evaluate（实际断言集）；ci/checks.json（全量 profile）；ASTROCS_PROJECT_CONSTITUTION.md::§1.2、§19	「**当前缺口**：本检查尚未登记进 ci/checks.json（需随 CI 变更 PR 注册，本包不得自注册），故标准清单的机器面暂为本地运行；登记后本段改写。」 ；实测：grep「check_standards_registry」于 ci/checks.json → **0 命中**（三个 profile 均无） ；docstring 宣称的第 8 条（原文，check_standards_	宪章 §12.3（机器一致性检查须实际执行）、§1.2（注册表域/版本变更须走负责人裁决）、§19（文献锚为权威链一环）、§17.11；STD-REG-001 §5（C1–C7 机器合同）、§1.6	OPEN	
M2b-G-03	G_GOV_GATE	P1	M2b	问题扫描/findings/G_GOV_GATE/p1/M2b_L03_L15.md	49	docs/standards L2 标准的权威来源写成已归档控制包规格并把 MinGW 写成正式工具链，与宪章 §1.1/§15.2 冲突	:权威来源行 + ::MUST 第一条（C++17/toolchain）；docs/standards/TEST_STANDARD.md::GPU/GTEST_SKIP 行与 V19 artifact 引用行；docs/standards/COMMENT_STANDARD.md::reports/v19r2 清单引用；docs/standards/DOCUMENTATION_STANDARD.md::历史材料权威声明；ASTROCS_PROJECT_CONSTITUTION.md::§1.1、§15.2、§3.3/§10.1；ci/toolchain.lock.json	「权威来源：V19R2 MASTER_CONTROL_SPEC §5；本文件为仓库内单一实现标准。」＋「- C++17（正式 toolchain：MSYS2 MinGW64 g++ 16.1.0）；RAII 优先。」 ；TEST_STANDARD.md（原文）:「- gtest 命名：Suite.Feature；GPU 不可用时 GTEST_SKIP 而非伪通过。」＋「- 变更模块必须重跑相关 g	宪章 §1.1（宪章为最高守则，历史文档仅作线索）、§15.2（正式工具链冻结）、§3.3/§10.1（GPU/ACR 生产不可达属当前非目标）、§17/§14.5（禁以跳过/豁免掩盖验证）；AGENTS.md 首段（宪章与历史文档冲突以宪章为准）	OPEN	
M2b-G-04	G_GOV_GATE	P1	M2b	问题扫描/findings/G_GOV_GATE/p1/M2b_L03_L15.md	69	HEALPix 依赖合规簇：同一模块同时存在许可证声明冲突与出处/版本自述冲突（NOTICE 称未迁邻居/未复制 GPL，代码称移植自 GPL-2+ 参考；头称独立实现，实现称迁移自 astrometry.net）	:迁移范围段 + ::许可声明段；lib/common/healpix/healpix_core.h::文件头来源与 Oracle 声明段；lib/common/healpix/healpix_core.cpp::文件头算法来源注释（含断链 URL）、::neighbors 段出处注释、::官方 face/swap 表、::query_disc 段出处注释、::nested_local_to_xy 与 ::xy_to_nested_local 的 shift 收口、::pix2ang_nest 越界返回	「- 仅迁移 NESTED 排序所需路径, **未迁移 RING 排序与邻居查询**」＋「- **未复制任何 GPL (Healpix_cxx / RELION) 代码进入生产树**」 ；代码（原文）:「// ---- neighbors / query_disc helpers (B4-01 精选迁移, 仅 NESTED) ----」「// R9-B 重写: **邻居算法移植自官方 HEALPi	宪章 §12.3-1/-12（清单与树内事实一致、结论须机器证据）、§14（第三方来源与许可登记）、§17.11（禁无证据合规声明）、§19（文献/来源锚）；Górski 2005（数学本身不受版权保护，但移植来源须如实披露）	OPEN	
