ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
V10-N-01|C_ALG_IMPL|P1|无（原判据即现行权威；站点＝旧路径 lib/healpix_db/healpix_drizzle/fits_reader.cpp，本会话实测已迁 lib/algorithms/drizzle/healpix_drizzle/）|ASTROCS_DESIGN §9（阶段间只经磁盘产品+manifest+哈希交换；aio 是唯一 FITS/HiPS/manifest 读写边界）＋ ENGINEERING_SPEC §9（失败不得留下可被误认成正式产品的半成品）／§5.1（边界、错误输入必备测试）|命令：sed -n "425,428p" lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp；输出：    if (got < data_size) { ／ fprintf(stderr, "[fits_reader] 警告: 数据读取不完整 (%zu/%zu 字节)\n", got, data_size); ／ n_pixels = got / (size_t)bytes_per_pixel;  // 按实际读取量处理 ／ }。命令：sed -n "514,515p" 同文件 ＋ sed -n "530p" 同文件；输出：    img.width    = width; ／     img.height   = height; ／     return true;。命令：sed -n "1896p" lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp；输出：            Scalar pixelValue = pixels[(size_t)y * (size_t)img.width + (size_t)x];|OPEN|P1-001|无|短读只缩 pixels 向量、宽高仍取头部 NAXIS ⇒ 输入面按 y*width+x 索引可越界且函数报成功；输出面另有 pixels.size() 校验（drizzle_engine.cpp:846/964/1622/2360），不覆盖输入面
V10-N-02|C_ALG_IMPL|P1|无（原判据即现行权威；站点＝旧路径 lib/healpix_db/healpix_drizzle/{fits_reader,wcs_sip}）|ASTROCS_DESIGN 附录 B（FITS WCS Paper I/II；SIP 阶数有确定值域，标准偏离仍是偏离）＋ ENGINEERING_SPEC §5.1（边界、极端参数、错误输入必备测试）|命令：sed -n "225p" lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp ＋ grep -c order 同文件；输出：225:    int a_order = 0, b_order = 0, ap_order = 0, bp_order = 0; ／ 14（14 处 order 提及中无一条范围判定）。命令：sed -n "85,88p" lib/algorithms/drizzle/healpix_drizzle/wcs_sip.cpp；输出：    for (int i = 0; i <= order; i++) { ／        T pdy = T(1); ／        for (int j = 0; j <= order - i; j++) { ／            result += T(coeffs[i * 6 + j]) * pdx * pdy;。命令：grep -n "double a\[36\]" lib/algorithms/drizzle/healpix_drizzle/fits_reader.h；输出：12:    double a[36] = {0};   // 前向 A|OPEN|P1-001|无|读侧不夹阶数即以外部件数索引 36 槽固定系数池；正对照＝同族 KV 边已夹（hp_drizzle_api.cpp:461-465 判定 [0,5] 并 return -10），同一字段两种口径
V10-N-03|C_ALG_IMPL|P1|无（原判据即现行权威；站点＝旧路径 lib/gaia_xpsd_client/src/gaia_client.c，已迁 lib/infrastructure/gaia_xpsd_client/src/）|ASTROCS_DESIGN §3.5（存在 error 时强制阻断运行）＋ ENGINEERING_SPEC §9（错误通过统一状态码+结构化诊断传播）＋ docs/plugins/infrastructure/22_gaia_xpsd_client.md（外部星表读面）|命令：sed -n "1269p" lib/infrastructure/gaia_xpsd_client/src/gaia_client.c；输出：        xf->item_size = item_sz[0] ? atoi(item_sz) : 0;。命令：sed -n "1284p" 同文件；输出：                    if (!parse_bounded_int(p + 14, WL_COUNT, &xf->spectrum_count)) {|OPEN|P1-001|无|同一函数相邻两处：一边用带界解析器，一边对 itemSize 用裸 atoi；item_size 是解交织步长，负值或垃圾值无错误分支即进入后续解码
V10-N-04|C_ALG_IMPL|P1|无（原判据即现行权威；站点＝旧路径 lib/astro_image_io/src/aio_fits.cpp，已迁 lib/infrastructure/aio/src/）|ASTROCS_DESIGN 附录 B（FITS Standard 实数字段允许 D 指数记法）＋ §9（aio 是唯一 FITS 读写边界，禁止各自复制 reader/writer）＋ ENGINEERING_SPEC §3（禁止一个字段承载多个含义）|命令：sed -n "161,162p" lib/infrastructure/aio/src/aio_fits.cpp；输出：            else if (key == "BSCALE") { try { hdr.bscale = std::stod(kw.value); } catch (...) {} } ／            else if (key == "BZERO") { try { hdr.bzero = std::stod(kw.value); } catch (...) {} }。命令：grep -c isfinite lib/infrastructure/aio/src/aio_fits.cpp；输出：1（无 D→E 归一或有限性门）。命令：sed -n "64,66p" lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp；输出：static double parseDouble(const std::string& s) { ／     std::string t = trimStr(s); ／     for (auto& c : t) {|OPEN|AIO-001|与 GAP-013 重复|BSCALE/BZERO 解析失败被 catch(...) 吞成缺省 1.0/0.0（交付像素量级静默错）；另一读面 parseDouble 显式逐字符归一 D→E ⇒ 同一合法头两读面结果不同
V10-N-05|C_ALG_IMPL|P1|无（原判据即现行权威；站点＝旧路径 lib/astro_image_io/src/hips/aio_hips_reader.cpp，已迁 lib/infrastructure/aio/src/hips/）|ASTROCS_DESIGN §9（交付产品完整性；哈希/校验通过才算产品）＋ docs/plugins/infrastructure/17_aio.md §7（错误与边界：不得静默）＋ ENGINEERING_SPEC §5.1（错误输入必备测试）|命令：grep -rn bad_snr_rows lib cli include；输出：lib/infrastructure/aio/src/hips/aio_hips_reader.cpp:98:    size_t bad_snr_rows = 0;          // 损坏 TSV 行计数 (G6 robustness) ／ lib/infrastructure/aio/src/hips/aio_hips_reader.cpp:339:                        ++d->bad_snr_rows;（全仓仅声明＋自增，零消费者）。命令：sed -n "332,333p" 同文件；输出：                    if (std::sscanf(line.c_str(), "%lld %lf %lf %lf %u %u", ／                                    &sid, &ra, &dec, &snr, &qf, &ps) == 6) {。命令：grep -c isfinite 同文件；输出：0|OPEN|AIO-001|无|坏行被计数但无人回读、函数仍返回成功 ⇒ 交付 SNR 星表少行不可观测；%lf 可解析 nan/inf 且无有限性门
V10-N-06|C_ALG_IMPL|P1|无（原判据即现行权威；站点＝旧路径 lib/healpix_db/healpix_drizzle/fits_reader.cpp 的 :315-321／:333-342／:419-422）|ASTROCS_DESIGN §8（无界内存增长禁项）＋ §12（发布候选清单含「无界内存增长」）＋ ENGINEERING_SPEC §5.1（极端参数必备测试）|命令：grep -c -e 65535 -e MAX_DIM lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp；输出：0。命令：sed -n "315p" 同文件；输出：    if (naxis1 <= 0 ∥∥ naxis2 <= 0) {（唯一尺寸判定，仅正数）（引文内的 ∥ 代表原文的两句号逻辑或，避免与记录分隔符冲突）。命令：sed -n "419,420p" 同文件；输出：    size_t n_pixels = (size_t)width * (size_t)height * (size_t)naxis3; ／     size_t data_size = n_pixels * (size_t)bytes_per_pixel;（其后即 std::vector<uint8_t> raw(data_size)）|OPEN|P1-001|无|仅判正数、无上限即把头部尺寸直乘成分配量；正对照＝同族另两面已夹（aio_fits.cpp:554 注释「cfitsio 路径对齐手写路径 parse_fits_header 的 65535 上限口径」；aio_xisf.cpp:33 亦有上限）
V20-N-01|C_ALG_IMPL|P1|无（原判据即现行权威；站点＝旧路径 lib/drizzle/src/module_entry.cpp，已迁 lib/algorithms/drizzle/src/）|ASTROCS_DESIGN §3.3（输入合同字段有确定语义）＋ §9（manifest 记录生效科学配置；禁止把计划值伪装成实际值）＋ ENGINEERING_SPEC §8（字段与消费者不得悬空）|命令：grep -c -e rev_scale -e rev_ra0 -e rev_dec0 -e rev_proj lib/algorithms/drizzle/src/module_entry.cpp；输出：7。命令：grep -n rev_scale 同文件；输出：313:    double   rev_scale; ／ 456:        c->rev_scale = sc;（声明＋唯一写入，无第三处读取；另三键与 have_scale/have_ra0/have_dec0 同形）。命令：sed -n "1049p" 同文件；输出：    double* crval = json_get_f64_array(manifest, "crval", &n_arr);（op=reverse 的反向几何实取输入 manifest 的 crval/crpix/cd）|OPEN|P1-001|无|四配置键解析后在整仓零读取 ⇒ 用户改这些配置不改产物，属「配置字段无消费者」判据族
V21-N-01|C_ALG_IMPL|P1|无（原判据即现行权威；站点 providers/cpu/* 与 include 未迁移）|ENGINEERING_SPEC §9（统一状态码，跨平台同失败同码）＋ ASTROCS_DESIGN §6.3 退出码表（5＝backend ABI/签名/CPU 特征或加载失败，须可区分）＋ docs/api/COMMON_ABI_V1.md ＋ §7.3|命令：grep -n "rc != ACS_CAP_OK) return ACS_ERR_UNSUPPORTED" providers/cpu/baseline/src/baseline_provider.cpp providers/cpu/avx2/src/avx2_provider.cpp providers/cpu/avx512/src/avx512_provider.cpp；输出：baseline:63 ／ avx2:76 ／ avx512:103。命令：sed -n "110,113p" providers/cpu/common/include/astrocs/cpu/capability_v1.h；输出：    ACS_CAP_OK = 0, ／     ACS_CAP_ERR_PARAM = 1, ／     ACS_CAP_ERR_ABI_MISMATCH = 2, ／     ACS_CAP_ERR_UNSUPPORTED = 5。命令：grep -n "grc != ACS_OK) return ACS_ERR_UNSUPPORTED" providers/cpu/*/src/*.cpp；输出：avx2:398 ／ avx512:398 ／ baseline:614|OPEN|CPU-001|无|能力 ABI 的 4 值域在 provider 边被并成「OK／非 OK→ACS_ERR_UNSUPPORTED」，参数错与 ABI 失配在宿主侧不可区分；正对照＝同文件 host_abi 边仍保留 ACS_ERR_ABI_MISMATCH（avx2_provider.cpp:122／:287）
V21-N-02|C_ALG_IMPL|P1|无（原判据即现行权威；站点＝旧路径 lib/astro_image_io/src/healpix/aio_healpix_io.cpp，已迁 lib/infrastructure/aio/src/healpix/）|ENGINEERING_SPEC §9（统一状态码＋结构化诊断传播；不跨 C ABI 抛异常）＋ ASTROCS_DESIGN §6.3（7＝I/O 失败，须与其它因可区分）＋ docs/plugins/infrastructure/17_aio.md §7|命令：grep -c "if (ret != 0) return HIO_ERR_FILE" lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp；输出：5。命令：grep -n "HIO_ERR_" lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp；输出：55-64 HIO_ERR_* 定义域为 -1..-8（含 PARAM/MAGIC/ZSTD/JSON/MEM/BOUNDS 等语义位）。命令：grep -n "HISS_ERR_" lib/infrastructure/aio/include/astrocs/aio/hiss_format.h；输出：245-249 HISS_ERR_CHECKSUM=-4 ／ HISS_ERR_UNSUPPORTED=-6 ／ HISS_ERR_UNKNOWN_REQUIRED=-7 ／ HISS_ERR_FORMAT_VIOLATION=-8|OPEN|AIO-001|无|HISS 私有错误域（校验和损坏、格式违规、缺必填键）在跨边界处全塌成单一 HIO_ERR_FILE，调用方无法区分「文件坏」与「数据坏」
V21-N-05|C_ALG_IMPL|P1|无（原判据即现行权威；站点 tools/check_warning_suppression.py 未迁移）|docs/ci/01_CHECKS.md §1（每项检查必须能绿能红）与 §2 表 CHK-WARN（P0）＋ docs/ci/03_GATES.md §1（P0 红灯无豁免）／§4 ＋ CONTROL_PACK_SPEC.md §7.3（不得用 waiver 掩盖红灯）|命令：grep -c returncode tools/check_warning_suppression.py；输出：0。命令：sed -n "29,33p" 同文件；输出：BUILD_COUNT_SCRIPT = ( ／     cd "$1" ∥∥ exit 9 拼接串 ／     cmake --build "$2" --target astrocs 2>&1 ／     grep -v WSL 后接 grep -c "warning:" ∥∥ true ／ )。命令：sed -n "104,105p" 同文件；输出：    warn = measure_build(build_dir) ／     if warn not in ("", "0"):（判定只看子进程 stdout 文本）|OPEN|CI-001|无|残余缺陷：仍不读 cmake 退出码，且子命令退出码被 ∥∥ true 拉平 ⇒ 构建失败但无 warning 行时 warn 为空/0 → 判绿。订正：原判据「无构建树即 QA-001_SKIP + rc=0」一腿已按 GAP-027 改 fail-closed（现 :98-103 打印 QA-001_FAIL 并 return 1），不再作依据。门仍注册在 CHK-WARN 下（ci/checks.json:239）
