符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
threshold_seconds,lib/infrastructure/cli/resource_events.h:84,5.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
kMon001NotSampled,lib/infrastructure/cli/resource_gate.h:121,-1.0,未标注,未标注,未标注,未标注,无来源（代码内字面量，未见文档/文献锚）,,待确认,生产代码,命名常数旁表（纯数值初始化）；未精读项，判读交 AUD-205 与四链路代理
avg_equivalent_cores,lib/infrastructure/cli/resource_gate.h:160,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
wall_seconds,lib/infrastructure/cli/resource_gate.h:161,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
achieved_memory_bandwidth_frac,lib/infrastructure/cli/resource_gate.h:164,-1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
required_memory_bandwidth_frac,lib/infrastructure/cli/resource_gate.h:165,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
io_await_ms,lib/infrastructure/cli/resource_gate.h:169,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
one_worker_ns,lib/infrastructure/cli/resource_gate.h:175,-1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
n_worker_ns,lib/infrastructure/cli/resource_gate.h:176,-1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
cpu_percent,lib/infrastructure/cli/resource_gate.h:181,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
iowait_percent,lib/infrastructure/cli/resource_gate.h:182,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
mem_bandwidth_percent,lib/infrastructure/cli/resource_gate.h:183,-1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
workers_p50,lib/infrastructure/cli/resource_gate.h:185,-1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
cpu_p50_percent,lib/infrastructure/cli/resource_gate.h:190,-1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
cpu_mean_percent,lib/infrastructure/cli/resource_gate.h:191,-1.0;18.2,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
rss_slope_mb_per_s,lib/infrastructure/cli/resource_gate.h:194,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
active_window_seconds,lib/infrastructure/cli/resource_gate.h:200,-1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
io_wait_high_percent,lib/infrastructure/cli/resource_gate.h:207,50.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
util_samples_pass_frac,lib/infrastructure/cli/resource_gate.h:211,.1;0.75,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
queue_low_run_seconds,lib/infrastructure/cli/resource_gate.h:212,0.50,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
work_core_seconds,lib/infrastructure/cli/resource_gate.h:225,-1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/cli/resource_gate.h:232,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/cli/resource_gate.h:240,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
win,lib/infrastructure/cli/resource_gate.h:241,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/cli/resource_gate.h:295,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
