ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
L28b-D-001	D_COMMENT	P1	L28b	问题扫描/findings/D_COMMENT/p1/L28b.md	7	sdet_api 生产常量块用 8 处裸「(line NN)」自指锚，同号行是别的常量：注释给出的可定位性全假	1783、:1784、:1785、:1786、:1787、:1788、:1789；被指锚点实际内容 同文件 :45（INV_4_LOG2）、:47（TWO_SQRT_2_LOG2）、:49（struct StarDetectorHandle_s）、:50-:53（该 struct 成员与空行）、:275	（:1783）const double SQRT_EXP1 = 1.6487212707;              // sqrt(e), 振幅估计 (line 47) / （:1786）const double DENSITY_THRESHOLD = 0.001;              // PSF能量密度阈值 (line 49) / （:1787）const double s_factor = std::sqrt(-2.0 * std::log(DENSITY_THRESHOLD)); // =3.7172 (line 275) / （:47）#define TWO_SQRT_2_L	宪章 §12.2（注释只写单位/数学原因/前后置/所有权/线程安全/生命周期/边界/非显然决定，禁任务编号与审计流水）、§12.3-9（删除/重命名后无悬空引用）；RQS-PROTOCOL-001 §1（D_COMMENT「注释与代码矛盾」/E_TRACE「悬空引用」）	OPEN	
L28b-D-002	D_COMMENT	P1	L28b	问题扫描/findings/D_COMMENT/p1/L28b.md	23	生产 CPU provider 公共头把 kernel 索引表当语义权威，其中 ALG-008/ALG-009 在 docs 登记面零命中，且同表混用两种 ALG 命名空间	86（一一对应/冻结承诺）、:88-:99（ALG-001/004/002/005/006/008/009 与 ALG-P3-002 混排）、:102-112（逐 op 公式只在注释里）；被指为权威方的实现 providers/cpu/baseline/src/baseline_provider.cpp:28、:12、:87、:503；第二份手写副本 lib/backend_host/backend_table.inc:20-31；生产面证据 根 CMakeLists.txt:220、:232-233	（v1.h:86）/* ── kernel 注册索引 (与 kernel_list 输出序一一对应; v1 冻结) ── */ / （v1.h:97）ACS_CPU_KIDX_REJECTION_STATS = 9,  /* ALG-008 rejection-statistics */ / （v1.h:99）ACS_CPU_KIDX_HIPS_BULK = 11        /* ALG-P3-002 hips-bulk-transform */ / （baseline_provider.cpp:28）// NaN/Inf 语义 (对照 ALG 权威; 详见 baseline_provid	10（科学公式须给 SCI/ALG ID）	OPEN	
L28b-D-003	D_COMMENT	P1	L28b	问题扫描/findings/D_COMMENT/p1/L28b.md	40	"C 边界异常屏障整改注释自报的 extern ""C"" 入口数与自身文件不符（reader 12↔13、writer 9↔12、aio_api 25↔26）：屏障覆盖率的分母由注释写错"	264；lib/astro_image_io/src/hips/aio_hips_writer.cpp:456；lib/astro_image_io/src/aio_api.cpp:20；对照实现清单 reader :275-:560 段、writer :466/:515/:673/:807/:906/:1276/:1314/:1361/:1557/:1647/:1859/:1869	"（reader:264）// aio_api.cpp P0-4 口径)。本文件 extern ""C"" 12 个导出入口此前 0 个有 try / （reader:268）// void -> 仅记录; last_error 为 noexcept 字符串返回不加壳 / （writer:456）// aio_api.cpp P0-4 口径)。本文件 extern ""C"" 9 个导出入口此前 0 个有 try / （aio_api.cpp:20）// 此前 25 个入口 0 个有 try 保护: C++ 异常 (std::stod/stoi 抛 invalid_argument、"	宪章 §11（不得跨 C ABI 抛异常、统一状态码与结构化诊断）、§12.2（注释须与实现一致；禁审计流水）、§12.3-9/-12（结论须可追溯到机器证据）	OPEN	
L28b-D-005	D_COMMENT	P1	L28b	问题扫描/findings/D_COMMENT/p1/L28b.md	56	"ABI 合同头以「SCI-xxx / ALG-xxx」占位与「如 ""ALG-P3-003""」示例值描述运行时溯源字段：伪锚会骗过任何朴素正则门，字段真值反而无出处"	45、:46、:117；include/astrocs/core/module.h:21、:36、:37、:38、:40；include/astrocs/core/artifact.h:87、:99；include/astrocs/core/artifact_store.h:45；include/astrocs/core/checkpoint.h:71；示例值形态 include/astrocs/common_abi_v1.h:128；字段消费点 providers/cpu/baseline/src/baseline_provider.cpp:490-493（只判非空）；现行门判据 tools/quality/contracts/check_comments.py:44-48	"（module_api_v1.h:45-46）acs_str_v1  sci_id;           /* SCI-xxx */　acs_str_v1  alg_id;           /* ALG-xxx */ / （module.h:36-38）std::string sci_id;   // SCI-xxx　std::string alg_id;  // ALG-xxx　std::string data_id;  // DATA-xxx / （common_abi_v1.h:128）char     science_contract_id[32];  /* 如 ""ALG-P3-0"	10	OPEN	
L28c-D-001	D_COMMENT	P1	L28c	问题扫描/findings/D_COMMENT/p1/L28c.md	6	avx2/avx512 provider 合同头把 op 的入出槽位语义指派为「另一头的注释」权威，而该权威自身携带 docs 零登记 ID；两 ISA 头自身的唯一科学锚是已废止的编排层占位编号	47、:24、:80、:88；providers/cpu/avx512/include/astrocs/cpu/avx512_provider_v1.h:59；（被指向的权威）providers/cpu/baseline/include/astrocs/cpu/baseline_provider_v1.h:102-121、:88-:99；（同机制的 .cpp 侧）providers/cpu/avx2/src/avx2_provider.cpp:110	"avx2_provider_v1.h:47 "" *   - 槽位语义逐 op 同 baseline_provider_v1.h 头注释 (calibration: 4 入 1 出;"" / avx512_provider_v1.h:59 "" *   - 槽位语义逐 op 同 baseline_provider_v1.h 头注释 (hips: 1 入 1 出;"" / avx2_provider_v1.h:24 "" *   - ALG-001 calibration-pixel-transform 与 ALG-P3-002 hips-bulk-transform"" / avx2_provider_v"	14-16 明文把 `ALG-0NN` 称「占位 ID…保留为编排层词汇」且「合同 ID 由占位更正为真实」；L28b R-3（废止编号形不计溯源）与 R-6c（注释被指派为权威 = 必须已回写 L1）	OPEN	
L28d-D-001	D_COMMENT	P1	L28d	问题扫描/findings/D_COMMENT/p1/L28d.md	7	生产求解器的绝对剔除阈被注释与对比文档写成「角秒」，实现按像素比较：有效阈是宣称值的 2 倍，诊断日志把像素值印成角秒	1016（常量定义 + 单位宣称） ；同文件 :942（被减量的真实量纲自述「残差 (像素)」）、:943-954（residual_px 实现：dx/dy 为 W−pred 的平面坐标差，无任何角秒换算）、:978（算法清单里写「dist2 > MAX_DIST²」）、:1050（max_dist2 = MAX_DIST*MAX_DIST）、:1066-1071（dist2[k]=r*r，r=residual_px）、:1077-1081（与 max_dist2 比较） ；同文件 :1091-1092（运行时诊断串把该像素值印成「角秒」） ；同族第二载体 lib/plate_solve/cpp/ipv/SIRIL_COMPARISON.md:222（对比表把该行标为「单位换算 ✓」）	"（:1016）    const double MAX_DIST          = 100.0;   // AT_MATCH_MAXDIST (原实现 50px, IPV 100 角秒 ≈ 50px * 2""/px) / （:942-954）// 计算一对匹配的残差 (像素) ... return std::sqrt(dx * dx + dy * dy); / （:1078）            if (dist2[k] > max_dist2) { / （:1091）                g_ransac_logger.warnf(""iter_trans_inner iter"	宪章 §12.2（注释只解释单位/数学原因/边界条件，须与实现一致）、§4.1（每个量必须写明单位且不得名实不符）、§12.3-1（文档-代码一致）；docs/algorithms/PLATESOLVE.md §5/§9（TRANS 与残差在像素域）	OPEN	
L28e-D-001	D_COMMENT	P1	L28e	问题扫描/findings/D_COMMENT/p1/L28e.md	5	注释以「X-001..0NN」范围锚代逐 ID 锚：锚串本身不是任何已注册 ID	7、lib/snr_estimator/tests/p1noise/CMakeLists.txt:8、lib/snr_estimator/README.md:11 与 :75、lib/snr_estimator/memory.md:99、lib/phase2/src/rejection.cpp:8、lib/cosmetic/tests/p1cos/p1cos_tests_core.cpp:4、lib/cosmetic/tests/p1cos/p1cos_oracle.hpp:190、lib/cosmetic/README.md:10/:66/:80、lib/hips_p2/README.md:24/:169/:170、lib/hips_p2/module.yaml:22；登记面反向规则 tools/quality/v19r3_traceability.py:6 与 :357；标准条文 do	lib/snr_estimator/tests/p1noise/p1noise_tests_core.cpp:7 → // SCI-NOISE-001..015 (NOISE_MODEL.md, FROZEN T104, 冻结容差不放宽)。 / lib/phase2/src/rejection.cpp:8 → // - 排异阈值/迭代冻结锚点 SCI-REJ-*/ALG-REJ-001..008： / tools/quality/v19r3_traceability.py:6 → - 每个 contract ID 独立 inventory row（禁止 SCI-NOISE-001..015 范	10/:32（要求给 ID，单数可解析形）；L28b R-2①（ID 锚须在登记面可解析）、R-3（伪锚三类的排除逻辑）、R-5（strict 符号级）	OPEN	
M1a-D-001	D_COMMENT	P1	M1a	问题扫描/findings/D_COMMENT/p1/M1a_L01_L02.md	3	"inlier 权威缓冲的坐标域声明三处互斥：ALG/README 称""+0.5 契约解读""，C ABI 字段注释称""图像中心原点、Y 轴向上"""	:ipv_get_last_inliers 字段表；docs/algorithms/PLATESOLVE.md::§5/§9（+0.5 契约句）	（ipv_api.h:203-219 字段表）// [0] det_x_px - 检测器 x (像素, **图像中心原点, Y 轴向上**) / （PLATESOLVE.md:128）… orchestrator.cpp 统一 **+0.5 契约**（index-is-center）解读 … / （PLATESOLVE.md:147-148）inlier 缓冲 det_x_px/det_y_px 为…（+0.5 契约解读）	宪章 §12.3-15（像素语义显式）、§13.1；ALG-WCS-001 §5	OPEN	
M3-D-001	D_COMMENT	P1	M3	问题扫描/findings/D_COMMENT/p1/M3_L05_L07.md	4	`calibrator.cpp` 文件头登记了不存在的搜索算法与固定线程数，与同文件正文自相矛盾	:文件头注释块`（复核时点 :3-26，关键行 :5、:14-16、:25）对照 `::calibrate_d 上方注释`（:98-99）；对照 `lib/calibration/src/dark_optimizer.cpp::optimize_dark_k`（:97）；对照 `docs/algorithms/CALIBRATION_ALGORITHMS.md::F3.2/F4.2`	5: 独立实现优化搜索算法 (黄金分割线搜索)，自动推导最优 Dark-Bias 扣除系数 K（文件头） / 14-16: 科学公式 (SCI-CAL-001 §5): … dark_opt=1: cal = (raw - bias - K*(dark - bias)) / flat_norm, K = optimize_dark_scale(...) / 25: OpenMP: 可独立并行，固定 16 线程 / K 由调用方显式传入（t_light/t_dark，见 ALG-CAL §4），本模块不使用优化搜索。（calibrator.cpp:98-99）	宪章 §12.2（注释与文档/代码不得冲突）、§12.3-1、§4.1；SCI-CAL-001 §10（K 必须是比值）	OPEN	
M3-D-002	D_COMMENT	P1	M3	问题扫描/findings/D_COMMENT/p1/M3_L05_L07.md	20	公共头用「全链路 double 不降级」总括 FP64 路径，与同段细则和 API 合同相反	:FP64 变体段落头注`（复核时点 :110-120，关键 :112 vs :115-116）；`lib/calibration/src/ac_api.cpp::ac_calibrate_frame_f64 实现注`（:139-141）；对照 `docs/contracts/API_CONTRACTS.csv::API-CAL-008`（:43）、`docs/architecture/PUBLIC_API.md::P1CAL 表`（:123-124）、`docs/algorithms/CALIBRATION_ALGORITHMS.md::F4.2`	// FP64 变体：输入输出全链路使用 double，不降级 float（astro_calibration.h:112） / // 归一化统计（median/MAD）与坏点检测统计仍在 FP32 域计算后转 double 阈值； / // mask 语义与 FP32 完全一致（1=坏）。（astro_calibration.h:115-116） / // FP64 包装：输入转 double 处理，输出降级 float（ac_api.cpp:140） / API-CAL-008 … 内部 float32 处理（登记偏差）（API_CONTRACTS.csv:43） / 偏差已登记：统计核 	宪章 §12.2、§5.3、§12.3-1；SCI-CAL-001 §9（精度策略）	OPEN	
