ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
V19-N-08|G_GOV_GATE|P1|问题扫描/findings/G_GOV_GATE/p1/V19-b.md V19-N-08（原引旧宪章 §12.3/§17.6；UT-BACKEND 登记项 artifacts/prerelease_v5/ 豁免）|ENGINEERING_SPEC.md §8：豁免必须显式登记且只减不增，每项检查有正例与负例（能红能绿）；ASTROCS_DESIGN.md §6.3：运行产物只落配置 output_dir，不得以进程 CWD 作隐式缺省写出|命令：git ls-files artifacts/prerelease_v5 后 grep MEASUREMENTS.csv；git status --porcelain artifacts/prerelease_v5；git diff --numstat artifacts/prerelease_v5；输出：5 份 MEASUREMENTS.csv 受跟踪；工作树 3 条 M（ISA-001/002/003，各 6/6 行）；UT-BACKEND dirty_ignore_prefixes=[artifacts/prerelease_v5/] mutates_workspace=false；test_isa_avx512.py:75 与 test_isa_variants.py:79 无条件 open(out,w) 覆写，test_isa_avx.py:101 与 test_isa_bit_manip.py:66 读回当判据|OPEN|CI-001|无|自写自读闭环：非豁免门的 dirty 判定被自身豁免遮蔽，同一 SHA 在两宿主可写出不同权威台账数值；5 份 CSV 中 3 份已在本工作树漂移
V2-N-02|G_GOV_GATE|P1|问题扫描/findings/G_GOV_GATE/p0/V2.md V2-N-02（原引 docs/contracts/API_CONTRACTS.csv:371 与 docs/architecture/api_inventory.csv:376 记 VERIFIED）|ENGINEERING_SPEC.md §8：检查器覆盖「API 文档与 AST 一致、删除/重命名无悬空引用」，每项检查能红能绿|命令：git archive HEAD 解包到 /tmp/astrocs_clean 后在干净检出执行 python3 tools/quality/contracts/check_api_contracts.py；同一命令在含 run/ 影子树的工作树执行；输出：干净检出 status=FAIL rows=382 ast_symbols=582 findings=1（API-MISSING-AST line 331 symbol=estimate_mag_lim_by_density header=lib/plate_solve/cpp/ipv/include/ipv_select.h）；工作树 status=PASS findings=0|OPEN|DATA-001|无|工作树的 PASS 由 run/rqs-fix 等影子树里的 ipv_select.h 提供已删符号（假绿）；新公共符号 estimate_mag_lim_iterative 仍未登记
V2-N-09|G_GOV_GATE|P1|问题扫描/findings/G_GOV_GATE/p0/V2-D2.md V2-N-09（原引 module_adapters.cpp:1737/1750 写死字面量 fast，锁 p1001_real_nodes_test.cpp:2199 只查键名）|ENGINEERING_SPEC.md §8：检查项须能红能绿、不得以历史状态冒充；ASTROCS_DESIGN.md §11.3：状态阶梯唯一口径，记录须与实际执行一致|命令：grep -n psf_mode lib/core/src/module_adapters.cpp；sed -n 1610,1616p 同文件；grep -n psf_mode tests/unit/p1snr/p1snr_frame_parity_test.cpp；输出：:1614 const std::string psf_mode = (n_fit_limit > 0) ? std::string(fast) : std::string(precise)（P14-N-08 注「psf_mode 必须是真实模式, 不得为字面量」）；:1793 (*man)[psf_mode]=psf_mode；锁 :218-222 断言 max_stars=0 得 precise、max_stars=5000 得 fast（值断言）|RESOLVED|P1-001|无|已按 P14-N-08 由 n_fit_limit 派生，产物与 manifest 共用同一变量，原字面量与只查键名的锁均已不存在
V2-N-10|G_GOV_GATE|P1|问题扫描/findings/G_GOV_GATE/p0/V2-D2.md V2-N-10（原判类别 H_NUMERIC；原引 ipv_select.cpp:518-574 不收敛 fail-open、:974-981 converged/query_failed 不落交付面、capped 用 fmod 猜）|ENGINEERING_SPEC.md §3：科学代码红线，公式/权重/精度/容差不可改且须验证；§8：每项检查能红能绿|命令：grep -n -e P14-N-10 -e capped -e converged -e isfinite lib/plate_solve/cpp/ipv/src/ipv_select.cpp；sed -n 477,496p 与 549,560p 与 395,416p 同文件；输出：:487 触顶判据改 n_ret>=cap_unit（注释明写弃用 fmod 启发式）、:491 触顶 converged=false、break 在 alpha 差分前；:554-560 mag_iter_apply_to_selection 写 m_lim_capped/m_lim_converged/m_lim_query_failed；:395-416 focal/exposure/alpha_min/alpha_max 非有限即 fail-closed，不再静默落 13.0|RESOLVED|P1-001|无|三条残余（fail-open 交付面不可分、fmod 猜触顶、converged/query_failed 缺失）全部以 P14-N-10 关闭，并补 NaN 与 alpha_min fail-closed
V4-N-04|G_GOV_GATE|P1|问题扫描/findings/G_GOV_GATE/p1/V4.md V4-N-04（原引 M8-F-001 自降 PARTIAL：checks.json 引用 validate_registry 的检查项为 0）|ENGINEERING_SPEC.md §8：修改代码/测试后必须本地复跑对应检查项，检查器覆盖须含注册表一致；docs/ci/01_CHECKS.md §2/§5：ci/checks.json 为唯一注册表，ci/run.py 为唯一执行入口|命令：grep -c validate_registry ci/checks.json；python3 -c 解析 ci/checks.json；python3 -c 用 fnmatch 统计 CI-BINDING-TESTS 的 discover 面；输出：0（checks.json 无任何项引用 validate_registry）；145 门；CI-BINDING-TESTS command=unittest discover -s ci/tests -t ci/tests -p test_ci001b_*.py（仅命中 2 个文件），ci/validate_registry.py 在 checks.json 与 .github/workflows 均 0 载体|OPEN|CI-001|无|「discover 目录 0 用例即 strict FAIL」这条新规则自身无 CI 执行面；R11 校验器在位但不进任何门
V6-N-01|G_GOV_GATE|P1|问题扫描/findings/G_GOV_GATE/p1/V6.md V6-N-01（原引 c3452d48 净删 docs/TRACEABILITY.csv 4 行；判据 tools/quality/contracts/check_traceability.py:26-67）|ENGINEERING_SPEC.md §8：检查器覆盖「核心合同有独立测试、删除/重命名无悬空引用」；ASTROCS_DESIGN.md §12：发布候选清单要求追踪无断链|命令：python3 tools/quality/contracts/check_traceability.py --repo .；python3 -c 统计 docs/TRACEABILITY.csv 的 requirement_id 九关键词；输出：status=FAIL rows=63 findings=[TRACE-CORE-MISSING PSF, TRACE-CORE-MISSING REJ]；命中 CAL 1 PSF 0 PHOT 1 NOISE 15 DRZ 3 UPM 33 REJ 0 INT 1 ACR 1；docs/science/{PSF,REJECTION,INTEGRATION,ACR_EQUIVALENCE}.md 均在位（含 T101/T107/T108/T109）|OPEN|DOC-001|无|被删四行 SCI-PSF-001/SCI-REJ-001/SCI-INT-001/SCI-ACR-EQUIV-001 未恢复，rows 由 67 缩到 63；CON-TRACEABILITY（非豁免，三 profile）现下必红
V6-N-02|G_GOV_GATE|P1|问题扫描/findings/G_GOV_GATE/p1/V6.md V6-N-02（原引 docs/TRACEABILITY_MATRIX.csv 注入 BOM；check_traceability_matrix.py:380-390 不剥 BOM 即 return）|ENGINEERING_SPEC.md §8：检查器覆盖「删除/重命名无悬空引用」，每项检查能红能绿；ASTROCS_DESIGN.md §0：下级文档不得放宽或重新解释|命令：python3 -c 读 docs/traceability/TRACEABILITY_MATRIX.csv 前三字节；cd 干净检出执行 python3 tools/traceability/check_traceability_matrix.py；剥 BOM 后重跑同一命令；输出：b'\xef\xbb\xbfmodule_id,mod'（BOM 在 tracked blob 内）；干净检出报 SCHEMA_VIOLATION 缺={module_id} 多={BOM+module_id} 后整条 CSV-JSON 同构校验不再执行；剥 BOM 后另报 5 行 SCHEMA_VIOLATION（calibration/noise-snr/photometry/star/star-psf，列 test_id,test_path,evidence_id,evidence_status,notes）|OPEN|DOC-001|无|修 BOM 只暴露下一层：JSON 仍为权威源且三版未订正，gen_traceability_csv.py 重跑会把 CSV 静默冲回 EVID-MISSING
V6-N-04|G_GOV_GATE|P1|问题扫描/findings/G_GOV_GATE/p1/V6-evid.md V6-N-04（原引旧宪章 §12.3/§17.2/§16.2 与 AGENTS.md 目录规范：run/* 是工作区不是权威源）|ENGINEERING_SPEC.md §7：run/ 为 gitignore 的临时产物/日志目录；§8：检查器覆盖「活动文档无陈旧版本号/历史状态冒充」|命令：git ls-files run/；grep -n run/ docs/science/CONTROL_WEIGHT_SNR.md；grep -n run .gitignore；输出：git ls-files run/ 只有 run/.gitkeep（1 条）；docs/science/CONTROL_WEIGHT_SNR.md:51「推导与文献锚见 run/release-rescue/science-phot/PHOTOMETRY_LITERATURE_REVIEW.md §C.3.1」；.gitignore:19 run/*|OPEN|DOC-001|无|FROZEN SCI 文档的推导权威仍指向 gitignored 目录，干净检出无法复核任何一条新科学锚（本轮新增引用为 50 处级）
V6-N-05|G_GOV_GATE|P1|问题扫描/findings/G_GOV_GATE/p1/V6-evid.md V6-N-05（原引 lib/phase1/noise/README.md:54-58 自述「本批未改仓库树中的 lib/core」并以 run/perf-fix 补丁路径充当现状）|ENGINEERING_SPEC.md §8：检查器覆盖「活动文档无陈旧版本号/历史状态冒充」；ASTROCS_DESIGN.md §11.3：状态须与实际执行一致|命令：grep -c 未改仓库树 lib/phase1/noise/README.md；grep -n -e out-of-scope -e perf-fix -e lib-core-snr-wiring 同文件；sed -n 69,71p 同文件；git show --stat 35c85f53 -- lib/core/src/module_adapters.cpp；输出：0（原自述文本已删）、0（原补丁路径已删）；现文「lib/core 接线（P8 越域补丁 → P14 落树）」；该提交 1 file changed, 157 insertions(+), 5 deletions(-)|RESOLVED|DOC-001|无|矛盾文本与 run/perf-fix 补丁路径已按 P14 改写删除，README 现述与 35c85f53 的 +162 行 diff 一致
V6-N-10|G_GOV_GATE|P1|问题扫描/findings/G_GOV_GATE/p1/V4.md V6-N-10（原引「账本 20 条的 fix_commit 全集与本轮 9 个真改代码的提交完全不相交」）|CONTROL_PACK_SPEC.md §3.3：制作纪律，现状须可复核；§7.3：不得用 waiver 掩盖红灯；ENGINEERING_SPEC.md §8：检查项须可复跑|命令：python3 解析 问题扫描/账本/FIX_LEDGER.csv（encoding=utf-8-sig）；对 9 个提交逐一 git log -1 与在账本文本中计数；输出：rows=785，fix_commit 非空 22 行，commit 集={07eb229b,0e061182,adaeb531,c3452d48,dce8abd4,fbfcfac0}；与 35c85f53/8dc0220e/b858b76d/80c32b19/b0353303/23a7f665/6d74046d/bd4bc23b/c1959436 九提交交集为空（b858b76d、6d74046d 仅在非 fix_commit 文本列出现）|OPEN|GOV-001|无|改生产代码的九个提交仍全部无账（fix_commit 留空、regression_test 留空），账本机制自身的失效面未闭合
