task_id,phase,title,dependencies,gate,status,evidence_dir
P09-001,P09,冻结v1.1事实基线并建立v1.2证据,,G9,DONE,evidence/P09-001
P09-002,P09,确认共享检测主线与统一命名,P09-001,G9,DONE,evidence/P09-002
P09-003,P09,冻结测光失败帧与浏览器性能基线数据,P09-001,G9,DONE,evidence/P09-003
P10-001,P10,读取全部TestData子目录说明文档,P09-001,G10,DONE,evidence/P10-001
P10-002,P10,建立T1-T4设备档案,P10-001,G10,DONE,evidence/P10-002
P10-003,P10,盘点全部主校准帧,P10-001,G10,DONE,evidence/P10-003
P10-004,P10,冻结滤镜规范名和别名,P10-001;P10-002,G10,DONE,evidence/P10-004
P10-005,P10,实现并验证Light到Master唯一解析,P10-002;P10-003;P10-004,G10,DONE,evidence/P10-005
P10-006,P10,T1-T4真实校准代表帧验证,P10-005,G10,DONE,evidence/P10-006
P11-001,P11,冻结内部/图像/FITS/WCS坐标约定,P09-002,G11,DONE,evidence/P11-001
P11-002,P11,建立标准WCS真实星对闭环诊断工具,P11-001;P09-003,G11,DONE,evidence/P11-002
P11-003,P11,在T1-T4代表帧复现WCS闭环缺陷,P11-002,G11,DONE,evidence/P11-003
P11-004,P11,修正WCS验证Gate并完成生产端裁决,P11-003,G11,DONE,evidence/P11-004
P11-005,P11,PlateSolve 710全量回归与权威星对WCS Gate,P11-004,G11,DONE,evidence/P11-005
P11-006,P11,更新坐标契约、CLI capabilities、provenance,P11-005,G11,DONE,evidence/P11-006
P12-001,P12,增加Photometric分阶段诊断,P11-006,G12,DONE,evidence/P12-001
P12-002,P12,修复Gaia到PSF空间匹配与唯一配对,P12-001,G12,DONE,evidence/P12-002
P12-003,P12,验证光谱积分与响应曲线无回归,P12-001,G12,DONE,evidence/P12-003
P12-004,P12,T1-T4与滤镜类别测光矩阵验证,P12-002;P12-003;P10-006,G12,DONE,evidence/P12-004
P12-005,P12,修复SNR模型与HISS持久化,P12-004;P11-006,G12,DONE,evidence/P12-005
P12-006,P12,生成Stage1代表矩阵正式HISS,P12-005,G12,DONE,evidence/P12-006
