finding_id,severity,category,detail,evidence_ref
F-001,high,doc_index_drift,"DOC-INDEX FAIL: docs/architecture/cpu/CPU_003_AVX2_PROVIDER.md 未被 DOCUMENT_INDEX.yaml 覆盖（docs_fully_covered 1 项未过）","logs/d01.log"
F-002,high,constraints_sha_stale,"ENG-CONSTRAINTS FAIL: AstroCS_ENGINEERING_CONSTRAINTS.md 头部 source_main_sha=c1696156583c68c9a3a65287639c726937e9f6e7 != 当前 main b4f923ccbcde51e1a9112aba04815351169091c7（负责人冻结文件修订滞后，在途）","logs/d03.log"
F-003,high,serial_hardcode,"SERIAL-HARDCODE FAIL（QA-002, 永不豁免）: lib/phase2/src/upm.cpp:235 与 sampler.cpp workers=1 硬编码","logs/t24.log"
F-004,medium,serial_heavy_gate,"NO-SERIAL-HEAVY FAIL: resource gate (evaluate_gate/fast_fail_first10s or 90/85 inline) 无生产调用方","logs/q06.log"
F-005,medium,checker_bug,"THREAD-BUDGET 误报: lib/core/src/executor.cpp:18 注释行（// scheduler 不再自建...）被当作未登记 std::thread；检查器需跳过注释行","logs/t29.log; logs/unittest_arch.log"
F-006,medium,stale_test_expectation,"UT-VERSION 2 failures: test_version_consistency.py 调 tools/check_version_consistency.py 且硬编码期望 0.10.0-alpha.2；当前 VERSION=0.11.0-alpha.2；且 ci/check_version.py（g04）已 PASS，旧检查器口径未迁移","logs/unittest_version.log; logs/g04.log"
F-007,medium,generator_nondeterministic,"UT-ARCH test_05_regeneration_idempotent FAIL: build_production_execution_inventory.py 两次生成逐字节不一致（8049/51926 vs 8049/58137 chars 差异）","logs/unittest_arch.log"
F-008,medium,gov_markers_missing,"AGENTS-GOV FAIL: main-only/amd64/节点/cpu-only/单入口/资源门禁/无硬编码/alpha发布/状态 等 8 个 GOV 标记缺失","logs/t02.log"
F-009,medium,side_effect_script,"3 个脚本存在越权/意外写已跟踪文件行为: known_failures_baseline.py 默认覆盖 evidence/v6_1_rework/.../KNOWN_FAILURES_BASELINE.json；docs_machine_consistency.py 无视 --help 覆盖 reports/v19r3/.../docs_consistency.json；tests/arch/test_inventory.py 重写 docs/architecture/PRODUCTION_EXECUTION_INVENTORY.csv。均已 git show HEAD 回写恢复 clean","commands.jsonl INCIDENT-*; logs/q13.log; logs/w04.log; logs/unittest_arch.log"
F-010,info,seed_vs_actual,"seed 4 项命令参数与实际不符: check_traceability/check_pipeline_graph/check_serial_heavy 无 --strict；check_prod_reachability 无 --forbid；ci/check_version.py 必填 --expected。checks.json 已按实测对齐","logs/q04.log; logs/q05.log; logs/batch2"
F-011,info,seed_executors_missing,"seed 5 项执行器/入口不存在: ci/run_synthetic.py、ci/build_test.py、ci/run_deep.py、fatduck verify-publish.exe（runner 本机）；且 --preset linux-ci-gcc 不在 CMakePresets.json（实际 base-msvc/win-msvc-17.14.39-x64/linux-control）。未登记，留 V8-CI-002+ 按契约入册","logs (ls 输出); CMakePresets.json"
F-012,info,missing_init_py,"tests/{abi,artifact,contracts,io,quality} 缺 __init__.py → 根级 unittest discover 报 'Start directory is not importable'；registry 命令统一目录式 discover","logs/unittest_abi.log; logs/u01-u04"
F-013,info,missing_input_docs,"4 个 V 期检查器引用文档已不存在: docs/review/RELEASE_STATUS.md（check_final_traceability、check_release_consistency）、docs/refactor/P1_SYMBOL_MAP.md、docs/refactor/P2_SYMBOL_MAP.md → ENV_FAIL；docs/review/* 亦致 DOC-L0 FAIL","logs/t11.log; logs/t13.log; logs/t17.log; logs/t18.log; logs/t21.log"
F-014,info,no_workflows,".github/ 目录不存在，仓库无任何 workflow；hosted CI 编排由后续 V8-CI 任务创建（本任务仅交付注册表与 impact_map）","git ls-files .github = 空"
F-015,info,superseded_checker,"tools/check_version_consistency.py（V18 期）对 docs/archive/history 命名空间误报 71 项（t27 FAIL）；已被 ci/check_version.py + check_version_namespaces.py（均 PASS）取代，未入 registry 以免与永不豁免的版本一致性门冲突","logs/t27.log; logs/g04.log; logs/d02.log"
F-016,info,evidence_schema,"TASK-RESULT-SCHEMA FAIL: evidence/v6_1_rework 中 1 个 TASK_RESULT.json status 非法（bad status）","logs/q08.log"
F-017,info,monitor_csv_schema_drift,"verify_monitor_csv.py 对 V6.1 期样例 CSV FAIL：header 缺新字段（elapsed_seconds/stage/cpu_pct...）；监控 CSV schema 已演进，旧样例未迁移","logs/q10.log"
F-018,info,heavy_classification,"UT-QUALITY（tests/quality，test_linux_release 全量打包）30s 超时 → 登记 heavy=true requires_monitor=true timeout=1800，hosted 执行","logs/u05.log"
F-019,info,ci_meta_inflight,"WORKSPACE-ADOPTION/RECONCILE-STATE 当前 FAIL 系 V8.1 接管在途漂移（REMOTE_RELATION 记录 a4fdee3f、state 195 vs 台账 191、commit ledger 1522 vs git 1526）；登记 waivable，随 V8.1 任务闭合自动转 PASS","logs/g01.log; logs/g02.log"
F-020,info,inventory_counts,"盘点覆盖：60 个 check_*/verify_* 检查器脚本（tools 29+quality 12+contracts 11+doccheck 3+monitoring 2+arch 1+traceability 1+testkit 1）+ ci 4 验收脚本；实测 66 项入口、静态登记 3 项（写 reports/）、6 项补漏（api_doc_consistency/config_consistency/docs_machine/no_legacy/science_contract_lint/validate_cpu_profile）","commands.jsonl (85+ 实测记录)"
