ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
M2a-C-13|C_DOC_CODE_GAP|P2|旧宪章 §11（稳定状态码、边界行为可预期）；旧宪章 §14.4（最小充分校验）；API-GAIA-001 家族一致错误语义|ENGINEERING_SPEC §8：检查器覆盖至少含「API 文档与 AST 一致、删除/重命名无悬空引用、活动文档无陈旧版本号/历史状态冒充」；ASTROCS_DESIGN §0：本文与其他文档冲突以本文为准，Agent 无权放宽或重新解释|命令：grep -n -A6 "^int gaia_client_get_spectrum_params" lib/gaia_xpsd_client/src/gaia_client.c；输出：2684:int gaia_client_get_spectrum_params(GaiaClient *client, int *out_start_nm, int *out_step_nm, int *out_count) {；2685:    for (int i = 0; i < client->file_count; i++) {（无 if (!client) 守卫）；同族守卫 grep -n "if (!client)" 得 1951/2025/2252/2257/2262/2274|OPEN|MOD-001|无|契约面 GAIA_QUERY.md:189 与 lib/gaia_xpsd_client/README.md:71 仍把该符号列为 inspect 可调用项且未声明「句柄不得为 NULL」；修法二选一（补守卫或登记前置条件）。
M2a-C-14|C_DOC_CODE_GAP|P2|旧宪章 §12.3-5（AST/schema 与执行形态一致）；旧宪章 §4.3；DATA-002/DATA-001 合同自述|ENGINEERING_SPEC §8：检查器覆盖至少含「端口引用有效 DATA 合同、核心合同有独立测试、API 文档与 AST 一致」；ENGINEERING_SPEC §4 第 7 项：模块输入/输出端口引用有效 DATA 合同（contracts/schemas/ 唯一事实源）|命令：grep -n -A4 '"storage_uri"' contracts/data/phase_product_exchange.schema.json contracts/data/artifact_manifest.schema.json；输出：phase_product_exchange.schema.json:54 "storage_uri": { "type": "string", "minLength": 1 }（无 pattern/maxLength）；artifact_manifest.schema.json:53 有 URI 形态 pattern（file/https 或 scheme:opaque，禁裸路径）且 :55 maxLength 1024；两文件头自述「与本文档一一对应，须同步修改」|OPEN|DATA-001|无|另两处分叉仍在：_TYPE_ID_RE 字面两处独立维护（artifact_manifest_validator.py:40 与 phase_product_exchange_validator.py:54）；min_planes 仅存在于执行形态 phase_product_exchange_validator.py:267，两份 schema 零命中；artifact_manifest_validator.py:72 _is_nonneg_int 未实现 schema:71 的 maximum 9223372036854775807。
M2b-C-05|C_DOC_CODE_GAP|P2|旧宪章 §7.3（科学=算法=接口=代码=测试 的 ID 同构）；旧宪章 §12.3-3（交叉引用可定位）|ENGINEERING_SPEC §8：检查器覆盖至少含「算法引用有效 SCI/ALG、删除/重命名无悬空引用、活动文档无陈旧版本号/历史状态冒充」；ASTROCS_DESIGN §0 权威链（docs/algorithms 为算法推导权威）|命令：grep -n "ALG-HIPS-00" lib/hips/include/astrocs/hips/types.h docs/algorithms/HIPS_WRITER.md；输出：types.h:35 「002..005 同链 (ALG-HIPS-002 variance/ivar, 003 hierarchy 聚合, 004 MOC/UNIQ, 005 SNR Catalogue)」；HIPS_WRITER.md:21-23 与 :55/:97/:122/:156 §2=叶级 tile 信号/支撑归一、§3=方差/逆方差、§4=hierarchy 聚合、§5=MOC/properties/SNR/manifest 收尾（整体错位一格）|OPEN|MOD-001|无|路径锚漂移：原写 lib/hips/types.h，现树实为 lib/hips/include/astrocs/hips/types.h（错位注释仍在 :33-36）；头文件另把 manifest 与 SNR 拆为独立 ID，ALG 侧二者是 005 的 (5c)/(5d)。
M2b-C-06|C_DOC_CODE_GAP|P2|旧宪章 §12.2（注释纪律）；旧宪章 §12.3-9（引用存在性）；ALG-HIPS-001 §9 I8 与 (5d) 字段集|docs/algorithms/HIPS_WRITER.md §9 不变量 I8「manifest 计数字段=实际文件数」（:289-290）与 (5d) manifest 字段清单（:211-213）；ENGINEERING_SPEC §2：注释只写单位/数学原因/前后置条件/所有权/边界条件等，禁止审计流水与代码复述|命令：awk 'NR>=1504 && NR<=1518' lib/astro_image_io/src/hips/aio_hips_writer.cpp；输出：1504 "  \"nrej_tiles\": %zu,\n" 与 1505 "  \"nused_tiles\": %zu"，实参为 (size_t)(ps->flags & AIO_HIPS_PRODUCT_NREJ ? ps->leaf_ipix_list.size() : 0)（只看 flag，取叶级 tile 总数）；同文件 :1484 products 清单判据为 if ((ps->flags & p.flag) && p.present)|OPEN|AIO-001|无|docs/algorithms/HIPS_WRITER.md 全文 0 命中 nrej_tiles/nused_tiles，两键未登记于 (5d)；reader :1754 注释「nrej_tiles/nused_tiles 计数键混淆」仍在，说明已知未订正。
M2b-C-07|C_DOC_CODE_GAP|P2|旧宪章 §12.3-9/-10（文档声明须与当前树一致、不得以历史实测冒充当前）；旧宪章 §12.2|ENGINEERING_SPEC §8：检查器覆盖至少含「活动文档无陈旧版本号/历史状态冒充」；ENGINEERING_SPEC §2：注释只写单位/数学原因/前后置条件等，禁止堆积历史版本号与审计流水|命令：grep -n "17 码" docs/standards/STANDARDS_REGISTRY.md；wc -l lib/phase3_session/p3_wcs.cpp；输出：STANDARDS_REGISTRY.md:224 「无（ACS_FIO_ERR_* 17 码，含 TRUNCATED/BAD_HEADER/UNSUPPORTED）」，而 fits_stream_v1.h:50/:63/:64 实测 OK=0、ERR_DISKFULL=13、STATUS_COUNT=14（错误码实为 13 个）；p3_wcs.cpp 实测 230 行，而 PHASE3_PROJ_IMPL.md:12 与 :51 仍写「165 行」|OPEN|DOC-001|无|半数判据所在 docs/standards/STANDARDS_REGISTRY.md 已非权威链文档（旧冻结注册表），故该半只按「活动文档事实性断言失真」计；另半数 docs/algorithms/PHASE3_PROJ_IMPL.md 在链上，「以实测 2026-09-11 口吻写死行数」照最新权威仍是偏差。
M3-C-013|C_DOC_CODE_GAP|P2|旧宪章 §12.3-1（接口文档陈述须逐符号命中）；旧宪章 §14.4（返回码是唯一机器可读错误通道）；旧宪章 §11|ENGINEERING_SPEC §8：检查器覆盖至少含「API 文档与 AST 一致、活动文档无陈旧版本号/历史状态冒充」；ASTROCS_DESIGN §11.3：状态阶梯为唯一口径，负向状态如实标注，不得用文档声明冒充|命令：awk 'NR>=98 && NR<=105' lib/photometric_calib/cpp/include/photometric_calib.h；awk 'NR>=38 && NR<=177' lib/photometric_calib/cpp/src/pc_api.cpp（配 grep -c "return -3"）；输出：头 :102 「-3: 无Gaia星/PSF星(退化scale=1.0)」；pc_calibrate_simple 函数体 38-177 内 return -3 计数 = 0；退化分支实为 *out_scale_factor = 1.0 后 return 0（:92 与 :105）|OPEN|DOC-001|无|-3 全仓仅出现在 _with_gaia 的星表拉取失败分支（pc_api.cpp:272），语义与头合同不同；同条件两处不同码仍在（尺寸无效在 simple 返回 -2（:78）、在 _with_gaia 返回 -1（:213））。
M3-C-014|C_DOC_CODE_GAP|P2|旧宪章 §12.3-1（活动文档对代码状态的事实性陈述须逐符号命中）；旧宪章 §11|ENGINEERING_SPEC §8：检查器覆盖至少含「API 文档与 AST 一致、活动文档无历史状态冒充」；ENGINEERING_SPEC §10：一个进程只有一个资源调度器与线程预算源，模块不得硬编码 workers，CPU-heavy 必须多线程|命令：grep -n pragma lib/calibration/src/master_generator.cpp lib/calibration/src/cosmetic_corrector.cpp；grep -c reduction lib/calibration/src/cosmetic_corrector.cpp；输出：master_generator.cpp 仅 :91 与 :282 有 pragma（步骤1 区间 193-246 内 0 个，与 CALIBRATION_ALGORITHMS.md:81「步骤1（每帧 n，OpenMP parallel for）」相反）；cosmetic_corrector.cpp 仅 :107/:128/:149/:164 有 pragma，合并+计数段 :252-256 串行且全文 reduction 计数 = 0，与 COSMETIC_ALGORITHMS.md:136-143 的「omp 并行」「reduction(+:hot,cold)」相反|OPEN|DOC-001|无|ALG 给步骤1 的锚区间已由原 [194-225] 漂到 [196-246]，但本条不以行号立论、以 pragma 缺失立论；两处 ALG 行文均把未并行段写成已并行。
M4-C-08|C_DOC_CODE_GAP|P2|ALG-P2-UPM-IMPL §10 rc 语义表；旧宪章 §7.3（显式错误禁止静默降级）|docs/algorithms/PHASE2_UPM_IMPL.md §10 rc 语义表（:305-311）：build rc=2「production 缺 control_ivar（raw_weight rc=2 传播；显式科学错误禁静默降级）」、p2_upm_calibrate_block「参数 null 或未知 frame_id」；ENGINEERING_SPEC §9：错误通过统一状态码+结构化诊断传播|命令：awk 'NR>=1332 && NR<=1337' lib/phase2/src/upm.cpp；输出：1336:        if (p2_upm_raw_weight(&obs[i], cfg, &raw[i]) != 0) return 1;（raw_weight 的 rc=2 被塌缩为 1；build 面 :529 与 :546 用 const int rc 原样传播）|OPEN|P2-002|无|calibrate_block（:1243-1250）只检 model/input_signal/output_signal 三个指针，leaf_ipix 未判空即在 :1258 解引用（count>0 时 UB），§10 表却承诺「参数 null 返回 rc=1」。
M4-C-09|C_DOC_CODE_GAP|P2|旧宪章 §7.3（显式错误禁止静默降级）；旧宪章 §12.3-3（交叉引用可定位）；ALG-P2-UPM-IMPL §10|docs/algorithms/PHASE2_UPM_IMPL.md §10 边界与错误 rc 语义表（:300-311）；ENGINEERING_SPEC §8：检查器覆盖至少含「删除/重命名无悬空引用、API 文档与 AST 一致」|命令：grep -rn "ERR-P2-UPM-001" docs/architecture/ERROR_MODEL.md docs/science/PHASE2_UPM.md lib/phase2/src/upm.cpp；输出：ERROR_MODEL.md:53 「ERR-P2-UPM-001 见 lib/phase2/src/upm.cpp:~890 frames 唯一/类型/C 行数校验」；PHASE2_UPM.md:89 同一 ID 锚 aio_upm.cpp；lib/phase2/src/upm.cpp 内 ERR-P2-UPM-001 与 NO_DATA 两字面量 0 命中，真实 frames 唯一性校验在 :1069-1081（:890 属 model_hash 序列化区）|OPEN|P2-001|无|第二半仍在：AIO 容器接受 astrocs-upm-v1 与 v2（aio_upm.cpp:75-76 与 :132-133），而 p2_upm_open 仅接受 v2（upm.cpp:1029），接受面不对称未在 ALG §10/§15 登记。
M6a-C-004|C_DOC_CODE_GAP|P2|旧宪章 §5.3（HiPS 仅 NESTED 语义冻结）；旧宪章 §12.3-1（词表/注释与实现一致）；旧宪章 §14.3（同一合同不得两处不同缺省）|ENGINEERING_SPEC §3 第 4 条：数据对象按 docs/design/UNIFIED_MODEL.md 区分，禁止一个字段承载多个含义；ENGINEERING_SPEC §4 第 3/4 项：每模块必备版本化公开头文件与单一 entrypoint，配置默认值须与合同一致|命令：grep -n "DRZ_CFG_KEY_NESTED" lib/drizzle/include/astrocs/drizzle/types.h lib/drizzle/src/module_entry.cpp；grep -n "HISS requires NESTED" lib/healpix_db/healpix_drizzle/drizzle_engine.cpp；输出：types.h:55 #define DRZ_CFG_KEY_NESTED "nested" /* 0=RING 1=NESTED */；module_entry.cpp:417-418 c->nested = (found && nested != 0.0) ? 1 : 0（缺键即 0）；drizzle_engine.cpp:768-769 与 :893、:1665 对 !config.nested 硬拒|OPEN|P1-001|无|README 面已订正（lib/drizzle/README.md:52「nested（仅 1=NESTED，0=RING 硬拒绝）」），残余只在 DLL 词表注释与缺省值；后果为 fail-closed 产品不可达而非错值。注：docs/plugins/algorithms_phase1/08_drizzle.md 全文 0 命中 nested，故不作为本条权威。
