requirement_id,requirement,tasks
REQ-001,CLI 使用真实输入完成 Stage1,P03-001;P03-002;P05-001;P05-003
REQ-002,CLI 使用真实 HISS 完成 Stage2,P06-001;P06-002;P06-003
REQ-003,Orchestrator 是唯一编排入口,P01-003;P04-002
REQ-004,每帧星点检测只执行一次,P02-004;P02-007
REQ-005,PLATESOLVE 与 PSF 使用同一次检测结果,P02-004;P02-007
REQ-006,PSF 直接消费 float32 图像,P02-005;P02-007
REQ-007,共享 detections 路径仅在全量 PlateSolve TestData 无退化时启用,P02-001;P02-003;P02-007
REQ-008,候选路径退化时保留原 PlateSolve 数据路径并导出内部 detections,P02-003;P02-004;P02-007
REQ-009,真实 Master 被加载且可追踪,P03-001;P05-001
REQ-010,CLI 参数真正到达算法,P03-002;P04-003
REQ-011,stdout 为稳定机器协议,P04-001;P04-002;P04-004
REQ-012,HISS 保存 SNR 和 provenance,P05-002;P05-003
REQ-013,Stage2 使用真实 SNR² 权重,P06-001;P06-003
REQ-014,所有阻塞操作有超时,P03-003;P04-004;P07-002
REQ-015,输出原子写入且可恢复,P03-003;P05-003;P06-003
