relative_path,category,identical_across_budgets,normalized_identical,sha256_b1,sha256_b4,sha256_b16
alloc_report.json,run_scoped,False,False,f7e8915b1e7fe84c4493ade9d3acfdea9994f23e5411a7bf2fc5392501a96354,ca3e44140e0060c3cdedb086cc599b320779464f67d4b04d738da8171a0c625a,e069f41e7b1e8683b141b0764e2313fbafd1ddf72ebc5e658ecb2b37cd4be759
alloc_samples.csv,run_scoped,False,False,bf8ed9ff274bf73f8baee029b134fb3ebbe67dcc0c7df8fab8029fbaa6af2055,a93fd89e4b1afe00d08eb9cc57088cbddbadbbfea8e3c49981a904c40c475587,b7552749e89ef305d38df4935c968e71897bc0b90d22246fc692c575148c7599
astrocs_run_3e700a0f5695.json,run_scoped,False,False,ac759b794280a7424e8755cc2c5fb56af9ff55730b0c9b09700ff71ee192f278,,
astrocs_run_3e7037376b5c.json,run_scoped,False,False,,6d283f176741f13e1c1db4d98acdd4da9f643a21f9887abc7b4c764fbebd12d5,
astrocs_run_3e7064260cee.json,run_scoped,False,False,,,a0ae7260cdd17170501a0f57cdd00b24d87fa1a069d129a68bddc3b1350232a9
graph/graph_sidecar.json,run_scoped,False,False,d97558e0fd3882cac4efa3d93c926dfe6b5d4464de1edd68c08baa4f3dc4bcdd,c4eb2e84d3183dd299a679604f036b6432fe025f4333d40f337c881d40cc6d5d,0a0ad119f73245d5190e73bc7915702993daa51cb3e14bea3b8601bcb3af9c18
graph/l0_graph.dot,run_scoped,False,False,d9c46b2e1e319b7d74688223a16f48d938042db652bfc3a5cd4233563011139a,1fd57e93569cab0a70456732d5a3552921bb5241404471068d82d4b77bae0223,e3e225351ac95dc1866201b6eb56d3c108f5eada9c6f59ad91a40a236f19500f
graph/l0_graph.json,run_scoped,True,True,1a2d93b097dfa20deeabf89b2058f76b26616148a948416e35784f4bfaac5966,1a2d93b097dfa20deeabf89b2058f76b26616148a948416e35784f4bfaac5966,1a2d93b097dfa20deeabf89b2058f76b26616148a948416e35784f4bfaac5966
graph/observed_graph.dot,run_scoped,False,False,6dc2077aa588c2cb222c3e1fb436d2627c62690286c15a6086fdacd2f6a2c947,edc70c0663fbd91eaee1a3590734e70e5fd8f08d4619bead447c33659742a6bb,67112aeb207bddd0430731ecef2267081ce62a696ae887eb033ba5d59a07f977
graph/observed_graph.svg,run_scoped,True,True,271f334be715584c9cf67456eb904365442e72932cd08ea94d8106bf0f75c810,271f334be715584c9cf67456eb904365442e72932cd08ea94d8106bf0f75c810,271f334be715584c9cf67456eb904365442e72932cd08ea94d8106bf0f75c810
graph/observed_trace.json,run_scoped,False,False,9d7ac591c3c2a725bdc075741fc3018a13a3546ddba54a89783040679a4effac,f5d27c3174656a2c77c4a6aec9cc4dd82dcd419a55787f29a2a401be3e9145b3,085e09afa84354836ee87121aae2649f758f192c58aa450e91943b587a7cda11
graph/static_graph.dot,run_scoped,True,True,cdf607f2ad0eb94b4267d7cacc02511255dce337e842ebd6169611db415c52c2,cdf607f2ad0eb94b4267d7cacc02511255dce337e842ebd6169611db415c52c2,cdf607f2ad0eb94b4267d7cacc02511255dce337e842ebd6169611db415c52c2
graph/static_graph.json,run_scoped,False,True,7dcf979e5b3bf580f4b4074a75f7f46be1a10bcb51239bc76a3a6758cfe6006a,2ac4c3dbc406c2ea120312175e3f2179ee9baf7399b487d378f3adbab1c102e4,12835b6f7988616ae445217381f51c5293a5af2e9536c28d2d13ecc6afda3790
graph/static_graph.svg,run_scoped,True,True,271f334be715584c9cf67456eb904365442e72932cd08ea94d8106bf0f75c810,271f334be715584c9cf67456eb904365442e72932cd08ea94d8106bf0f75c810,271f334be715584c9cf67456eb904365442e72932cd08ea94d8106bf0f75c810
output_phase3.fits,science_product,False,True,4a873912aedc65cc51d9736524ff1231e338f1ee60119ce963610f9083c7094a,6dbc1cb0c2859646a7c734ad751d4ace897d1bec98b59a075e6ca16403d31eb1,3c50512a970ae4c4e83c9a2dbfa7eef17fdaac039aaad196e6d8f26a27744a81
p3_props.json,science_product,True,True,4cf5f8ede8f2666bc7084b34dfa3215a460efbec38ea226b10dd6863dbe7378e,4cf5f8ede8f2666bc7084b34dfa3215a460efbec38ea226b10dd6863dbe7378e,4cf5f8ede8f2666bc7084b34dfa3215a460efbec38ea226b10dd6863dbe7378e
p3_resampled.bin,science_product,True,True,7d549dc083c6153bd7b2bd50f6fee1c0ae84c72d7c074b99aa56429aeb491060,7d549dc083c6153bd7b2bd50f6fee1c0ae84c72d7c074b99aa56429aeb491060,7d549dc083c6153bd7b2bd50f6fee1c0ae84c72d7c074b99aa56429aeb491060
p3_resampled.json,science_product,True,True,120fb66767853543d3293c055d70c22571bcbc16ef97408f43184e7f8add7c16,120fb66767853543d3293c055d70c22571bcbc16ef97408f43184e7f8add7c16,120fb66767853543d3293c055d70c22571bcbc16ef97408f43184e7f8add7c16
p3_verify.json,science_product,False,True,072f5bdb093083da9ccc970a76404a8d86db38e54716fdab00b4f4559aa2e885,bbfba9f78a1fddd9c00cfe1b7aa9fdc7e276594747f8003d17968b28a9bcd007,87909643c20d1c8db010597f84ccedfe2e26d2dd196ee7c14d83b6cf7643e642
p3_wcs.json,science_product,True,True,e422ba16f644b1e37febeee9bdef92feb01a7f7c97fe05473899d691d67c3cf8,e422ba16f644b1e37febeee9bdef92feb01a7f7c97fe05473899d691d67c3cf8,e422ba16f644b1e37febeee9bdef92feb01a7f7c97fe05473899d691d67c3cf8
p3_writer.json,science_product,False,True,db598a06c8f0af856e548c05525fbcbf0da603ccb021d71bc18fb1aba652b89b,bcc53f0d3b9e705294fce16038c059a718fad33dbb484f3af2dc7f6b75b12649,652ed6ff87c764b85b28743df9bd3b11f8708738c5e1836eeccb2e62949ed25d
resource_samples.csv,run_scoped,False,False,56c5e327a6084934471424d590e8316eef5fcc25afa7f64714e22a9d0d5d3aa9,2933d59e5c708b7d3dbd280a968da21006e55691b00b6325b849cf8bde184981,c2f06204bc9224edc23f58b4b3588e86148dcde7759b28bbf7f8d7f480d2e30c
resource_summary.json,run_scoped,False,False,e2238d066e496d1801a0458df4df262b28c90567ad6e41682c5ef80515cc79ef,452a59a017317c704c48deda00f9a8ae3b374806176fbdaaaeabb95c8dbedb11,51c46566e6e32e44d1250487fc150f09285a1246b87ddcbd8ca344455fb72117
run.log,run_scoped,False,False,c41b2a1efa3a8b651d9c567c0311db0cb9710ade43ddc78360481df55eceef18,85609b080fc5d1e52145c33341d30f861406dce848ca4f08ee5cb12e2b2c0cdb,a93273ca94798b259d1f5cb92148f1453d3cc8e9361ef16d054f6a5fbe030f28
run_cfg.json,run_scoped,False,True,e11fd0c064b6982c1b12fc3f92fdfb32b797524a73d27b9c6a2e6aa0249cd985,2bb672d50ceece0c4485b0c7ba518a56cc099f198848f622a73494a323a06efb,9ebc2ddc6d1f0196cf262683a6031e8931ce934b2fea6ed7fbbe11bfa337fa29
run_context.json,run_scoped,False,True,e09d36b7545a4acc4ac9d1689b095a3a182fcb1f7bce32cd37d992fa79bc0dc2,7efaec2c5187e49efcfffa315d74a4344b8a6002f3137fe57fee07b8724729e2,41f12b7fe62ba7141aa374dfee0415170f96f92d933c746be86917850beadc80
worker_balance.csv,run_scoped,False,False,f405e35b4f8cf3c34df6121408fd739cabf789faf33ad90df23a5d57c368286f,3b2b62c23378966c6f78b9bd379cf5c7ec74fdc17627a058daab92e9e80ffae7,d7a2b6d9113fadccc457f7f4d243308e8071438ea56f0e695bd3f95c3290d044
