task_id,gate,title,depends_on,platform,change_class,heavy_compute,commit_required,scope,acceptance,status
R0-001,G0,冻结当前main身份,,Linux,governance,no,yes,fetch; HEAD/main/origin; ancestor; dirty tree,三SHA相同; b16d422是祖先; 无未知修改; SOURCE_IDENTITY.json,PASS
R0-002,G0,生成完整自有源码清单,R0-001,Linux,audit,no,yes,CMake/source/header/docs/scripts inventory,所有生产target引用存在; 第三方单列; SOURCE_INDEX.csv,PASS
R0-003,G0,建立V6.1证据与台账,R0-002,Linux,governance,no,yes,copy immutable ledger; result schema; evidence dirs,台账hash冻结; 状态机validator PASS; 不覆盖旧证据,PASS
R0-004,G0,复现并冻结40项已知问题,R0-003,Linux,audit,no,yes,known_failure_scan; manual probes,F-001..040逐项REPRODUCED/NOT_REPRODUCED有证据; 禁提前关闭,PASS
GOV-001,G1,修复任务证据与commit绑定,R0-004,Linux,governance,no,yes,TASK_RESULT/COMMITS semantics,parent/result commit不混; 打包期可验证每任务commit/push,PASS
GOV-002,G1,修复gate和依赖状态机,GOV-001,Linux,governance,no,yes,dependency validator; release states,非法状态/依赖先过后消失; negative fixtures PASS,PASS
VER-001,G1,版本推进为0.10.0-alpha.2,GOV-002,Linux,release,no,yes,VERSION single source,CLI/header/docs/package均派生; 无源码旧版本字面量,PASS
CHK-001,G1,建立生产可达调用图检查器,GOV-002,Linux,quality,no,yes,compile_commands; AST/call/link reachability,能识别CLI直连session/Drizzle和dead Runtime; negative fixture,PASS
CHK-002,G1,建立非空静态图运行图检查器,CHK-001,Linux,quality,no,yes,IR/static/observed graph compare,无trace必FAIL; node edge port artifact version backend worker全比,PASS
CHK-003,G1,建立serial-heavy与资源接线检查器,CHK-002,Linux,quality,no,yes,production reachability; compile defs; gate callers,能抓P2宏关闭/P3双循环/gate无caller; negative fixtures,PASS
RT-001,G2,冻结Runtime与模块公共合同,CHK-003,Linux,architecture,no,yes,Runtime API; module executor; ports; lifecycle,SCI/ALG/DATA/API/TEST字段完整; ABI/ownership/thread-safety明确,PASS
RT-002,G2,实现全局原子ThreadBudget租约,RT-001,Linux,architecture,yes,yes,reserve/release; quota; nested work,并发节点总worker不超budget; RAII释放; fault/cancel测试,PASS
RT-003,G2,实现并发安全RunContext,RT-002,Linux,architecture,yes,yes,log/metric/artifact/checkpoint/cancel,TSan targeted无race; artifact重复写确定性失败,PASS
RT-004,G2,实现schema驱动PipelineIR解析校验,RT-001,Linux,architecture,no,yes,JSON schema; DAG; ports units coordinates,错误枚举全可触发; malformed/unknown/unit/cycle负测,PASS
RT-005,G2,实现可执行ModuleRegistry,RT-004,Linux,architecture,no,yes,descriptor; factory; plan; execute; inspect,production modules可注册/创建/执行; duplicate/mismatch拒绝,PASS
RT-006,G2,实现唯一Runtime调度器,RT-002;RT-003;RT-005,Linux,architecture,yes,yes,DAG scheduling; lease executor; backpressure,独立node并发; nested不超卖; fail/cancel/checkpoint正确,PASS
RT-007,G2,实现类型化ArtifactStore与跨阶段绑定,RT-004;RT-005,Linux,architecture,no,yes,artifact ID/hash/schema/unit/provenance,producer-consumer严格匹配; 禁路径猜测; tamper负测,PASS
RT-008,G2,将CLI接入唯一Runtime,RT-006;RT-007,Linux,architecture,yes,yes,thin handlers; presets; runtime public API,CLI无session/科学/I/O内部include或直接调用; 1->2->3真实Artifact链,PASS
RT-009,G2,生成真实静态与observed运行图,RT-008;CHK-002,Linux,documentation,yes,yes,DOT/JSON/SVG; trace sidecar,图由同IR和trace派生; hash/source commit齐; 无敏感路径,PASS
CPU-001,G3,构建baseline AVX2 AVX512独立provider,RT-002;RT-005,Linux,performance,yes,yes,shared library targets; per-kernel registry,CLI baseline ISA; providers独立flags/manifest/selftest; unsupported不加载,PASS
CPU-002,G3,实现CPU与有效配额探测,CPU-001,Linux+Windows,performance,no,yes,CPUID/XGETBV; affinity/cgroup/Job Object,logical_available真实; feature子集准确; fallback安全,PASS
CPU-003,G3,实现真实benchmark与profile,CPU-001;CPU-002,Linux+Windows,performance,yes,yes,correctness first; memory; kernel/thread/block,3 warmup+7 measure; median/MAD; raw candidates; profile schema,PASS
CPU-004,G3,实现按kernel自适应路由,CPU-003;RT-006,Linux+Windows,performance,yes,yes,profile verify; provider fallback; lease,无profile保守baseline但多线程; stale/corrupt profile拒绝,PASS
MON-001,G3,把资源监测接入每个heavy node,RT-006;CPU-002,Linux+Windows,performance,yes,yes,samples/summary/worker balance,无需操作者额外脚本; init/active/flush分段; 开销<2%,PASS
MON-002,G3,把资源门接入生产控制流,MON-001,Linux+Windows,performance,yes,yes,first10s; final gate; exit code,低CPU且非IO/内存自动失败; 不能只emit summary,PASS
MON-003,G3,完成2核真实资源基准,MON-002;CPU-004,Linux,validation,yes,yes,>=10s synthetic heavy per kernel,active worker p50>=2; normalized CPU p50>=90 mean>=85或内存瓶颈证据,PASS
P1-001,G4,迁移Phase1到Registry和IR,RT-008;CPU-004,Linux,architecture,yes,yes,calibration/stars/wcs/phot/noise/drizzle modules,每节点标准端口; 无session手写顺序; trace与IR一致,PASS
P1-002,G4,重写Phase1生产路径合成Oracle,P1-001,Linux,science,yes,yes,calibration/star/WCS/phot/noise/drizzle,测试调用production module/CLI; 独立reference; 容差预冻结,PASS
P1-003,G4,移除CLI直连Drizzle与重复FITS解析,P1-001,Linux,architecture,yes,yes,cmd_drizzle; spawn_frame_from_fits,生产callgraph无hp_drizzle直连; wrapper仅通过preset/runtime,PASS
P1-004,G4,Phase1数值与资源联合门,P1-002;P1-003;MON-003,Linux,validation,yes,yes,heavy synthetic and artifact verify,科学Oracle+资源门同跑同commit; 2核利用达标,PASS
P2-001,G5,并行化生产Coverage与Sampler,RT-008;MON-003,Linux+Windows,architecture,yes,yes,worker-local readers; deterministic chunks,Linux/MSVC均实际N worker; Runtime lease唯一来源; 1/N等价,PASS
P2-002,G5,并行化生产UPM求解,P2-001,Linux+Windows,architecture,yes,yes,control weights; IRLS; per-frame solve; reductions,无模块hardware_concurrency; fixed merge; 2核资源门; MSVC生效,PASS
P2-003,G5,建立调用生产UPM的三块接缝Oracle,P2-002,Linux,science,yes,yes,mini HiPS; masks; stars; gradients; disconnected graph,真实p2 pipeline估计校正; before/after metrics; flux/source preserved,PASS
P2-004,G5,重建排异积分生产Oracle,P2-002,Linux,science,yes,yes,all methods; cosmic/hot/streak/stars; ivar,调用production reject/integrate; reason/frame identity/variance/support,PASS
P2-005,G5,完成block内存计划与并行I O,P2-001;RT-007,Linux,architecture,yes,yes,bounded cache; block edges; worker IO,峰值RAM受plan约束; 小块/full reference等价; no shared fitsfile,PASS
