ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
M3-A-007	A_SCI_DEF	P2	M3	问题扫描/findings/A_SCI_DEF/p2/M3_L05_L07.md	7	「幂等归一」不变量与 I3 测试隐含未声明前提，多数像素被 floor 时存在数学反例	:§7 独立不变量（幂等归一不变量）`（复核时点 :65）、`§11/§15`（:108、:134） ；`lib/calibration/src/master_generator.cpp::generate_master_flat 步骤3`（复核时点 :233-252，关键语句 :248-250 `float v = out[i] / final_med; if (v < 0.1f) v = 0.1f;`） ；`lib/calibration/tests/p1cal/p1cal_tests_core.cpp::I3 幂等归一`（复核时点 :271-290） ；`docs/algorithms/CALIBRATION_ALGORITHMS.md::TEST-CAL-DESIGN-001 I3 行`	- **幂等归一不变量**：对同一 `flat` 连续两次 `normalize_flat` 结果一致（median 已为 1.0，二次归一不变）。（SCI §7:65） / float v = out[i] / final_med;（master_generator.cpp:248） / if (v < 0.1f) v = 0.1f;（:249） / // --- I3 幂等归一: 已归一 flat (median==1) 再跑 ALG-CAL-002 语义不变 ---（p1cal_tests_core.cpp:271） / P1CAL_CHECK(cs, std::fabs(...twic	宪章 §4.1（不变量必须无例外成立或显式声明前提）、§13.2（测试必须覆盖不变量声明的边界）；SCI-CAL-001 §7/§10	OPEN	
M3-A-008	A_SCI_DEF	P2	M3	问题扫描/findings/A_SCI_DEF/p2/M3_L05_L07.md	31	SCI-NOISE 的 MAD→σ 精度断言算术为假，同一常数三套字面值且无单一权威定义点	:§9 精度策略`（复核时点 :91） ；`docs/algorithms/NOISE_ESTIMATION.md::§9 对应段`（复核时点 :96 附近同文） ；`docs/science/PHOTOMETRY.md::§5/§14`（:52 `S = MAD(r_consistent)/0.6745`、:127 「与 SCI-PHOT 的 0.6745 同源」在 NOISE_MODEL:135） ；`lib/snr_estimator/cpp/src/noise_model.cpp::robust_sigma`（:61 `return 1.482602218505602 * robust_median(dev);`） ；`lib/photometric_calib/cpp/src/star_matcher.cpp::_MAD_SCALE`（:21 `static constexpr 	- FP64 全链路；MAD 常数 `1.482602218505602`（15 位截断，与 `1.4826022185` 差 `<1e-12`）…（NOISE_MODEL.md:91） / | `σ_bg` | `1.4826022185·MAD(|x−median|)` |（NOISE_MODEL.md:17） / return 1.482602218505602 * robust_median(dev);（noise_model.cpp:61） / static constexpr double _MAD_SCALE = 0.6745;（star_matcher.cpp:21） / sk	宪章 §12.3-3（同一科学常数须有单一权威值与可机器核对的定义点）、§13.1；SCI-NOISE-001 §9/§14.2	OPEN	
M3-A-009	A_SCI_DEF	P2	M3	问题扫描/findings/A_SCI_DEF/p2/M3_L05_L07.md	59	SCI-CAL §8/§9a 用「FP32 饱和语义」描述浮点溢出，术语与 IEEE-754 行为相反且实现实为 inf/NaN 直传	:§8 极端/退化条件表 t_light/t_dark 行`（复核时点 :77）与 `§9a saturation 行`（:93） ；`lib/calibration/src/calibrator.cpp::ac::calibrate`（复核时点 :118、:122、:128-133）、`ac::calibrate_d`（:161、:165、:171-176） ；`lib/calibration/src/master_generator.cpp::generate_master_flat 步骤1`（复核时点 :193-225）	| `t_light/t_dark` 极端 | `K` 仍按比值应用，溢出由 FP32 饱和语义界定，不静默 clamp | `calibrate: k=k_init` 直通 |（SCI §8:77） / - **saturation**：FP32 饱和语义界定，不静默 clamp（§8 `t_light/t_dark` 行）。（SCI §9a:93） / float v = raw[i] - dark[i];（calibrator.cpp:118） / if (flat) v /= std::max(flat[i], 0.1f);（:122 —— 无任何溢出/饱和处理）	宪章 §5.3（校准路径精度与非合同裁剪条款）、§4.1（术语与量纲必须准确）；SCI-CAL-001 §8/§9a	OPEN	
M4-A-06	A_SCI_DEF	P2	M4	问题扫描/findings/A_SCI_DEF/p2/M4_L08_L09.md	4	SCI §4 profile 合法集与同文档 §5 及实现三方互斥；「非法⇒INVALID_CONFIGURATION」通道失实	21,35,49-50；lib/phase2/src/rejection.cpp:1039-1046；docs/algorithms/PHASE2_REJECTION.md:408-410(§6.1),:323；lib/phase2/include/astro/phase2/rejection.h:172-180	- `profile` 仅 `wbpp_2_9_1`（及 `wbpp_current` alias）合法，否则 `INVALID_CONFIGURATION`。	SCI-REJ-001 §4/§5；宪章 §1.1、§12.3-3；PHASE2_REJECTION §4.1（rc/status 正交通道）	OPEN	
M6a-A-001	A_SCI_DEF	P2	M6a	问题扫描/findings/A_SCI_DEF/p2/M6a_L13_L14.md	5	kMaxOrder=20 的注释出处与算式皆不实（ARCH-P3 §3 无 order 上界；HEALPix 叶数是 12·4ⁿ 而非 2^(2n)），并与 AIO 读取器 [0,29]、ALG 自引、会话静默降为 20 形成四处口径互斥（	:kMaxOrder`（复核时点 :23 `static constexpr int kMaxOrder = 20;   // ARCH-P3 §3 内存守卫(2^(2*20) leaf 上限之外拒)`；:13 「hips_order(必需, 0..kMaxOrder)」）与 `hips_properties.cpp`（:118-119 越界 → 拒） ；`docs/architecture/PHASE3_MODULE_ARCH.md::§3 并发与内存上界`（复核时点 :27-31：上界式只有 `M ≤ W_out·H_out·(4|8) + max_tiles·W²·(4|8) + 常数` 与 max_tiles 默认式，**全文无 order 上限、无 2^40、无叶数**） ；`docs/algorithms/PHASE3_RSMP_IMPL.md::§2`（:135「kMaxOr	（hips_properties.h:23）static constexpr int kMaxOrder = 20;   // ARCH-P3 §3 内存守卫(2^(2*20) leaf 上限之外拒) / （ARCH-P3 §3:30）内存上界(冻结): M ≤ W_out·H_out·(4|8) + max_tiles·W²·(4|8) + 常数 / （ALG-P3-RSMP §2:135）kMaxOrder=20 来自 hips_properties.h:23（ARCH-P3 §3） / （p3_session.cpp:196-197）// order select: 上限=输入实际 or	ARCH-P3-001 §3（被引作唯一出处，实测无该条款）；Górski et al. 2005 §5.1（order n 的叶数 Npix=12·4ⁿ）；宪章 §12.2（注释须给常量的真实出处）、§7.2（科学参数须有单一权威定义点）	OPEN	
M7-A-201	A_SCI_DEF	P2	M7	问题扫描/findings/A_SCI_DEF/p2/M7_A_SCI_DEF_p2.md	7	SCI-DRZ §6 用「外接圆半径 1.25」去「覆盖」一条全对角 1.532，比较对象不同阶，句子按字面为假（L19-004 **改判**：原 P1 的核心结论被本代理几何重算驳倒，仅存表述缺陷）	§6 假设`（复核时 :75，grep「覆盖赤道对角线」「1.532」「1.044」同处命中）	球面裁剪外接圆半径 `1.25·hp_res` 覆盖赤道对角线 `1.532·res` 与极区最坏 `1.044·res` + 裕量。	- 权威依据 宪章 §5.3、§12.3-1（科学定义须可复算）；Górski et al. 2005 HEALPix NESTED（赤道带每环 4·nside 颗、|z|≤2/3）	OPEN	
M7-A-202	A_SCI_DEF	P2	M7	问题扫描/findings/A_SCI_DEF/p2/M7_A_SCI_DEF_p2.md	24	SCI-DRZ 9003 例「全枚举」与所列因子奇偶/整除互斥（L19-005）	§7 零漏选不变量`（:85）、`::§11`（:115）；同句式复制进注册表 `docs/standards/STANDARDS_REGISTRY.md::D.drizzle §4 行`（:162 偏差列「无（9003 例全枚举 false_negative=0：4 pixfrac × 5 尺度 × 7 nside × …）」）			OPEN	
M7-A-203	A_SCI_DEF	P2	M7	问题扫描/findings/A_SCI_DEF/p2/M7_A_SCI_DEF_p2.md	31	SCI-NOISE 的全局兜底式 `max(vmed_or_sig², floor)` 量纲两读（ADU² vs ADU⁴）（L19-007）	§5 定义块`（:51）			OPEN	
M7-A-204	A_SCI_DEF	P2	M7	问题扫描/findings/A_SCI_DEF/p2/M7_A_SCI_DEF_p2.md	37	SCI-PHOT 的 S=0 分支「跳过 IRLS 取 median(r)」与同页 `scale=10^(−location)` 结果非 1，与 §10 声明冲突（L19-011，自 P1 档迁入）	§4 S 定义`、`::§5 S=0 分支与 scale 式`（:39/:59）、`::§10`			OPEN	
M7-A-205	A_SCI_DEF	P2	M7	问题扫描/findings/A_SCI_DEF/p2/M7_A_SCI_DEF_p2.md	43	SCI-UPM 对 k_corr 值域自相矛盾：§4 接受 0<k<1、§6 要求 k≥1，k<1 使 N_eff>N_retained（L19-015，自 P1 档迁入）	§4`（:35）、`::§6`（:71）、`::§7`（:79）			OPEN	
