"id","severity","title","object","v6_task","independent","impact","recommendation"
"B-01","BLOCKER","GitHub Linux CI 在基线 SHA 为红（§14.5 第 2 步 / §17.12 门 7 未满足）","ci/run.py linux-main; THREAD-BUDGET; CTEST-REGISTRATION","RUNTIME-CI-001 / 控制器（P36 回退归属需 owner）","true","§14.5 冻结完成顺序要求任务提交→GitHub CI 通过→真实数据终验→图像初审→Windows→汇总；CI 未过即不得宣布控制包完成。","修复 THREAD-BUDGET（P36 回退态 module_adapters.cpp）与 2 项 IPV CTEST-REGISTRATION 残项，或按 R-05/R-13 明确 waiver 归属；不得以 waiver 掩盖。"
"B-02","BLOCKER","§13.3 Linux 最终 SHA 真实数据流终验未执行（无全链产品、无 M42/银心 Phase1→Phase2 马赛克、无图像初审）","REAL-SCIENCE-001; §13.3; §17.12 门 8/9","REAL-SCIENCE-001（范围缺口）","true","REAL-SCIENCE-001 是五口径科学对比验收，不是 §13.3 要求的全 testdata/Gaia 数据流终验；§17.12 门 8/9 不满足。","在最终 SHA 执行 §13.3 全量终验（M42/银心分进程 Phase1/Phase2 + Phase3 导出）与 §13.4 图像初审，或由 owner 明确降级该门并登记。"
"B-03","BLOCKER","Windows 正式复验未完成；Windows CI 无候选，§17.12 门 7/8 未满足","WIN-VERIFY-001; Fatduck; §15.3","WIN-VERIFY-001","true","§15.3 允许标 AWAITING_WINDOWS_VALIDATION 且不阻塞 Linux，但不得据此发布；§17.12 门 7（同 SHA 双平台 CI）与门 8（Fatduck 复验）均未满足。另：Windows 证据 SHA 8f5ef3e9 ≠ 最终 SHA 46ca7573。","Fatduck 恢复后下载 CI 候选复验；同时修复 Windows CI 使候选可产出。"
"B-04","BLOCKER","V6 三 Phase 生产入口在 CLI/生产中无消费者——生产模式仅存在于库与测试","lib/phase1/v6 write_phase1_product; lib/phase2_int/v6 run_point_information/surface_gls/psfsw_robust; lib/phase3_session/p3_v6_export","P1/P2/P3-INTEGRATE-001 + RUNTIME-CI-001（接线缺口）","true","CLI 接受 --mode point_information/psfsw_robust 后静默运行 legacy 集成路径；V6 三生产模式不可从用户入口到达，属 §16.2/§14.3 禁止的『命令占位/未接线冒充完成』；C-008 #6 仅登记 Phase2 CLI obs=0，未登记 P1/P3 同缺口，范围更大。","将 V6 P1/P2/P3 入口接入 phase{1,2,3} run（或明确声明为库层交付并在 product manifest 标记三 Phase unavailable）；在接线前不得宣称三生产模式可用。"
"B-05","BLOCKER","§10.5/§17.6 资源门未达且 fail-open（16 worker CPU 均值 65.09% < 85%，p50 87.6% < 90%，内存增长 34.01 MB/s ≥ 32，全预算 alloc_reclaim_missing）","PERF-SCALE-001; SO-05","PERF-SCALE-001 / SO-05","true","§10.5 冻结门：平均≥85%、连续 10s<60% 或单线程失败、无界内存增长禁止。当前以『只记录不裁决』放行，需 owner 签字方可调整单 kernel 门；不得计入 PASS。","提交 owner 裁决（是否判失败/是否按 §10.5 例外调整）；在裁决前该门保持未满足。"
"M-01","MAJOR","8 条 OPEN 数值门未执行，49 条 PENDING 阈值被生产代码以未签字值硬门执行","docs/contracts/v6/frozen/astrocs.v6.contract-freeze.v1.json; lib/phase2_int/v6/include/astrocs/v6/phase2_integrate.h","CONTRACT-FREEZE-001 / QA-MATRIX-001 / REAL-SCIENCE-001","true","『49 PENDING/8 OPEN 保持 fail-closed』的表述只对部分面成立：OPEN 真实数据/预注册门从未执行；PENDING 数值阈值已在生产中作为硬门生效，未经 owner 签字。","逐条给出 PENDING 阈值状态（已生效/未生效/fail-closed）并交 owner 签字；对 OPEN 门执行或标记 plan-only，不得留作空白。"
"M-02","MAJOR","DOC-CONVERGE-001 在无 owner 签字下修改被本包登记为 FROZEN 的规范正文（ALG-P1-001 §4.2 concentration 单位）","docs/algorithms/v6/phase1/ALG_P1_001_PHASE1_ALGORITHM_SPEC.md; contracts/schemas/v6/astrocs.v6.psfsw.v1.schema.json","DOC-CONVERGE-001","true","宪章 §1.2：FROZEN 正文只能经负责人批准的宪章/规范变更修改；schema 自身声明该修改需签字。修改方向正确但流程越权，且与其同源冻结文档未同步。","由 owner 事后确认或单 commit 回退该 FROZEN 正文改动；同步 doc/science/v6/frozen 与 schema 的 disposition 文本。"
"M-03","MAJOR","V6 基线『F1 局部裁定』提交固化了 P33/P35/P36 回退，删除 9 项 CI 检查登记与 8 个测试目标，且缺 owner 授权","commit 393db3fb / c7432fa0 / 95703e63 / 44e1cb65 / ac04289d","控制器 / CTRL-F1（跨任务治理）","true","§14.1 要求预存修改先登记、不自动覆盖；§14.3 禁止先删除可用路径。此处分波次将预存回退固化为 V6 基线，实际降低了 CI/测试覆盖，属控制器单方裁决（CTRL-F1 待 owner），不得视为已授权。","owner 裁定是否接受 P33/P35/P36 回退；若不接受，按历史 commit 恢复被删检查与测试并重跑 CI。"
"M-04","MAJOR","QA 矩阵 W10 真实数据/预注册门未执行且 case_ledger 未更新（覆盖缺口）","reports/v6/qa-design/case_ledger.json; REAL-SCIENCE-001","QA-MATRIX-001 + REAL-SCIENCE-001","true","QA-MATRIX-001 计划由 W10 执行的真实数据门悬空，case_ledger 与 W10 交付脱节，形成『已计划未执行且无人回写』的覆盖缺口。","执行该三门或将其重排到后续 wave 并回写 case_ledger；在 FINAL-AUDIT 结论中明确其为未执行。"
"M-05","MAJOR","台账 PERF-SCALE-001 记 PASS，但其交付物 recommended_status=REVIEW_REQUIRED 且 SO-05 升级 owner","工程控制/.../TASK_LEDGER.csv; artifacts/v6/performance/PERF-SCALE-001_summary.json","PERF-SCALE-001","true","任务级 PASS 与未裁决的 §10.5 门并存，易被下游误读为科学门已过；状态语义应显式区分『任务执行 PASS』与『科学/资源门未决』。","在台账 review 列或新增列显式标注 gate 状态；owner 裁决前 PERF-SCALE-001 不得作为资源门通过证据。"
"m-01","MINOR","台账 BASE-OWN-001 证据路径与实际文件名不符","TASK_LEDGER.csv; run/v6/base/logs/","BASE-OWN-001","true","证据指针不一致，降低可复现性（非伪造，文件实体在）。","订正台账证据路径。"
"m-02","MINOR","根构建全量 ctest 非全绿：cpu007_profile_store FAIL（CWD 依赖），p1hips_performance 首跑 FAIL/复跑 PASS","tests/unit/cpu007_profile_store_test.cpp; tests","非 V6（既有测试）","true","控制器 C-008 将 2 项描述为『非 V6 既有测试因未定向构建而 Not Run』；实际为实跑 1 稳定 FAIL（CWD 依赖）+ 1 抖动，全量测试图并非全绿。","修正 cpu007_profile_store 的 CWD/路径假设或在 CI 明确其运行目录；复跑确认 p1hips_performance 抖动。"
