docs/algorithms/UPM_SOLVER.md	lines=113	verdict=FINDING:W3-D1-b001-1	evidence=[recheck@15:38Z] 修订版仍存 5 处行锚失实：§2:29 宣称 upm.cpp:942=p2_upm_build 实测 :945、:1323=raw_weight 实测 :1328、:1356=归一化实测 :1361；§5:56 kChunk=16 宣称 :1407 实测 :1443；§11:93 SIZE_MAX 宣称 :224 实测 :428；本行修订核实为真者：p2_upm_convergence 实存 :1262、p2_upm_control_variance :2432、huber_rho@205/huber_w@211 落宣称区 203-213、p2_session.cpp:195 逐字命中、#pragma omp 计数 0、cvar 行在宣称窗 sampler.cpp:855-859 内(civar 实测 :860 越窗上沿 1 行)	
docs/algorithms/anchors/ANCHOR_CONTRACT.md	lines=110	verdict=FINDING:W3-D1-b001-2	evidence=见 b001-2：§1:18 宣称规模『36 文档/793 锚(784+9)』与 §6:76-82『全量复测全绿』；实跑 check_doc_line_anchors.py @e4fb2d48 得 documents=36/anchors_total=808/OK=799+EXEMPT=9/errors=2 rc=1（DRZ-MAXANGLE drop_area、P2SMP-CIVAR civar BINDING_VIOLATION）；§6 对 CAL-MEDFLOOR 的订正自身可复核（calibrator.cpp:86=if(!(med>0.0f))）	
docs/algorithms/anchors/anchor_contract.json	lines=387	verdict=OK	evidence=[recheck@15:38Z] json.load 通过：resolvers=13/exemptions=6(原 7 中『run/local/bughunt/ledger.md:249』HISTORICAL 键已删)/bindings=41 不变；余豁免 kind 仍两类 HISTORICAL_RUN_ARTIFACT(1)+FROZEN_SCI_CLAIM(5)；全量检查器复跑 PASS=38docs/842anchors(EXEMPT8+OK834,rc=0)，DRZ-MAXANGLE 与 P2SMP-CIVAR 两绑定已随同批文档订正转绿；P3FITS-CTYPE 等目标路径复验实存	
docs/algorithms/anchors/check_doc_line_anchors.py	lines=286	verdict=OK	evidence=py_compile 通过；ANCHOR_RE/expand_anchors 支持 :N-M 与 /,续锚；resolve() 四级链 exact→doc-relative→contract-rule→basename-unique 与 md §3 逐条对应；ARCHIVE_MARKERS 排除集与 md §3.4 清单一致；实测跑通并正确报出 2 条 C4（检测力真实存在，非空转）	
docs/algorithms/v6/frozen/00_README.md	lines=17	verdict=OK	evidence=声明『CONTRACT-FREEZE-001-FROZEN-ALG 机械渲染同源』核实：reports/v6/contract-review/tools/gen_freeze.py 与 docs/contracts/v6/frozen/astrocs.v6.contract-freeze.v1.json 均 ls 命中；基线 HEAD ebefe00d3 git cat-file -t=commit；文件索引两行(01/02)与实际同目录文件一致	
docs/algorithms/v6/frozen/01_NUMERIC_THRESHOLD_FREEZE.md	lines=75	verdict=OK	evidence=状态统计『FROZEN 6/PENDING 40/OPEN 8』对 54 行条款表逐 grep 复算吻合（含统计表行 7/41/9-1）；需签字清单 SO-07=39+SO-03=1=40 与 PENDING 总数闭合；抽查 PSFSW-T-DEPTH 阈值↔阈值册:14、FZ-AP2S-EPS-PIXIVAR↔PIXIVAR-GATE:38 的『来源绑定⊃值』逐字命中	
docs/algorithms/v6/frozen/02_GATE_AND_MUTATION_FREEZE.md	lines=116	verdict=OK	evidence=104 行门矩阵抽查：FZ-UPM-CONVERGENCE 的 Huber 1.345/max_iter=100/tol=1e-6/sigma_floor=1e-3/zero_anchor=1e-3 与 upm.cpp:224-230 cfg 缺省逐项一致；FZ-REJ-INHERITED-THRESH sigma 4.0/3.0/8iter 与 rejection.h:101-103 注释默认一致；末行『宪章 §14.2/§13.1』所据文件已删（01db973b，归 b001-3 同源）	
docs/algorithms/v6/phase1/ALG_P1_001_PHASE1_ALGORITHM_SPEC.md	lines=381	verdict=FINDING:W3-D1-b001-3	evidence=见 b001-3：§0:26 定义式『CONSTITUTION §x = ASTROCS_PROJECT_CONSTITUTION.md』+§2.1:84 等多处引其为现行最高权威，但该文件已被 ROOT-007 删除（git log 01db973b 命中），DOC-001 横幅豁免范围仅旧控制包路径；其余抽查为真：§4.2 concentration=ADU/px² 命中 schema units pattern ^.../px^2$、§7 宣称 34 行矩阵=JSON rows 实测、inherited_frozen_ids=40=spec.json 计数	
docs/algorithms/v6/phase1/ALG_P1_001_TEST_MATRIX.md	lines=62	verdict=OK	evidence=『测试行（34 项）』与 T-CAL-01..07/T-WINFO-01..07/T-PSFW-01..09/T-DRZ-01..08/T-X-01..03 实数一致且与同目录 JSON 逐行同构；负向注入宣称 39 项=MUTATIONS 实测；抽查 T-DRZ-01 容差 |S_p/B0-1|<1e-3 实跑 --mutation 场景 rc=2 门红可复现	
docs/algorithms/v6/phase1/EVIDENCE.md	lines=470	verdict=OK	evidence=§2 九命令表复测 6 项全中：selftest rc=0、--all-mutations rc=0(39/39)、M-D1 rc=2、--mutation NO-SUCH rc=1；§0 宣称 git merge-base --is-ancestor 125bc099 HEAD 实测真、28e0ac6c/1c4e5f92 git cat-file 均 commit；§7 计数声明 CHECKS=38 与 import 实测一致	
docs/algorithms/v6/phase1/README.md	lines=31	verdict=OK	evidence=复跑 3 条命令逐条实测：38/38 rc=0、39/39 CAUGHT rc=0、M-D1 rc=2，与状态节宣称完全一致；文件索引 6 行全部命中目录实况；『依赖仅 numpy+标准库』核实 verify 脚本 import 列表无生产实现引用	
docs/algorithms/v6/phase1/alg_p1_001_spec.json	lines=836	verdict=SAMPLED:sections=2/2	evidence=全 836 行两遍结构化覆盖：json.load 通过；10 个顶层节（schema/algorithms/gates/units_table/inherited_frozen_ids/modes/SO/CTRL/OI）逐节枚举；gates len=26、inherited=40、生产模式 3/基线 2/deferred 1/禁止值 4 与规格 md §1.1/§5.3 数字吻合；四域 id(ALG-P1-CAL-COV-001 等)齐备	
docs/algorithms/v6/phase1/alg_p1_001_test_matrix.json	lines=315	verdict=OK	evidence=整读全文：rows 共 34 条，id 序列 T-CAL→WINFO→PSFW→DRZ→X 无缺号；T-CAL-01 expected rel<1e-12、T-DRZ-01 pixfrac∈{0.25,0.5,0.8,1.0} 等 gate/clause 字段与 md 渲染逐字对应；tolerance_policy 串与 md:9 相同	
docs/algorithms/v6/phase1/tools/verify_alg_p1_001.py	lines=838	verdict=SAMPLED:sections=4/4	evidence=838 行按 4 节全覆盖（54 个函数定义/结构门 CHECKS 字典/mutation 字典/main CLI）：AST+py_compile 通过；import 实测 len(CHECKS)=38、len(MUTATIONS)=39；三种模式 rc=0/0/2 亲跑；fixture_drizzle 常量面亮度用 x_j=B0*A_pixel 构造=规格 §6.2 判据	
