module_id,module_kind,module_anchor,science_id,science_doc,science_status,algorithm_id,algorithm_doc,algorithm_status,data_id,data_status,api_id,api_status,arch_id,arch_status,src_id,src_path,src_status,test_id,test_path,test_status,evidence_id,evidence_status,notes
MOD-astrocs-catalog-gaia,service,lib/gaia_xpsd_client/src/gaia_client.h,SCI-AST-001,docs/science/ASTROMETRY.md,VERIFIED,ALG-GAIA-001,docs/algorithms/GAIA_QUERY.md,VERIFIED,DATA-GAIA-001,VERIFIED,API-GAIA-001,VERIFIED,ARCH-001,VERIFIED,SRC-CAT-GAIA-001,"lib/gaia_xpsd_client/src/gaia_client.c::gaia_client_create_ex,gaia_client_destroy,gaia_client_cone_search,gaia_client_cone_search_for_solver,gaia_client_cone_search_with_spectrum,gaia_client_query_spectrum_by_coords,gaia_client_cone_search_with_photometry,gaia_client_get_spectrum_params",VERIFIED,TEST-GAIA-DESIGN-001,docs/algorithms/GAIA_QUERY.md,VERIFIED,EVID-MISSING,MISSING,"CAT-GAIA-DOC (SA-P1-W16, wave W1) 冻结: Gaia XPSD 星表服务 (matrix CAT-GAIA, dll 目标 astrocs_catalog_gaia.dll 未建, adapter=CAT-GAIA-IMPL)。SCI=SCI-AST-001 下游 ALG-GAIA-001(docs/algorithms/GAIA_QUERY.md, 与 docs/contracts/INDEX.yaml 一致); DATA-GAIA-001=DATA_SEMANTICS.md §8; API-GAIA-001=PUBLIC_API.md gaia_client 节; ARCH-001 承载 service 边界。TEST 层锚=ALG 文档 §5 冻结测试设计 TEST-GAIA-DESIGN-001 (fixture/oracle/不变量 I1-I5/负面/串并行/ISA/资源+冻结容差), 可执行 TEST-GAIA-* 由 CAT-GAIA-TEST 落地后更新本行; EVID 待 INT/验收补。无网络 I/O, network errors never alter scientific identity 由零网络结构性满足。"
MOD-astrocs-conformance-noop,conformance,modules/conformance/noop/module.yaml,SCI-MISSING,MISSING,MISSING,ALG-MISSING,MISSING,MISSING,DATA-MISSING,NONE,API-ABI-001,VERIFIED,ARCH-001,VERIFIED,SRC-MOD-NOOP,modules/conformance/noop/src/noop_module.c::astrocs_module_query_v1,VERIFIED,TEST-BLD003-NOOP-HANDSHAKE,modules/conformance/noop/tests/unit/noop_handshake_test.c,VERIFIED,EVID-BLD-003,VERIFIED,"conformance 骨架(BLD-003 SKELETON, ABI-005 填语义): 无科学/算法合同 → SCI/ALG MISSING; 无数据端口 → DATA NONE(module.yaml 显式空); API 锚 API-ABI-001(module C ABI v1); evidence 锚 returns/BLD-003 EVID-BLD-003。"
MOD-astrocs-phase1-calibration,phase1,docs/modules/registry/astrocs.phase1.calibration.md,SCI-CAL-001,docs/science/CALIBRATION.md,VERIFIED,ALG-CAL-001,docs/algorithms/CALIBRATION_ALGORITHMS.md,VERIFIED,DATA-P1-CAL,VERIFIED,API-P1-001,VERIFIED,ARCH-001,VERIFIED,SRC-CAL-001,"lib/calibration/include/astro_calibration.h::ac_generate_master_bias,ac_generate_master_dark,ac_generate_master_flat,ac_calibrate_frame,ac_correct_frame,ac_generate_master_bias_f64,ac_generate_master_dark_f64,ac_generate_master_flat_f64,ac_calibrate_frame_f64,ac_correct_frame_f64,ac_set_num_threads,ac_version",VERIFIED,TEST-CAL-DESIGN-001,docs/algorithms/CALIBRATION_ALGORITHMS.md,VERIFIED,EVID-MISSING,MISSING,"P1-CAL-DOC (SA-P1-C14, wave W1) 冻结: 校准模块 (matrix P1-CAL, legacy=lib/calibration, dll 目标 astrocs_p1_calibration.dll 未建, adapter=P1-CAL-IMPL)。SCI=SCI-CAL-001(docs/science/CALIBRATION.md, FROZEN); ALG-CAL-001..006(docs/algorithms/CALIBRATION_ALGORITHMS.md 重写, 逐公式源码锚定, 含 ALG-CAL-005/006 未接线登记); DATA-P1-CAL=DATA_SEMANTICS.md §9; API=API-P1-001(编排合同)+API-CAL-001(PUBLIC_API.md 现状 C API, 缺陷清单 DISP-CAL-001..011); ARCH-001 承载边界。SRC 锚=astro_calibration.h 12 科学/工具 AC_API 符号(全 14 导出含 ac_set_num_threads/ac_version; optimize_dark_k/apply_photometry 未编译未接线属计划迁移)。TEST 层锚=ALG 文档 §9 冻结测试设计 TEST-CAL-DESIGN-001(fixture FIX-CAL-A..F/oracle/不变量 I1-I6/负面/串并行/ISA/资源+冻结容差 rtol1e-6 atol1e-7), 可执行 TEST-P1-CAL-001 由 P1-CAL-TEST 落地后更新本行; EVID 待 INT/验收补。生产调用方现状仅 ac_calibrate_frame(lib/phase1_session/p1_session.cpp:243)。"
MOD-astrocs-phase1-cosmetic,phase1,docs/modules/registry/astrocs.phase1.cosmetic.md,SCI-CAL-001,docs/science/CALIBRATION.md,VERIFIED,ALG-COS-001,docs/algorithms/COSMETIC_ALGORITHMS.md,VERIFIED,DATA-P1-COS,VERIFIED,API-COS-001,VERIFIED,ARCH-001,VERIFIED,SRC-COS-001,"lib/calibration/src/cosmetic_corrector.cpp::correct_frame,interpolate_pixels,filter_by_structure_size,detect_hot_pixels,detect_cold_pixels",VERIFIED,TEST-COS-DESIGN-001,docs/algorithms/COSMETIC_ALGORITHMS.md,VERIFIED,EVID-MISSING,MISSING,"P1-COS-DOC (SA-P1-COS, wave W1) 冻结: cosmetic 模块 (matrix P1-COS, legacy_paths=lib/calibration;lib/phase1_session, dll 目标 astrocs_p1_cosmetic.dll 未建, adapter=P1-COS-IMPL; 合同文件落位 lib/cosmetic/README.md r1 + module.yaml CONTRACT_READY)。SCI=SCI-CAL-001(docs/science/CALIBRATION.md, FROZEN, 与 P1-CAL 共享 SCI 层; SCI §12 ALG-CAL-004 为同一现行实现的摘要引用, 重叠界定见 ALG-COS §0); ALG-COS-001..005(docs/algorithms/COSMETIC_ALGORITHMS.md 新建, 逐公式源码锚定 cosmetic_corrector.cpp:34-265, 缺陷 DISP-COS-001..011); DATA-P1-COS=DATA_SEMANTICS.md §10(上游 DATA-P1-CAL §9; 原占位 DATA-P1-COSMETIC 由 descriptor 持有, 合同以 DATA-P1-COS 为准); API=API-COS-001(PUBLIC_API.md, 3 符号)+API-P1-002(编排合同, 共享); ARCH-001 承载边界。SRC 锚=cosmetic_corrector.cpp 5 实现符号(裸名, namespace ac 内定义: correct_frame/interpolate_pixels/filter_by_structure_size/detect_hot_pixels/detect_cold_pixels); C API ac_correct_frame(+_f64) 符号锚由 SRC-CAL-001(astro_calibration.h)与 API-COS-001 文档承载, 实现编译于 CMake astrocs_calibration(CMakeLists.txt:321-333)。TEST 层锚=ALG 文档 §9 冻结测试设计 TEST-COS-DESIGN-001(fixture FIX-COS-A..F/NumPy oracle rtol1e-6 atol1e-7/不变量 I1-I6/负面/串并行/ISA/资源), 可执行 TEST-P1-COS-001 由 P1-COS-TEST 落地后更新本行; EVID 待 INT/验收补。生产调用现状: p1_session.cpp:294-307 传 dark/bias=nullptr → 检测全禁用恒等 pass(DISP-COS-009, no fabrication of valid coverage)。"
MOD-astrocs-phase1-drizzle,phase1,docs/modules/registry/astrocs.phase1.drizzle.md,SCI-DRZ-001,docs/science/DRIZZLE.md,VERIFIED,ALG-DRZ-001,docs/algorithms/DRIZZLE_GEOMETRY.md,VERIFIED,DATA-P1-DRZ,VERIFIED,API-DRZ-001,VERIFIED,ARCH-001,VERIFIED,SRC-DRZ-001,"lib/healpix_db/healpix_drizzle/hp_drizzle_api.h::hp_drizzle_fits_to_ahpx,hp_drizzle_run,hp_drizzle_run_hips,hp_drizzle_reverse_run,hp_drizzle_reverse_capability,hp_drizzle_reverse_version",VERIFIED,TEST-DRZ-DESIGN-001,docs/algorithms/DRIZZLE_GEOMETRY.md,VERIFIED,EVID-MISSING,MISSING,"P1-DRZ-DOC (SA-P1-DRZ, wave W1) 冻结: drizzle 模块 (matrix P1-DRZ, legacy_paths=lib/phase1/drizzle;root astrocs_drizzle target, dll 目标 astrocs_p1_drizzle.dll 未建, adapter=P1-DRZ-IMPL; 合同文件落位 lib/drizzle/README.md r1 + module.yaml CONTRACT_READY)。SCI=SCI-DRZ-001(docs/science/DRIZZLE.md, FROZEN T105 2026-08-23, 集合 SCI-DRZ-014/015/016); ALG-DRZ-001(docs/algorithms/DRIZZLE_GEOMETRY.md 重写, 逐公式源码锚定 drizzle_engine.cpp:1505,1527,1528,1531-1534 等, SCI vs 源码差异 DISP-DRZ-001..008); DATA-P1-DRZ=DATA_SEMANTICS.md §11(新建; 原占位 DATA-P1-STACK 由 descriptor 持有, 对齐归 P1-DRZ-INT); API=API-DRZ-001(PUBLIC_API.md, 6 符号)+API-P1-007(编排合同, 区间 API-P1-001..010); ARCH-001 承载边界。SRC 锚=hp_drizzle_api.h 6 导出符号(path::symbol 口径); 实现编译于 CMake astrocs_drizzle(CMakeLists.txt:356-366, STATIC)。TEST 层锚=ALG 文档 §9 冻结测试设计 TEST-DRZ-DESIGN-001(fixture FIX-DRZ-A..F/冻结容差 FP64 通量闭合<1e-6 逐 leaf<1e-5/方差 α² worst_rel<1e-4/候选零漏选 9003 例/reverse false_hole=false_fill=0/1-2-4 线程一致性/负面矩阵), 可执行 TEST-P1-DRZ-001 由 P1-DRZ-TEST 落地后更新本行; EVID 待 INT/验收补。生产调用现状: orchestrator.cpp:3256-3371 DLL 通道调 hp_drizzle_run_hips(编排级, 区间 API-P1-001..010); registry descriptor(module_adapters.cpp:508-525 p1_drizzle_descriptor)未接节点, entrypoint=MISSING 如实登记; 1/N 确定性=schedule(static)+per-thread 累加器+按线程序合并(drizzle_engine.cpp:1670-1671,1762-1785); ThreadLease 零命中(omp 遗留通道, CMakeLists.txt:379-382, 迁移整改点)。"
MOD-astrocs-phase1-hips-writer,phase1,docs/modules/registry/astrocs.phase1.hips-writer.md,SCI-DRZ-001,docs/science/DRIZZLE.md,VERIFIED,ALG-HIPS-001,docs/algorithms/HIPS_WRITER.md,VERIFIED,DATA-P1-HIPS,VERIFIED,API-HIPS-001,VERIFIED,ARCH-001,VERIFIED,SRC-HIPS-001,"lib/astro_image_io/include/aio_hips.h::aio_hips_product_begin,aio_hips_write_signal_support_tile,aio_hips_write_variance_tile,aio_hips_write_snr_points,aio_hips_set_drizzle_provenance,aio_hips_finalize,aio_hips_abort,aio_hips_write,aio_hips_last_error",VERIFIED,TEST-HIPS-DESIGN-001,docs/algorithms/HIPS_WRITER.md,VERIFIED,EVID-MISSING,MISSING,"P1-HIPS-DOC (SA-P1-D18, wave W1) 冻结: HiPS writer 模块 (matrix P1-HIPS, legacy_paths=lib/healpix_db;lib/phase1_session;root astrocs_hips 静态库 CMakeLists.txt:298-309, dll 目标 astrocs_p1_hips_writer.dll 未建, adapter=P1-HIPS-IMPL; 合同文件落位 lib/hips/README.md r1 + module.yaml CONTRACT_READY entrypoint=MISSING)。SCI=SCI-DRZ-001(docs/science/DRIZZLE.md, FROZEN T105 2026-08-23, 共享引用不改动; :130 方差/:145 support 两锚); ALG-HIPS-001..005(docs/algorithms/HIPS_WRITER.md 新建, 逐公式源码锚定 aio_hips_writer.cpp:411-413/:464/:477-479/:618-621/:783-785/:791-885/:887-1005 等, 实现偏差 DISP-HIPS-001..012); DATA-P1-HIPS=DATA_SEMANTICS.md §12(新建; 单位/dtype/shape/invalid/NESTED→FITS 序/IO-003 发布边界 §12.5); API=API-HIPS-001(PUBLIC_API.md, aio_hips.h 9 导出符号, 头锚 :104-:177); ARCH-001 承载边界。SRC 锚=aio_hips.h 9 导出符号(path::symbol 口径); 实现编译于 CMake astrocs_hips(STATIC, 附带 vendored CFITSIO 4.6.4)。TEST 层锚=ALG 文档 §9 冻结测试设计 TEST-HIPS-DESIGN-001(fixture F1-F6/独立朴素 oracle(NESTED→FITS 序 (511-x)*512+y CDS 对拍+MOC UNIQ+hierarchy 闭合)/不变量 I1-I12/负面矩阵/冻结容差 FP64 bitwise+f32 存储 rtol=1e-7+hierarchy f32 累加 rtol=1e-6), 可执行 TEST-P1-HIPS-001 由 P1-HIPS-TEST 落地后更新本行; EVID 待 INT/验收补。生产调用现状: astro_sphere_sink.cpp:97(drizzle sink 合并后单线程写)+stage2.cpp:592(Phase2); registry 无 descriptor(module_adapters.cpp 无 hips_writer 项), entrypoint=MISSING 如实登记; 确定性=tile 字节随输入与写序可复现+DATASUM/CHECKSUM 内嵌(properties UTC 时间戳按合同不复现); ThreadLease 零命中(迁移整改点); 原子发布/tree hash 归 IO-003 发布层(writer 层 remove+create 直写无事务, DISP-HIPS-001/004, 边界=DATA_SEMANTICS §12.5)。"
MOD-astrocs-phase1-noise-snr,phase1,docs/modules/registry/astrocs.phase1.noise-snr.md,SCI-NOISE-001,docs/science/NOISE_MODEL.md,VERIFIED,ALG-NOISE-001,docs/algorithms/NOISE_ESTIMATION.md,VERIFIED,DATA-P1-NOISE,VERIFIED,API-NOISE-001,VERIFIED,ARCH-001,VERIFIED,SRC-NOISE-001,"lib/snr_estimator/cpp/include/snr_estimator.h::snr_noise_model_v1,snr_noise_model_v1_f64,snr_noise_model_v1_default_config,snr_noise_model_v1_fill,snr_noise_model_v1_free,snr_noise_scale_law,snr_noise_gain_variance",VERIFIED,TEST-NOISE-DESIGN-001,docs/algorithms/NOISE_ESTIMATION.md,VERIFIED,EVID-MISSING,MISSING,"P1-NOISE-DOC (SA-P1-N17, wave W1) 冻结: noise 模块 (matrix P1-NOISE, legacy_paths=lib/snr_estimator;lib/phase1/noise, dll 目标 astrocs_p1_noise.dll 未建, adapter=P1-NOISE-IMPL; 合同文件落位 lib/snr_estimator/README.md r1 + module.yaml CONTRACT_READY entrypoint=MISSING)。SCI=SCI-NOISE-001..015(docs/science/NOISE_MODEL.md, FROZEN T104 2026-08-23, 共享引用不改动; 行值=集合首 ID SCI-NOISE-001); ALG-NOISE-001..003(docs/algorithms/NOISE_ESTIMATION.md 增补 §13, 逐符号源码锚定 noise_model.cpp:118-267,371-429,456-464 等, 实现偏差 DISP-NOISE-001..009); DATA-P1-NOISE=DATA_SEMANTICS.md §13(新建; 单位/dtype/shape/invalid/rmax=10·6=60px/min_patch_samples=64/floor 两阶段语义); API=API-NOISE-001(PUBLIC_API.md, snr_estimator.h 7 导出符号, 头锚 :143-:180)+API-P1-006(编排合同, 多模块共享); ARCH-001 承载边界。SRC 锚=snr_estimator.h 7 导出符号(path::symbol 口径); 实现构建=lib/snr_estimator/cpp/Makefile:5,12 g++ -shared→snr_estimator.dll + build.ps1:29(未编入根 CMake 主构建, CMake 集成归 P1-NOISE-IMPL); dll_loader.cpp:41/55 加载名与路径吻合, 生产调用 orchestrator.cpp:4177 stage6→:4242-4251 函数指针; lib/phase1/noise(NoiseModel 封装, CMakeLists.txt:435-438/:513)为计划迁移旧符号(NOISE_ESTIMATION §13.5)。TEST 层锚=ALG 文档 §13.4 冻结测试设计 TEST-NOISE-DESIGN-001(fixture FIX-NOISE-A..G/独立 oracle=NumPy median/MAD/LS 平面复算 rtol 1e-9/不变量 I1-I6/负面矩阵/冻结容差 σ 5%(SNR-004)+场 10%(SNR-006)+Poisson 交叉 5%(SNR-005)), 可执行 TEST-P1-NOISE-001 由 P1-NOISE-TEST 落地后更新本行; EVID 待 INT/验收补。registry descriptor(module_adapters.cpp:489-503 p1_noise_snr_descriptor)持占位 ID: sci_id=SCI-P1-SNR-001/alg_id=ALG-004/data_id=DATA-P1-SNR/test_id=TEST-P1-SNR-001 与本行冻结 ID 的对齐归 P1-NOISE-INT, 不得反向作为冻结依据(COS/DRZ/HIPS 先例同构); descriptor ports(fluxes→DATA-P1-FLUX, snr→DATA-P1-SNR)为编排编目, DATA 层模块合同以本行+§13 为准。确定性=单线程顺序实现(noise_model.cpp:118-267 无 omp), 1/N worker bitwise; ThreadLease 零命中(迁移整改点); g_model_floor 指针 key 注册表单线程资源(DISP-NOISE-001)。"
MOD-astrocs-phase1-photometry,phase1,docs/modules/registry/astrocs.phase1.photometry.md,SCI-PHOT-001,docs/science/PHOTOMETRY.md,VERIFIED,ALG-PHOT-001,docs/algorithms/PHOTOMETRIC_FIT.md,VERIFIED,DATA-P1-PHOT,VERIFIED,API-PHOT-001,VERIFIED,ARCH-001,VERIFIED,SRC-PHOT-001,"lib/photometric_calib/cpp/include/photometric_calib.h::pc_calibrate_simple,pc_calibrate_simple_with_gaia,pc_calibrate_simple_f64,pc_calibrate_simple_with_gaia_f64,pc_calibrate_simple_with_gaia_v2,pc_calibrate_simple_with_gaia_f64_v2",VERIFIED,TEST-PHOT-DESIGN-001,docs/algorithms/PHOTOMETRIC_FIT.md,VERIFIED,EVID-MISSING,MISSING,"P1-PHOT-DOC (SA-P1-N17, wave W1) 冻结: photometry 模块 (matrix P1-PHOT, legacy_paths=lib/photometric_calib;lib/phase1/photometry, dll 目标 astrocs_p1_photometry.dll 未建, adapter=P1-PHOT-IMPL; 合同文件落位 lib/photometric_calib/README.md r1(重写, 旧 v2.0 README 失实修正) + module.yaml CONTRACT_READY entrypoint=MISSING)。SCI=SCI-PHOT-001(docs/science/PHOTOMETRY.md, FROZEN T103 2026-08-23, 共享引用不改动; 行值由占位 SCI-P1-PHOT-001 更正为真实 ID, descriptor 对齐归 P1-PHOT-INT); ALG-PHOT-001..002(docs/algorithms/PHOTOMETRIC_FIT.md 增补 §13, 逐符号源码锚定 star_matcher.cpp:185-333/378-605, spectrum_integrator.cpp:44-168/409-454, pc_api.cpp:755-1041 等, 实现偏差 DISP-PHOT-001..009); DATA-P1-PHOT=DATA_SEMANTICS.md §14(新建; 单位/dtype/shape/invalid/退化恒等语义/scale 无量纲+sigma_residual dex); API=API-PHOT-001(PUBLIC_API.md, photometric_calib.h 6 导出符号, 头锚 :103-:265)+API-P1-005(编排合同, descriptor 引用); ARCH-001 承载边界。SRC 锚=photometric_calib.h 6 导出符号(path::symbol 口径); 实现构建=lib/photometric_calib/cpp/Makefile:11 g++ -shared -fopenmp→photometric_calib.dll(链接 ../../gaia_xpsd_client/gaia_client.dll) + build.ps1:9(未编入根 CMake 主构建, CMake 集成归 P1-PHOT-IMPL); dll_loader.cpp:40/54 加载名与路径吻合, 生产调用 orchestrator.cpp:2474 run_stage_photometric→:2714 pc_calibrate_simple_with_gaia_f64_v2/:2790 _v2, photo_stats KV :2902-2935; lib/phase1/photometry(Photometer aperture 封装, CMakeLists.txt:429-432/:513, 单测 tests/unit/p1_wcs_phot_test tests/unit/CMakeLists.txt:305-310)为计划迁移旧符号(PHOTOMETRIC_FIT §13.5)。TEST 层锚=ALG 文档 §13.4 冻结测试设计 TEST-PHOT-DESIGN-001(fixture F1-F6/独立 oracle=NumPy 合成测光+IRLS 复算 rtol 1e-9/不变量 I1-I6/负面矩阵/冻结容差 注入 location rtol 1e-4(SCI-PHOT-001 §11)+20% 离群 Δlocation<0.1 dex+S=0→median gate), 可执行 TEST-P1-PHOT-001 由 P1-PHOT-TEST 落地后更新本行; EVID 待 INT/验收补。registry descriptor(module_adapters.cpp:469-486 p1_photometry_descriptor)持占位 ID: sci_id=SCI-P1-PHOT-001/alg_id=ALG-002/data_id=DATA-P1-FLUX/api_id=API-P1-005/test_id=TEST-P1-PHOT-001 与本行冻结 ID 的对齐归 P1-PHOT-INT, 不得反向作为冻结依据(COS/DRZ/HIPS/NOISE 先例同构); descriptor ports(psf→DATA-P1-PSF, sources→DATA-P1-SOURCES, fluxes→DATA-P1-FLUX)为编排编目, DATA 层模块合同以本行+§14 为准。确定性=OpenMP 逐星(schedule(dynamic,64) 整数 reduction)/逐元素(static)独立, 科学输出 bitwise 与线程数无关, ThreadLease/omp_set_num_threads 无接线(迁移整改点); 帧级 QA 换算(sigma_mag/sigma_cal_rel)落位 snr_estimator snr_phot_cal_quality(snr_estimator.h:47-48, noise_model.cpp:276, DISP-PHOT-009)。"
MOD-astrocs-phase1-session,phase1,docs/modules/registry/astrocs.phase1.session.md,SCI-CAL-001,docs/science/CALIBRATION.md,VERIFIED,ALG-CAL-001,docs/algorithms/CALIBRATION_ALGORITHMS.md,VERIFIED,DATA-P1-SESSION,VERIFIED,API-P1-SESSION,VERIFIED,ARCH-001,VERIFIED,SRC-P1-SESSION-001,"lib/phase1_session/p1_session.cpp::p1_session_create,p1_session_validate,p1_session_run,p1_session_inspect,p1_session_destroy",VERIFIED,TEST-P1-SESSION-001,tests/unit/p1_ir_facade_test.cpp,VERIFIED,EVID-MISSING,MISSING,"P1-SESSION-DOC (SA-P1-R19) 冻结: Phase1 进程内装配会话 (assembly 层, matrix 无 P1-SESSION 行 → 不设独立 DLL, 现状=静态库 astrocs_phase1_session 根 CMakeLists.txt:448-452)。合同: DATA-P1-SESSION=DATA_SEMANTICS.md §16 新建 (config 键集/host services/manifest/校准 artifact schema, 单位/dtype/shape 逐项); API-P1-SESSION=PUBLIC_API.md 新建 (五导出 C API p1_session_create/validate/run/inspect/destroy + astrocs::phase1::last_error, p1_session.h:16-37); 编排级上游 API-P1-001(docs/api/PHASE1_API_V1.md FROZEN); ARCH-001 承载 assembly 边界。四段 canonical 节点 io_read→calibrate→cosmetic→io_write (p1_session.cpp:168/:195/:283/:319, facade 测试 :33-40 断言), 科学实现委托既有冻结 C API ac_calibrate_frame(:243)/ac_correct_frame(:294) → SCI/ALG 锚=被委托域既有冻结合同 SCI-CAL-001+ALG-CAL-001(docs/algorithms/CALIBRATION_ALGORITHMS.md, INDEX.yaml 既有), 不新设装配 ALG (INDEX.yaml 无 ALG-P1-SESSION 条目; 归档映射表 ALG-P1-SESSION-001 为 P1-001 旧词汇不进现行 INDEX); algorithm_contracts 另引 ALG-COS-001 (lib/phase1_session/module.yaml)。registry: 无独立 session descriptor, 五函数经 P1Api(module_adapters.cpp:693-700) 被 8 个 Phase1 descriptor 工厂委托(:728-735/:755-770); descriptor 占位词汇(ALG-002/ALG-004/ALG-005/TEST-P1-*-001)不作冻结依据(P1-PSF-DOC 先例)。如实差距: API-P1-001 冻结 7-stage 序列 vs 现状 4 段(CAL+COS), 检测/PSF/WCS/测光/SNR/Drizzle/HiPS 无执行段, 补齐归 P1-SESSION-IMPL, 本行不宣称 session 完成 7-stage。SRC 锚=p1_session.cpp 五导出符号(path::symbol 口径, p1_session.h:16-28)。TEST 锚=tests/unit/p1_ir_facade_test.cpp(facade 语义/canonical 节点集/委托+TEST-P1-SESSION-001 词汇已登记该文件与 registry 页); 生命周期登记 tests/api/test_p1_api.py 为旁证; EVID 待 INT/验收补。已知现状缺陷(登记不改码): cosmetic master 实参 nullptr→DISP-COS-009 恒等 pass(:295-296, 整改归 P1-COS-INT); dark_scale_factor validate 不验(:225 run 兜底 1.0); async_io_depth∈{0,1,2} 强校验(:152)但预读未按 depth 启用; 输出仅 FITS(aio_write_fits :262)。取消=io_read 文件粒度(:177-181)/calibrate 帧粒度(:228-231)/cosmetic 帧粒度(:289); 并发=budget.max_workers 注入 ac_set_num_threads(:162-165)+B 线 ThreadLease(module_adapters.cpp:156-162); determinism=fixed_reduction_order(module.yaml)。"
MOD-astrocs-phase1-star,phase1,docs/modules/registry/astrocs.phase1.star-detection.md,SCI-P1-STAR-001,docs/science/STAR_DETECTION.md::SCI-P1-STAR-001,VERIFIED,ALG-STARDET-001,docs/algorithms/STAR_DETECTION_ALGORITHMS.md::ALG-STARDET-001,VERIFIED,DATA-P1-STAR,VERIFIED,API-STAR-001,VERIFIED,ARCH-001,VERIFIED,SRC-STAR-001,"lib/star_detector/src/sdet_api.cpp::sdet_detect_impl,sdet_moffat4_fit,sdet_lm_fit,sdet_detect_ex,sdet_detect_ex_f64,sdet_create,sdet_free_detect_ex",VERIFIED,TEST-STAR-DESIGN-001,docs/algorithms/STAR_DETECTION_ALGORITHMS.md::TEST-STAR-DESIGN-001,VERIFIED,EVID-MISSING,MISSING,"P1-STAR-DOC (SA-P1-S15) 冻结: astrocs.p1.star_detection (matrix P1-STAR 行, dll_target astrocs_p1_star_detection.dll 合同值未建, 现状 lib/star_detector/Makefile:39 star_detector.dll 经 orchestrator.cpp:1539-1549 显式加载; legacy_paths 第二路径 lib/phase1/stars P1-003 桥接层独立实现)。合同: SCI-P1-STAR-001=docs/science/STAR_DETECTION.md 冻结层(共享 SCI 引用不改动, 落点声明见 ALG 文档 §11.5); ALG-STARDET-001=STAR_DETECTION_ALGORITHMS.md §11 逐符号源码锚定(sdet_detect_impl:1599-2353 peaker 七步+sdet_moffat4_fit/sdet_lm_fit GSL TR-LM+reject_star 五码+dedup/sort/maxStars)+DISP-STAR-001..005 登记不改码(整改归 P1-STAR-IMPL/INT); DATA-P1-STAR=DATA_SEMANTICS.md §17 新建(star_det 权威块 FLOAT64[N,6] 列 x,y,flux,mag,saturated,has_saturated+psf_compat FLOAT32[N,4]+十数组 sdet_free_detect_ex 整组释放); API-STAR-001=PUBLIC_API.md 新建(9 导出 C API, star_detector.h:1-73 唯一权威签名头); 编排上游 API-P1-003 一帧一次权威检测(orchestrator.cpp:2218-2246 star_det 写块, PLATESOLVE 禁重检测 :1748-1755); ARCH-001 承载模块边界。SRC 锚=sdet_api.cpp 7 符号(path::symbol 口径, grep 实测)。TEST 层锚=ALG 文档 §11.4 冻结测试设计 TEST-STAR-DESIGN-001(合成场质心/FWHM/召回虚警/饱和混合边缘/确定性 bitwise/FP64 独立 oracle/负例/回归锚+冻结容差), 可执行 TEST-P1-STAR-001 由 P1-STAR-TEST 落地后更新本行; EVID 待 INT/验收补。registry descriptor 占位 astrocs.phase1.star-psf(module_adapters.cpp:430-448, ALG-002/TEST-P1-PSF-001)由 P1-STAR-INT/P1-PSF-INT 对齐, 不作冻结依据; 合同入口=lib/star_detector/README.md r1(CONTRACT_READY)+module.yaml(entrypoint=MISSING)。"
