task_id,gate,title,dependencies,status
A-001,A,安装权威README并生成迁移报告,,DONE
A-002,A,整理T1-T4设备与说明文档目录,A-001,DONE
A-003,A,建立滤镜别名与主校准帧清单,A-002,DONE
A-004,A,实现Light到Bias/Dark/Flat唯一解析与严格模式,A-003,DONE
B-001,B,选择T1-T4代表帧与固定配置,A-004,DONE
B-002,B,完成代表帧Stage1并输出科学统计,B-001,DONE
B-003,B,验证PlateSolve回投、测光、SNR和Drizzle一致性,B-002,DONE
C-001,C,冻结HISS v2 signal/support/SNR/provenance契约,B-003,DONE
C-002,C,实现HISS分块索引、压缩、校验与batch read,C-001,DONE
C-003,C,实现HISS inspector和往返/损坏测试,C-002,DONE
C-004,C,浏览器显示HISS signal、SNR点和support,C-002,DONE
D-001,D,同一天区多帧HISS球面重合与光度一致性,"C-003,C-004",DONE
E-001,E,实现星点/饱和/异常掩膜和稀疏控制点采样,D-001,DONE
E-002,E,实现局部SNR²/逆方差联合拟合权重,E-001,DONE
E-003,E,实现全局加性共识曲面稀疏求解器,E-002,DONE
E-004,E,完成已知梯度/SNR/异常注入恢复测试,E-003,DONE
G-001,G,实现梯度校正后稳健排异,E-004,DONE
G-002,G,实现独立SNR²连续加权融合,G-001,DONE
G-003,G,实现HCSD生产层和可开关调试质量层,G-002,DONE
F-001,F,生成银心三片Red各一帧HISS,D-001,DONE
F-002,F,完成三片最小总曲面、HCSD和浏览器检查,"E-004,F-001,G-003",DONE
G-004,G,完成银心Red 11+11+10正式32帧叠加,F-002,DONE
G-005,G,量化接缝、连续性、排异与权重并交付浏览结果,G-004,DONE
H-001,H,实现阶段资源监测和动态成本估算,B-002,DONE
H-002,H,实现内存预约、CPU回滞和准入控制,H-001,DONE
H-003,H,实现高峰错峰、显式spill与恢复,H-002,DONE
H-004,H,完成混合设备压力测试与无OOM验收,"H-003,C-002",DONE
I-001,I,冻结格式、CLI和算法契约,"G-005,H-004",DONE
I-002,I,执行710帧最终回归与失败分类,I-001,PENDING_USER_DECISION
I-003,I,生成发布包、网站素材索引和最终审计ZIP,I-002,TODO
